date,title,source
Oct-17-18,TriStar names CEO for new behavioral health facility,American City Business Journals
Oct-18-18,Why Are Buyout Firms Ready to Risk It on Acadia?,Bloomberg
Oct-18-18,Acadia Healthcare shares jump 9% after report of talks with private equity firms,CNBC
Oct-18-18,Exclusive: Acadia Healthcare in talks with private equity firms: sources,Reuters
Oct-19-18,"ACADIA HEALTHCARE SHAREHOLDER ALERT by Former Louisiana Attorney General: Kahn Swick & Foti, LLC Reminds Investors with Losses in Excess of $100,000 of Lead Plaintiff Deadline in Class Action Lawsuit against Acadia Healthcare Company, Inc. - ACHC",Business Wire
Oct-19-18,"Hagens Berman Reminds Investors in Acadia Healthcare Company (NASDAQ: ACHC) of the December 3, 2018 Securities Class Action Lead Plaintiff Deadline and Possible Improper Insider Sales",GlobeNewswire
Oct-22-18,One of Nashville's newest health care companies is expanding,American City Business Journals
Oct-23-18,"CLASS ACTION UPDATE for MCHP, CPB and ACHC: Levi & Korsinsky, LLP Reminds Investors of Class Actions on Behalf of Shareholders",GlobeNewswire
Oct-23-18,"SHAREHOLDER ALERT - Bronstein, Gewirtz & Grossman, LLC Notifies Investors of Class Action Against Acadia Healthcare Company, Inc. (ACHC) and Lead Plaintiff Deadline  December 3, 2018",GlobeNewswire
Oct-24-18,"ACADIA HEALTHCARE COMPANY, INC. INVESTOR ALERT: Wolf Haldenstein Adler Freeman & Herz LLP announces that a securities class action lawsuit has been filed in the United States District Court for the Middle District of Tennessee against Acadia Healthcare Company, Inc.",GlobeNewswire
Oct-24-18,Acadia Healthcare Announces Date for Third Quarter 2018 Earnings Release,GlobeNewswire
Oct-24-18,Today's Research Reports on Trending Tickers: Edwards Lifesciences and Acadia Healthcare Company,ACCESSWIRE
