date,time,price,change,volume,avg_volume,market_cap,income,sales,p_b,p_e,f_p_e,peg,p_c,p_s,quick_ratio,current_ratio,debt_eq,sma20,sma50,sma200,rsi,roa,roe,roi,gross_margin,oper_margin,profit_margin,shs_outstand,shs_float,short_float,short_ratio,target_price,high_y,low_y,prev_close,eps,sales_q_to_q,eps_q_to_q,insider_own,insider_trans,inst_own,inst_trans,dividend,dividend_percent,employees,recom
2018-10-17,02:08:16 ,26.59,1.68%,"5,082",8.60K,-,-,-,-,-,-,-,-,-,-,-,-,-0.56%,1.00%,3.03%,51.10,-,-,-,-,-,-,-,-,-,0.98,-,-9.86%,9.75%,26.15,-,-,-,-,-,-,-,-,-,-,-
2018-10-17,21:00:27 ,26.54,-0.18%,"9,350",8.60K,-,-,-,-,-,-,-,-,-,-,-,-,-0.74%,0.76%,2.84%,50.21,-,-,-,-,-,-,-,-,-,0.98,-,-10.02%,9.55%,26.59,-,-,-,-,-,-,-,-,-,-,-
2018-10-18,21:39:11 ,26.19,-1.34%,"7,615",8.73K,-,-,-,-,-,-,-,-,-,-,-,-,-2.08%,-0.64%,1.46%,44.33,-,-,-,-,-,-,-,-,-,0.96,-,-11.22%,8.09%,26.54,-,-,-,-,-,-,-,-,-,-,-
2018-10-19,21:47:05 ,26.04,-0.57%,"2,697",8.80K,-,-,-,-,-,-,-,-,-,-,-,-,-2.44%,-1.27%,0.90%,42.04,-,-,-,-,-,-,-,-,-,0.96,-,-11.72%,7.48%,26.19,-,-,-,-,-,-,-,-,-,-,-
2018-10-22,19:01:20 ,26.04,0.00%,"5,021",8.77K,-,-,-,-,-,-,-,-,-,-,-,-,-2.26%,-1.30%,0.91%,42.17,-,-,-,-,-,-,-,-,-,0.96,-,-11.73%,7.47%,26.04,-,-,-,-,-,-,-,-,-,-,-
2018-10-23,19:02:27 ,26.00,-0.16%,"8,411",8.80K,-,-,-,-,-,-,-,-,-,-,-,-,-2.24%,-1.49%,0.76%,40.81,-,-,-,-,-,-,-,-,-,0.96,-,-11.86%,7.30%,26.04,-,-,-,-,-,-,-,-,-,-,-
2018-10-24,19:02:02 ,25.38,-2.38%,"4,922",8.89K,-,-,-,-,-,-,-,-,-,-,-,-,-4.40%,-3.86%,-1.64%,32.68,-,-,-,-,-,-,-,-,-,0.95,-,-13.97%,4.75%,26.00,-,-,-,-,-,-,-,-,-,-,-
2018-10-25,19:02:06 ,25.49,0.43%,"16,200",8.89K,-,-,-,-,-,-,-,-,-,-,-,-,-3.69%,-3.41%,-1.20%,35.58,-,-,-,-,-,-,-,-,-,0.95,-,-13.59%,5.20%,25.38,-,-,-,-,-,-,-,-,-,-,-
2018-10-26,19:00:26 ,25.41,-0.32%,"4,487",9.10K,-,-,-,-,-,-,-,-,-,-,-,-,-3.71%,-3.71%,-1.50%,34.64,-,-,-,-,-,-,-,-,-,0.92,-,-13.87%,4.86%,25.49,-,-,-,-,-,-,-,-,-,-,-
2018-10-29,19:00:16 ,25.22,-0.72%,"2,301",9.12K,-,-,-,-,-,-,-,-,-,-,-,-,-4.12%,-4.39%,-2.20%,32.03,-,-,-,-,-,-,-,-,-,0.59,-,-14.50%,4.10%,25.41,-,-,-,-,-,-,-,-,-,-,-
2018-10-30,19:01:10 ,25.63,1.60%,"7,967",9.02K,-,-,-,-,-,-,-,-,-,-,-,-,-2.28%,-2.81%,-0.61%,41.41,-,-,-,-,-,-,-,-,-,0.60,-,-13.13%,5.77%,25.22,-,-,-,-,-,-,-,-,-,-,-
2018-10-31,19:01:13 ,25.75,0.47%,"3,769",8.77K,-,-,-,-,-,-,-,-,-,-,-,-,-1.60%,-2.34%,-0.14%,44.42,-,-,-,-,-,-,-,-,-,0.62,-,-12.72%,6.26%,25.63,-,-,-,-,-,-,-,-,-,-,-
2018-11-01,19:02:25 ,25.88,0.52%,"2,397",8.76K,-,-,-,-,-,-,-,-,-,-,-,-,-0.89%,-1.81%,0.40%,47.27,-,-,-,-,-,-,-,-,-,0.62,-,-12.26%,6.82%,25.75,-,-,-,-,-,-,-,-,-,-,-
2018-11-03,00:25:59 ,25.70,-0.70%,"2,622",8.76K,-,-,-,-,-,-,-,-,-,-,-,-,-1.46%,-2.48%,-0.30%,44.25,-,-,-,-,-,-,-,-,-,0.62,-,-12.88%,6.07%,25.88,-,-,-,-,-,-,-,-,-,-,-
2018-11-05,18:02:23 ,26.11,1.61%,"2,145",8.78K,-,-,-,-,-,-,-,-,-,-,-,-,0.27%,-0.88%,1.32%,51.39,-,-,-,-,-,-,-,-,-,0.61,-,-11.47%,7.78%,25.70,-,-,-,-,-,-,-,-,-,-,-
2018-11-06,17:58:48 ,26.02,-0.36%,"4,246",8.76K,-,-,-,-,-,-,-,-,-,-,-,-,0.08%,-1.22%,0.96%,50.13,-,-,-,-,-,-,-,-,-,0.62,-,-11.80%,7.39%,26.11,-,-,-,-,-,-,-,-,-,-,-
2018-11-07,18:04:39 ,26.25,0.86%,"4,474",8.74K,-,-,-,-,-,-,-,-,-,-,-,-,1.18%,-0.35%,1.86%,53.50,-,-,-,-,-,-,-,-,-,0.62,-,-11.03%,8.32%,26.02,-,-,-,-,-,-,-,-,-,-,-
