date,time,price,change,volume,avg_volume,market_cap,income,sales,p_b,p_e,f_p_e,peg,p_c,p_s,quick_ratio,current_ratio,debt_eq,sma20,sma50,sma200,rsi,roa,roe,roi,gross_margin,oper_margin,profit_margin,shs_outstand,shs_float,short_float,short_ratio,target_price,high_y,low_y,prev_close,eps,sales_q_to_q,eps_q_to_q,insider_own,insider_trans,inst_own,inst_trans,dividend,dividend_percent,employees,recom
2018-10-17,02:07:34 ,11.85,-2.39%,"264,907",443.42K,1.14B,-92.70M,48.70M,6.77,-,-,-,8.81,23.34,3.80,3.80,0.00,-7.24%,7.57%,10.51%,47.39,-35.60%,-47.00%,-40.00%,-,-,-,95.94M,11.25M,21.43%,5.44,16.88,-18.97%,79.55%,12.14,-0.99,157.10%,-113.60%,0.25%,-,62.30%,4.38%,-,-,371,2.00
2018-10-17,20:59:45 ,11.54,-2.62%,"591,401",443.42K,1.11B,-92.70M,48.70M,6.59,-,-,-,8.58,22.73,3.80,3.80,0.00,-9.79%,4.17%,7.36%,44.88,-35.60%,-47.00%,-40.00%,-,-,-,95.94M,11.25M,21.43%,5.44,16.88,-21.09%,74.85%,11.85,-0.99,157.10%,-113.60%,0.25%,-,62.30%,4.38%,-,-,371,2.00
2018-10-18,21:38:28 ,10.88,-5.72%,"782,365",441.80K,1.04B,-92.70M,48.70M,6.22,-,-,-,8.09,21.43,3.80,3.80,0.00,-14.86%,-2.26%,1.01%,39.20,-35.60%,-47.00%,-40.00%,-,-,-,95.94M,11.25M,21.43%,5.46,16.88,-25.61%,64.85%,11.54,-0.99,157.10%,-113.60%,0.25%,-,62.30%,4.38%,-,-,371,2.00
2018-10-19,21:46:24 ,10.76,-1.10%,"594,791",447.16K,1.03B,-92.70M,48.70M,6.15,-,-,-,8.00,21.20,3.80,3.80,0.00,-15.44%,-3.70%,-0.26%,37.72,-35.60%,-47.00%,-40.00%,-,-,-,95.94M,11.25M,21.43%,5.39,16.88,-26.43%,63.03%,10.88,-0.99,157.10%,-113.60%,0.25%,-,62.30%,4.38%,-,-,371,2.00
2018-10-22,19:00:35 ,7.55,-29.83%,"3,250,143",451.13K,720.72M,-92.70M,48.70M,4.31,-,-,-,5.59,14.80,3.80,3.80,0.00,-40.44%,-32.65%,-30.12%,22.19,-35.60%,-47.00%,-40.00%,-,-,-,95.46M,11.25M,21.43%,5.35,16.88,-48.38%,14.39%,10.76,-0.99,157.10%,-113.60%,0.25%,-,68.70%,15.01%,-,-,371,2.00
2018-10-23,19:01:41 ,7.03,-6.89%,"2,135,890",493.06K,671.08M,-92.70M,48.70M,4.02,-,-,-,5.20,13.78,3.80,3.80,0.00,-43.58%,-37.15%,-34.93%,19.57,-35.60%,-47.00%,-40.00%,-,-,-,95.46M,11.25M,21.43%,4.89,16.88,-51.93%,6.52%,7.55,-0.99,157.10%,-113.60%,0.25%,-,68.70%,15.01%,-,-,371,2.00
2018-10-24,19:01:17 ,6.49,-7.75%,"1,042,504",515.41K,619.06M,-92.70M,48.70M,3.71,-,-,-,4.80,12.71,3.80,3.80,0.00,-46.91%,-41.85%,-39.95%,18.07,-35.60%,-47.00%,-40.00%,-,-,-,95.46M,11.25M,21.43%,4.68,16.88,-55.66%,-1.74%,7.03,-0.99,157.10%,-113.60%,0.25%,-,68.70%,15.01%,-,-,371,2.00
2018-10-25,19:01:20 ,6.54,0.85%,"583,816",522.15K,624.31M,-92.70M,48.70M,3.74,-,-,-,4.84,12.82,3.80,3.80,0.00,-45.17%,-41.15%,-39.40%,18.88,-35.60%,-47.00%,-40.00%,-,-,-,95.46M,11.25M,21.43%,4.62,16.88,-55.28%,1.87%,6.49,-0.99,157.10%,-113.60%,0.25%,-,68.70%,15.01%,-,-,371,2.00
2018-10-26,18:59:39 ,6.23,-4.74%,"717,503",524.31K,594.72M,-92.70M,48.70M,3.56,-,-,-,4.61,12.21,3.80,3.80,0.00,-46.27%,-43.73%,-42.24%,18.38,-35.60%,-47.00%,-40.00%,-,-,-,95.46M,11.25M,21.43%,4.60,16.88,-57.40%,-2.96%,6.54,-0.99,157.10%,-113.60%,0.25%,-,68.70%,15.01%,-,-,371,2.00
2018-10-29,18:59:33 ,5.94,-4.65%,"501,607",531.07K,588.77M,-92.70M,48.70M,3.39,-,-,-,4.56,12.09,3.80,3.80,0.00,-47.10%,-46.11%,-44.88%,17.08,-35.60%,-47.00%,-40.00%,-,-,-,99.12M,11.25M,25.38%,5.38,16.38,-59.38%,0.17%,6.23,-0.99,157.10%,-113.60%,0.25%,-,68.70%,14.37%,-,-,371,2.00
2018-10-30,19:00:28 ,6.00,1.01%,"382,252",534.90K,594.72M,-92.70M,48.70M,3.43,-,-,-,4.61,12.21,3.80,3.80,0.00,-44.59%,-45.31%,-44.28%,16.95,-35.60%,-47.00%,-40.00%,-,-,-,99.12M,11.25M,25.38%,5.34,16.38,-58.97%,4.17%,5.94,-0.99,157.10%,-113.60%,0.25%,-,68.70%,14.37%,-,-,371,2.00
2018-10-31,19:00:30 ,6.20,3.33%,"303,684",535.00K,614.54M,-92.70M,48.70M,3.54,-,-,-,4.76,12.62,3.80,3.80,0.00,-40.69%,-43.25%,-42.38%,20.15,-35.60%,-47.00%,-40.00%,-,-,-,99.12M,11.25M,25.38%,5.34,16.38,-57.61%,8.20%,6.00,-0.99,157.10%,-113.60%,0.25%,-,68.70%,14.37%,-,-,371,2.00
2018-11-01,19:01:42 ,6.86,10.65%,"646,489",534.90K,679.96M,-92.70M,48.70M,3.92,-,-,-,5.27,13.96,3.80,3.80,0.00,-31.82%,-36.95%,-36.20%,28.80,-35.60%,-47.00%,-40.00%,-,-,-,99.12M,11.25M,25.38%,5.34,16.38,-53.09%,19.72%,6.20,-0.99,157.10%,-113.60%,0.25%,-,68.70%,14.37%,-,-,371,2.00
2018-11-03,00:25:14 ,7.09,3.35%,"331,981",541.27K,702.76M,-92.70M,48.70M,4.05,-,-,-,5.45,14.43,3.80,3.80,0.00,-26.88%,-34.58%,-34.04%,31.35,-35.60%,-47.00%,-40.00%,-,-,-,99.12M,11.25M,25.38%,5.27,16.38,-51.52%,23.73%,6.86,-0.99,157.10%,-113.60%,0.25%,-,68.70%,14.37%,-,-,371,2.00
2018-11-05,18:01:40 ,7.13,0.56%,"402,714",530.53K,651.33M,-92.70M,48.70M,4.07,-,-,-,5.05,13.37,3.80,3.80,0.00,-23.79%,-33.95%,-33.63%,32.43,-35.60%,-47.00%,-40.00%,-,-,-,91.35M,11.25M,25.38%,5.38,16.38,-51.25%,24.43%,7.09,-0.99,157.10%,-113.60%,0.25%,-,69.90%,17.88%,-,-,371,2.10
2018-11-06,17:58:07 ,6.53,-8.42%,"1,125,226",521.98K,596.52M,-92.70M,48.70M,3.73,-,-,-,4.62,12.25,3.80,3.80,0.00,-27.86%,-39.15%,-39.18%,29.00,-35.60%,-47.00%,-40.00%,-,-,-,91.35M,11.25M,25.38%,5.47,16.38,-55.35%,13.96%,7.13,-0.99,157.10%,-113.60%,0.25%,-,69.90%,17.88%,-,-,371,2.10
2018-11-07,18:03:56 ,6.65,1.84%,"681,508",532.15K,607.48M,-92.70M,48.70M,3.80,-,-,-,4.71,12.47,3.80,3.80,0.00,-23.67%,-37.58%,-37.98%,30.43,-35.60%,-47.00%,-40.00%,-,-,-,91.35M,11.25M,25.38%,5.36,16.38,-54.53%,16.06%,6.53,-0.99,157.10%,-113.60%,0.25%,-,69.90%,17.88%,-,-,371,2.10
2018-11-08,17:58:19 ,6.66,0.15%,"320,803",536.54K,608.39M,-92.70M,48.70M,3.81,-,-,-,4.72,12.49,3.80,3.80,0.00,-20.91%,-37.03%,-37.82%,30.91,-35.60%,-47.00%,-40.00%,-,-,-,91.35M,11.25M,25.38%,5.32,16.38,-54.46%,16.23%,6.65,-0.99,157.10%,-113.60%,0.25%,-,69.90%,17.88%,-,-,371,2.10
2018-11-09,18:43:20 ,6.18,-7.21%,"682,929",535.51K,564.54M,-92.70M,48.70M,3.53,-,-,-,4.38,11.59,3.80,3.80,0.00,-23.93%,-41.17%,-42.23%,28.63,-35.60%,-47.00%,-40.00%,-,-,-,91.35M,11.25M,25.38%,5.33,16.38,-57.74%,7.85%,6.66,-0.99,157.10%,-113.60%,0.25%,-,69.90%,17.88%,-,-,371,2.10
2018-11-12,20:39:56 ,6.32,2.27%,"472,042",542.44K,712.20M,-86.60M,62.30M,2.22,-,-,-,2.99,11.43,8.80,8.80,0.00,-19.10%,-39.30%,-40.84%,30.97,-33.00%,-41.50%,-40.00%,-,-,-,112.69M,11.25M,30.49%,6.32,15.88,-56.79%,10.30%,6.18,-0.93,50.00%,640.40%,0.25%,-,63.00%,15.61%,-,-,371,2.10
2018-11-13,18:06:51 ,6.00,-5.06%,"483,508",547.36K,676.14M,-86.60M,62.30M,2.11,-,-,-,2.84,10.85,8.80,8.80,0.00,-20.23%,-41.79%,-43.77%,29.81,-33.00%,-41.50%,-40.00%,-,-,-,112.69M,11.25M,30.49%,6.27,15.88,-58.97%,4.71%,6.32,-0.93,50.00%,640.40%,0.25%,-,63.00%,15.61%,-,-,371,2.10
