date,time,price,change,volume,avg_volume,market_cap,income,sales,p_b,p_e,f_p_e,peg,p_c,p_s,quick_ratio,current_ratio,debt_eq,sma20,sma50,sma200,rsi,roa,roe,roi,gross_margin,oper_margin,profit_margin,shs_outstand,shs_float,short_float,short_ratio,target_price,high_y,low_y,prev_close,eps,sales_q_to_q,eps_q_to_q,insider_own,insider_trans,inst_own,inst_trans,dividend,dividend_percent,employees,recom
2018-10-17,02:17:09 ,143.28,2.16%,"1,965,968",1.85M,62.74B,1.62B,13.33B,18.14,39.18,24.15,2.57,28.87,4.71,1.10,1.10,0.58,-3.12%,-1.36%,10.78%,43.37,4.00%,42.20%,30.10%,47.90%,16.40%,12.20%,437.90M,436.86M,0.82%,1.94,153.06,-6.66%,33.15%,140.25,3.66,8.30%,-41.50%,0.10%,-14.93%,79.80%,-0.01%,2.76,1.93%,57000,2.50
2018-10-17,21:09:11 ,143.66,0.27%,"1,049,998",1.85M,62.91B,1.62B,13.33B,18.18,39.28,24.22,2.58,28.95,4.72,1.10,1.10,0.58,-2.72%,-1.20%,10.96%,44.62,4.00%,42.20%,30.10%,47.90%,16.40%,12.20%,437.90M,436.86M,0.82%,1.94,153.06,-6.42%,33.50%,143.28,3.66,8.30%,-41.50%,0.10%,-14.93%,79.80%,-0.01%,2.76,1.92%,57000,2.50
2018-10-18,21:47:50 ,142.92,-0.52%,"1,777,158",1.84M,62.58B,1.62B,13.33B,18.09,39.08,24.09,2.57,28.80,4.70,1.10,1.10,0.58,-3.12%,-1.79%,10.27%,42.82,4.00%,42.20%,30.10%,47.90%,16.40%,12.20%,437.90M,436.86M,0.82%,1.95,153.06,-6.90%,32.81%,143.66,3.66,8.30%,-41.50%,0.10%,-14.93%,79.80%,-0.01%,2.76,1.93%,57000,2.50
2018-10-19,21:55:43 ,143.41,0.34%,"1,521,028",1.83M,62.80B,1.62B,13.33B,18.15,39.22,24.18,2.57,28.90,4.71,1.10,1.10,0.58,-2.59%,-1.52%,10.54%,44.28,4.00%,42.20%,30.10%,47.90%,16.40%,12.20%,437.90M,436.86M,0.82%,1.96,153.06,-6.58%,33.27%,142.92,3.66,8.30%,-41.50%,0.10%,-14.93%,79.80%,-0.01%,2.76,1.92%,57000,2.50
2018-10-22,19:10:56 ,143.99,0.40%,"1,143,160",1.83M,63.05B,1.62B,13.33B,18.23,39.37,24.27,2.70,29.01,4.73,1.10,1.10,0.58,-1.95%,-1.19%,10.88%,46.11,4.00%,42.20%,30.10%,47.90%,16.40%,12.20%,437.90M,436.86M,0.82%,1.96,154.13,-6.20%,33.81%,143.41,3.66,8.30%,-41.50%,0.10%,-14.93%,79.80%,0.05%,2.76,1.92%,57000,2.50
2018-10-23,19:12:04 ,142.44,-1.08%,"1,757,541",1.83M,62.37B,1.62B,13.33B,18.03,38.95,24.01,2.67,28.70,4.68,1.10,1.10,0.58,-2.84%,-2.32%,9.58%,42.37,4.00%,42.20%,30.10%,47.90%,16.40%,12.20%,437.90M,436.86M,0.82%,1.97,154.13,-7.21%,32.37%,143.99,3.66,8.30%,-41.50%,0.10%,-14.93%,79.80%,0.05%,2.76,1.94%,57000,2.50
2018-10-25,19:11:33 ,140.49,2.06%,"2,178,050",1.84M,61.52B,1.62B,13.33B,17.78,38.42,23.68,2.63,28.31,4.62,1.10,1.10,0.58,-3.56%,-3.65%,7.90%,41.45,4.00%,42.20%,30.10%,47.90%,16.40%,12.20%,437.90M,436.86M,0.82%,1.95,154.13,-8.48%,30.55%,137.65,3.66,8.30%,-41.50%,0.10%,-14.93%,79.80%,0.05%,2.76,1.96%,57000,2.50
2018-10-26,19:10:01 ,136.35,-2.95%,"2,967,191",1.85M,59.71B,1.62B,13.33B,17.26,37.28,22.99,2.55,27.47,4.48,1.10,1.10,0.58,-6.10%,-6.48%,4.62%,34.18,4.00%,42.20%,30.10%,47.90%,16.40%,12.20%,437.90M,436.86M,0.82%,1.94,154.13,-11.18%,26.71%,140.49,3.66,8.30%,-41.50%,0.10%,-14.93%,79.80%,0.05%,2.76,2.02%,57000,2.50
2018-10-29,19:09:11 ,135.30,-0.77%,"3,140,160",1.87M,60.98B,1.62B,13.33B,17.13,37.00,22.81,2.33,28.06,4.58,1.10,1.10,0.58,-6.36%,-7.13%,3.74%,32.97,4.00%,42.20%,30.10%,47.90%,16.40%,12.20%,450.72M,436.86M,0.82%,1.91,154.13,-11.86%,25.73%,136.35,3.66,8.30%,-41.50%,0.10%,-14.56%,79.80%,0.06%,2.76,2.04%,57000,2.50
2018-10-30,19:09:49 ,137.26,1.45%,"2,846,240",1.90M,61.87B,1.62B,13.33B,17.37,37.53,23.14,2.36,28.47,4.64,1.10,1.10,0.58,-4.50%,-5.69%,5.18%,37.85,4.00%,42.20%,30.10%,47.90%,16.40%,12.20%,450.72M,436.86M,0.82%,1.88,154.13,-10.59%,27.55%,135.30,3.66,8.30%,-41.50%,0.10%,-14.56%,79.80%,0.06%,2.76,2.01%,57000,2.50
2018-10-31,19:10:03 ,144.08,4.97%,"3,515,228",1.91M,64.94B,1.62B,13.33B,18.24,39.40,24.29,2.48,29.88,4.87,1.10,1.10,0.58,0.76%,-0.94%,10.33%,52.14,4.00%,42.20%,30.10%,47.90%,16.40%,12.20%,450.72M,436.86M,0.82%,1.87,154.13,-6.14%,33.89%,137.26,3.66,8.30%,-41.50%,0.10%,-14.56%,79.80%,0.06%,2.76,1.92%,57000,2.50
2018-11-01,19:11:21 ,140.91,-2.20%,"2,533,584",1.93M,63.51B,1.62B,13.33B,17.84,38.53,23.76,2.42,29.22,4.77,1.10,1.10,0.58,-1.20%,-3.14%,7.81%,46.83,4.00%,42.20%,30.10%,47.90%,16.40%,12.20%,450.72M,436.86M,0.82%,1.86,154.13,-8.21%,30.95%,144.08,3.66,8.30%,-41.50%,0.10%,-14.56%,79.80%,0.06%,2.76,1.96%,57000,2.50
2018-11-03,00:35:28 ,140.72,-0.13%,"1,916,258",1.90M,63.43B,1.62B,13.33B,17.81,38.48,23.73,2.42,29.18,4.76,1.10,1.10,0.58,-1.01%,-3.23%,7.58%,46.30,4.00%,42.20%,30.10%,47.90%,16.40%,12.20%,450.72M,436.86M,0.82%,1.88,154.13,-8.33%,30.77%,140.91,3.66,8.30%,-41.50%,0.10%,-14.56%,79.80%,0.06%,2.76,1.96%,57000,2.50
2018-11-05,18:11:19 ,141.41,0.49%,"1,733,847",1.90M,61.94B,1.73B,13.57B,13.20,36.20,23.64,2.20,38.30,4.56,1.00,1.00,0.43,-0.16%,-2.72%,8.03%,47.81,4.20%,39.70%,24.40%,48.40%,16.90%,12.70%,438.03M,436.08M,0.82%,1.89,157.76,-7.88%,31.41%,140.72,3.91,8.00%,24.20%,0.10%,-14.92%,79.80%,0.03%,2.76,1.95%,57000,2.50
2018-11-06,18:07:40 ,143.92,1.77%,"2,088,992",1.89M,63.04B,1.73B,13.57B,13.44,36.85,24.06,2.23,38.98,4.65,1.00,1.00,0.43,1.89%,-0.97%,9.87%,52.41,4.20%,39.70%,24.40%,48.40%,16.90%,12.70%,438.03M,436.08M,0.82%,1.90,157.76,-6.25%,33.74%,141.41,3.91,8.00%,24.20%,0.10%,-14.92%,79.80%,0.03%,2.76,1.92%,57000,2.50
2018-11-07,18:13:27 ,148.30,3.04%,"2,596,260",1.90M,64.96B,1.73B,13.57B,13.85,37.97,24.79,2.30,40.16,4.79,1.00,1.00,0.43,5.23%,2.04%,13.12%,59.23,4.20%,39.70%,24.40%,48.40%,16.90%,12.70%,438.03M,436.08M,0.82%,1.89,157.76,-3.39%,37.81%,143.92,3.91,8.00%,24.20%,0.10%,-14.92%,79.80%,0.03%,2.76,1.86%,57000,2.50
