date,time,price,change,volume,avg_volume,market_cap,income,sales,p_b,p_e,f_p_e,peg,p_c,p_s,quick_ratio,current_ratio,debt_eq,sma20,sma50,sma200,rsi,roa,roe,roi,gross_margin,oper_margin,profit_margin,shs_outstand,shs_float,short_float,short_ratio,target_price,high_y,low_y,prev_close,eps,sales_q_to_q,eps_q_to_q,insider_own,insider_trans,inst_own,inst_trans,dividend,dividend_percent,employees,recom
2018-10-17,03:07:15 ,30.72,1.69%,817,0.95K,-,-,-,-,-,-,-,-,-,-,-,-,-3.16%,-6.02%,-10.35%,37.22,-,-,-,-,-,-,-,-,-,0.99,-,-18.52%,3.26%,30.21,-,-,-,-,-,-,-,0.68,2.21%,-,-
2018-10-17,22:00:54 ,30.51,-0.68%,522,0.95K,-,-,-,-,-,-,-,-,-,-,-,-,-3.42%,-6.49%,-10.93%,35.57,-,-,-,-,-,-,-,-,-,0.99,-,-19.08%,2.55%,30.72,-,-,-,-,-,-,-,0.68,2.23%,-,-
2018-10-18,22:37:45 ,29.73,-2.56%,500,0.93K,-,-,-,-,-,-,-,-,-,-,-,-,-5.72%,-8.69%,-13.16%,30.08,-,-,-,-,-,-,-,-,-,1.01,-,-21.15%,-0.07%,30.51,-,-,-,-,-,-,-,0.68,2.29%,-,-
2018-10-19,22:45:05 ,29.91,0.61%,777,0.93K,-,-,-,-,-,-,-,-,-,-,-,-,-4.84%,-7.94%,-12.59%,32.88,-,-,-,-,-,-,-,-,-,1.00,-,-20.67%,0.64%,29.73,-,-,-,-,-,-,-,0.68,2.27%,-,-
2018-10-22,20:05:00 ,30.23,1.05%,"1,180",0.93K,-,-,-,-,-,-,-,-,-,-,-,-,-3.47%,-6.76%,-11.62%,36.84,-,-,-,-,-,-,-,-,-,1.00,-,-19.83%,1.70%,29.91,-,-,-,-,-,-,-,0.67,2.22%,-,-
2018-10-23,20:06:46 ,29.90,-1.08%,"1,400",0.89K,-,-,-,-,-,-,-,-,-,-,-,-,-4.21%,-7.56%,-12.53%,34.66,-,-,-,-,-,-,-,-,-,1.05,-,-20.69%,0.61%,30.23,-,-,-,-,-,-,-,0.67,2.24%,-,-
2018-10-24,20:05:00 ,29.22,-2.27%,544,0.89K,-,-,-,-,-,-,-,-,-,-,-,-,-6.06%,-9.45%,-14.48%,30.55,-,-,-,-,-,-,-,-,-,1.05,-,-22.50%,-0.71%,29.90,-,-,-,-,-,-,-,0.67,2.29%,-,-
2018-10-25,20:05:55 ,29.47,0.86%,951,0.89K,-,-,-,-,-,-,-,-,-,-,-,-,-4.70%,-8.43%,-13.70%,34.27,-,-,-,-,-,-,-,-,-,1.06,-,-21.84%,0.86%,29.22,-,-,-,-,-,-,-,0.67,2.27%,-,-
2018-10-26,20:04:14 ,29.26,-0.71%,"2,491",0.90K,-,-,-,-,-,-,-,-,-,-,-,-,-4.92%,-8.85%,-14.26%,32.55,-,-,-,-,-,-,-,-,-,1.04,-,-22.39%,0.55%,29.47,-,-,-,-,-,-,-,0.67,2.29%,-,-
2018-10-29,19:59:10 ,29.11,-0.51%,"1,748",0.95K,-,-,-,-,-,-,-,-,-,-,-,-,-4.91%,-9.05%,-14.64%,31.72,-,-,-,-,-,-,-,-,-,0.98,-,-22.79%,0.97%,29.26,-,-,-,-,-,-,-,0.66,2.27%,-,-
2018-10-30,20:00:05 ,28.89,-0.76%,886,0.94K,-,-,-,-,-,-,-,-,-,-,-,-,-5.07%,-9.44%,-15.22%,30.66,-,-,-,-,-,-,-,-,-,0.99,-,-23.37%,0.21%,29.11,-,-,-,-,-,-,-,0.66,2.28%,-,-
2018-10-31,19:59:09 ,29.68,2.73%,"1,109",0.94K,-,-,-,-,-,-,-,-,-,-,-,-,-1.85%,-6.64%,-12.83%,41.84,-,-,-,-,-,-,-,-,-,0.99,-,-21.28%,2.95%,28.89,-,-,-,-,-,-,-,0.66,2.22%,-,-
2018-11-01,20:02:04 ,30.40,2.42%,"1,078",0.94K,-,-,-,-,-,-,-,-,-,-,-,-,0.95%,-4.10%,-10.66%,49.55,-,-,-,-,-,-,-,-,-,0.99,-,-19.37%,5.45%,29.68,-,-,-,-,-,-,-,0.66,2.17%,-,-
2018-11-03,01:29:44 ,30.14,-0.85%,"1,866",0.94K,-,-,-,-,-,-,-,-,-,-,-,-,0.31%,-4.71%,-11.37%,47.98,-,-,-,-,-,-,-,-,-,0.99,-,-20.06%,4.55%,30.40,-,-,-,-,-,-,-,0.66,2.19%,-,-
2018-11-05,19:02:15 ,30.11,-0.10%,"1,102",0.98K,-,-,-,-,-,-,-,-,-,-,-,-,0.39%,-4.56%,-11.41%,47.19,-,-,-,-,-,-,-,-,-,0.96,-,-20.14%,4.44%,30.14,-,-,-,-,-,-,-,0.68,2.26%,-,-
2018-11-06,18:58:36 ,30.04,-0.23%,255,0.98K,-,-,-,-,-,-,-,-,-,-,-,-,0.33%,-4.55%,-11.56%,46.43,-,-,-,-,-,-,-,-,-,0.95,-,-20.32%,4.20%,30.11,-,-,-,-,-,-,-,0.68,2.26%,-,-
2018-11-07,19:08:04 ,30.22,0.60%,423,0.92K,-,-,-,-,-,-,-,-,-,-,-,-,1.08%,-3.77%,-10.97%,47.87,-,-,-,-,-,-,-,-,-,1.01,-,-19.85%,4.82%,30.04,-,-,-,-,-,-,-,0.68,2.25%,-,-
2018-11-08,18:58:37 ,30.64,1.39%,108,0.92K,-,-,-,-,-,-,-,-,-,-,-,-,2.48%,-2.25%,-9.69%,52.75,-,-,-,-,-,-,-,-,-,1.01,-,-18.73%,6.28%,30.22,-,-,-,-,-,-,-,0.68,2.22%,-,-
2018-11-09,19:39:18 ,29.72,-3.01%,200,0.91K,-,-,-,-,-,-,-,-,-,-,-,-,-0.72%,-5.02%,-12.37%,43.72,-,-,-,-,-,-,-,-,-,1.03,-,-21.18%,3.08%,30.64,-,-,-,-,-,-,-,0.68,2.29%,-,-
2018-11-12,21:39:54 ,29.77,0.18%,4,0.91K,-,-,-,-,-,-,-,-,-,-,-,-,-0.39%,-4.79%,-12.20%,43.94,-,-,-,-,-,-,-,-,-,0.01,-,-21.04%,3.26%,29.72,-,-,-,-,-,-,-,0.73,2.45%,-,-
2018-11-13,19:07:47 ,29.63,-0.47%,272,0.89K,-,-,-,-,-,-,-,-,-,-,-,-,-0.78%,-5.03%,-12.56%,41.35,-,-,-,-,-,-,-,-,-,0.01,-,-21.41%,2.78%,29.77,-,-,-,-,-,-,-,0.73,2.46%,-,-
2018-11-14,19:00:06 ,29.65,0.06%,925,0.90K,-,-,-,-,-,-,-,-,-,-,-,-,-0.69%,-4.96%,-12.51%,41.49,-,-,-,-,-,-,-,-,-,0.01,-,-21.36%,2.84%,29.63,-,-,-,-,-,-,-,0.73,2.46%,-,-
2018-11-15,18:57:58 ,30.15,1.69%,"2,323",0.92K,-,-,-,-,-,-,-,-,-,-,-,-,1.08%,-3.15%,-10.97%,47.78,-,-,-,-,-,-,-,-,-,0.01,-,-20.03%,4.58%,29.65,-,-,-,-,-,-,-,0.73,2.42%,-,-
2018-11-16,18:58:15 ,30.00,-0.50%,469,0.95K,-,-,-,-,-,-,-,-,-,-,-,-,0.68%,-3.49%,-11.35%,45.79,-,-,-,-,-,-,-,-,-,0.01,-,-20.43%,4.06%,30.15,-,-,-,-,-,-,-,0.73,2.43%,-,-
2018-11-19,18:57:33 ,29.91,-0.30%,37,0.95K,-,-,-,-,-,-,-,-,-,-,-,-,0.46%,-3.63%,-11.56%,47.30,-,-,-,-,-,-,-,-,-,0.01,-,-20.67%,3.75%,30.00,-,-,-,-,-,-,-,0.74,2.47%,-,-
2018-11-20,18:58:56 ,29.30,-2.04%,416,0.93K,-,-,-,-,-,-,-,-,-,-,-,-,-1.62%,-5.48%,-13.30%,40.25,-,-,-,-,-,-,-,-,-,0.01,-,-22.29%,1.63%,29.91,-,-,-,-,-,-,-,0.74,2.53%,-,-
2018-11-21,18:58:09 ,29.44,0.48%,"2,042",0.93K,-,-,-,-,-,-,-,-,-,-,-,-,-1.05%,-4.99%,-12.88%,42.57,-,-,-,-,-,-,-,-,-,0.01,-,-21.91%,2.12%,29.30,-,-,-,-,-,-,-,0.74,2.51%,-,-
2018-11-23,18:58:18 ,29.41,-0.10%,3,0.97K,-,-,-,-,-,-,-,-,-,-,-,-,-1.07%,-4.92%,-12.90%,41.26,-,-,-,-,-,-,-,-,-,0.01,-,-21.99%,2.01%,29.44,-,-,-,-,-,-,-,0.74,2.52%,-,-
2018-11-26,19:04:14 ,30.04,2.14%,7,0.96K,-,-,-,-,-,-,-,-,-,-,-,-,1.19%,-2.70%,-10.96%,49.48,-,-,-,-,-,-,-,-,-,0.01,-,-20.32%,4.20%,29.41,-,-,-,-,-,-,-,0.73,2.43%,-,-
2018-11-27,18:57:15 ,29.58,-1.52%,125,0.96K,-,-,-,-,-,-,-,-,-,-,-,-,-0.37%,-4.01%,-12.25%,44.56,-,-,-,-,-,-,-,-,-,0.01,-,-21.53%,2.62%,30.04,-,-,-,-,-,-,-,0.73,2.47%,-,-
2018-11-28,18:56:02 ,30.24,2.20%,817,0.95K,-,-,-,-,-,-,-,-,-,-,-,-,1.76%,-1.70%,-10.26%,50.67,-,-,-,-,-,-,-,-,-,0.01,-,-19.81%,4.88%,29.58,-,-,-,-,-,-,-,0.73,2.41%,-,-
2018-11-29,18:57:18 ,30.31,0.25%,260,0.97K,-,-,-,-,-,-,-,-,-,-,-,-,1.96%,-1.88%,-10.17%,51.79,-,-,-,-,-,-,-,-,-,0.01,-,-19.61%,5.14%,30.24,-,-,-,-,-,-,-,0.73,2.41%,-,-
2018-11-30,18:57:49 ,30.13,-0.59%,277,0.96K,-,-,-,-,-,-,-,-,-,-,-,-,1.28%,-2.31%,-10.65%,49.67,-,-,-,-,-,-,-,-,-,0.01,-,-20.08%,4.51%,30.31,-,-,-,-,-,-,-,0.73,2.42%,-,-
2018-12-03,19:06:40 ,30.93,2.66%,63,0.95K,-,-,-,-,-,-,-,-,-,-,-,-,3.81%,0.45%,-8.22%,56.66,-,-,-,-,-,-,-,-,-,0.01,-,-17.96%,7.29%,30.13,-,-,-,-,-,-,-,0.74,2.39%,-,-
2018-12-04,18:58:52 ,30.00,-3.02%,"1,919",0.93K,-,-,-,-,-,-,-,-,-,-,-,-,0.43%,-2.48%,-10.94%,47.35,-,-,-,-,-,-,-,-,-,0.01,-,-20.44%,4.05%,30.93,-,-,-,-,-,-,-,0.74,2.47%,-,-
2018-12-06,18:57:54 ,29.73,-0.89%,627,0.97K,-,-,-,-,-,-,-,-,-,-,-,-,-0.30%,-3.29%,-11.72%,44.15,-,-,-,-,-,-,-,-,-,0.01,-,-21.15%,3.12%,30.00,-,-,-,-,-,-,-,0.74,2.49%,-,-
2018-12-07,18:57:49 ,29.79,0.21%,262,0.96K,-,-,-,-,-,-,-,-,-,-,-,-,-0.17%,-2.87%,-11.48%,44.67,-,-,-,-,-,-,-,-,-,0.01,-,-20.98%,3.34%,29.73,-,-,-,-,-,-,-,0.74,2.48%,-,-
2018-12-10,18:57:43 ,29.23,-1.89%,"3,131",0.95K,-,-,-,-,-,-,-,-,-,-,-,-,-2.17%,-4.48%,-13.10%,38.14,-,-,-,-,-,-,-,-,-,0.01,-,-22.47%,1.39%,29.79,-,-,-,-,-,-,-,0.72,2.46%,-,-
2018-12-11,18:57:19 ,29.23,0.00%,0,0.99K,-,-,-,-,-,-,-,-,-,-,-,-,-2.22%,-4.22%,-13.05%,38.14,-,-,-,-,-,-,-,-,-,0.01,-,-22.47%,1.39%,29.23,-,-,-,-,-,-,-,0.72,2.46%,-,-
