date,time,price,change,volume,avg_volume,market_cap,income,sales,p_b,p_e,f_p_e,peg,p_c,p_s,quick_ratio,current_ratio,debt_eq,sma20,sma50,sma200,rsi,roa,roe,roi,gross_margin,oper_margin,profit_margin,shs_outstand,shs_float,short_float,short_ratio,target_price,high_y,low_y,prev_close,eps,sales_q_to_q,eps_q_to_q,insider_own,insider_trans,inst_own,inst_trans,dividend,dividend_percent,employees,recom
2018-10-17,00:51:35 ,6.27,-0.48%,"2,726,786",2.84M,1.21B,-,261.35M,1.62,-,104.50,-,-,4.64,-,-,-,8.62%,10.39%,-2.37%,65.93,-,-,-,-,-,-,193.38M,168.46M,16.91%,10.04,9.54,-26.06%,27.18%,6.30,-0.61,32.60%,-,-,-,-,-,-,-,4154,2.30
2018-10-17,19:45:08 ,6.24,-0.48%,"1,924,204",2.85M,1.21B,-,261.35M,1.61,-,104.00,-,-,4.62,-,-,-,7.58%,9.98%,-2.80%,64.05,-,-,-,-,-,-,193.38M,168.46M,16.91%,10.00,9.54,-26.42%,26.57%,6.27,-0.61,32.60%,-,-,-,-,-,-,-,4154,2.30
2018-10-18,20:23:38 ,6.27,0.48%,"2,451,253",2.76M,1.21B,-,261.35M,1.62,-,104.50,-,-,4.64,-,-,-,7.76%,10.57%,-2.26%,64.27,-,-,-,-,-,-,193.38M,168.46M,16.91%,10.33,9.54,-26.06%,27.18%,6.24,-0.61,32.60%,-,-,-,-,-,-,-,4154,2.30
2018-10-19,20:31:57 ,6.25,-0.32%,"2,160,031",2.73M,1.21B,-,261.35M,1.62,-,104.17,-,-,4.62,-,-,-,6.92%,10.25%,-2.52%,63.03,-,-,-,-,-,-,193.38M,168.46M,16.91%,10.44,9.54,-26.30%,26.77%,6.27,-0.61,32.60%,-,-,-,-,-,-,-,4154,2.30
2018-10-22,17:44:44 ,6.22,-0.48%,"1,772,191",2.71M,1.20B,-,261.35M,1.61,-,103.67,-,-,4.61,-,-,-,5.91%,9.81%,-2.92%,63.37,-,-,-,-,-,-,193.57M,168.56M,16.34%,10.15,9.54,-26.65%,26.17%,6.25,-0.61,32.60%,-,-,-,-,-,-,-,4154,2.30
2018-10-23,17:45:22 ,6.20,-0.32%,"2,411,982",2.69M,1.20B,-,261.35M,1.60,-,103.33,-,-,4.59,-,-,-,5.01%,9.56%,-3.18%,61.20,-,-,-,-,-,-,193.57M,168.56M,16.34%,10.24,9.54,-26.89%,25.76%,6.22,-0.61,32.60%,-,-,-,-,-,-,-,4154,2.30
2018-10-24,17:44:32 ,6.07,-2.10%,"2,085,985",2.67M,1.17B,-,261.35M,1.57,-,101.17,-,-,4.50,-,-,-,2.36%,6.99%,-5.16%,53.50,-,-,-,-,-,-,193.57M,168.56M,16.34%,10.33,9.54,-28.42%,23.12%,6.20,-0.61,32.60%,-,-,-,-,-,-,-,4154,2.30
2018-10-25,17:44:50 ,5.70,-6.10%,"4,117,591",2.66M,1.10B,-,261.35M,1.47,-,95.00,-,-,4.22,-,-,-,-4.29%,0.31%,-10.89%,41.72,-,-,-,-,-,-,193.57M,168.56M,16.34%,10.36,9.54,-32.78%,15.62%,6.07,-0.61,32.60%,-,-,-,-,-,-,-,4154,2.30
2018-10-26,17:43:40 ,5.71,0.18%,"2,866,558",2.69M,1.11B,-,261.35M,1.48,-,95.17,-,-,4.23,-,-,-,-4.27%,0.29%,-10.65%,42.02,-,-,-,-,-,-,193.57M,168.56M,16.34%,10.24,9.54,-32.67%,15.82%,5.70,-0.61,32.60%,-,-,-,-,-,-,-,4154,2.30
2018-10-29,17:43:46 ,5.59,-2.10%,"2,031,104",2.70M,1.08B,-,261.35M,1.45,-,93.17,-,-,4.14,-,-,-,-6.31%,-2.04%,-12.44%,39.57,-,-,-,-,-,-,193.57M,168.56M,16.34%,10.19,9.54,-34.08%,13.39%,5.71,-0.61,32.60%,-,-,-,-,-,-,-,4154,2.30
