date,time,price,change,volume,avg_volume,market_cap,income,sales,p_b,p_e,f_p_e,peg,p_c,p_s,quick_ratio,current_ratio,debt_eq,sma20,sma50,sma200,rsi,roa,roe,roi,gross_margin,oper_margin,profit_margin,shs_outstand,shs_float,short_float,short_ratio,target_price,high_y,low_y,prev_close,eps,sales_q_to_q,eps_q_to_q,insider_own,insider_trans,inst_own,inst_trans,dividend,dividend_percent,employees,recom
2018-10-17,00:09:42 ,56.84,2.03%,"400,803",721.13K,4.56B,262.70M,9.06B,1.54,17.38,11.94,0.81,16.25,0.50,0.60,1.40,0.66,-4.60%,-5.34%,-11.37%,39.48,2.70%,7.30%,6.60%,21.50%,5.10%,2.40%,80.20M,65.84M,6.79%,6.20,69.47,-25.16%,4.35%,55.71,3.27,17.20%,-0.20%,1.30%,-0.45%,89.50%,0.01%,0.60,1.06%,20500,2.90
2018-10-17,18:42:56 ,56.41,-0.76%,"352,846",715.90K,4.52B,262.70M,9.06B,1.52,17.25,11.85,0.80,16.12,0.50,0.60,1.40,0.66,-5.14%,-5.88%,-11.95%,37.79,2.70%,7.30%,6.60%,21.50%,5.10%,2.40%,80.20M,65.84M,6.79%,6.24,69.47,-25.73%,3.56%,56.84,3.27,17.20%,-0.20%,1.30%,-0.45%,89.50%,0.01%,0.60,1.06%,20500,2.90
2018-10-18,19:42:16 ,55.00,-2.50%,"528,205",712.21K,4.41B,262.70M,9.06B,1.49,16.82,11.56,0.78,15.72,0.49,0.60,1.40,0.66,-7.23%,-8.00%,-14.04%,32.24,2.70%,7.30%,6.60%,21.50%,5.10%,2.40%,80.20M,65.84M,6.79%,6.27,69.47,-27.58%,0.97%,56.41,3.27,17.20%,-0.20%,1.30%,-0.45%,89.50%,0.01%,0.60,1.09%,20500,2.90
2018-10-19,19:51:20 ,54.39,-1.11%,"576,161",706.51K,4.36B,262.70M,9.06B,1.47,16.63,11.43,0.77,15.55,0.48,0.60,1.40,0.66,-7.79%,-8.76%,-14.88%,30.79,2.70%,7.30%,6.60%,21.50%,5.10%,2.40%,80.20M,65.84M,6.79%,6.32,69.47,-28.39%,-0.15%,55.00,3.27,17.20%,-0.20%,1.30%,-0.45%,89.50%,0.01%,0.60,1.10%,20500,2.90
2018-10-22,17:02:54 ,54.06,-0.61%,"638,162",709.52K,4.33B,262.70M,9.06B,1.46,16.53,11.37,0.78,15.41,0.48,0.60,1.40,0.66,-7.89%,-9.11%,-15.28%,30.23,2.70%,7.30%,6.60%,21.50%,5.10%,2.40%,80.01M,65.84M,6.79%,6.30,69.47,-28.82%,0.61%,54.39,3.27,17.20%,-0.20%,1.30%,-0.45%,89.60%,0.11%,0.60,1.11%,20500,2.90
2018-10-23,17:03:02 ,52.58,-2.74%,"722,551",710.74K,4.21B,262.70M,9.06B,1.42,16.08,11.06,0.76,14.99,0.46,0.60,1.40,0.66,-9.92%,-11.44%,-17.48%,25.50,2.70%,7.30%,6.60%,21.50%,5.10%,2.40%,80.01M,65.84M,6.79%,6.29,69.47,-30.77%,-2.03%,54.06,3.27,17.20%,-0.20%,1.30%,-0.45%,89.60%,0.11%,0.60,1.14%,20500,2.90
2018-10-24,17:02:58 ,50.07,-4.77%,"602,302",712.38K,4.01B,262.70M,9.06B,1.35,15.31,10.53,0.73,14.28,0.44,0.60,1.40,0.66,-13.64%,-15.50%,-21.30%,20.11,2.70%,7.30%,6.60%,21.50%,5.10%,2.40%,80.01M,65.84M,6.79%,6.27,69.47,-34.08%,-2.23%,52.58,3.27,17.20%,-0.20%,1.30%,-0.45%,89.60%,0.11%,0.60,1.20%,20500,2.90
2018-10-25,17:03:02 ,50.60,1.06%,"636,125",702.96K,4.05B,262.70M,9.06B,1.37,15.47,10.65,0.73,14.43,0.45,0.60,1.40,0.66,-11.88%,-14.36%,-20.31%,23.56,2.70%,7.30%,6.60%,21.50%,5.10%,2.40%,80.01M,65.84M,6.79%,6.36,69.47,-33.38%,1.18%,50.07,3.27,17.20%,-0.20%,1.30%,-0.45%,89.60%,0.11%,0.60,1.19%,20500,2.90
2018-10-26,17:02:04 ,51.21,1.21%,"1,168,779",693.21K,4.10B,262.70M,9.06B,1.38,15.66,10.77,0.74,14.60,0.45,0.60,1.40,0.66,-10.02%,-13.13%,-19.22%,27.39,2.70%,7.30%,6.60%,21.50%,5.10%,2.40%,80.01M,65.84M,6.79%,6.45,69.47,-32.57%,2.40%,50.60,3.27,17.20%,-0.20%,1.30%,-0.45%,89.60%,0.11%,0.60,1.17%,20500,2.90
2018-10-29,17:02:23 ,51.84,1.23%,"1,330,194",694.88K,4.05B,262.70M,9.06B,1.40,15.85,10.91,0.75,14.44,0.45,0.60,1.40,0.66,-8.14%,-11.85%,-18.08%,31.85,2.70%,7.30%,6.60%,21.50%,5.10%,2.40%,78.18M,65.84M,7.62%,7.22,69.47,-31.74%,4.73%,51.21,3.27,17.20%,-0.20%,1.30%,-0.46%,89.70%,0.24%,0.60,1.16%,20500,2.90
2018-10-30,17:02:28 ,54.14,4.44%,"1,842,501",707.72K,4.23B,262.70M,9.06B,1.46,16.56,11.39,0.78,15.08,0.47,0.60,1.40,0.66,-3.39%,-7.68%,-14.29%,43.68,2.70%,7.30%,6.60%,21.50%,5.10%,2.40%,78.18M,65.84M,7.62%,7.09,69.47,-28.72%,9.37%,51.84,3.27,17.20%,-0.20%,1.30%,-0.46%,89.70%,0.24%,0.60,1.11%,20500,2.90
2018-10-31,17:02:30 ,56.04,3.51%,"1,366,218",721.43K,4.38B,262.70M,9.06B,1.51,17.14,11.79,0.81,15.61,0.48,0.60,1.40,0.66,0.54%,-4.24%,-11.16%,51.35,2.70%,7.30%,6.60%,21.50%,5.10%,2.40%,78.18M,65.84M,7.62%,6.95,69.47,-26.21%,13.21%,54.14,3.27,17.20%,-0.20%,1.30%,-0.46%,89.70%,0.24%,0.60,1.07%,20500,2.90
2018-11-01,17:02:33 ,57.39,2.41%,"1,047,762",725.05K,4.49B,262.70M,9.06B,1.55,17.55,12.07,0.83,15.99,0.50,0.60,1.40,0.66,3.50%,-1.74%,-8.89%,54.93,2.70%,7.30%,6.60%,21.50%,5.10%,2.40%,78.18M,65.84M,7.62%,6.92,69.47,-24.44%,15.94%,56.04,3.27,17.20%,-0.20%,1.30%,-0.46%,89.70%,0.24%,0.60,1.05%,20500,2.90
2018-11-02,22:27:52 ,57.14,-0.44%,"710,147",727.35K,4.47B,262.70M,9.06B,1.54,17.47,12.02,0.83,15.92,0.49,0.60,1.40,0.66,3.48%,-2.05%,-9.17%,54.24,2.70%,7.30%,6.60%,21.50%,5.10%,2.40%,78.18M,65.84M,7.62%,6.90,69.47,-24.77%,15.43%,57.39,3.27,17.20%,-0.20%,1.30%,-0.46%,89.70%,0.24%,0.60,1.05%,20500,2.90
