date,time,price,change,volume,avg_volume,market_cap,income,sales,p_b,p_e,f_p_e,peg,p_c,p_s,quick_ratio,current_ratio,debt_eq,sma20,sma50,sma200,rsi,roa,roe,roi,gross_margin,oper_margin,profit_margin,shs_outstand,shs_float,short_float,short_ratio,target_price,high_y,low_y,prev_close,eps,sales_q_to_q,eps_q_to_q,insider_own,insider_trans,inst_own,inst_trans,dividend,dividend_percent,employees,recom
2018-10-17,04:10:32 ,44.23,0.17%,"3,522",9.18K,-,-,-,-,-,-,-,-,-,-,-,-,0.38%,1.04%,0.98%,58.77,-,-,-,-,-,-,-,-,-,0.08,-,-1.97%,2.62%,44.15,-,-,-,-,-,-,-,1.07,2.42%,-,-
2018-10-17,23:07:13 ,44.00,-0.52%,1,9.18K,-,-,-,-,-,-,-,-,-,-,-,-,-0.21%,0.49%,0.45%,49.17,-,-,-,-,-,-,-,-,-,0.08,-,-2.48%,2.09%,44.23,-,-,-,-,-,-,-,1.07,2.43%,-,-
2018-10-18,23:41:19 ,44.25,0.57%,"4,022",9.02K,-,-,-,-,-,-,-,-,-,-,-,-,0.34%,1.05%,1.01%,56.85,-,-,-,-,-,-,-,-,-,0.08,-,-1.93%,2.67%,44.00,-,-,-,-,-,-,-,1.07,2.42%,-,-
2018-10-19,23:48:18 ,44.22,-0.08%,"6,216",9.05K,-,-,-,-,-,-,-,-,-,-,-,-,0.23%,0.96%,0.93%,56.99,-,-,-,-,-,-,-,-,-,0.08,-,-2.01%,2.59%,44.25,-,-,-,-,-,-,-,1.07,2.42%,-,-
2018-10-22,21:14:06 ,44.18,-0.08%,"3,027",9.01K,-,-,-,-,-,-,-,-,-,-,-,-,0.12%,0.85%,0.83%,55.51,-,-,-,-,-,-,-,-,-,0.08,-,-2.09%,2.50%,44.22,-,-,-,-,-,-,-,1.07,2.42%,-,-
2018-10-23,21:15:09 ,44.12,-0.13%,"1,418",9.03K,-,-,-,-,-,-,-,-,-,-,-,-,-0.03%,0.69%,0.69%,52.41,-,-,-,-,-,-,-,-,-,0.08,-,-2.22%,2.37%,44.18,-,-,-,-,-,-,-,1.07,2.43%,-,-
2018-10-24,21:13:13 ,43.95,-0.39%,"6,164",8.86K,-,-,-,-,-,-,-,-,-,-,-,-,-0.44%,0.28%,0.29%,46.12,-,-,-,-,-,-,-,-,-,0.08,-,-2.59%,1.97%,44.12,-,-,-,-,-,-,-,1.07,2.43%,-,-
2018-10-25,21:14:36 ,43.95,0.01%,"14,808",8.94K,-,-,-,-,-,-,-,-,-,-,-,-,-0.42%,0.27%,0.30%,46.91,-,-,-,-,-,-,-,-,-,0.08,-,-2.59%,1.98%,43.95,-,-,-,-,-,-,-,1.07,2.43%,-,-
2018-10-26,21:14:26 ,43.94,-0.03%,"5,186",9.19K,-,-,-,-,-,-,-,-,-,-,-,-,-0.45%,0.24%,0.26%,46.38,-,-,-,-,-,-,-,-,-,0.08,-,-2.62%,1.95%,43.95,-,-,-,-,-,-,-,1.07,2.44%,-,-
2018-10-29,21:02:08 ,43.96,0.04%,"6,478",9.12K,-,-,-,-,-,-,-,-,-,-,-,-,-0.39%,0.27%,0.30%,48.06,-,-,-,-,-,-,-,-,-,0.16,-,-2.58%,1.99%,43.94,-,-,-,-,-,-,-,1.06,2.41%,-,-
2018-10-30,21:04:34 ,44.00,0.10%,"5,588",9.21K,-,-,-,-,-,-,-,-,-,-,-,-,-0.29%,0.36%,0.39%,49.65,-,-,-,-,-,-,-,-,-,0.16,-,-2.48%,2.09%,43.96,-,-,-,-,-,-,-,1.06,2.41%,-,-
2018-10-31,21:02:57 ,43.93,-0.16%,"11,577",9.29K,-,-,-,-,-,-,-,-,-,-,-,-,-0.45%,0.17%,0.23%,46.26,-,-,-,-,-,-,-,-,-,0.16,-,-2.64%,1.93%,44.00,-,-,-,-,-,-,-,1.06,2.41%,-,-
2018-11-01,21:04:37 ,43.95,0.05%,"44,526",9.47K,-,-,-,-,-,-,-,-,-,-,-,-,-0.42%,0.20%,0.27%,46.92,-,-,-,-,-,-,-,-,-,0.15,-,-2.59%,1.97%,43.93,-,-,-,-,-,-,-,1.06,2.41%,-,-
2018-11-03,02:33:31 ,44.07,0.27%,"1,264",9.82K,-,-,-,-,-,-,-,-,-,-,-,-,-0.16%,0.46%,0.53%,53.97,-,-,-,-,-,-,-,-,-,0.15,-,-2.33%,2.25%,43.95,-,-,-,-,-,-,-,1.06,2.41%,-,-
2018-11-05,20:06:50 ,44.05,-0.03%,"29,526",9.81K,-,-,-,-,-,-,-,-,-,-,-,-,-0.18%,0.40%,0.49%,53.38,-,-,-,-,-,-,-,-,-,0.15,-,-2.36%,2.21%,44.07,-,-,-,-,-,-,-,1.07,2.43%,-,-
2018-11-06,20:04:27 ,44.13,0.16%,"1,493",10.26K,-,-,-,-,-,-,-,-,-,-,-,-,0.01%,0.54%,0.64%,57.32,-,-,-,-,-,-,-,-,-,0.14,-,-2.21%,2.38%,44.05,-,-,-,-,-,-,-,1.07,2.42%,-,-
2018-11-07,20:13:40 ,44.17,0.10%,"10,292",10.20K,-,-,-,-,-,-,-,-,-,-,-,-,0.14%,0.62%,0.74%,58.07,-,-,-,-,-,-,-,-,-,0.14,-,-2.11%,2.48%,44.13,-,-,-,-,-,-,-,1.07,2.42%,-,-
2018-11-08,20:24:23 ,44.24,0.16%,"16,271",10.35K,-,-,-,-,-,-,-,-,-,-,-,-,0.32%,0.74%,0.89%,63.22,-,-,-,-,-,-,-,-,-,0.14,-,-1.95%,2.65%,44.17,-,-,-,-,-,-,-,1.07,2.42%,-,-
2018-11-09,20:39:21 ,44.23,-0.02%,"22,916",10.48K,-,-,-,-,-,-,-,-,-,-,-,-,0.32%,0.68%,0.86%,61.17,-,-,-,-,-,-,-,-,-,0.14,-,-1.97%,2.62%,44.24,-,-,-,-,-,-,-,1.07,2.42%,-,-
2018-11-12,22:44:33 ,44.14,-0.20%,"6,388",10.85K,-,-,-,-,-,-,-,-,-,-,-,-,0.11%,0.43%,0.64%,54.59,-,-,-,-,-,-,-,-,-,0.56,-,-2.17%,2.41%,44.23,-,-,-,-,-,-,-,1.09,2.47%,-,-
2018-11-13,20:16:42 ,44.25,0.25%,"78,047",10.88K,-,-,-,-,-,-,-,-,-,-,-,-,0.36%,0.65%,0.89%,60.20,-,-,-,-,-,-,-,-,-,0.56,-,-1.93%,2.67%,44.14,-,-,-,-,-,-,-,1.09,2.46%,-,-
2018-11-14,20:04:35 ,44.19,-0.13%,"4,720",12.16K,-,-,-,-,-,-,-,-,-,-,-,-,0.22%,0.49%,0.75%,56.36,-,-,-,-,-,-,-,-,-,0.50,-,-2.05%,2.54%,44.25,-,-,-,-,-,-,-,1.09,2.47%,-,-
2018-11-15,20:01:28 ,44.32,0.28%,"6,046",12.22K,-,-,-,-,-,-,-,-,-,-,-,-,0.51%,0.75%,1.03%,63.03,-,-,-,-,-,-,-,-,-,0.50,-,-1.77%,2.83%,44.19,-,-,-,-,-,-,-,1.09,2.46%,-,-
2018-11-16,20:02:02 ,43.97,-0.80%,"3,413",12.28K,-,-,-,-,-,-,-,-,-,-,-,-,-0.30%,-0.10%,0.22%,44.54,-,-,-,-,-,-,-,-,-,0.49,-,-2.56%,2.01%,44.32,-,-,-,-,-,-,-,1.09,2.48%,-,-
2018-11-19,20:01:02 ,43.79,-0.39%,"13,923",12.21K,-,-,-,-,-,-,-,-,-,-,-,-,-0.66%,-0.51%,-0.17%,38.12,-,-,-,-,-,-,-,-,-,0.50,-,-2.94%,1.61%,43.97,-,-,-,-,-,-,-,1.09,2.49%,-,-
2018-11-20,20:02:55 ,43.67,-0.29%,"6,795",12.24K,-,-,-,-,-,-,-,-,-,-,-,-,-0.90%,-0.81%,-0.46%,35.03,-,-,-,-,-,-,-,-,-,0.50,-,-3.21%,1.32%,43.79,-,-,-,-,-,-,-,1.09,2.50%,-,-
2018-11-21,20:01:59 ,43.65,-0.05%,"3,518",12.35K,-,-,-,-,-,-,-,-,-,-,-,-,-0.90%,-0.86%,-0.50%,34.94,-,-,-,-,-,-,-,-,-,0.49,-,-3.26%,1.28%,43.67,-,-,-,-,-,-,-,1.09,2.50%,-,-
2018-11-23,20:00:48 ,43.74,0.21%,"1,305",12.30K,-,-,-,-,-,-,-,-,-,-,-,-,-0.66%,-0.67%,-0.30%,39.01,-,-,-,-,-,-,-,-,-,0.49,-,-3.06%,1.48%,43.65,-,-,-,-,-,-,-,1.09,2.49%,-,-
2018-11-26,20:13:57 ,43.63,-0.26%,"4,762",12.20K,-,-,-,-,-,-,-,-,-,-,-,-,-0.90%,-0.93%,-0.56%,35.80,-,-,-,-,-,-,-,-,-,0.50,-,-3.31%,1.22%,43.74,-,-,-,-,-,-,-,1.08,2.48%,-,-
2018-11-27,20:00:49 ,43.54,-0.19%,640,12.27K,-,-,-,-,-,-,-,-,-,-,-,-,-1.05%,-1.12%,-0.75%,33.44,-,-,-,-,-,-,-,-,-,0.49,-,-3.50%,1.02%,43.63,-,-,-,-,-,-,-,1.08,2.48%,-,-
2018-11-28,19:59:03 ,43.62,0.18%,"15,595",12.04K,-,-,-,-,-,-,-,-,-,-,-,-,-0.83%,-0.93%,-0.56%,37.94,-,-,-,-,-,-,-,-,-,0.50,-,-3.32%,1.21%,43.54,-,-,-,-,-,-,-,1.08,2.48%,-,-
2018-11-29,20:01:11 ,43.59,-0.07%,"21,781",12.28K,-,-,-,-,-,-,-,-,-,-,-,-,-0.85%,-0.99%,-0.63%,37.33,-,-,-,-,-,-,-,-,-,0.49,-,-3.39%,1.14%,43.62,-,-,-,-,-,-,-,1.08,2.48%,-,-
2018-11-30,20:01:10 ,43.64,0.11%,"12,983",12.58K,-,-,-,-,-,-,-,-,-,-,-,-,-0.70%,-0.88%,-0.51%,40.66,-,-,-,-,-,-,-,-,-,0.48,-,-3.28%,1.25%,43.59,-,-,-,-,-,-,-,1.08,2.47%,-,-
2018-12-03,20:16:23 ,43.56,-0.19%,"237,875",12.37K,-,-,-,-,-,-,-,-,-,-,-,-,-0.85%,-1.06%,-0.70%,38.26,-,-,-,-,-,-,-,-,-,5.33,-,-3.47%,1.06%,43.64,-,-,-,-,-,-,-,1.08,2.48%,-,-
2018-12-04,20:02:47 ,43.10,-1.05%,"4,068",16.24K,-,-,-,-,-,-,-,-,-,-,-,-,-1.84%,-2.07%,-1.74%,25.14,-,-,-,-,-,-,-,-,-,4.06,-,-4.48%,0.00%,43.56,-,-,-,-,-,-,-,1.08,2.51%,-,-
2018-12-06,20:01:24 ,42.94,-0.37%,"12,626",15.99K,-,-,-,-,-,-,-,-,-,-,-,-,-2.10%,-2.40%,-2.09%,21.82,-,-,-,-,-,-,-,-,-,4.12,-,-4.83%,-0.34%,43.10,-,-,-,-,-,-,-,1.08,2.52%,-,-
