date,time,price,change,volume,avg_volume,market_cap,income,sales,p_b,p_e,f_p_e,peg,p_c,p_s,quick_ratio,current_ratio,debt_eq,sma20,sma50,sma200,rsi,roa,roe,roi,gross_margin,oper_margin,profit_margin,shs_outstand,shs_float,short_float,short_ratio,target_price,high_y,low_y,prev_close,eps,sales_q_to_q,eps_q_to_q,insider_own,insider_trans,inst_own,inst_trans,dividend,dividend_percent,employees,recom
2018-10-17,02:09:31 ,6.71,7.19%,"3,016,123",2.94M,860.83M,-211.70M,763.50M,1.16,-,14.34,-,-,1.13,2.90,3.90,1.13,-27.38%,-50.42%,-64.40%,25.57,-9.70%,-22.70%,-0.60%,45.10%,-29.30%,-24.20%,128.29M,92.96M,8.48%,2.68,8.00,-80.05%,27.81%,6.26,-1.69,-4.10%,-,1.60%,0.00%,78.60%,-0.12%,-,-,2284,2.90
2018-10-18,21:40:24 ,7.00,-1.82%,"3,695,182",2.98M,898.03M,-211.70M,763.50M,1.22,-,14.96,-,-,1.18,2.90,3.90,1.13,-18.54%,-46.32%,-62.36%,29.75,-9.70%,-22.70%,-0.60%,45.10%,-29.30%,-24.20%,128.29M,92.96M,8.48%,2.65,8.00,-79.19%,33.33%,7.13,-1.69,-4.10%,-,1.60%,0.00%,78.60%,-0.12%,-,-,2284,2.90
2018-10-19,21:48:18 ,7.03,0.43%,"3,704,191",3.00M,901.88M,-211.70M,763.50M,1.22,-,15.02,-,-,1.18,2.90,3.90,1.13,-15.12%,-45.08%,-61.93%,29.75,-9.70%,-22.70%,-0.60%,45.10%,-29.30%,-24.20%,128.29M,92.96M,8.48%,2.62,8.00,-79.10%,33.90%,7.00,-1.69,-4.10%,-,1.60%,0.00%,78.60%,-0.12%,-,-,2284,2.90
2018-10-22,19:02:42 ,6.60,-6.12%,"2,496,093",3.03M,824.47M,-211.70M,763.50M,1.15,-,12.99,-,-,1.08,2.90,3.90,1.13,-17.22%,-47.48%,-64.01%,29.74,-9.70%,-22.70%,-0.60%,45.10%,-29.30%,-24.20%,124.92M,92.96M,8.48%,2.60,9.00,-80.37%,25.71%,7.03,-1.69,-4.10%,-,1.60%,0.00%,78.60%,-0.12%,-,-,2284,2.70
2018-10-23,19:03:48 ,6.47,-1.97%,"2,963,550",3.06M,808.23M,-211.70M,763.50M,1.12,-,12.74,-,-,1.06,2.90,3.90,1.13,-15.45%,-47.51%,-64.47%,29.45,-9.70%,-22.70%,-0.60%,45.10%,-29.30%,-24.20%,124.92M,92.96M,8.48%,2.58,9.00,-80.76%,23.24%,6.60,-1.69,-4.10%,-,1.60%,0.00%,78.60%,-0.12%,-,-,2284,2.70
2018-10-24,19:03:21 ,6.42,-0.77%,"3,802,727",3.08M,801.99M,-211.70M,763.50M,1.11,-,12.64,-,-,1.05,2.90,3.90,1.13,-12.46%,-46.86%,-64.49%,29.91,-9.70%,-22.70%,-0.60%,45.10%,-29.30%,-24.20%,124.92M,92.96M,8.48%,2.56,9.00,-80.91%,22.28%,6.47,-1.69,-4.10%,-,1.60%,0.00%,78.60%,-0.12%,-,-,2284,2.70
2018-10-25,19:03:27 ,6.58,2.49%,"3,703,036",3.12M,821.97M,-211.70M,763.50M,1.14,-,12.95,-,-,1.08,2.90,3.90,1.13,-6.03%,-44.38%,-63.33%,31.57,-9.70%,-22.70%,-0.60%,45.10%,-29.30%,-24.20%,124.92M,92.96M,8.48%,2.53,9.00,-80.43%,25.33%,6.42,-1.69,-4.10%,-,1.60%,0.00%,78.60%,-0.12%,-,-,2284,2.70
2018-10-26,19:01:47 ,6.32,-3.95%,"2,718,907",3.14M,789.49M,-211.70M,763.50M,1.10,-,12.44,-,-,1.03,2.90,3.90,1.13,-5.34%,-45.40%,-64.51%,29.18,-9.70%,-22.70%,-0.60%,45.10%,-29.30%,-24.20%,124.92M,92.96M,8.48%,2.51,9.00,-81.21%,20.38%,6.58,-1.69,-4.10%,-,1.60%,0.00%,78.60%,-0.12%,-,-,2284,2.70
2018-10-29,19:01:31 ,6.63,4.91%,"21,710,518",3.16M,866.01M,-211.70M,763.50M,1.15,-,13.05,-,-,1.13,2.90,3.90,1.13,4.52%,-41.42%,-62.49%,33.06,-9.70%,-22.70%,-0.60%,45.10%,-29.30%,-24.20%,130.62M,92.96M,8.76%,2.58,9.00,-80.29%,26.28%,6.32,-1.69,-4.10%,-,0.80%,0.00%,78.60%,-0.09%,-,-,2284,2.70
2018-10-30,19:02:22 ,6.66,0.45%,"3,798,210",3.47M,869.93M,-211.70M,763.50M,1.16,-,13.11,-,-,1.14,2.90,3.90,1.13,3.95%,-39.84%,-62.03%,32.27,-9.70%,-22.70%,-0.60%,45.10%,-29.30%,-24.20%,130.62M,92.96M,8.76%,2.34,9.00,-80.20%,26.85%,6.63,-1.69,-4.10%,-,0.80%,0.00%,78.60%,-0.09%,-,-,2284,2.70
