date,time,price,change,volume,avg_volume,market_cap,income,sales,p_b,p_e,f_p_e,peg,p_c,p_s,quick_ratio,current_ratio,debt_eq,sma20,sma50,sma200,rsi,roa,roe,roi,gross_margin,oper_margin,profit_margin,shs_outstand,shs_float,short_float,short_ratio,target_price,high_y,low_y,prev_close,eps,sales_q_to_q,eps_q_to_q,insider_own,insider_trans,inst_own,inst_trans,dividend,dividend_percent,employees,recom
2018-10-17,02:09:54 ,334.94,5.52%,"1,123,688",790.16K,25.70B,339.20M,1.73B,22.04,80.73,53.61,3.10,36.07,14.82,2.10,2.20,0.00,-8.12%,-9.09%,7.99%,40.39,16.40%,25.20%,26.70%,75.20%,24.80%,17.00%,76.73M,72.81M,2.30%,2.12,411.47,-16.03%,74.63%,317.43,4.15,37.50%,29.60%,0.70%,-31.64%,81.50%,0.26%,-,-,8715,1.80
2018-10-17,21:02:05 ,332.83,-0.63%,"706,859",790.16K,25.54B,339.20M,1.73B,21.90,80.22,53.27,3.08,35.84,14.73,2.10,2.20,0.00,-8.05%,-9.50%,7.11%,39.95,16.40%,25.20%,26.70%,75.20%,24.80%,17.00%,76.73M,72.81M,2.30%,2.12,411.47,-16.56%,73.53%,334.94,4.15,37.50%,29.60%,0.70%,-31.64%,81.50%,0.26%,-,-,8715,1.80
2018-10-18,21:40:46 ,323.06,-2.94%,"834,418",792.44K,24.79B,339.20M,1.73B,21.25,77.86,51.71,2.99,34.79,14.30,2.10,2.20,0.00,-10.17%,-12.00%,3.79%,36.27,16.40%,25.20%,26.70%,75.20%,24.80%,17.00%,76.73M,72.81M,2.30%,2.11,411.47,-19.01%,68.44%,332.83,4.15,37.50%,29.60%,0.70%,-31.64%,81.50%,0.26%,-,-,8715,1.80
2018-10-19,21:48:40 ,312.79,-3.18%,"1,334,953",798.33K,24.00B,339.20M,1.73B,20.58,75.39,50.06,2.89,33.68,13.84,2.10,2.20,0.00,-12.33%,-14.59%,0.34%,32.71,16.40%,25.20%,26.70%,75.20%,24.80%,17.00%,76.73M,72.81M,2.30%,2.09,411.47,-21.58%,63.08%,323.06,4.15,37.50%,29.60%,0.70%,-31.64%,81.50%,0.26%,-,-,8715,1.80
2018-10-22,19:03:07 ,314.22,0.46%,"1,272,372",810.25K,26.07B,339.20M,1.73B,20.67,75.73,50.19,2.78,36.58,15.04,2.10,2.20,0.00,-11.08%,-13.95%,0.67%,33.61,16.40%,25.20%,26.70%,75.20%,24.80%,17.00%,82.96M,72.81M,2.30%,2.06,410.13,-21.22%,59.77%,312.79,4.15,37.50%,29.60%,0.70%,-29.98%,81.50%,0.21%,-,-,8715,1.80
2018-10-23,19:04:13 ,311.69,-0.81%,"1,259,420",818.20K,25.86B,339.20M,1.73B,20.51,75.12,49.78,2.76,36.29,14.91,2.10,2.20,0.00,-10.85%,-14.41%,-0.26%,32.58,16.40%,25.20%,26.70%,75.20%,24.80%,17.00%,82.96M,72.81M,2.30%,2.04,410.13,-21.86%,57.07%,314.22,4.15,37.50%,29.60%,0.70%,-29.98%,81.50%,0.21%,-,-,8715,1.80
2018-10-24,19:03:48 ,290.83,-6.69%,"1,833,576",826.52K,24.13B,339.20M,1.73B,19.13,70.10,46.45,2.58,33.86,13.92,2.10,2.20,0.00,-15.84%,-19.91%,-7.03%,25.60,16.40%,25.20%,26.70%,75.20%,24.80%,17.00%,82.96M,72.81M,2.30%,2.02,410.13,-27.09%,46.56%,311.69,4.15,37.50%,29.60%,0.70%,-29.98%,81.50%,0.21%,-,-,8715,1.80
2018-10-25,19:03:52 ,232.07,-20.20%,"8,510,922",844.25K,19.25B,339.20M,1.73B,15.27,55.93,37.07,2.06,27.02,11.10,2.10,2.20,0.00,-31.88%,-35.82%,-25.86%,16.50,16.40%,25.20%,26.70%,75.20%,24.80%,17.00%,82.96M,72.81M,2.30%,1.98,410.13,-41.82%,16.35%,290.83,4.15,37.50%,29.60%,0.70%,-29.98%,81.50%,0.21%,-,-,8715,1.80
2018-10-26,19:02:13 ,230.13,-0.84%,"4,628,481",960.32K,19.09B,339.20M,1.73B,15.14,55.47,36.76,2.04,26.79,11.01,2.10,2.20,0.00,-30.84%,-35.93%,-26.46%,16.22,16.40%,25.20%,26.70%,75.20%,24.80%,17.00%,82.96M,72.81M,2.30%,1.74,410.13,-42.31%,15.38%,232.07,4.15,37.50%,29.60%,0.70%,-29.98%,81.50%,0.21%,-,-,8715,1.80
2018-10-30,19:02:44 ,223.01,2.33%,"1,849,045",1.03M,18.06B,357.50M,1.85B,14.67,50.92,37.59,2.01,25.35,9.74,2.10,2.20,0.00,-29.43%,-37.00%,-28.66%,17.97,14.40%,22.00%,26.70%,74.60%,21.00%,13.90%,81.00M,72.81M,2.02%,1.43,320.14,-44.09%,9.79%,217.94,4.38,37.50%,29.60%,0.70%,-30.48%,81.50%,0.17%,-,-,8715,1.70
