date,title,source
Oct-17-18,Alkermes Highlights Ongoing Commitment to Research and Innovation in Depression and Schizophrenia at 2018 Psych Congress,PR Newswire
Oct-18-18,EBS or ALKS: Which Is the Better Value Stock Right Now?,Zacks
Oct-19-18,Alkermes Boasts Strong Portfolio and Impressive Pipeline,Zacks
Oct-22-18,Alkermes Q3 Earnings Preview,Benzinga
Oct-22-18,"BIIB, ALKS Q3 Earnings Due on Oct 23: What's in Store?",Zacks
Oct-23-18,Edited Transcript of ALKS earnings conference call or presentation 23-Oct-18 12:30pm GMT,Thomson Reuters StreetEvents
Oct-23-18,Alkermes PLC (ALKS) Q3 2018 Earnings Conference Call Transcript,Motley Fool
Oct-23-18,"Alkermes (ALKS) Exceeds Q3 Earnings Estimates, Raises Outlook",Zacks
Oct-23-18,Alkermes (ALKS) Beats Q3 Earnings and Revenue Estimates,Zacks
Oct-23-18,Alkermes: 3Q Earnings Snapshot,Associated Press
Oct-23-18,Alkermes Plc Reports Third Quarter 2018 Financial Results,PR Newswire
Oct-24-18,Alkermes Makes Financial Progress as Its Pipeline Moves Forward,Motley Fool
Oct-24-18,Today's Research Reports on Trending Tickers: Alkermes and Amarin,ACCESSWIRE
Oct-29-18,FDA set to review new drugs aimed at fighting depression,CNBC Videos
Oct-29-18,Alkermes Announces Publication of Phase 3 Data for ALKS 5461 for Adjunctive Treatment of Major Depressive Disorder in Molecular Psychiatry,PR Newswire
Oct-29-18,"Benzinga's Week Ahead: Can Facebook, Apple Earnings Rescue The Stock Market?",Benzinga
Oct-30-18,Alkermes stock drops 6.5% after FDA briefing documents raise questions about depression drug,MarketWatch
Oct-31-18,"New Research: Key Drivers of Growth for Alkermes plc, PulteGroup, Las Vegas Sands, Barrick Gold, Avangrid, and Fomento Economico Mexicano S.A.B. de C.V  Factors of Influence, Major Initiatives and Sustained Production",GlobeNewswire
Nov-01-18,Alkermes stock falls after FDA committee votes against depression drug,MarketWatch
Nov-01-18,Alkermes' depression treatment fails to get FDA panel backing,Reuters
Nov-01-18,Alkermes Reports on Outcome of FDA Advisory Committee Meeting on ALKS 5461 for the Adjunctive Treatment of Major Depressive Disorder,PR Newswire
Nov-01-18,Alkermes depression drug in peril after FDA advisory vote,American City Business Journals
Nov-01-18,FDA panel votes against Alkermes' depression treatment,Reuters
Nov-01-18,"Alkermes depression drug facing FDA panel, here's what to...",CNBC Videos
Nov-01-18,Alkermes stock halted as FDA committee considers depression drug,MarketWatch
Nov-01-18,Trading in Alkermes Ordinary Shares Halted Today,PR Newswire
Nov-06-18,Alkermes' Corporate Presentation to be Webcast at Upcoming Healthcare Conferences,PR Newswire
Nov-06-18,Alkermes Presents New Data on ALKS 4230 at Society for Immunotherapy of Cancer's (SITC) 33rd Annual Meeting,PR Newswire
Nov-08-18,"Why Alkermes' Depression Drug Stumbled, and How Illumina Plans to Profit From M&A",Motley Fool
Nov-09-18,Alkermes Losses Alert: Bernstein Liebhard LLP Announces First Investigation Of Alkermes plc - ALKS,PR Newswire
Nov-09-18,"The Daily Biotech Pulse: SITC Presentations Pick Up Pace, Sandoz' Voluntary Recall",Benzinga
Nov-12-18,Just How Bad Is Alkermes' Depression Drug Setback?,Motley Fool
Nov-15-18,Alkermes Losses Alert: Bernstein Liebhard LLP Announces First Investigation of Alkermes plc - ALKS,GlobeNewswire
Nov-15-18,EQUITY ALERT: Rosen Law Firm Announces Investigation of Securities Claims Against Alkermes plc  ALKS,Business Wire
Nov-16-18,"INVESTIGATION ALERT REMINDER: The Schall Law Firm Announces it is Investigating Claims Against Alkermes plc and Encourages Investors with Losses in Excess of $100,000 to Contact the Firm",Business Wire
Nov-16-18,"SHAREHOLDER ALERT: Bronstein, Gewirtz & Grossman, LLC Announces Investigation of Alkermes plc, Inc. (ALKS)",ACCESSWIRE
Nov-19-18,"INVESTIGATION ACTION ALERT: The Schall Law Firm Announces it is Investigating Claims Against Alkermes plc and Encourages Investors with Losses in Excess of $100,000 to Contact the Firm",GlobeNewswire
Nov-29-18,Alkermes schizophrenia drug keeps weight gain side effect in check,Reuters
Nov-29-18,"Alkermes touts 'positive' schizophrenia drug data, but investors not impressed",American City Business Journals
Nov-29-18,Alkermes reports positive results in trial of schizophrenia treatment that reduces weight gain,MarketWatch
Nov-29-18,Alkermes schizophrenia treatment meets main goals in late-stage study,Reuters
Nov-29-18,Alkermes Announces Positive Topline Results From ENLIGHTEN-2 Phase 3 Study of ALKS 3831 in Patients With Schizophrenia,PR Newswire
Dec-04-18,"ONGOING INVESTIGATION ALERT: The Schall Law Firm Announces it is Investigating Claims Against Alkermes plc and Encourages Investors with Losses in Excess of $100,000 to Contact the Firm",GlobeNewswire
Dec-10-18,"New Research Coverage Highlights Tractor Supply, Shaw Communications, Alkermes plc, Jacobs Engineering Group, Eastman Chemical, and Varian Medical  Consolidated Revenues, Company Growth, and Expectations for 2018",GlobeNewswire
Dec-10-18,Alkermes- A New Tool in Treating Schizophrenia,MoneyShow
Dec-12-18,"ONGOING INVESTIGATION NOTICE: The Schall Law Firm Announces it is Investigating Claims Against Alkermes plc and Encourages Investors with Losses in Excess of $100,000 to Contact the Firm",GlobeNewswire
Dec-14-18,Need To Know: Alkermes plc (NASDAQ:ALKS) Insiders Have Been Selling Shares,Simply Wall St.
Dec-17-18,Alkermes and Biogen Announce Submission of a New Drug Application to U.S. Food and Drug Administration for Diroximel Fumarate in Multiple Sclerosis,GlobeNewswire
Dec-18-18,"Alkermes, Biogen Submit NDA to FDA for Multiple Sclerosis Drug",Zacks
Dec-19-18,"Alkermes Catches A 'Sell' Downgrade On Depression Therapy, M&A Prospects",Benzinga
Dec-19-18,Do Hedge Funds Love Alkermes Plc (ALKS)?,Insider Monkey
Dec-24-18,"SHAREHOLDER ACTION NOTICE: The Schall Law Firm Announces it is Investigating Claims Against Alkermes plc and Encourages Investors with Losses in Excess of $100,000 to Contact the Firm",ACCESSWIRE
Dec-24-18,ALKS LOSS NOTICE: Rosen Law Firm Announces Investigation of Securities Claims Against Alkermes plc  ALKS,GlobeNewswire
Dec-28-18,Alkermes Class Action Lawsuit: Bernstein Liebhard LLP Announces That A Securities Class Action Lawsuit Has Been Filed Against Alkermes plc - ALKS,PR Newswire
Dec-28-18,SINGLE TICKER NOTICE: Pawar Law Group Announces a Securities Class Action Lawsuit Against Alkermes Public Limited Company - ALKS,ACCESSWIRE
Dec-31-18,"SHAREHOLDER ALERT - Bronstein, Gewirtz & Grossman, LLC Notifies Investors of Class Action Against Alkermes plc, Inc. (ALKS) and Lead Plaintiff Deadline: February 25, 2019",GlobeNewswire
Dec-31-18,4 of the Fastest Growing Biotech Stocks in 2019,Motley Fool
Jan-02-19,Alkermes' Corporate Presentation to be Webcast at the 37th Annual J.P. Morgan Healthcare Conference,PR Newswire
Jan-02-19,"SHAREHOLDER ALERT - Bronstein, Gewirtz & Grossman, LLC Notifies Investors of Class Action Against Alkermes plc, Inc. (ALKS) and Lead Plaintiff Deadline: February 25, 2019",ACCESSWIRE
Jan-03-19,"IMPORTANT INVESTOR ALERT: The Schall Law Firm Announces the Filing of a Class Action Lawsuit Against Alkermes plc and Encourages Investors with Losses in Excess of $100,000 to Contact the Firm",Business Wire
Jan-04-19,Biogen Begins Improved Dosing Regimen on Tysabri in Phase III,Zacks
Jan-04-19,"IMPORTANT INVESTOR REMINDER: The Schall Law Firm Announces the Filing of a Class Action Lawsuit Against Alkermes plc and Encourages Investors with Losses in Excess of $100,000 to Contact the Firm",Business Wire
Jan-04-19,"SHAREHOLDER ALERT: Bronstein, Gewirtz & Grossman, LLC Notifies Investors of Class Action Against Alkermes plc, Inc. (ALKS) and Lead Plaintiff Deadline: February 25, 2019",ACCESSWIRE
Jan-07-19,"Alkermes plc, Inc. INVESTOR ALERT: Wolf Haldenstein Adler Freeman & Herz LLP announces that a securities class action lawsuit has been filed in the United States District Court for the Eastern District of New York against Alkermes plc, Inc.",GlobeNewswire
Jan-07-19,"ALKERMES INVESTOR ALERT: Faruqi & Faruqi, LLP Encourages Investors Who Suffered Losses Exceeding $50,000 Investing In Alkermes plc To Contact The Firm",PR Newswire
Jan-07-19,Tackling the opioid epidemic in America,Fox Business Videos
Jan-08-19,SHAREHOLDER ALERT: Pomerantz Law Firm Investigates Claims On Behalf of Investors of Alkermes plc - ALKS,PR Newswire
Jan-08-19,"INVESTOR ACTION ALERT: The Schall Law Firm Announces the Filing of a Class Action Lawsuit Against Alkermes plc and Encourages Investors with Losses in Excess of $100,000 to Contact the Firm",GlobeNewswire
Jan-08-19,"ALKERMES INVESTOR ALERT: Faruqi & Faruqi, LLP Encourages Investors Who Suffered Losses Exceeding $50,000 Investing in Alkermes plc to Contact the Firm",Business Wire
Jan-08-19,Robbins Arroyo LLP: Alkermes Public Limited Company (ALKS) Misled Shareholders According to a Recently Filed Class Action,Business Wire
Jan-09-19,"FEBRUARY DEADLINE: The Schall Law Firm Announces the Filing of a Class Action Lawsuit Against Alkermes plc and Encourages Investors with Losses in Excess of $100,000 to Contact the Firm",ACCESSWIRE
Jan-09-19,"The Klein Law Firm Reminds Investors of Class Actions on Behalf of Shareholders of WBT, DXC and ALKS",GlobeNewswire
Jan-09-19,"ALKERMES INVESTOR ALERT: Faruqi & Faruqi, LLP Encourages Investors Who Suffered Losses Exceeding $50,000 Investing In Alkermes plc To Contact The Firm",Business Wire
Jan-09-19,"Hagens Berman Notifies Alkermes Public Limited Company (NASDAQ: ALKS) Investors of Securities Fraud Class Action and February 25, 2019 Lead Plaintiff Deadline",GlobeNewswire
Jan-09-19,CBM or ALKS: Which Is the Better Value Stock Right Now?,Zacks
Jan-10-19,"SHAREHOLDER ALERT: Berger Montague Announces Investigation of Alkermes, plc (NASDAQ: ALKS) (CUSIP: G01767105)",PR Newswire
Jan-10-19,"ALKERMES INVESTOR ALERT: Faruqi & Faruqi, LLP Encourages Investors Who Suffered Losses Exceeding $50,000 Investing In Alkermes plc To Contact The Firm",ACCESSWIRE
Jan-10-19,"INVESTOR ACTION NOTICE: The Schall Law Firm Announces the Filing of a Class Action Lawsuit Against Alkermes plc and Encourages Investors with Losses in Excess of $100,000 to Contact the Firm",ACCESSWIRE
Jan-10-19,"CLASS ACTION UPDATE for YRCW and ALKS: Levi & Korsinsky, LLP Reminds Investors of Class Actions on Behalf of Shareholders",GlobeNewswire
Jan-10-19,"SHAREHOLDER ALERT: Bronstein, Gewirtz & Grossman, LLC Reminds Investors of Class Action Against Alkermes plc, Inc. (ALKS) and Lead Plaintiff Deadline: February 25, 2019",ACCESSWIRE
Jan-11-19,SHAREHOLDER ALERT: Pomerantz Law Firm Investigates Claims On Behalf of Investors of Alkermes plc  ALKS,GlobeNewswire
Jan-11-19,"IMPORTANT DEADLINE REMINDER: The Schall Law Firm Announces the Filing of a Class Action Lawsuit Against Alkermes plc and Encourages Investors with Losses in Excess of $100,000 to Contact the Firm",ACCESSWIRE
Jan-11-19,SHAREHOLDER ALERT: YRCW AGN ALKS: The Law Offices of Vincent Wong Reminds Investors of Important Class Action Deadlines,GlobeNewswire
Jan-11-19,"SHAREHOLDER ALERT: Bronstein, Gewirtz & Grossman, LLC Reminds Investors of Class Action Against Alkermes plc, Inc. (ALKS) & Lead Plaintiff Deadline: February 25, 2019",ACCESSWIRE
Jan-11-19,"CLASS ACTION UPDATE for YRCW and ALKS: Levi & Korsinsky, LLP Reminds Investors of Class Actions on Behalf of Shareholders",GlobeNewswire
Jan-14-19,"INVESTOR ACTION ALERT: The Schall Law Firm Announces the Filing of a Class Action Lawsuit Against Alkermes plc and Encourages Investors with Losses in Excess of $100,000 to Contact the Firm",ACCESSWIRE
Jan-14-19,SHAREHOLDER ALERT: DNKEY ATUS DXC ALKS: The Law Offices of Vincent Wong Reminds Investors of Important Class Action Deadlines,GlobeNewswire
Jan-14-19,"LEAD PLAINTIFF DEADLINE ALERT: Faruqi & Faruqi, LLP Encourages Investors Who Suffered Losses Exceeding $100,000 Investing In Alkermes plc To Contact The Firm",GlobeNewswire
Jan-14-19,February 25th Alkermes Shareholder Deadline: Bernstein Liebhard LLP Reminds Investors of the Important Upcoming Deadline in the Shareholder Class Action Lawsuit Against Alkermes plc  ALKS,GlobeNewswire
Jan-14-19,"SHAREHOLDER ALERT: Bronstein, Gewirtz & Grossman, LLC Reminds Investors of Class Action Against Alkermes plc, Inc. (ALKS) and Lead Plaintiff Deadline: February 25, 2019",GlobeNewswire
Jan-15-19,ALKS ALERT: Rosen Law Firm Files First Securities Class Action Lawsuit Against Alkermes Public Limited Company; Reminds Investors with $100K in Losses of Important Deadline  ALKS,GlobeNewswire
Jan-15-19,"CLASS ACTION UPDATE for DXC and ALKS: Levi & Korsinsky, LLP Reminds Investors of Class Actions on Behalf of Shareholders",GlobeNewswire
Jan-16-19,SHAREHOLDER ALERT: Pomerantz Law Firm Investigates Claims On Behalf of Investors of Alkermes plc  ALKS,ACCESSWIRE
