date,time,price,change,volume,avg_volume,market_cap,income,sales,p_b,p_e,f_p_e,peg,p_c,p_s,quick_ratio,current_ratio,debt_eq,sma20,sma50,sma200,rsi,roa,roe,roi,gross_margin,oper_margin,profit_margin,shs_outstand,shs_float,short_float,short_ratio,target_price,high_y,low_y,prev_close,eps,sales_q_to_q,eps_q_to_q,insider_own,insider_trans,inst_own,inst_trans,dividend,dividend_percent,employees,recom
2018-10-17,02:11:37 ,108.73,0.87%,"789,747",383.53K,3.59B,92.20M,1.60B,8.91,40.41,27.93,1.88,138.79,2.25,1.20,1.20,0.31,-8.06%,-8.65%,32.13%,33.53,8.90%,14.40%,8.20%,40.70%,8.30%,4.50%,33.06M,26.77M,7.62%,5.32,124.44,-14.64%,138.44%,107.79,2.69,9.80%,650.80%,1.00%,-10.71%,98.00%,0.24%,-,-,17900,2.10
2018-10-17,21:03:47 ,110.62,1.74%,"423,590",383.53K,3.66B,92.20M,1.60B,9.07,41.11,28.42,1.91,141.20,2.29,1.20,1.20,0.31,-6.01%,-7.05%,33.97%,38.26,8.90%,14.40%,8.20%,40.70%,8.30%,4.50%,33.06M,26.77M,7.62%,5.32,124.44,-13.16%,142.59%,108.73,2.69,9.80%,650.80%,1.00%,-10.71%,98.00%,0.24%,-,-,17900,2.10
2018-10-18,21:42:27 ,112.36,1.57%,"383,822",384.60K,3.71B,92.20M,1.60B,9.21,41.75,28.86,1.94,143.42,2.33,1.20,1.20,0.31,-4.23%,-5.63%,35.61%,42.27,8.90%,14.40%,8.20%,40.70%,8.30%,4.50%,33.06M,26.77M,7.62%,5.30,124.44,-11.79%,146.40%,110.62,2.69,9.80%,650.80%,1.00%,-10.71%,98.00%,0.24%,-,-,17900,2.10
2018-10-19,21:50:21 ,108.23,-3.68%,"332,915",384.79K,3.58B,92.20M,1.60B,8.87,40.22,27.80,1.87,138.15,2.24,1.20,1.20,0.31,-7.47%,-9.13%,30.15%,35.92,8.90%,14.40%,8.20%,40.70%,8.30%,4.50%,33.06M,26.77M,7.62%,5.30,124.44,-15.03%,137.35%,112.36,2.69,9.80%,650.80%,1.00%,-10.71%,98.00%,0.24%,-,-,17900,2.10
2018-10-22,19:04:58 ,108.64,0.38%,"464,599",386.46K,3.59B,92.20M,1.60B,8.90,40.37,27.91,1.87,138.63,2.25,1.20,1.20,0.31,-6.71%,-8.73%,30.21%,36.39,8.90%,14.40%,8.20%,40.70%,8.30%,4.50%,33.05M,26.77M,7.62%,5.28,124.44,-14.71%,138.25%,108.23,2.69,9.80%,650.80%,1.00%,-10.71%,98.10%,0.41%,-,-,17900,2.10
2018-10-23,19:06:07 ,108.91,0.25%,"414,454",389.99K,3.60B,92.20M,1.60B,8.93,40.47,27.98,1.88,138.98,2.26,1.20,1.20,0.31,-5.96%,-8.42%,30.10%,36.84,8.90%,14.40%,8.20%,40.70%,8.30%,4.50%,33.05M,26.77M,7.62%,5.23,124.44,-14.50%,138.84%,108.64,2.69,9.80%,650.80%,1.00%,-10.71%,98.10%,0.41%,-,-,17900,2.10
2018-10-24,19:05:38 ,106.12,-2.56%,"439,205",392.38K,3.51B,92.20M,1.60B,8.70,39.44,27.26,1.83,135.42,2.20,1.20,1.20,0.31,-7.79%,-10.69%,26.33%,32.99,8.90%,14.40%,8.20%,40.70%,8.30%,4.50%,33.05M,26.77M,7.62%,5.20,124.44,-16.69%,132.72%,108.91,2.69,9.80%,650.80%,1.00%,-10.71%,98.10%,0.41%,-,-,17900,2.10
2018-10-25,19:05:40 ,109.08,2.79%,"309,973",394.63K,3.61B,92.20M,1.60B,8.94,40.54,28.02,1.88,139.19,2.26,1.20,1.20,0.31,-4.55%,-8.03%,29.43%,40.41,8.90%,14.40%,8.20%,40.70%,8.30%,4.50%,33.05M,26.77M,7.62%,5.17,124.44,-14.37%,139.21%,106.12,2.69,9.80%,650.80%,1.00%,-10.71%,98.10%,0.41%,-,-,17900,2.10
2018-10-26,19:04:02 ,98.20,-9.97%,"1,084,862",394.56K,3.25B,92.20M,1.60B,8.05,36.49,25.22,1.69,125.31,2.03,1.20,1.20,0.31,-13.57%,-17.11%,16.12%,28.55,8.90%,14.40%,8.20%,40.70%,8.30%,4.50%,33.05M,26.77M,7.62%,5.17,124.44,-22.91%,115.35%,109.08,2.69,9.80%,650.80%,1.00%,-10.71%,98.10%,0.41%,-,-,17900,2.10
2018-10-29,19:03:37 ,100.89,2.74%,"595,028",406.40K,3.57B,92.20M,1.60B,8.27,37.49,25.92,1.82,137.74,2.24,1.20,1.20,0.31,-10.15%,-14.56%,18.99%,33.82,8.90%,14.40%,8.20%,40.70%,8.30%,4.50%,35.36M,26.77M,4.70%,3.10,124.44,-20.80%,121.25%,98.20,2.69,9.80%,650.80%,1.00%,-10.08%,98.10%,0.29%,-,-,17900,2.10
