date,title,source
Oct-17-18,Amgen Launches Humira Biosimilar in Europe,GuruFocus.com
Oct-17-18,"Exclusive: Express Scripts covers Amgen, Lilly migraine drugs, excludes Teva",Reuters
Oct-17-18,"Express Scripts covers Amgen, Lilly migraine drugs, excludes Teva",Reuters
Oct-17-18,"Stocks - Netflix Soars in Pre-market; IBM, Tilray, Canopy Growth Sink; Tesla Rises",Investing.com
Oct-17-18,"Can Allergan's Key Drugs, Solid Pipeline Abate Generic Woes?",Zacks
Oct-19-18,Amgen (AMGN) Dips More Than Broader Markets: What You Should Know,Zacks
Oct-19-18,Biotech Sector Could Enter Bear Market,Investopedia
Oct-19-18,AMGN or ILMN: Which Is the Better Value Stock Right Now?,Zacks
Oct-19-18,10 S&P 500 Stocks to Buy for the Long Term,Kiplinger
Oct-19-18,"Investor Expectations to Drive Momentum within Amgen, Crown Castle International, Constellation Brands, Nice, NetEase, and The Hanover Insurance Group  Discovering Underlying Factors of Influence",GlobeNewswire
Oct-22-18,"Novartis (NVS) Q3 Earnings In Line, Revenues Beat Estimates",Zacks
Oct-22-18,Is a Beat in Store for Bristol-Myers (BMY) in Q3 Earnings?,Zacks
Oct-23-18,Amgen Announces 2018 Fourth Quarter Dividend,PR Newswire
Oct-23-18,"Stocks to Buy, Stocks to Dump in This Volatile Market",TheStreet.com
Oct-23-18,Amgen (AMGN) Q3 Earnings Preview: What to Look Out For,Zacks
Oct-24-18,Amgen cuts U.S. price of cholesterol drug Repatha by 60 percent,Reuters
Oct-24-18,"Amgen slashes price of $14,000-a-year cholesterol drug",Associated Press
Oct-24-18,Amgen Falls 3%,Investing.com
Oct-24-18,"Amgen slashes price of $14,000-a-year cholesterol drug",Associated Press
Oct-24-18,"Amgen cuts price of cholesterol drug by almost 60%, echoing rival's move",CNBC
Oct-25-18,Trump seeks to base Medicare drug prices on lower overseas rates,Reuters
Oct-25-18,Amgen (AMGN) Gains But Lags Market: What You Should Know,Zacks
Oct-25-18,Can Amgen (AMGN) Keep the Earnings Streak Alive in Q3?,Zacks
Oct-25-18,"Sarepta (SRPT) Q3 Earnings & Sales Miss, Exondys 51 Sales Up",Zacks
Oct-25-18,Can Amgen (AMGN) Keep the Earnings Surprise Streak Alive?,Zacks
