date,time,price,change,volume,avg_volume,market_cap,income,sales,p_b,p_e,f_p_e,peg,p_c,p_s,quick_ratio,current_ratio,debt_eq,sma20,sma50,sma200,rsi,roa,roe,roi,gross_margin,oper_margin,profit_margin,shs_outstand,shs_float,short_float,short_ratio,target_price,high_y,low_y,prev_close,eps,sales_q_to_q,eps_q_to_q,insider_own,insider_trans,inst_own,inst_trans,dividend,dividend_percent,employees,recom
2018-10-17,02:12:39 ,18.63,2.48%,"110,072",147.13K,866.11M,-14.80M,247.80M,2.71,-,16.49,-,17.02,3.50,1.20,1.90,0.16,-1.47%,0.51%,3.11%,49.45,-1.90%,-2.60%,-1.10%,34.10%,-7.00%,-3.40%,46.49M,34.90M,4.81%,11.42,22.80,-8.90%,29.37%,18.18,-0.31,8.90%,-245.50%,6.60%,-0.16%,44.70%,0.12%,-,-,1644,2.00
2018-10-17,21:04:47 ,18.87,1.29%,"84,021",147.13K,877.27M,-14.80M,247.80M,2.74,-,16.70,-,17.24,3.54,1.20,1.90,0.16,-0.21%,1.70%,4.45%,53.37,-1.90%,-2.60%,-1.10%,34.10%,-7.00%,-3.40%,46.49M,34.90M,4.81%,11.42,22.80,-7.73%,31.04%,18.63,-0.31,8.90%,-245.50%,6.60%,-0.16%,44.70%,0.12%,-,-,1644,2.00
2018-10-18,21:43:26 ,18.73,-0.74%,"80,881",147.10K,870.76M,-14.80M,247.80M,2.72,-,16.58,-,17.11,3.51,1.20,1.90,0.16,-1.00%,0.82%,3.69%,50.45,-1.90%,-2.60%,-1.10%,34.10%,-7.00%,-3.40%,46.49M,34.90M,4.81%,11.42,22.80,-8.41%,30.07%,18.87,-0.31,8.90%,-245.50%,6.60%,-0.16%,44.70%,0.12%,-,-,1644,2.00
2018-10-19,21:51:20 ,18.53,-1.07%,"119,248",146.83K,861.46M,-14.80M,247.80M,2.69,-,16.40,-,16.92,3.48,1.20,1.90,0.16,-1.97%,-0.33%,2.58%,46.81,-1.90%,-2.60%,-1.10%,34.10%,-7.00%,-3.40%,46.49M,34.90M,4.81%,11.44,22.80,-9.39%,28.68%,18.73,-0.31,8.90%,-245.50%,6.60%,-0.16%,44.70%,0.12%,-,-,1644,2.00
2018-10-22,19:06:04 ,18.24,-1.57%,"120,335",146.18K,852.90M,-14.80M,247.80M,2.65,-,16.14,-,16.76,3.44,1.20,1.90,0.16,-3.34%,-2.04%,0.97%,42.87,-1.90%,-2.60%,-1.10%,34.10%,-7.00%,-3.40%,46.76M,34.90M,4.81%,11.49,22.80,-10.81%,26.67%,18.53,-0.31,8.90%,-245.50%,6.60%,-0.16%,44.70%,0.17%,-,-,1644,2.00
2018-10-23,19:07:15 ,18.23,-0.05%,"141,450",145.80K,852.43M,-14.80M,247.80M,2.65,-,16.13,-,16.75,3.44,1.20,1.90,0.16,-3.10%,-2.19%,0.91%,43.04,-1.90%,-2.60%,-1.10%,34.10%,-7.00%,-3.40%,46.76M,34.90M,4.81%,11.52,22.80,-10.86%,26.60%,18.24,-0.31,8.90%,-245.50%,6.60%,-0.16%,44.70%,0.17%,-,-,1644,2.00
2018-10-24,19:06:44 ,17.72,-2.80%,"112,319",145.84K,828.59M,-14.80M,247.80M,2.58,-,15.68,-,16.28,3.34,1.20,1.90,0.16,-5.55%,-4.98%,-1.92%,36.23,-1.90%,-2.60%,-1.10%,34.10%,-7.00%,-3.40%,46.76M,34.90M,4.81%,11.52,22.80,-13.35%,23.06%,18.23,-0.31,8.90%,-245.50%,6.60%,-0.16%,44.70%,0.17%,-,-,1644,2.00
2018-10-25,19:06:45 ,17.97,1.41%,"103,969",145.40K,840.28M,-14.80M,247.80M,2.61,-,15.90,-,16.51,3.39,1.20,1.90,0.16,-3.83%,-3.65%,-0.53%,41.24,-1.90%,-2.60%,-1.10%,34.10%,-7.00%,-3.40%,46.76M,34.90M,4.81%,11.55,22.80,-12.13%,24.79%,17.72,-0.31,8.90%,-245.50%,6.60%,-0.16%,44.70%,0.17%,-,-,1644,2.00
2018-10-26,19:05:08 ,18.29,1.78%,"114,565",144.90K,855.24M,-14.80M,247.80M,2.66,-,16.19,-,16.80,3.45,1.20,1.90,0.16,-1.81%,-1.98%,1.24%,46.67,-1.90%,-2.60%,-1.10%,34.10%,-7.00%,-3.40%,46.76M,34.90M,4.81%,11.59,22.80,-10.56%,27.01%,17.97,-0.31,8.90%,-245.50%,6.60%,-0.16%,44.70%,0.17%,-,-,1644,2.00
2018-10-29,19:04:39 ,18.08,-1.15%,"100,520",144.61K,821.74M,-14.80M,247.80M,2.63,-,16.00,-,16.14,3.32,1.20,1.90,0.16,-2.69%,-3.13%,0.07%,43.52,-1.90%,-2.60%,-1.10%,34.10%,-7.00%,-3.40%,45.45M,34.90M,4.69%,11.31,22.80,-11.59%,25.56%,18.29,-0.31,8.90%,-245.50%,6.60%,-0.17%,44.40%,-0.54%,-,-,1644,2.00
