date,time,price,change,volume,avg_volume,market_cap,income,sales,p_b,p_e,f_p_e,peg,p_c,p_s,quick_ratio,current_ratio,debt_eq,sma20,sma50,sma200,rsi,roa,roe,roi,gross_margin,oper_margin,profit_margin,shs_outstand,shs_float,short_float,short_ratio,target_price,high_y,low_y,prev_close,eps,sales_q_to_q,eps_q_to_q,insider_own,insider_trans,inst_own,inst_trans,dividend,dividend_percent,employees,recom
2018-10-17,00:16:02 ,233.58,5.77%,"1,243,933",1.12M,16.93B,278.40M,1.90B,10.12,67.12,27.39,2.86,9.10,8.92,2.80,3.20,0.02,-7.97%,-12.79%,-12.22%,39.27,8.90%,13.40%,27.70%,64.50%,9.40%,11.90%,72.50M,52.67M,6.30%,2.95,295.67,-25.46%,31.28%,220.83,3.48,-29.80%,-188.80%,0.10%,-82.28%,56.00%,0.36%,-,-,1800,2.30
2018-10-17,19:10:40 ,238.95,2.30%,"1,180,977",1.13M,17.32B,278.40M,1.90B,10.35,68.66,28.02,2.93,9.31,9.13,2.80,3.20,0.02,-5.23%,-10.53%,-10.20%,42.86,8.90%,13.40%,27.70%,64.50%,9.40%,11.90%,72.50M,52.67M,6.30%,2.93,295.67,-23.75%,34.30%,233.58,3.48,-29.80%,-188.80%,0.10%,-82.28%,56.00%,0.36%,-,-,1800,2.30
2018-10-18,19:48:36 ,233.09,-2.45%,"796,935",1.15M,16.90B,278.40M,1.90B,10.09,66.98,27.33,2.86,9.08,8.90,2.80,3.20,0.02,-6.97%,-12.53%,-12.42%,40.01,8.90%,13.40%,27.70%,64.50%,9.40%,11.90%,72.50M,52.67M,6.30%,2.90,295.67,-25.62%,31.01%,238.95,3.48,-29.80%,-188.80%,0.10%,-82.28%,56.00%,0.36%,-,-,1800,2.30
2018-10-19,19:57:27 ,229.76,-1.43%,"905,288",1.15M,16.66B,278.40M,1.90B,9.95,66.02,26.94,2.82,8.95,8.78,2.80,3.20,0.02,-7.57%,-13.58%,-13.66%,37.87,8.90%,13.40%,27.70%,64.50%,9.40%,11.90%,72.50M,52.67M,6.30%,2.88,295.67,-26.68%,29.14%,233.09,3.48,-29.80%,-188.80%,0.10%,-82.28%,56.00%,0.36%,-,-,1800,2.30
2018-10-22,17:09:17 ,232.18,1.05%,"796,852",1.16M,17.62B,278.40M,1.90B,10.06,66.72,27.22,2.85,9.47,9.29,2.80,3.20,0.02,-5.84%,-12.41%,-12.75%,39.31,8.90%,13.40%,27.70%,64.50%,9.40%,11.90%,75.91M,52.67M,6.30%,2.87,296.00,-25.91%,30.50%,229.76,3.48,-29.80%,-188.80%,0.10%,-81.60%,56.20%,0.70%,-,-,1800,2.30
2018-10-23,17:09:48 ,232.83,0.28%,"954,409",1.16M,17.67B,278.40M,1.90B,10.08,66.91,27.29,2.85,9.50,9.31,2.80,3.20,0.02,-4.77%,-11.92%,-12.50%,36.84,8.90%,13.40%,27.70%,64.50%,9.40%,11.90%,75.91M,52.67M,6.30%,2.86,296.00,-25.70%,30.86%,232.18,3.48,-29.80%,-188.80%,0.10%,-81.60%,56.20%,0.70%,-,-,1800,2.30
2018-10-24,17:09:22 ,223.82,-3.87%,"994,839",1.17M,16.99B,278.40M,1.90B,9.69,64.32,26.24,2.74,9.13,8.95,2.80,3.20,0.02,-7.66%,-15.09%,-15.85%,32.43,8.90%,13.40%,27.70%,64.50%,9.40%,11.90%,75.91M,52.67M,6.30%,2.84,296.00,-28.58%,25.80%,232.83,3.48,-29.80%,-188.80%,0.10%,-81.60%,56.20%,0.70%,-,-,1800,2.30
2018-10-25,17:09:21 ,230.69,3.07%,"806,208",1.17M,17.51B,278.40M,1.90B,9.99,66.29,27.04,2.83,9.41,9.23,2.80,3.20,0.02,-4.04%,-12.17%,-13.23%,38.47,8.90%,13.40%,27.70%,64.50%,9.40%,11.90%,75.91M,52.67M,6.30%,2.83,296.00,-26.38%,29.66%,223.82,3.48,-29.80%,-188.80%,0.10%,-81.60%,56.20%,0.70%,-,-,1800,2.30
2018-10-26,17:08:20 ,219.53,-4.84%,"1,268,607",1.18M,16.66B,278.40M,1.90B,9.51,63.08,25.73,2.69,8.96,8.78,2.80,3.20,0.02,-8.02%,-16.19%,-17.39%,33.20,8.90%,13.40%,27.70%,64.50%,9.40%,11.90%,75.91M,52.67M,6.30%,2.82,296.00,-29.94%,23.39%,230.69,3.48,-29.80%,-188.80%,0.10%,-81.60%,56.20%,0.70%,-,-,1800,2.30
2018-10-29,17:08:40 ,217.86,-0.76%,"952,422",1.19M,17.13B,278.40M,1.90B,9.44,62.60,25.54,2.67,9.21,9.03,2.80,3.20,0.02,-7.82%,-16.52%,-17.96%,32.65,8.90%,13.40%,27.70%,64.50%,9.40%,11.90%,78.63M,52.67M,6.06%,2.68,295.18,-30.48%,22.45%,219.53,3.48,-29.80%,-188.80%,0.10%,-81.07%,56.00%,0.33%,-,-,1800,2.20
