date,time,price,change,volume,avg_volume,market_cap,income,sales,p_b,p_e,f_p_e,peg,p_c,p_s,quick_ratio,current_ratio,debt_eq,sma20,sma50,sma200,rsi,roa,roe,roi,gross_margin,oper_margin,profit_margin,shs_outstand,shs_float,short_float,short_ratio,target_price,high_y,low_y,prev_close,eps,sales_q_to_q,eps_q_to_q,insider_own,insider_trans,inst_own,inst_trans,dividend,dividend_percent,employees,recom
2018-10-17,02:13:17 ,39.98,2.02%,"146,263",200.06K,1.13B,77.80M,1.41B,2.09,14.69,10.43,0.98,-,0.80,1.30,1.70,0.42,-2.93%,-13.25%,-11.24%,32.06,7.80%,15.60%,11.00%,24.30%,8.00%,5.80%,28.30M,27.45M,9.63%,13.21,51.20,-22.11%,7.36%,39.19,2.72,5.30%,20.00%,2.20%,2.00%,-,0.00%,0.63,1.58%,6700,2.00
2018-10-17,21:05:24 ,39.06,-2.30%,"155,519",200.06K,1.11B,77.80M,1.41B,2.04,14.36,10.19,0.96,-,0.78,1.30,1.70,0.42,-4.87%,-14.88%,-13.23%,28.37,7.80%,15.60%,11.00%,24.30%,8.00%,5.80%,28.30M,27.45M,9.63%,13.21,51.20,-23.90%,4.89%,39.98,2.72,5.30%,20.00%,2.20%,2.00%,-,0.00%,0.63,1.61%,6700,2.00
2018-10-18,21:44:04 ,37.54,-3.89%,"163,028",200.34K,1.06B,77.80M,1.41B,1.96,13.80,9.80,0.92,-,0.75,1.30,1.70,0.42,-8.27%,-17.81%,-16.55%,22.66,7.80%,15.60%,11.00%,24.30%,8.00%,5.80%,28.30M,27.45M,9.63%,13.19,51.20,-26.87%,0.81%,39.06,2.72,5.30%,20.00%,2.20%,2.00%,-,0.00%,0.63,1.68%,6700,2.00
2018-10-19,21:51:58 ,37.60,0.16%,"284,023",200.60K,1.06B,77.80M,1.41B,1.96,13.82,9.81,0.92,-,0.76,1.30,1.70,0.42,-7.60%,-17.23%,-16.34%,23.33,7.80%,15.60%,11.00%,24.30%,8.00%,5.80%,28.30M,27.45M,9.63%,13.18,51.20,-26.75%,0.97%,37.54,2.72,5.30%,20.00%,2.20%,2.00%,-,0.00%,0.63,1.68%,6700,2.00
2018-10-22,19:06:47 ,38.08,1.28%,"201,211",202.50K,1.07B,77.80M,1.41B,1.99,13.99,9.94,0.93,-,0.76,1.30,1.70,0.42,-5.79%,-15.72%,-15.20%,27.94,7.80%,15.60%,11.00%,24.30%,8.00%,5.80%,28.14M,27.45M,9.63%,13.05,50.40,-25.81%,2.26%,37.60,2.72,5.30%,20.00%,2.20%,2.01%,-,0.12%,0.63,1.65%,6700,2.00
2018-10-23,19:07:57 ,36.80,-3.36%,"270,984",203.41K,1.04B,77.80M,1.41B,1.92,13.52,9.60,0.90,-,0.74,1.30,1.70,0.42,-8.46%,-18.15%,-17.98%,23.93,7.80%,15.60%,11.00%,24.30%,8.00%,5.80%,28.14M,27.45M,9.63%,13.00,50.40,-28.31%,-1.18%,38.08,2.72,5.30%,20.00%,2.20%,2.01%,-,0.12%,0.63,1.71%,6700,2.00
2018-10-24,19:07:25 ,35.98,-2.23%,"204,867",205.64K,1.01B,77.80M,1.41B,1.88,13.22,9.39,0.88,-,0.72,1.30,1.70,0.42,-9.89%,-19.53%,-19.73%,21.86,7.80%,15.60%,11.00%,24.30%,8.00%,5.80%,28.14M,27.45M,9.63%,12.85,50.40,-29.90%,-1.18%,36.80,2.72,5.30%,20.00%,2.20%,2.01%,-,0.12%,0.63,1.75%,6700,2.00
2018-10-25,19:07:26 ,35.58,-1.11%,"346,889",206.67K,1.00B,77.80M,1.41B,1.86,13.08,9.28,0.87,-,0.71,1.30,1.70,0.42,-10.25%,-19.93%,-20.53%,20.95,7.80%,15.60%,11.00%,24.30%,8.00%,5.80%,28.14M,27.45M,9.63%,12.79,50.40,-30.68%,-0.95%,35.98,2.72,5.30%,20.00%,2.20%,2.01%,-,0.12%,0.63,1.77%,6700,2.00
2018-10-26,19:05:51 ,34.10,-4.16%,"306,217",209.63K,959.57M,77.80M,1.41B,1.78,12.53,8.90,0.84,-,0.68,1.30,1.70,0.42,-13.37%,-22.81%,-23.75%,17.47,7.80%,15.60%,11.00%,24.30%,8.00%,5.80%,28.14M,27.45M,9.63%,12.61,50.40,-33.57%,-3.92%,35.58,2.72,5.30%,20.00%,2.20%,2.01%,-,0.12%,0.63,1.85%,6700,2.00
2018-10-29,19:05:18 ,33.52,-1.70%,"330,277",212.63K,985.49M,77.80M,1.41B,1.75,12.32,8.75,0.82,-,0.70,1.30,1.70,0.42,-14.05%,-23.61%,-24.95%,16.45,7.80%,15.60%,11.00%,24.30%,8.00%,5.80%,29.40M,27.45M,9.36%,12.08,50.40,-34.70%,-0.56%,34.10,2.72,5.30%,20.00%,2.20%,1.92%,-,0.24%,0.63,1.88%,6700,2.00
