date,time,price,change,volume,avg_volume,market_cap,income,sales,p_b,p_e,f_p_e,peg,p_c,p_s,quick_ratio,current_ratio,debt_eq,sma20,sma50,sma200,rsi,roa,roe,roi,gross_margin,oper_margin,profit_margin,shs_outstand,shs_float,short_float,short_ratio,target_price,high_y,low_y,prev_close,eps,sales_q_to_q,eps_q_to_q,insider_own,insider_trans,inst_own,inst_trans,dividend,dividend_percent,employees,recom
2018-10-17,02:14:47 ,12.60,-0.79%,"3,257",28.54K,101.43M,-22.00M,1.20M,-,-,-,-,7.51,84.53,2.80,2.80,-,-1.51%,-2.16%,-2.16%,47.48,-91.80%,33.40%,31.40%,-,-,-,8.05M,4.45M,0.25%,0.39,28.25,-9.03%,12.00%,12.70,-2.79,0.00%,71.90%,17.80%,-,-,-,-,-,25,2.00
2018-10-17,21:06:52 ,12.60,0.00%,"2,022",28.54K,101.43M,-22.00M,1.20M,-,-,-,-,7.51,84.53,2.80,2.80,-,-1.52%,-2.11%,-2.11%,47.54,-91.80%,33.40%,31.40%,-,-,-,8.05M,4.45M,0.25%,0.39,28.25,-9.03%,12.00%,12.60,-2.79,0.00%,71.90%,17.80%,-,-,-,-,-,25,2.00
2018-10-18,21:45:31 ,12.64,0.32%,648,27.96K,101.75M,-22.00M,1.20M,-,-,-,-,7.54,84.79,2.80,2.80,-,-1.13%,-1.75%,-1.75%,48.03,-91.80%,33.40%,31.40%,-,-,-,8.05M,4.45M,0.25%,0.40,28.25,-8.74%,12.36%,12.60,-2.79,0.00%,71.90%,17.80%,-,-,-,-,-,25,2.00
2018-10-19,21:53:25 ,12.50,-1.11%,"5,013",27.38K,100.63M,-22.00M,1.20M,-,-,-,-,7.45,83.85,2.80,2.80,-,-2.06%,-2.80%,-2.80%,45.62,-91.80%,33.40%,31.40%,-,-,-,8.05M,4.45M,0.25%,0.41,28.25,-9.75%,11.11%,12.64,-2.79,0.00%,71.90%,17.80%,-,-,-,-,-,25,2.00
2018-10-22,19:08:24 ,12.92,3.36%,"5,552",26.91K,105.81M,-22.00M,1.20M,-,-,-,-,7.84,88.18,2.80,2.80,-,1.04%,0.52%,0.52%,52.96,-91.80%,33.40%,31.40%,-,-,-,8.19M,4.45M,0.25%,0.42,28.25,-6.71%,14.84%,12.50,-2.79,0.00%,71.90%,17.80%,-,-,-,-,-,25,2.00
2018-10-23,19:09:33 ,12.60,-2.49%,"5,557",26.48K,103.18M,-22.00M,1.20M,-,-,-,-,7.64,85.99,2.80,2.80,-,-1.46%,-1.99%,-1.99%,47.37,-91.80%,33.40%,31.40%,-,-,-,8.19M,4.45M,0.25%,0.42,28.25,-9.03%,11.99%,12.92,-2.79,0.00%,71.90%,17.80%,-,-,-,-,-,25,2.00
2018-10-24,19:09:01 ,12.32,-2.21%,"7,455",26.06K,100.90M,-22.00M,1.20M,-,-,-,-,7.47,84.08,2.80,2.80,-,-3.45%,-4.12%,-4.12%,42.96,-91.80%,33.40%,31.40%,-,-,-,8.19M,4.45M,0.25%,0.43,28.25,-11.05%,9.51%,12.60,-2.79,0.00%,71.90%,17.80%,-,-,-,-,-,25,2.00
2018-10-25,19:09:02 ,12.35,0.24%,"2,027",25.70K,101.15M,-22.00M,1.20M,-,-,-,-,7.49,84.29,2.80,2.80,-,-2.88%,-3.79%,-3.81%,43.33,-91.80%,33.40%,31.40%,-,-,-,8.19M,4.45M,0.25%,0.44,28.25,-10.83%,9.78%,12.32,-2.79,0.00%,71.90%,17.80%,-,-,-,-,-,25,2.00
2018-10-26,19:07:27 ,12.35,0.00%,"2,901",25.24K,101.15M,-22.00M,1.20M,-,-,-,-,7.49,84.29,2.80,2.80,-,-2.66%,-3.69%,-3.74%,42.52,-91.80%,33.40%,31.40%,-,-,-,8.19M,4.45M,0.25%,0.45,28.25,-10.83%,9.78%,12.35,-2.79,0.00%,71.90%,17.80%,-,-,-,-,-,25,2.00
2018-10-29,19:06:49 ,12.48,1.05%,"1,491",24.82K,101.21M,-22.00M,1.20M,-,-,-,-,7.50,84.34,2.80,2.80,-,-1.36%,-2.59%,-2.66%,44.79,-91.80%,33.40%,31.40%,-,-,-,8.11M,4.45M,0.14%,0.26,28.25,-9.89%,10.93%,12.35,-2.79,0.00%,71.90%,17.80%,-,-,-,-,-,25,2.00
