date,time,price,change,volume,avg_volume,market_cap,income,sales,p_b,p_e,f_p_e,peg,p_c,p_s,quick_ratio,current_ratio,debt_eq,sma20,sma50,sma200,rsi,roa,roe,roi,gross_margin,oper_margin,profit_margin,shs_outstand,shs_float,short_float,short_ratio,target_price,high_y,low_y,prev_close,eps,sales_q_to_q,eps_q_to_q,insider_own,insider_trans,inst_own,inst_trans,dividend,dividend_percent,employees,recom
2018-10-17,00:12:48 ,17.22,3.80%,"2,221",2.76K,273.45M,-16.30M,125.50M,2.36,-,-,-,9.73,2.18,-,-,9.12,2.43%,0.52%,7.36%,52.57,1.00%,11.00%,-1.00%,50.30%,13.30%,9.90%,15.88M,15.45M,0.55%,30.78,-,-20.17%,96.80%,16.59,-1.06,-50.20%,131.80%,0.03%,0.00%,87.50%,0.32%,-,-,-,-
2018-10-17,19:07:13 ,16.96,-1.51%,"2,393",2.77K,269.32M,-16.30M,125.50M,2.32,-,-,-,9.58,2.15,-,-,9.12,0.84%,-0.88%,5.62%,49.83,1.00%,11.00%,-1.00%,50.30%,13.30%,9.90%,15.88M,15.45M,0.55%,30.63,-,-21.37%,93.83%,17.22,-1.06,-50.20%,131.80%,0.03%,0.00%,87.50%,0.32%,-,-,-,-
2018-10-18,19:45:20 ,16.98,0.12%,"3,616",2.67K,269.64M,-16.30M,125.50M,2.33,-,-,-,9.60,2.15,-,-,9.12,1.10%,-0.59%,5.60%,50.32,1.00%,11.00%,-1.00%,50.30%,13.30%,9.90%,15.88M,15.45M,0.55%,31.77,-,-21.28%,91.65%,16.96,-1.06,-50.20%,131.80%,0.03%,0.00%,87.50%,0.32%,-,-,-,-
2018-10-19,19:54:17 ,16.37,-3.59%,"1,397",2.70K,259.96M,-16.30M,125.50M,2.24,-,-,-,9.25,2.07,-,-,9.12,-2.25%,-4.01%,1.65%,45.12,1.00%,11.00%,-1.00%,50.30%,13.30%,9.90%,15.88M,15.45M,0.55%,31.43,-,-24.11%,84.76%,16.98,-1.06,-50.20%,131.80%,0.03%,0.00%,87.50%,0.32%,-,-,-,-
2018-10-22,17:05:56 ,16.95,3.54%,"1,872",2.69K,281.20M,-16.30M,125.50M,2.32,-,-,-,10.01,2.24,-,-,9.12,1.22%,-0.34%,5.12%,50.18,1.00%,11.00%,-1.00%,50.30%,13.30%,9.90%,16.59M,15.45M,0.55%,31.55,-,-21.42%,90.45%,16.37,-1.06,-50.20%,131.80%,0.03%,0.00%,87.50%,0.31%,-,-,-,-
2018-10-23,17:06:16 ,15.68,-7.49%,938,2.68K,260.13M,-16.30M,125.50M,2.15,-,-,-,9.26,2.07,-,-,9.12,-6.44%,-7.75%,-2.89%,41.43,1.00%,11.00%,-1.00%,50.30%,13.30%,9.90%,16.59M,15.45M,0.55%,31.68,-,-27.31%,76.18%,16.95,-1.06,-50.20%,131.80%,0.03%,0.00%,87.50%,0.31%,-,-,-,-
2018-10-24,17:06:07 ,13.97,-10.91%,"3,880",2.65K,231.76M,-16.30M,125.50M,1.91,-,-,-,8.25,1.85,-,-,9.12,-16.38%,-17.67%,-13.56%,32.99,1.00%,11.00%,-1.00%,50.30%,13.30%,9.90%,16.59M,15.45M,0.55%,32.01,-,-35.23%,56.97%,15.68,-1.06,-50.20%,131.80%,0.03%,0.00%,87.50%,0.31%,-,-,-,-
2018-10-25,17:06:04 ,13.76,-1.50%,"4,554",2.66K,228.28M,-16.30M,125.50M,1.88,-,-,-,8.12,1.82,-,-,9.12,-17.03%,-18.55%,-14.90%,31.86,1.00%,11.00%,-1.00%,50.30%,13.30%,9.90%,16.59M,15.45M,0.55%,31.89,-,-36.21%,51.88%,13.97,-1.06,-50.20%,131.80%,0.03%,0.00%,87.50%,0.31%,-,-,-,-
2018-10-26,17:05:05 ,13.88,0.87%,"1,235",2.69K,230.27M,-16.30M,125.50M,1.90,-,-,-,8.19,1.83,-,-,9.12,-15.66%,-17.48%,-14.17%,33.41,1.00%,11.00%,-1.00%,50.30%,13.30%,9.90%,16.59M,15.45M,0.55%,31.57,-,-35.65%,50.05%,13.76,-1.06,-50.20%,131.80%,0.03%,0.00%,87.50%,0.31%,-,-,-,-
2018-10-29,17:05:26 ,14.30,3.03%,"2,263",2.70K,226.80M,-16.30M,125.50M,1.96,-,-,-,8.07,1.81,-,-,9.12,-12.30%,-14.51%,-11.61%,37.41,1.00%,11.00%,-1.00%,50.30%,13.30%,9.90%,15.86M,15.45M,0.53%,30.34,-,-33.70%,53.43%,13.88,-1.06,-50.20%,131.80%,0.03%,0.00%,87.50%,0.33%,-,-,-,-
2018-10-30,17:05:31 ,14.82,3.64%,"1,612",2.69K,235.05M,-16.30M,125.50M,2.03,-,-,-,8.36,1.87,-,-,9.12,-8.28%,-10.99%,-8.44%,42.08,1.00%,11.00%,-1.00%,50.30%,13.30%,9.90%,15.86M,15.45M,0.53%,30.40,-,-31.29%,59.01%,14.30,-1.06,-50.20%,131.80%,0.03%,0.00%,87.50%,0.33%,-,-,-,-
2018-10-31,17:05:33 ,15.17,2.36%,"1,786",2.69K,240.60M,-16.30M,125.50M,2.08,-,-,-,8.56,1.92,-,-,9.12,-5.57%,-8.50%,-6.34%,45.16,1.00%,11.00%,-1.00%,50.30%,13.30%,9.90%,15.86M,15.45M,0.53%,30.37,-,-29.67%,62.77%,14.82,-1.06,-50.20%,131.80%,0.03%,0.00%,87.50%,0.33%,-,-,-,-
2018-11-01,17:05:38 ,15.47,1.98%,"1,213",2.71K,245.35M,-16.30M,125.50M,2.12,-,-,-,8.73,1.96,-,-,9.12,-3.00%,-6.38%,-4.56%,47.76,1.00%,11.00%,-1.00%,50.30%,13.30%,9.90%,15.86M,15.45M,0.53%,30.22,-,-28.28%,65.99%,15.17,-1.06,-50.20%,131.80%,0.03%,0.00%,87.50%,0.33%,-,-,-,-
2018-11-02,22:30:49 ,15.84,2.39%,"1,698",2.68K,251.22M,-16.30M,125.50M,2.17,-,-,-,8.94,2.00,-,-,9.12,-0.29%,-3.86%,-2.35%,50.46,1.00%,11.00%,-1.00%,50.30%,13.30%,9.90%,15.86M,15.45M,0.53%,30.51,-,-26.56%,69.96%,15.47,-1.06,-50.20%,131.80%,0.03%,0.00%,87.50%,0.33%,-,-,-,-
2018-11-05,16:05:25 ,16.70,5.43%,"2,369",2.65K,261.02M,-16.30M,125.50M,2.29,-,-,-,9.29,2.08,-,-,9.12,5.67%,1.62%,2.85%,58.14,1.00%,11.00%,-1.00%,50.30%,13.30%,9.90%,15.63M,15.45M,0.53%,30.92,-,-22.58%,79.18%,15.84,-1.06,-50.20%,131.80%,0.03%,0.00%,87.50%,0.34%,-,-,-,-
2018-11-06,16:05:21 ,17.00,1.80%,"1,716",2.68K,265.71M,-16.30M,125.50M,2.33,-,-,-,9.46,2.12,-,-,9.12,7.68%,3.55%,4.59%,59.19,1.00%,11.00%,-1.00%,50.30%,13.30%,9.90%,15.63M,15.45M,0.53%,30.54,-,-21.19%,82.40%,16.70,-1.06,-50.20%,131.80%,0.03%,0.00%,87.50%,0.34%,-,-,-,-
2018-11-07,16:05:42 ,17.32,1.88%,"1,414",2.69K,270.71M,-16.30M,125.50M,2.37,-,-,-,9.63,2.16,-,-,9.12,9.65%,5.57%,6.46%,60.14,1.00%,11.00%,-1.00%,50.30%,13.30%,9.90%,15.63M,15.45M,0.53%,30.41,-,-19.70%,85.84%,17.00,-1.06,-50.20%,131.80%,0.03%,0.00%,87.50%,0.34%,-,-,-,-
2018-11-08,16:05:25 ,16.75,-3.29%,672,2.65K,261.80M,-16.30M,125.50M,2.29,-,-,-,9.32,2.09,-,-,9.12,5.68%,2.16%,2.85%,54.88,1.00%,11.00%,-1.00%,50.30%,13.30%,9.90%,15.63M,15.45M,0.53%,30.88,-,-22.35%,79.72%,17.32,-1.06,-50.20%,131.80%,0.03%,0.00%,87.50%,0.34%,-,-,-,-
2018-11-09,16:56:33 ,16.18,-3.40%,"1,339",2.63K,252.89M,-16.30M,125.50M,2.22,-,-,-,9.00,2.02,-,-,9.12,1.83%,-1.26%,-0.73%,50.27,1.00%,11.00%,-1.00%,50.30%,13.30%,9.90%,15.63M,15.45M,0.53%,31.06,-,-24.99%,73.61%,16.75,-1.06,-50.20%,131.80%,0.03%,0.00%,87.50%,0.34%,-,-,-,-
2018-11-12,18:46:17 ,16.16,-0.12%,628,2.61K,267.61M,-16.30M,125.50M,2.21,-,-,-,9.52,2.13,-,-,9.12,1.66%,-1.28%,-0.91%,50.32,1.00%,11.00%,-1.00%,50.30%,13.30%,9.90%,16.56M,15.45M,0.51%,30.35,-,-25.08%,73.39%,16.18,-1.06,-50.20%,131.80%,0.03%,0.00%,87.50%,0.32%,-,-,-,-
2018-11-13,16:05:24 ,16.50,2.10%,"1,018",2.54K,273.24M,-16.30M,125.50M,2.26,-,-,-,9.72,2.18,-,-,9.12,3.94%,0.89%,1.11%,52.54,1.00%,11.00%,-1.00%,50.30%,13.30%,9.90%,16.56M,15.45M,0.51%,31.22,-,-23.50%,70.13%,16.16,-1.06,-50.20%,131.80%,0.03%,0.00%,87.50%,0.32%,-,-,-,-
2018-11-14,16:05:25 ,15.84,-4.00%,495,2.53K,262.31M,-16.30M,125.50M,2.17,-,-,-,9.33,2.09,-,-,9.12,0.01%,-3.14%,-3.00%,47.45,1.00%,11.00%,-1.00%,50.30%,13.30%,9.90%,16.56M,15.45M,0.51%,31.32,-,-26.56%,63.33%,16.50,-1.06,-50.20%,131.80%,0.03%,0.00%,87.50%,0.32%,-,-,-,-
2018-11-15,16:05:27 ,16.10,1.64%,"1,147",2.51K,266.62M,-16.30M,125.50M,2.21,-,-,-,9.49,2.12,-,-,9.12,2.01%,-1.49%,-1.47%,49.21,1.00%,11.00%,-1.00%,50.30%,13.30%,9.90%,16.56M,15.45M,0.51%,31.56,-,-25.36%,65.81%,15.84,-1.06,-50.20%,131.80%,0.03%,0.00%,87.50%,0.32%,-,-,-,-
2018-11-16,16:05:32 ,15.47,-3.91%,"1,908",2.51K,256.18M,-16.30M,125.50M,2.12,-,-,-,9.12,2.04,-,-,9.12,-1.70%,-5.31%,-5.41%,43.92,1.00%,11.00%,-1.00%,50.30%,13.30%,9.90%,16.56M,15.45M,0.51%,31.63,-,-28.28%,59.32%,16.10,-1.06,-50.20%,131.80%,0.03%,0.00%,87.50%,0.32%,-,-,-,-
2018-11-19,16:05:40 ,15.38,-0.58%,"2,741",2.53K,246.08M,-16.30M,125.50M,1.83,-,-,-,10.34,1.96,-,-,8.41,-1.99%,-5.97%,-6.02%,44.71,1.80%,20.50%,-1.00%,50.30%,13.10%,19.30%,16.00M,15.45M,0.51%,31.37,-,-28.70%,53.80%,15.47,-1.06,5.00%,-,3.42%,0.00%,87.50%,0.33%,-,-,-,-
2018-11-20,16:05:42 ,15.10,-1.82%,773,2.55K,241.60M,-16.30M,125.50M,1.79,-,-,-,10.15,1.93,-,-,8.41,-3.30%,-7.67%,-7.79%,42.31,1.80%,20.50%,-1.00%,50.30%,13.10%,19.30%,16.00M,15.45M,0.51%,31.10,-,-30.00%,50.85%,15.38,-1.06,5.00%,-,3.42%,0.00%,87.50%,0.33%,-,-,-,-
2018-11-21,16:05:50 ,15.48,2.52%,459,2.54K,247.68M,-16.30M,125.50M,1.84,-,-,-,10.41,1.97,-,-,8.41,-0.68%,-5.15%,-5.53%,45.91,1.80%,20.50%,-1.00%,50.30%,13.10%,19.30%,16.00M,15.45M,0.51%,31.20,-,-28.23%,53.27%,15.10,-1.06,5.00%,-,3.42%,0.00%,87.50%,0.33%,-,-,-,-
2018-11-23,16:05:57 ,16.30,5.30%,534,2.50K,260.80M,-16.30M,125.50M,1.94,-,-,-,10.96,2.08,-,-,8.41,4.08%,0.05%,-0.60%,53.24,1.80%,20.50%,-1.00%,50.30%,13.10%,19.30%,16.00M,15.45M,0.51%,31.72,-,-24.43%,61.23%,15.48,-1.06,5.00%,-,3.42%,0.00%,87.50%,0.33%,-,-,-,-
2018-11-26,16:05:08 ,16.15,-0.92%,700,2.48K,258.35M,-5.30M,127.10M,1.92,-,-,-,10.86,2.03,-,-,8.41,2.29%,-0.79%,-1.61%,52.07,1.70%,19.80%,-1.00%,50.50%,13.00%,18.40%,16.00M,15.45M,0.51%,31.91,-,-25.13%,59.74%,16.30,-0.39,5.00%,114.80%,3.42%,0.00%,87.50%,0.33%,-,-,-,-
2018-11-27,16:05:07 ,15.40,-4.64%,"1,789",2.44K,246.35M,-5.30M,127.10M,1.83,-,-,-,10.35,1.94,-,-,8.41,-3.15%,-5.32%,-6.29%,45.39,1.70%,19.80%,-1.00%,50.50%,13.00%,18.40%,16.00M,15.45M,0.51%,32.53,-,-28.60%,52.32%,16.15,-0.39,5.00%,114.80%,3.42%,0.00%,87.50%,0.33%,-,-,-,-
2018-11-28,16:05:10 ,15.70,1.95%,"1,014",2.44K,251.15M,-5.30M,127.10M,1.86,-,-,-,10.55,1.98,-,-,8.41,-1.61%,-3.26%,-4.55%,47.68,1.70%,19.80%,-1.00%,50.50%,13.00%,18.40%,16.00M,15.45M,0.51%,32.45,-,-27.21%,48.39%,15.40,-0.39,5.00%,114.80%,3.42%,0.00%,87.50%,0.33%,-,-,-,-
2018-11-29,16:05:02 ,16.39,4.39%,945,2.42K,262.19M,-5.30M,127.10M,1.95,-,-,-,11.02,2.06,-,-,8.41,2.43%,1.17%,-0.42%,53.74,1.70%,19.80%,-1.00%,50.50%,13.00%,18.40%,16.00M,15.45M,0.51%,32.68,-,-24.01%,54.91%,15.70,-0.39,5.00%,114.80%,3.42%,0.00%,87.50%,0.33%,-,-,-,-
2018-11-30,16:05:06 ,16.40,0.06%,"2,964",2.41K,262.35M,-5.30M,127.10M,1.95,-,-,-,11.02,2.06,-,-,8.41,2.11%,1.36%,-0.45%,52.98,1.70%,19.80%,-1.00%,50.50%,13.00%,18.40%,16.00M,15.45M,0.51%,32.85,-,-23.97%,55.01%,16.39,-0.39,5.00%,114.80%,3.42%,0.00%,87.50%,0.33%,-,-,-,-
2018-12-03,16:05:25 ,16.40,0.00%,542,2.37K,262.24M,-5.30M,127.10M,1.95,-,-,-,11.02,2.06,-,-,8.41,1.81%,1.55%,-0.54%,53.74,1.70%,19.80%,-1.00%,50.50%,13.00%,18.40%,15.99M,15.45M,0.49%,32.11,-,-23.97%,55.01%,16.40,-0.39,5.00%,114.80%,3.42%,0.00%,87.50%,0.33%,-,-,-,-
2018-12-04,16:05:20 ,15.98,-2.56%,"1,638",2.30K,255.52M,-5.30M,127.10M,1.90,-,-,-,10.74,2.01,-,-,8.41,-0.97%,-1.05%,-3.18%,48.56,1.70%,19.80%,-1.00%,50.50%,13.00%,18.40%,15.99M,15.45M,0.49%,33.12,-,-25.92%,51.04%,16.40,-0.39,5.00%,114.80%,3.42%,0.00%,87.50%,0.33%,-,-,-,-
2018-12-06,16:05:27 ,15.74,-1.50%,"1,702",2.31K,251.68M,-5.30M,127.10M,1.87,-,-,-,10.57,1.98,-,-,8.41,-2.24%,-2.45%,-4.72%,46.59,1.70%,19.80%,-1.00%,50.50%,13.00%,18.40%,15.99M,15.45M,0.49%,32.98,-,-27.03%,48.77%,15.98,-0.39,5.00%,114.80%,3.42%,0.00%,87.50%,0.33%,-,-,-,-
2018-12-07,16:05:28 ,15.45,-1.84%,"2,739",2.33K,247.05M,-5.30M,127.10M,1.83,-,-,-,10.38,1.94,-,-,8.41,-3.66%,-4.13%,-6.55%,44.08,1.70%,19.80%,-1.00%,50.50%,13.00%,18.40%,15.99M,15.45M,0.49%,32.71,-,-28.37%,46.03%,15.74,-0.39,5.00%,114.80%,3.42%,0.00%,87.50%,0.33%,-,-,-,-
2018-12-10,16:05:38 ,14.55,-5.83%,760,2.31K,237.17M,-5.30M,127.10M,1.73,-,-,-,9.96,1.87,-,-,8.41,-8.74%,-9.61%,-12.06%,37.74,1.70%,19.80%,-1.00%,50.50%,13.00%,18.40%,16.30M,15.45M,0.49%,33.03,-,-32.55%,24.36%,15.45,-0.39,5.00%,114.80%,3.42%,0.00%,87.50%,0.32%,-,-,-,-
2018-12-11,16:05:42 ,14.74,1.31%,"1,450",2.25K,240.26M,-5.30M,127.10M,1.75,-,-,-,10.10,1.89,-,-,8.41,-6.91%,-8.23%,-10.95%,40.15,1.70%,19.80%,-1.00%,50.50%,13.00%,18.40%,16.30M,15.45M,0.49%,33.78,-,-31.66%,25.98%,14.55,-0.39,5.00%,114.80%,3.42%,0.00%,87.50%,0.32%,-,-,-,-
2018-12-12,16:05:49 ,14.59,-1.02%,"3,019",2.20K,237.82M,-5.30M,127.10M,1.73,-,-,-,9.99,1.87,-,-,8.41,-7.43%,-8.91%,-11.90%,38.93,1.70%,19.80%,-1.00%,50.50%,13.00%,18.40%,16.30M,15.45M,0.49%,34.58,-,-32.36%,24.70%,14.74,-0.39,5.00%,114.80%,3.42%,0.00%,87.50%,0.32%,-,-,-,-
2018-12-13,16:05:56 ,13.25,-9.18%,"5,577",2.21K,215.98M,-5.30M,127.10M,1.57,-,-,-,9.07,1.70,-,-,8.41,-15.51%,-17.00%,-20.02%,30.19,1.70%,19.80%,-1.00%,50.50%,13.00%,18.40%,16.30M,15.45M,0.49%,34.51,-,-38.57%,13.25%,14.59,-0.39,5.00%,114.80%,3.42%,0.00%,87.50%,0.32%,-,-,-,-
2018-12-14,16:05:54 ,13.02,-1.74%,"2,175",2.26K,212.23M,-5.30M,127.10M,1.55,-,-,-,8.92,1.67,-,-,8.41,-16.11%,-18.09%,-21.42%,28.26,1.70%,19.80%,-1.00%,50.50%,13.00%,18.40%,16.30M,15.45M,0.49%,33.75,-,-39.64%,11.28%,13.25,-0.39,5.00%,114.80%,3.42%,0.00%,87.50%,0.32%,-,-,-,-
2018-12-17,16:05:02 ,13.26,1.84%,903,2.21K,215.87M,-5.30M,127.10M,1.57,-,-,-,9.07,1.70,-,-,8.41,-13.78%,-16.11%,-19.96%,31.52,1.70%,19.80%,-1.00%,50.50%,13.00%,18.40%,16.28M,15.45M,0.50%,34.97,-,-38.53%,13.33%,13.02,-0.39,5.00%,114.80%,3.42%,0.00%,87.50%,0.32%,-,-,-,-
2018-12-18,16:05:05 ,13.40,1.06%,651,2.20K,218.15M,-5.30M,127.10M,1.59,-,-,-,9.17,1.72,-,-,8.41,-12.06%,-14.85%,-19.11%,33.39,1.70%,19.80%,-1.00%,50.50%,13.00%,18.40%,16.28M,15.45M,0.50%,35.09,-,-37.88%,14.53%,13.26,-0.39,5.00%,114.80%,3.42%,0.00%,87.50%,0.32%,-,-,-,-
2018-12-19,16:05:07 ,13.16,-1.79%,"1,060",2.15K,214.24M,-5.30M,127.10M,1.56,-,-,-,9.00,1.69,-,-,8.41,-13.04%,-15.94%,-20.55%,32.70,1.70%,19.80%,-1.00%,50.50%,13.00%,18.40%,16.28M,15.45M,0.50%,35.90,-,-38.99%,12.48%,13.40,-0.39,5.00%,114.80%,3.42%,0.00%,87.50%,0.32%,-,-,-,-
2018-12-20,16:05:12 ,13.50,2.58%,"1,727",2.14K,219.78M,-5.30M,127.10M,1.60,-,-,-,9.23,1.73,-,-,8.41,-10.14%,-13.34%,-18.50%,36.15,1.70%,19.80%,-1.00%,50.50%,13.00%,18.40%,16.28M,15.45M,0.50%,36.17,-,-37.41%,15.38%,13.16,-0.39,5.00%,114.80%,3.42%,0.00%,87.50%,0.32%,-,-,-,-
2018-12-21,16:05:12 ,13.54,0.30%,"11,121",2.11K,220.43M,-5.30M,127.10M,1.61,-,-,-,9.26,1.73,-,-,8.41,-9.39%,-12.71%,-18.27%,38.01,1.70%,19.80%,-1.00%,50.50%,13.00%,18.40%,16.28M,15.45M,0.50%,36.61,-,-37.23%,15.73%,13.50,-0.39,5.00%,114.80%,3.42%,0.00%,87.50%,0.32%,-,-,-,-
2018-12-24,16:05:27 ,13.17,-2.73%,"1,300",2.05K,214.41M,-5.30M,127.10M,1.56,-,-,-,9.01,1.69,-,-,8.41,-11.29%,-14.80%,-20.50%,37.14,1.70%,19.80%,-1.00%,50.50%,13.00%,18.40%,16.28M,15.45M,0.50%,37.72,-,-38.94%,12.56%,13.54,-0.39,5.00%,114.80%,3.42%,0.00%,87.50%,0.32%,-,-,-,-
2018-12-25,16:05:30 ,13.17,-2.73%,"1,300",2.05K,214.41M,-5.30M,127.10M,1.56,-,-,-,9.01,1.69,-,-,8.41,-11.29%,-14.80%,-20.50%,37.14,1.70%,19.80%,-1.00%,50.50%,13.00%,18.40%,16.28M,15.45M,0.50%,37.72,-,-38.94%,12.56%,13.54,-0.39,5.00%,114.80%,3.42%,0.00%,87.50%,0.32%,-,-,-,-
