date,time,price,change,volume,avg_volume,market_cap,income,sales,p_b,p_e,f_p_e,peg,p_c,p_s,quick_ratio,current_ratio,debt_eq,sma20,sma50,sma200,rsi,roa,roe,roi,gross_margin,oper_margin,profit_margin,shs_outstand,shs_float,short_float,short_ratio,target_price,high_y,low_y,prev_close,eps,sales_q_to_q,eps_q_to_q,insider_own,insider_trans,inst_own,inst_trans,dividend,dividend_percent,employees,recom
2018-10-17,02:15:48 ,34.58,3.59%,"141,739",137.13K,979.31M,19.10M,708.60M,2.77,52.47,15.89,4.20,92.39,1.38,1.70,3.10,0.76,-2.04%,-5.50%,2.33%,45.75,2.40%,5.20%,4.40%,21.40%,4.10%,2.50%,28.32M,22.87M,1.46%,2.43,44.10,-17.34%,33.11%,33.38,0.66,38.10%,90.70%,0.90%,-20.85%,93.80%,-0.01%,-,-,2516,2.20
2018-10-17,21:07:51 ,33.90,-1.97%,"107,608",137.13K,960.05M,19.10M,708.60M,2.71,51.44,15.58,4.12,90.57,1.35,1.70,3.10,0.76,-3.66%,-7.25%,0.32%,41.56,2.40%,5.20%,4.40%,21.40%,4.10%,2.50%,28.32M,22.87M,1.46%,2.43,44.10,-18.96%,28.23%,34.58,0.66,38.10%,90.70%,0.90%,-19.85%,93.80%,-0.01%,-,-,2516,2.20
2018-10-18,21:46:31 ,32.89,-2.98%,"70,857",138.28K,931.44M,19.10M,708.60M,2.63,49.91,15.11,3.99,87.87,1.31,1.70,3.10,0.76,-6.11%,-9.86%,-2.64%,35.47,2.40%,5.20%,4.40%,21.40%,4.10%,2.50%,28.32M,22.87M,1.46%,2.41,44.10,-21.38%,19.34%,33.90,0.66,38.10%,90.70%,0.90%,-19.85%,93.80%,-0.01%,-,-,2516,2.20
2018-10-19,21:54:24 ,32.67,-0.67%,"75,640",138.62K,925.21M,19.10M,708.60M,2.61,49.58,15.01,3.97,87.28,1.31,1.70,3.10,0.76,-6.24%,-10.27%,-3.27%,34.40,2.40%,5.20%,4.40%,21.40%,4.10%,2.50%,28.32M,22.87M,1.46%,2.41,44.10,-21.90%,18.54%,32.89,0.66,38.10%,90.70%,0.90%,-19.85%,93.80%,-0.01%,-,-,2516,2.20
2018-10-22,19:09:30 ,32.96,0.89%,"80,993",138.42K,940.02M,19.10M,708.60M,2.64,50.02,16.40,4.00,88.68,1.33,1.70,3.10,0.76,-4.85%,-9.22%,-2.39%,37.15,2.40%,5.20%,4.40%,21.40%,4.10%,2.50%,28.52M,22.54M,1.48%,2.41,42.10,-21.21%,17.43%,32.67,0.66,38.10%,90.70%,1.80%,-10.95%,93.80%,-0.01%,-,-,2516,2.20
2018-10-23,19:10:38 ,32.70,-0.79%,"296,488",139.14K,932.60M,19.10M,708.60M,2.62,49.62,16.27,3.97,87.98,1.32,1.70,3.10,0.76,-5.08%,-9.68%,-3.13%,36.05,2.40%,5.20%,4.40%,21.40%,4.10%,2.50%,28.52M,22.54M,1.48%,2.40,42.10,-21.83%,16.50%,32.96,0.66,38.10%,90.70%,1.80%,-10.95%,93.80%,-0.01%,-,-,2516,2.20
2018-10-24,19:10:06 ,31.72,-3.00%,"161,078",143.10K,904.65M,19.10M,708.60M,2.54,48.13,15.78,3.85,85.34,1.28,1.70,3.10,0.76,-7.41%,-12.13%,-6.01%,31.50,2.40%,5.20%,4.40%,21.40%,4.10%,2.50%,28.52M,22.54M,1.48%,2.33,42.10,-24.17%,13.01%,32.70,0.66,38.10%,90.70%,1.80%,-10.95%,93.80%,-0.01%,-,-,2516,2.20
2018-10-25,19:10:07 ,30.55,-3.69%,"169,406",144.77K,871.29M,19.10M,708.60M,2.44,46.36,15.20,3.71,82.20,1.23,1.70,3.10,0.76,-10.23%,-15.06%,-9.44%,27.22,2.40%,5.20%,4.40%,21.40%,4.10%,2.50%,28.52M,22.54M,1.48%,2.31,42.10,-26.97%,8.84%,31.72,0.66,38.10%,90.70%,1.80%,-10.64%,93.80%,-0.01%,-,-,2516,2.20
2018-10-26,19:08:34 ,30.15,-1.31%,"163,240",146.33K,859.88M,19.10M,708.60M,2.41,45.75,15.00,3.66,81.12,1.21,1.70,3.10,0.76,-10.61%,-15.85%,-10.58%,26.11,2.40%,5.20%,4.40%,21.40%,4.10%,2.50%,28.52M,22.54M,1.48%,2.28,42.10,-27.93%,7.42%,30.55,0.66,38.10%,90.70%,1.80%,-10.64%,93.80%,-0.01%,-,-,2516,2.20
2018-10-29,19:07:50 ,29.17,-3.25%,"118,691",146.46K,837.18M,19.10M,708.60M,2.33,44.26,14.51,3.54,78.98,1.18,1.70,3.10,0.76,-12.65%,-18.24%,-13.43%,23.37,2.40%,5.20%,4.40%,21.40%,4.10%,2.50%,28.70M,22.81M,1.38%,2.15,40.90,-30.27%,3.92%,30.15,0.66,38.10%,90.70%,1.80%,-10.58%,93.80%,-0.01%,-,-,2516,2.20
2018-10-30,19:08:29 ,29.23,0.21%,"131,552",147.33K,838.90M,19.10M,708.60M,2.34,44.36,14.54,3.55,79.14,1.18,1.70,3.10,0.76,-11.46%,-17.68%,-13.11%,24.17,2.40%,5.20%,4.40%,21.40%,4.10%,2.50%,28.70M,22.81M,1.38%,2.14,40.90,-30.13%,4.14%,29.17,0.66,38.10%,90.70%,1.80%,-10.58%,93.80%,-0.01%,-,-,2516,2.20
2018-10-31,19:08:44 ,29.16,-0.24%,"98,523",148.63K,836.89M,19.10M,708.60M,2.33,44.25,14.51,3.54,78.95,1.18,1.70,3.10,0.76,-10.82%,-17.47%,-13.20%,24.19,2.40%,5.20%,4.40%,21.40%,4.10%,2.50%,28.70M,22.81M,1.38%,2.12,40.90,-30.29%,3.89%,29.23,0.66,38.10%,90.70%,1.80%,-10.58%,93.80%,-0.01%,-,-,2516,2.20
2018-11-01,19:09:59 ,29.34,0.62%,"270,946",148.98K,842.06M,19.10M,708.60M,2.35,44.52,14.60,3.56,79.44,1.19,1.70,3.10,0.76,-9.36%,-16.50%,-12.54%,25.28,2.40%,5.20%,4.40%,21.40%,4.10%,2.50%,28.70M,22.81M,1.38%,2.12,40.90,-29.86%,4.53%,29.16,0.66,38.10%,90.70%,1.80%,-10.58%,93.80%,-0.01%,-,-,2516,2.20
2018-11-03,00:33:58 ,29.90,1.91%,"227,204",151.52K,858.13M,19.10M,708.60M,2.39,45.37,14.88,3.63,80.96,1.21,1.70,3.10,0.76,-6.76%,-14.43%,-10.77%,31.26,2.40%,5.20%,4.40%,21.40%,4.10%,2.50%,28.70M,22.81M,1.38%,2.08,40.90,-28.52%,6.53%,29.34,0.66,38.10%,90.70%,1.80%,-10.27%,93.80%,-0.01%,-,-,2516,2.20
