date,time,price,change,volume,avg_volume,market_cap,income,sales,p_b,p_e,f_p_e,peg,p_c,p_s,quick_ratio,current_ratio,debt_eq,sma20,sma50,sma200,rsi,roa,roe,roi,gross_margin,oper_margin,profit_margin,shs_outstand,shs_float,short_float,short_ratio,target_price,high_y,low_y,prev_close,eps,sales_q_to_q,eps_q_to_q,insider_own,insider_trans,inst_own,inst_trans,dividend,dividend_percent,employees,recom
2018-10-17,02:18:30 ,58.38,1.23%,"43,401",39.40K,1.97B,105.70M,273.80M,2.22,18.26,15.57,1.83,1.10,7.20,-,-,0.04,-3.02%,-5.69%,-0.36%,38.78,1.40%,12.50%,21.40%,-,86.10%,37.00%,33.78M,18.29M,0.59%,2.75,63.00,-11.14%,14.92%,57.67,3.20,22.50%,28.30%,32.80%,-0.52%,40.50%,0.11%,1.20,2.06%,1782,3.00
2018-10-17,21:10:29 ,58.20,-0.31%,"32,990",39.40K,1.97B,105.70M,273.80M,2.21,18.20,15.52,1.82,1.10,7.18,-,-,0.04,-3.13%,-5.87%,-0.73%,38.07,1.40%,12.50%,21.40%,-,86.10%,37.00%,33.78M,18.29M,0.59%,2.75,63.00,-11.42%,14.57%,58.38,3.20,22.50%,28.30%,32.80%,-0.52%,40.50%,0.11%,1.20,2.06%,1782,3.00
2018-10-18,21:49:09 ,56.94,-2.16%,"22,397",39.48K,1.92B,105.70M,273.80M,2.16,17.80,15.18,1.78,1.07,7.02,-,-,0.04,-5.02%,-7.79%,-2.93%,32.42,1.40%,12.50%,21.40%,-,86.10%,37.00%,33.78M,18.29M,0.59%,2.75,63.00,-13.33%,12.09%,58.20,3.20,22.50%,28.30%,32.80%,-0.52%,40.50%,0.11%,1.20,2.11%,1782,3.00
2018-10-19,21:57:01 ,56.36,-1.02%,"58,317",39.46K,1.90B,105.70M,273.80M,2.14,17.62,15.03,1.76,1.06,6.95,-,-,0.04,-5.55%,-8.56%,-3.97%,30.14,1.40%,12.50%,21.40%,-,86.10%,37.00%,33.78M,18.29M,0.59%,2.75,63.00,-14.22%,10.94%,56.94,3.20,22.50%,28.30%,32.80%,-0.52%,40.50%,0.11%,1.20,2.13%,1782,3.00
2018-10-22,19:12:22 ,57.28,1.63%,"77,258",39.98K,1.89B,105.70M,273.80M,2.17,17.91,15.27,1.79,1.06,6.92,-,-,0.04,-3.50%,-6.88%,-2.43%,36.98,1.40%,12.50%,21.40%,-,86.10%,37.00%,33.07M,18.29M,0.59%,2.71,63.00,-12.82%,12.76%,56.36,3.20,22.50%,28.30%,32.80%,-0.19%,40.50%,0.16%,1.20,2.09%,1782,3.00
2018-10-23,19:13:31 ,58.28,1.75%,"81,843",39.94K,1.93B,105.70M,273.80M,2.21,18.22,15.54,1.82,1.08,7.04,-,-,0.04,-1.46%,-5.11%,-0.76%,43.08,1.40%,12.50%,21.40%,-,86.10%,37.00%,33.07M,18.29M,0.59%,2.71,63.00,-11.29%,14.72%,57.28,3.20,22.50%,28.30%,32.80%,-0.19%,40.50%,0.16%,1.20,2.06%,1782,3.00
2018-10-24,19:12:57 ,55.19,-5.30%,"71,177",40.31K,1.83B,105.70M,273.80M,2.09,17.26,14.72,1.73,1.02,6.67,-,-,0.04,-6.42%,-10.02%,-6.07%,32.35,1.40%,12.50%,21.40%,-,86.10%,37.00%,33.07M,18.29M,0.59%,2.69,63.00,-16.00%,8.64%,58.28,3.20,22.50%,28.30%,32.80%,-0.15%,40.50%,0.16%,1.20,2.17%,1782,3.00
2018-10-25,19:12:57 ,57.30,3.82%,"67,868",40.86K,1.89B,105.70M,273.80M,2.17,17.92,15.28,1.79,1.06,6.92,-,-,0.04,-2.41%,-6.33%,-2.50%,42.94,1.40%,12.50%,21.40%,-,86.10%,37.00%,33.07M,18.29M,0.59%,2.65,63.00,-12.79%,12.80%,55.19,3.20,22.50%,28.30%,32.80%,-0.15%,40.50%,0.16%,1.20,2.09%,1782,3.00
2018-10-26,19:11:28 ,56.92,-0.66%,"31,142",41.59K,1.88B,105.70M,273.80M,2.16,17.80,15.18,1.78,1.05,6.87,-,-,0.04,-2.86%,-6.78%,-3.17%,41.56,1.40%,12.50%,21.40%,-,86.10%,37.00%,33.07M,18.29M,0.59%,2.61,63.00,-13.36%,12.05%,57.30,3.20,22.50%,28.30%,32.80%,-0.15%,40.50%,0.16%,1.20,2.11%,1782,3.00
2018-10-29,19:10:31 ,57.06,0.25%,"31,699",41.76K,1.88B,116.90M,276.40M,2.17,16.24,14.95,1.62,1.05,6.81,-,-,0.04,-2.37%,-6.35%,-2.95%,42.14,1.30%,11.60%,21.40%,-,82.00%,34.00%,32.97M,18.30M,0.67%,2.93,62.00,-13.15%,12.32%,56.92,3.51,22.50%,28.30%,0.10%,-32.47%,40.50%,0.13%,1.20,2.10%,1782,3.00
2018-10-30,19:11:18 ,57.56,0.88%,"31,118",41.60K,1.90B,116.90M,276.40M,2.18,16.38,15.08,1.64,1.06,6.87,-,-,0.04,-1.38%,-5.32%,-2.12%,44.36,1.30%,11.60%,21.40%,-,82.00%,34.00%,32.97M,18.30M,0.67%,2.94,62.00,-12.39%,13.31%,57.06,3.51,22.50%,28.30%,0.10%,-32.47%,40.50%,0.13%,1.20,2.08%,1782,3.00
2018-10-31,19:11:21 ,57.38,-0.31%,"34,590",41.51K,1.89B,116.90M,276.40M,2.18,16.33,15.03,1.63,1.06,6.84,-,-,0.04,-1.65%,-5.42%,-2.45%,43.65,1.30%,11.60%,21.40%,-,82.00%,34.00%,32.97M,18.30M,0.67%,2.94,62.00,-12.66%,12.95%,57.56,3.51,22.50%,28.30%,0.10%,-32.47%,40.50%,0.13%,1.20,2.09%,1782,3.00
