date,time,price,change,volume,avg_volume,market_cap,income,sales,p_b,p_e,f_p_e,peg,p_c,p_s,quick_ratio,current_ratio,debt_eq,sma20,sma50,sma200,rsi,roa,roe,roi,gross_margin,oper_margin,profit_margin,shs_outstand,shs_float,short_float,short_ratio,target_price,high_y,low_y,prev_close,eps,sales_q_to_q,eps_q_to_q,insider_own,insider_trans,inst_own,inst_trans,dividend,dividend_percent,employees,recom
2018-10-17,00:21:00 ,47.09,0.64%,"3,825,580",3.25M,36.90B,2.69B,7.69B,1.37,13.91,10.86,1.97,12.63,4.80,-,-,0.81,-4.40%,-7.12%,-10.30%,31.63,1.20%,10.20%,9.60%,-,78.40%,35.50%,783.70M,768.81M,1.10%,2.61,56.41,-16.37%,5.62%,46.79,3.39,9.30%,28.10%,0.10%,-27.84%,67.50%,-0.03%,1.62,3.44%,36484,2.40
2018-10-17,19:15:32 ,47.71,1.32%,"4,960,587",3.27M,37.39B,2.69B,7.69B,1.38,14.09,11.00,2.00,12.80,4.86,-,-,0.81,-2.85%,-5.74%,-9.09%,38.13,1.20%,10.20%,9.60%,-,78.40%,35.50%,783.70M,768.81M,1.10%,2.59,56.41,-15.27%,7.01%,47.09,3.39,9.30%,28.10%,0.10%,-27.84%,67.50%,-0.03%,1.62,3.40%,36484,2.40
2018-10-18,19:53:37 ,48.28,1.19%,"5,199,767",3.29M,37.84B,2.69B,7.69B,1.40,14.26,11.13,2.02,12.95,4.92,-,-,0.81,-1.36%,-4.46%,-7.99%,42.85,1.20%,10.20%,9.60%,-,78.40%,35.50%,783.70M,768.81M,1.10%,2.58,56.41,-14.26%,8.29%,47.71,3.39,9.30%,28.10%,0.10%,-27.84%,67.50%,-0.03%,1.62,3.36%,36484,2.40
2018-10-19,20:02:22 ,48.92,1.33%,"5,813,619",3.28M,38.34B,2.69B,7.69B,1.42,14.45,11.28,2.05,13.12,4.99,-,-,0.81,0.28%,-3.05%,-6.75%,48.10,1.20%,10.20%,9.60%,-,78.40%,35.50%,783.70M,768.81M,1.10%,2.59,56.41,-13.12%,9.73%,48.28,3.39,9.30%,28.10%,0.10%,-27.84%,67.50%,-0.03%,1.62,3.31%,36484,2.40
2018-10-22,17:14:21 ,47.08,-3.76%,"6,734,421",3.24M,36.53B,2.88B,7.88B,1.37,12.88,10.80,1.83,12.50,4.63,-,-,0.81,-3.24%,-6.61%,-10.24%,37.81,1.20%,9.70%,9.60%,-,76.20%,32.80%,775.84M,772.64M,1.10%,2.61,56.30,-16.39%,3.04%,48.92,3.66,9.30%,28.10%,0.10%,-28.04%,67.50%,-0.01%,1.62,3.44%,36484,2.40
2018-10-23,17:15:00 ,47.10,0.04%,"5,949,881",3.24M,36.54B,2.88B,7.88B,1.37,12.89,10.81,1.83,12.51,4.64,-,-,0.81,-2.84%,-6.43%,-10.17%,38.12,1.20%,9.70%,9.60%,-,76.20%,32.80%,775.84M,772.64M,1.10%,2.62,56.30,-16.36%,3.08%,47.08,3.66,9.30%,28.10%,0.10%,-28.04%,67.50%,-0.01%,1.62,3.44%,36484,2.40
2018-10-24,17:14:20 ,46.06,-2.21%,"6,347,395",3.26M,35.74B,2.88B,7.88B,1.34,12.60,10.57,1.79,12.23,4.53,-,-,0.81,-4.67%,-8.38%,-12.11%,32.68,1.20%,9.70%,9.60%,-,76.20%,32.80%,775.84M,772.64M,1.10%,2.60,56.30,-18.20%,0.81%,47.10,3.66,9.30%,28.10%,0.10%,-28.04%,67.50%,-0.01%,1.62,3.52%,36484,2.40
2018-10-25,17:14:21 ,47.01,2.06%,"5,913,155",3.27M,36.47B,2.88B,7.88B,1.36,12.86,10.79,1.82,12.48,4.63,-,-,0.81,-2.33%,-6.27%,-10.25%,40.20,1.20%,9.70%,9.60%,-,76.20%,32.80%,775.84M,772.64M,1.10%,2.59,56.30,-16.52%,2.88%,46.06,3.66,9.30%,28.10%,0.10%,-28.04%,67.50%,-0.01%,1.62,3.45%,36484,2.40
2018-10-26,17:13:18 ,46.48,-1.13%,"8,930,387",3.30M,36.06B,2.88B,7.88B,1.35,12.72,10.67,1.80,12.34,4.58,-,-,0.81,-3.24%,-7.17%,-11.21%,37.70,1.20%,9.70%,9.60%,-,76.20%,32.80%,775.84M,772.64M,1.10%,2.57,56.30,-17.46%,1.72%,47.01,3.66,9.30%,28.10%,0.10%,-28.04%,67.50%,-0.01%,1.62,3.49%,36484,2.40
2018-10-29,17:13:39 ,47.77,2.78%,"7,146,349",3.38M,37.42B,2.88B,7.88B,1.37,13.07,10.96,1.85,12.44,4.75,-,-,0.86,-0.34%,-4.37%,-8.69%,46.75,1.30%,11.00%,9.60%,-,76.90%,37.10%,783.28M,772.64M,1.02%,2.33,55.99,-15.17%,4.55%,46.48,3.66,10.20%,36.30%,0.10%,-3.75%,67.40%,-0.15%,1.62,3.39%,36484,2.40
