date,time,price,change,volume,avg_volume,market_cap,income,sales,p_b,p_e,f_p_e,peg,p_c,p_s,quick_ratio,current_ratio,debt_eq,sma20,sma50,sma200,rsi,roa,roe,roi,gross_margin,oper_margin,profit_margin,shs_outstand,shs_float,short_float,short_ratio,target_price,high_y,low_y,prev_close,eps,sales_q_to_q,eps_q_to_q,insider_own,insider_trans,inst_own,inst_trans,dividend,dividend_percent,employees,recom
2018-10-17,02:23:07 ,8.01,1.91%,"86,568",171.22K,288.04M,-14.70M,162.40M,3.95,-,58.04,-,10.47,1.77,1.10,1.10,0.00,-1.07%,-1.41%,-2.92%,48.05,-11.10%,-21.10%,-29.90%,59.00%,-8.60%,-9.00%,35.96M,31.75M,1.39%,2.58,12.34,-25.49%,27.14%,7.86,-0.42,7.50%,29.10%,1.60%,3.60%,82.30%,0.07%,-,-,494,1.60
2018-10-17,21:15:06 ,8.03,0.25%,"57,783",171.22K,288.76M,-14.70M,162.40M,3.96,-,58.19,-,10.50,1.78,1.10,1.10,0.00,-0.65%,-1.13%,-2.73%,49.11,-11.10%,-21.10%,-29.90%,59.00%,-8.60%,-9.00%,35.96M,31.75M,1.39%,2.58,12.34,-25.30%,27.46%,8.01,-0.42,7.50%,29.10%,1.60%,3.60%,82.30%,0.07%,-,-,494,1.60
2018-10-18,21:53:43 ,7.94,-1.12%,"84,280",170.83K,285.52M,-14.70M,162.40M,3.91,-,57.54,-,10.38,1.76,1.10,1.10,0.00,-1.69%,-2.25%,-3.87%,45.26,-11.10%,-21.10%,-29.90%,59.00%,-8.60%,-9.00%,35.96M,31.75M,1.39%,2.59,12.34,-26.14%,26.03%,8.03,-0.42,7.50%,29.10%,1.60%,3.60%,82.30%,0.07%,-,-,494,1.60
2018-10-19,22:01:36 ,7.82,-1.51%,"126,707",170.54K,281.21M,-14.70M,162.40M,3.85,-,56.67,-,10.23,1.73,1.10,1.10,0.00,-2.99%,-3.71%,-5.37%,40.72,-11.10%,-21.10%,-29.90%,59.00%,-8.60%,-9.00%,35.96M,31.75M,1.39%,2.59,12.34,-27.26%,24.13%,7.94,-0.42,7.50%,29.10%,1.60%,3.60%,82.30%,0.07%,-,-,494,1.60
2018-10-22,19:17:22 ,7.94,1.53%,"90,156",170.77K,289.57M,-14.70M,162.40M,3.91,-,57.54,-,10.53,1.78,1.10,1.10,0.00,-1.24%,-2.16%,-3.95%,46.34,-11.10%,-21.10%,-29.90%,59.00%,-8.60%,-9.00%,36.47M,31.75M,1.39%,2.59,12.34,-26.14%,26.03%,7.82,-0.42,7.50%,29.10%,1.60%,3.55%,82.30%,0.07%,-,-,494,1.60
2018-10-23,19:18:31 ,7.91,-0.38%,"85,877",169.14K,288.48M,-14.70M,162.40M,3.90,-,57.32,-,10.49,1.78,1.10,1.10,0.00,-1.45%,-2.50%,-4.36%,45.22,-11.10%,-21.10%,-29.90%,59.00%,-8.60%,-9.00%,36.47M,31.75M,1.39%,2.62,12.34,-26.42%,25.56%,7.94,-0.42,7.50%,29.10%,1.60%,3.55%,82.30%,0.07%,-,-,494,1.60
2018-10-24,19:17:54 ,7.77,-1.77%,"118,926",168.86K,283.37M,-14.70M,162.40M,3.83,-,56.30,-,10.30,1.74,1.10,1.10,0.00,-2.99%,-4.21%,-6.09%,39.67,-11.10%,-21.10%,-29.90%,59.00%,-8.60%,-9.00%,36.47M,31.75M,1.39%,2.62,12.34,-27.72%,23.33%,7.91,-0.42,7.50%,29.10%,1.60%,3.55%,82.30%,0.07%,-,-,494,1.60
2018-10-25,19:17:55 ,7.97,2.57%,"103,236",168.28K,290.67M,-14.70M,162.40M,3.93,-,57.75,-,10.57,1.79,1.10,1.10,0.00,-0.19%,-1.70%,-3.72%,48.80,-11.10%,-21.10%,-29.90%,59.00%,-8.60%,-9.00%,36.47M,31.75M,1.39%,2.63,12.34,-25.86%,26.51%,7.77,-0.42,7.50%,29.10%,1.60%,3.55%,82.30%,0.07%,-,-,494,1.60
2018-10-26,19:16:26 ,7.96,-0.13%,"98,761",168.29K,290.30M,-14.70M,162.40M,3.92,-,57.68,-,10.56,1.79,1.10,1.10,0.00,-0.18%,-1.84%,-3.89%,48.72,-11.10%,-21.10%,-29.90%,59.00%,-8.60%,-9.00%,36.47M,31.75M,1.39%,2.63,12.34,-25.95%,26.35%,7.97,-0.42,7.50%,29.10%,1.60%,3.55%,82.30%,0.07%,-,-,494,1.60
2018-10-29,19:15:13 ,7.98,0.25%,"96,427",165.92K,287.04M,-14.70M,162.40M,3.93,-,57.83,-,10.44,1.77,1.10,1.10,0.00,0.35%,-1.54%,-3.70%,49.56,-11.10%,-21.10%,-29.90%,59.00%,-8.60%,-9.00%,35.97M,31.75M,1.27%,2.43,12.34,-25.77%,26.67%,7.96,-0.42,7.50%,29.10%,1.20%,4.86%,82.30%,0.04%,-,-,494,1.60
