date,time,price,change,volume,avg_volume,market_cap,income,sales,p_b,p_e,f_p_e,peg,p_c,p_s,quick_ratio,current_ratio,debt_eq,sma20,sma50,sma200,rsi,roa,roe,roi,gross_margin,oper_margin,profit_margin,shs_outstand,shs_float,short_float,short_ratio,target_price,high_y,low_y,prev_close,eps,sales_q_to_q,eps_q_to_q,insider_own,insider_trans,inst_own,inst_trans,dividend,dividend_percent,employees,recom
2018-10-17,00:24:56 ,16.23,1.76%,"41,286",57.88K,-,-,-,-,-,-,-,-,-,-,-,-,0.97%,-0.95%,-0.97%,53.44,-,-,-,-,-,-,-,-,-,0.18,-,-4.81%,4.04%,15.95,-,-,-,0.10%,-,27.05%,-,-,-,-,-
2018-10-17,19:19:28 ,16.21,-0.12%,"59,684",58.07K,-,-,-,-,-,-,-,-,-,-,-,-,0.90%,-1.01%,-1.10%,51.96,-,-,-,-,-,-,-,-,-,0.18,-,-4.93%,3.91%,16.23,-,-,-,0.10%,-,27.05%,-,-,-,-,-
2018-10-18,19:57:39 ,16.05,-0.99%,"38,185",58.48K,-,-,-,-,-,-,-,-,-,-,-,-,-0.05%,-1.93%,-2.08%,45.28,-,-,-,-,-,-,-,-,-,0.17,-,-5.87%,2.88%,16.21,-,-,-,0.10%,-,27.05%,-,-,-,-,-
2018-10-19,20:06:18 ,16.10,0.31%,"41,828",57.91K,-,-,-,-,-,-,-,-,-,-,-,-,0.33%,-1.55%,-1.78%,47.26,-,-,-,-,-,-,-,-,-,0.18,-,-5.57%,3.21%,16.05,-,-,-,0.10%,-,27.05%,-,-,-,-,-
2018-10-22,17:18:24 ,16.00,-0.62%,"51,089",58.06K,-,-,-,-,-,-,-,-,-,-,-,-,-0.24%,-2.11%,-2.40%,44.46,-,-,-,-,-,-,-,-,-,0.18,-,-6.16%,2.56%,16.10,-,-,-,0.10%,-,27.05%,-,-,-,-,-
2018-10-23,17:19:02 ,15.92,-0.50%,"40,641",57.51K,-,-,-,-,-,-,-,-,-,-,-,-,-0.65%,-2.53%,-2.89%,41.54,-,-,-,-,-,-,-,-,-,0.18,-,-6.63%,2.05%,16.00,-,-,-,0.10%,-,27.05%,-,-,-,-,-
2018-10-24,17:18:17 ,15.88,-0.25%,"75,451",57.81K,-,-,-,-,-,-,-,-,-,-,-,-,-0.80%,-2.69%,-3.13%,40.21,-,-,-,-,-,-,-,-,-,0.18,-,-6.86%,1.79%,15.92,-,-,-,0.10%,-,27.05%,-,-,-,-,-
2018-10-25,17:18:18 ,15.74,-0.88%,"42,113",57.99K,-,-,-,-,-,-,-,-,-,-,-,-,-1.59%,-3.46%,-3.99%,35.37,-,-,-,-,-,-,-,-,-,0.18,-,-7.68%,0.90%,15.88,-,-,-,0.10%,-,27.05%,-,-,-,-,-
2018-10-26,17:17:13 ,15.73,-0.06%,"40,388",58.01K,-,-,-,-,-,-,-,-,-,-,-,-,-1.56%,-3.43%,-4.05%,35.96,-,-,-,-,-,-,-,-,-,0.18,-,-7.74%,0.83%,15.74,-,-,-,0.10%,-,27.05%,-,-,-,-,-
2018-10-29,17:17:39 ,15.81,0.51%,"50,022",57.74K,-,-,-,-,-,-,-,-,-,-,-,-,-0.98%,-2.82%,-3.56%,40.32,-,-,-,-,-,-,-,-,-,0.14,-,-7.27%,1.35%,15.73,-,-,-,0.10%,-,27.05%,-,-,-,-,-
2018-10-30,17:17:51 ,15.47,-2.15%,"140,304",57.62K,-,-,-,-,-,-,-,-,-,-,-,-,-2.99%,-4.80%,-5.62%,31.33,-,-,-,-,-,-,-,-,-,0.14,-,-9.27%,-0.83%,15.81,-,-,-,0.10%,-,27.05%,-,-,-,-,-
2018-10-31,17:17:53 ,15.48,0.06%,"79,713",58.96K,-,-,-,-,-,-,-,-,-,-,-,-,-2.71%,-4.58%,-5.55%,31.69,-,-,-,-,-,-,-,-,-,0.13,-,-9.21%,0.91%,15.47,-,-,-,0.10%,-,27.05%,-,-,-,-,-
2018-11-01,17:17:59 ,15.54,0.39%,"72,559",59.27K,-,-,-,-,-,-,-,-,-,-,-,-,-2.11%,-4.05%,-5.16%,35.01,-,-,-,-,-,-,-,-,-,0.13,-,-8.86%,1.30%,15.48,-,-,-,0.10%,-,27.05%,-,-,-,-,-
2018-11-02,22:42:45 ,15.49,-0.32%,"59,691",59.53K,-,-,-,-,-,-,-,-,-,-,-,-,-2.23%,-4.20%,-5.45%,33.71,-,-,-,-,-,-,-,-,-,0.13,-,-9.15%,0.98%,15.54,-,-,-,0.10%,-,27.05%,-,-,-,-,-
2018-11-05,16:17:51 ,15.36,-0.84%,"133,040",59.74K,-,-,-,-,-,-,-,-,-,-,-,-,-2.94%,-4.86%,-6.23%,30.82,-,-,-,-,-,-,-,-,-,0.13,-,-9.91%,0.13%,15.49,-,-,-,0.10%,-,27.05%,-,-,-,-,-
