date,time,price,change,volume,avg_volume,market_cap,income,sales,p_b,p_e,f_p_e,peg,p_c,p_s,quick_ratio,current_ratio,debt_eq,sma20,sma50,sma200,rsi,roa,roe,roi,gross_margin,oper_margin,profit_margin,shs_outstand,shs_float,short_float,short_ratio,target_price,high_y,low_y,prev_close,eps,sales_q_to_q,eps_q_to_q,insider_own,insider_trans,inst_own,inst_trans,dividend,dividend_percent,employees,recom
2018-10-17,00:26:45 ,40.27,2.10%,"205,186",241.87K,15.52B,221.00M,4.00B,2.10,50.53,22.48,2.89,14.36,3.88,1.40,1.50,2.07,2.07%,1.30%,-0.15%,57.38,0.80%,4.00%,6.00%,58.30%,42.60%,5.50%,385.40M,385.40M,0.37%,5.87,46.45,-14.10%,8.05%,39.44,0.80,11.80%,700.50%,42.30%,0.00%,50.80%,-0.08%,1.88,4.67%,-,1.90
2018-10-17,19:21:16 ,40.14,-0.32%,"205,814",240.61K,15.47B,221.00M,4.00B,2.10,50.36,22.41,2.88,14.31,3.87,1.40,1.50,2.07,1.64%,1.02%,-0.42%,55.31,0.80%,4.00%,6.00%,58.30%,42.60%,5.50%,385.40M,385.40M,0.37%,5.90,46.45,-14.38%,7.70%,40.27,0.80,11.80%,700.50%,42.30%,0.00%,50.80%,-0.08%,1.88,4.68%,-,1.90
2018-10-18,19:59:37 ,39.62,-1.30%,"245,397",240.34K,15.27B,221.00M,4.00B,2.07,49.71,22.12,2.84,14.13,3.82,1.40,1.50,2.07,0.24%,-0.23%,-1.66%,49.71,0.80%,4.00%,6.00%,58.30%,42.60%,5.50%,385.40M,385.40M,0.37%,5.91,46.45,-15.49%,6.31%,40.14,0.80,11.80%,700.50%,42.30%,0.00%,50.80%,-0.08%,1.88,4.75%,-,1.90
2018-10-19,20:08:07 ,39.54,-0.20%,"173,463",240.90K,15.24B,221.00M,4.00B,2.07,49.61,22.08,2.83,14.10,3.81,1.40,1.50,2.07,-0.04%,-0.35%,-1.80%,48.47,0.80%,4.00%,6.00%,58.30%,42.60%,5.50%,385.40M,385.40M,0.37%,5.90,46.45,-15.66%,6.09%,39.62,0.80,11.80%,700.50%,42.30%,0.00%,50.80%,-0.08%,1.88,4.75%,-,1.90
2018-10-22,17:20:16 ,39.40,-0.35%,"237,404",239.33K,15.49B,221.00M,4.00B,2.06,49.44,22.00,2.82,14.33,3.87,1.40,1.50,2.07,-0.47%,-0.63%,-2.10%,47.20,0.80%,4.00%,6.00%,58.30%,42.60%,5.50%,393.19M,388.21M,0.37%,5.94,46.33,-15.96%,5.72%,39.54,0.80,11.80%,700.50%,42.30%,0.00%,50.80%,-0.21%,1.88,4.77%,-,1.90
2018-10-23,17:20:56 ,38.94,-1.17%,"213,182",239.80K,15.31B,221.00M,4.00B,2.03,48.86,21.74,2.79,14.16,3.83,1.40,1.50,2.07,-1.73%,-1.72%,-3.19%,41.97,0.80%,4.00%,6.00%,58.30%,42.60%,5.50%,393.19M,388.21M,0.37%,5.92,46.33,-16.94%,4.48%,39.40,0.80,11.80%,700.50%,42.30%,0.00%,50.80%,-0.21%,1.88,4.83%,-,1.90
2018-10-24,17:20:06 ,38.76,-0.46%,"305,690",240.72K,15.24B,221.00M,4.00B,2.03,48.63,21.64,2.78,14.10,3.81,1.40,1.50,2.07,-2.19%,-2.11%,-3.58%,40.15,0.80%,4.00%,6.00%,58.30%,42.60%,5.50%,393.19M,388.21M,0.37%,5.90,46.33,-17.32%,4.00%,38.94,0.80,11.80%,700.50%,42.30%,0.00%,50.80%,-0.21%,1.88,4.85%,-,1.90
2018-10-25,17:20:09 ,38.12,-1.65%,"408,240",242.63K,14.99B,221.00M,4.00B,1.99,47.83,21.28,2.73,13.87,3.75,1.40,1.50,2.07,-3.71%,-3.64%,-5.12%,34.31,0.80%,4.00%,6.00%,58.30%,42.60%,5.50%,393.19M,388.21M,0.37%,5.86,46.33,-18.69%,2.28%,38.76,0.80,11.80%,700.50%,42.30%,0.00%,50.80%,-0.21%,1.88,4.93%,-,1.90
2018-10-26,17:19:03 ,37.57,-1.44%,"515,087",244.80K,14.77B,221.00M,4.00B,1.96,47.14,20.98,2.69,13.67,3.69,1.40,1.50,2.07,-4.88%,-4.93%,-6.43%,30.79,0.80%,4.00%,6.00%,58.30%,42.60%,5.50%,393.19M,388.21M,0.37%,5.80,46.33,-19.86%,0.80%,38.12,0.80,11.80%,700.50%,42.30%,0.00%,50.80%,-0.21%,1.88,5.00%,-,1.90
2018-10-29,17:19:29 ,37.32,-0.67%,"212,435",247.96K,14.86B,221.00M,4.00B,1.95,46.83,22.37,2.68,13.75,3.71,1.40,1.50,2.07,-5.24%,-5.45%,-6.99%,30.00,0.80%,4.00%,6.00%,58.30%,42.60%,5.50%,398.14M,388.21M,0.39%,6.15,46.45,-20.39%,1.06%,37.57,0.80,11.80%,700.50%,42.30%,0.00%,50.80%,-0.20%,1.88,5.04%,-,1.90
2018-10-30,17:19:42 ,37.20,-0.32%,"320,046",249.23K,14.81B,221.00M,4.00B,1.94,46.68,22.30,2.67,13.70,3.70,1.40,1.50,2.07,-5.21%,-5.62%,-7.21%,29.93,0.80%,4.00%,6.00%,58.30%,42.60%,5.50%,398.14M,388.21M,0.39%,6.11,46.45,-20.65%,0.73%,37.32,0.80,11.80%,700.50%,42.30%,0.00%,50.80%,-0.20%,1.88,5.05%,-,1.90
