date,time,price,change,volume,avg_volume,market_cap,income,sales,p_b,p_e,f_p_e,peg,p_c,p_s,quick_ratio,current_ratio,debt_eq,sma20,sma50,sma200,rsi,roa,roe,roi,gross_margin,oper_margin,profit_margin,shs_outstand,shs_float,short_float,short_ratio,target_price,high_y,low_y,prev_close,eps,sales_q_to_q,eps_q_to_q,insider_own,insider_trans,inst_own,inst_trans,dividend,dividend_percent,employees,recom
2018-10-17,02:21:54 ,5.78,0.78%,"467,689",291.94K,412.99M,-7.10M,89.30M,0.77,-,8.03,-,53.64,4.62,-,-,0.45,-2.45%,-4.83%,-4.28%,37.24,-0.90%,-1.30%,6.90%,64.30%,54.30%,-8.00%,71.39M,70.49M,0.35%,0.85,6.13,-22.76%,5.57%,5.74,-0.13,-15.50%,-78.90%,0.30%,15.04%,37.10%,-0.12%,0.72,12.45%,-,2.50
2018-10-17,21:13:53 ,5.74,-0.78%,"393,873",291.94K,409.78M,-7.10M,89.30M,0.77,-,7.97,-,53.22,4.59,-,-,0.45,-2.96%,-5.47%,-4.99%,34.02,-0.90%,-1.30%,6.90%,64.30%,54.30%,-8.00%,71.39M,70.49M,0.35%,0.85,6.13,-23.36%,4.74%,5.78,-0.13,-15.50%,-78.90%,0.30%,15.04%,37.10%,-0.12%,0.72,12.54%,-,2.50
2018-10-18,21:52:31 ,5.69,-0.87%,"213,442",294.21K,406.21M,-7.10M,89.30M,0.76,-,7.90,-,52.75,4.55,-,-,0.45,-3.56%,-6.19%,-5.78%,31.41,-0.90%,-1.30%,6.90%,64.30%,54.30%,-8.00%,71.39M,70.49M,0.35%,0.85,6.13,-24.03%,3.83%,5.74,-0.13,-15.50%,-78.90%,0.30%,15.04%,37.10%,-0.12%,0.72,12.65%,-,2.50
2018-10-19,22:00:24 ,5.67,-0.35%,"533,554",295.30K,404.78M,-7.10M,89.30M,0.76,-,7.88,-,52.57,4.53,-,-,0.45,-3.56%,-6.40%,-6.07%,30.67,-0.90%,-1.30%,6.90%,64.30%,54.30%,-8.00%,71.39M,70.49M,0.35%,0.85,6.13,-24.30%,3.47%,5.69,-0.13,-15.50%,-78.90%,0.30%,15.04%,37.10%,-0.12%,0.72,12.70%,-,2.50
2018-10-22,19:16:02 ,5.68,0.18%,"296,909",301.28K,404.81M,-7.10M,89.30M,0.76,-,7.89,-,52.57,4.53,-,-,0.45,-3.09%,-6.11%,-5.86%,32.29,-0.90%,-1.30%,6.90%,64.30%,54.30%,-8.00%,71.27M,70.49M,0.35%,0.83,6.13,-24.17%,3.65%,5.67,-0.13,-15.50%,-78.90%,0.30%,15.07%,37.10%,-0.08%,0.72,12.68%,-,2.50
2018-10-23,19:17:11 ,5.67,-0.18%,"232,593",301.23K,404.10M,-7.10M,89.30M,0.76,-,7.88,-,52.48,4.53,-,-,0.45,-2.97%,-6.16%,-5.99%,32.03,-0.90%,-1.30%,6.90%,64.30%,54.30%,-8.00%,71.27M,70.49M,0.35%,0.83,6.13,-24.30%,3.47%,5.68,-0.13,-15.50%,-78.90%,0.30%,15.07%,37.10%,-0.08%,0.72,12.70%,-,2.50
2018-10-24,19:16:34 ,5.71,0.71%,"279,106",301.98K,406.95M,-7.10M,89.30M,0.76,-,7.93,-,52.85,4.56,-,-,0.45,-2.01%,-5.37%,-5.29%,34.32,-0.90%,-1.30%,6.90%,64.30%,54.30%,-8.00%,71.27M,70.49M,0.35%,0.83,6.13,-23.77%,4.20%,5.67,-0.13,-15.50%,-78.90%,0.30%,15.07%,37.10%,-0.08%,0.72,12.61%,-,2.50
2018-10-25,19:16:36 ,5.80,1.58%,"247,843",301.43K,413.37M,-7.10M,89.30M,0.78,-,8.06,-,53.68,4.63,-,-,0.45,-0.25%,-3.74%,-3.76%,44.82,-0.90%,-1.30%,6.90%,64.30%,54.30%,-8.00%,71.27M,70.49M,0.35%,0.83,6.13,-22.15%,5.84%,5.71,-0.13,-15.50%,-78.90%,0.30%,15.07%,37.10%,-0.08%,0.72,12.41%,-,2.50
2018-10-26,19:15:07 ,5.75,-0.86%,"270,325",302.25K,409.80M,-7.10M,89.30M,0.77,-,7.99,-,53.22,4.59,-,-,0.45,-0.96%,-4.48%,-4.57%,40.94,-0.90%,-1.30%,6.90%,64.30%,54.30%,-8.00%,71.27M,70.49M,0.35%,0.83,6.13,-21.98%,4.93%,5.80,-0.13,-15.50%,-78.90%,0.30%,15.07%,37.10%,-0.08%,0.72,12.52%,-,2.50
2018-10-29,19:13:58 ,5.72,-0.52%,"160,169",300.10K,406.21M,-,89.30M,0.75,104.00,7.94,34.67,-,4.55,-,-,-,-1.35%,-4.86%,-5.03%,38.20,-,-,-,-,-,-,71.02M,-,-,1.12,6.13,-22.39%,4.38%,5.75,0.06,-15.60%,-75.40%,0.72%,5.82%,36.97%,-,0.72,12.59%,-,2.50
2018-10-30,19:14:54 ,5.74,0.35%,"194,893",289.38K,407.63M,-,89.30M,0.75,104.36,7.97,34.79,-,4.56,-,-,-,-0.88%,-4.40%,-4.66%,40.46,-,-,-,-,-,-,71.02M,-,-,1.16,6.13,-21.90%,4.74%,5.72,0.06,-15.60%,-75.40%,0.72%,5.82%,36.97%,-,0.72,12.54%,-,2.50
2018-10-31,19:14:42 ,5.73,-0.17%,"284,642",288.34K,406.92M,-,89.30M,0.75,104.18,7.96,34.73,-,4.56,-,-,-,-0.89%,-4.43%,-4.80%,39.34,-,-,-,-,-,-,71.02M,-,-,1.17,6.13,-21.68%,4.56%,5.74,0.06,-15.60%,-75.40%,0.72%,5.82%,36.97%,-,0.72,12.57%,-,2.50
2018-11-01,19:16:10 ,6.06,5.76%,"630,336",288.40K,430.36M,-,89.30M,0.79,110.18,8.42,36.73,-,4.82,-,-,-,5.00%,1.23%,0.72%,62.88,-,-,-,-,-,-,71.02M,-,-,1.17,6.13,-15.72%,10.58%,5.73,0.06,-15.60%,-75.40%,0.72%,5.82%,36.97%,-,0.72,11.88%,-,2.50
