date,time,price,change,volume,avg_volume,market_cap,income,sales,p_b,p_e,f_p_e,peg,p_c,p_s,quick_ratio,current_ratio,debt_eq,sma20,sma50,sma200,rsi,roa,roe,roi,gross_margin,oper_margin,profit_margin,shs_outstand,shs_float,short_float,short_ratio,target_price,high_y,low_y,prev_close,eps,sales_q_to_q,eps_q_to_q,insider_own,insider_trans,inst_own,inst_trans,dividend,dividend_percent,employees,recom
2018-10-17,00:23:08 ,12.78,0.16%,"69,597",32.66K,-,-,-,-,-,-,-,-,-,-,-,-,-2.80%,-6.51%,-7.83%,16.47,-,-,-,-,-,-,-,-,-,0.33,-,-15.03%,0.47%,12.76,-,-,-,-,-,-,-,-,-,-,-
2018-10-17,19:17:39 ,12.78,0.00%,"30,839",33.53K,-,-,-,-,-,-,-,-,-,-,-,-,-2.51%,-6.32%,-7.76%,15.96,-,-,-,-,-,-,-,-,-,0.33,-,-15.03%,0.47%,12.78,-,-,-,-,-,-,-,-,-,-,-
2018-10-18,19:55:47 ,12.86,0.67%,"66,187",33.49K,-,-,-,-,-,-,-,-,-,-,-,-,-1.62%,-5.52%,-7.08%,26.53,-,-,-,-,-,-,-,-,-,0.33,-,-14.46%,1.14%,12.78,-,-,-,-,-,-,-,-,-,-,-
2018-10-19,20:04:28 ,12.88,0.12%,"25,923",34.27K,-,-,-,-,-,-,-,-,-,-,-,-,-1.30%,-5.24%,-6.90%,27.44,-,-,-,-,-,-,-,-,-,0.32,-,-14.36%,1.26%,12.86,-,-,-,-,-,-,-,-,-,-,-
2018-10-22,17:16:34 ,12.93,0.39%,"32,130",34.26K,-,-,-,-,-,-,-,-,-,-,-,-,-0.74%,-4.70%,-6.47%,32.15,-,-,-,-,-,-,-,-,-,0.32,-,-14.03%,1.65%,12.88,-,-,-,-,-,-,-,-,-,-,-
2018-10-23,17:17:11 ,12.97,0.31%,"34,983",34.61K,-,-,-,-,-,-,-,-,-,-,-,-,-0.30%,-4.24%,-6.11%,35.82,-,-,-,-,-,-,-,-,-,0.32,-,-13.76%,1.97%,12.93,-,-,-,-,-,-,-,-,-,-,-
2018-10-24,17:16:28 ,13.00,0.23%,"43,739",34.76K,-,-,-,-,-,-,-,-,-,-,-,-,0.06%,-3.87%,-5.83%,38.83,-,-,-,-,-,-,-,-,-,0.31,-,-13.56%,2.20%,12.97,-,-,-,-,-,-,-,-,-,-,-
2018-10-25,17:16:29 ,12.98,-0.15%,"18,893",35.22K,-,-,-,-,-,-,-,-,-,-,-,-,0.02%,-3.87%,-5.91%,37.52,-,-,-,-,-,-,-,-,-,0.31,-,-13.70%,2.04%,13.00,-,-,-,-,-,-,-,-,-,-,-
2018-10-26,17:15:26 ,12.93,-0.39%,"27,186",35.27K,-,-,-,-,-,-,-,-,-,-,-,-,-0.24%,-4.10%,-6.20%,34.38,-,-,-,-,-,-,-,-,-,0.31,-,-14.03%,1.65%,12.98,-,-,-,-,-,-,-,-,-,-,-
2018-10-29,17:15:48 ,12.94,0.08%,"38,774",35.43K,-,-,-,-,-,-,-,-,-,-,-,-,-0.03%,-3.88%,-6.06%,34.86,-,-,-,-,-,-,-,-,-,0.20,-,-13.96%,1.73%,12.93,-,-,-,-,-,-,-,-,-,-,-
2018-10-30,17:16:00 ,12.94,0.00%,"52,609",35.74K,-,-,-,-,-,-,-,-,-,-,-,-,0.10%,-3.73%,-6.00%,33.84,-,-,-,-,-,-,-,-,-,0.20,-,-13.96%,1.73%,12.94,-,-,-,-,-,-,-,-,-,-,-
2018-10-31,17:16:02 ,13.03,0.70%,"43,732",36.30K,-,-,-,-,-,-,-,-,-,-,-,-,0.92%,-2.90%,-5.29%,43.99,-,-,-,-,-,-,-,-,-,0.20,-,-13.36%,2.44%,12.94,-,-,-,-,-,-,-,-,-,-,-
2018-11-01,17:16:07 ,12.94,-0.69%,"70,671",36.55K,-,-,-,-,-,-,-,-,-,-,-,-,0.28%,-3.43%,-5.89%,37.34,-,-,-,-,-,-,-,-,-,0.20,-,-13.96%,1.73%,13.03,-,-,-,-,-,-,-,-,-,-,-
2018-11-02,22:40:57 ,12.91,-0.23%,"55,748",37.32K,-,-,-,-,-,-,-,-,-,-,-,-,0.12%,-3.50%,-6.06%,35.96,-,-,-,-,-,-,-,-,-,0.19,-,-14.16%,1.49%,12.94,-,-,-,-,-,-,-,-,-,-,-
2018-11-05,16:16:00 ,13.00,0.70%,"56,670",37.80K,-,-,-,-,-,-,-,-,-,-,-,-,0.84%,-2.65%,-5.35%,44.89,-,-,-,-,-,-,-,-,-,0.19,-,-13.56%,2.20%,12.91,-,-,-,-,-,-,-,-,-,-,-
2018-11-06,16:15:36 ,12.85,-1.19%,"127,415",38.18K,-,-,-,-,-,-,-,-,-,-,-,-,-0.41%,-3.64%,-6.43%,35.45,-,-,-,-,-,-,-,-,-,0.19,-,-14.59%,0.98%,13.00,-,-,-,-,-,-,-,-,-,-,-
2018-11-07,16:16:43 ,12.93,0.66%,"99,272",39.79K,-,-,-,-,-,-,-,-,-,-,-,-,0.28%,-2.81%,-5.75%,41.89,-,-,-,-,-,-,-,-,-,0.18,-,-14.03%,1.65%,12.85,-,-,-,-,-,-,-,-,-,-,-
2018-11-08,16:15:33 ,13.09,1.24%,"46,690",40.97K,-,-,-,-,-,-,-,-,-,-,-,-,1.48%,-1.43%,-4.53%,51.70,-,-,-,-,-,-,-,-,-,0.17,-,-12.97%,2.91%,12.93,-,-,-,-,-,-,-,-,-,-,-
