date,title,source
Oct-17-18,5 Underperforming Stocks in Gurus' Portfolios,GuruFocus.com
Oct-17-18,Booking.com to Offer Positively Chilling Overnight Accommodations at The San Francisco Dungeon This Halloween...If You Dare,PR Newswire
Oct-17-18,OpenTable Pilots Centralized Reservations for Hospitality Groups on GuestCenter,PR Newswire
Oct-18-18,The easy trick that could save you $100 on your holiday flights  plus the best days to book,CNBC
Oct-18-18,Booking.com Reveals Eight Travel Predictions for 2019,PR Newswire
Oct-19-18,"Analysis: Positioning to Benefit within Arista Networks, Global Payments, Alibaba Group Holding, Cummins, Booking, and LHC Group  Research Highlights Growth, Revenue, and Consolidated Results",GlobeNewswire
Oct-24-18,trivago N.V. (TRVG) Q3 2018 Earnings Conference Call Transcript,Motley Fool
Oct-24-18,Trivago Shares Surge Most in Two Years on Return to Profit,Bloomberg
Oct-24-18,OpenTable Reveals the 50 Best Restaurants for Vegetarians in America,PR Newswire
Oct-24-18,Canada's 50 Best Restaurants with Vegetarian Options According to OpenTable Diners,CNW Group
Oct-25-18,Trivago Seeks to Lower Ad Spending as Sales Drop,The Wall Street Journal
Oct-25-18,Can Booking Holdings (BKNG) Keep the Earnings Surprise Streak Alive?,Zacks
Oct-25-18,3 Things Trivago N.V. Management Wants You To Know,Motley Fool
Oct-26-18,Trivago Seeks to Lower Ad Spending as Sales Drop,The Wall Street Journal
Oct-29-18,Birmingham restaurant among nation's top 100 for wine,American City Business Journals
Oct-29-18,Booking Holdings becomes latest investor in Southeast Asia's Grab,Reuters
Oct-29-18,Booking Holdings and Grab Enter into Strategic Partnership,PR Newswire
Oct-30-18,Booking Holdings Inc (NASDAQ:BKNG): Time For A Financial Health Check,Simply Wall St.
Oct-30-18,"Booking Holdings to Present at the 2018 RBC Capital Markets Technology, Internet, Media and Telecommunications Conference",PR Newswire
Oct-30-18,Booking.com Announces New Products for Professional Short-Term Rental Partners at the Vacation Rental Management Association International Conference,PR Newswire
Oct-31-18,What's in Store for Booking Holdings (BKNG) in Q3 Earnings?,Zacks
Nov-01-18,Booking Booster 3.0: Booking.com Highlights Key Areas Being Tackled by Enterprising Startups in Sustainable Tourism,CNW Group
Nov-05-18,"Booking Earnings miss, Revenue beats In Q3",Investing.com
Nov-06-18,Asian markets rise awaiting US midterm election results,Associated Press
Nov-06-18,Edited Transcript of BKNG earnings conference call or presentation 5-Nov-18 9:30pm GMT,Thomson Reuters StreetEvents
Nov-06-18,What Happened in the Stock Market Today,Motley Fool
Nov-06-18,CVS and Booking Holdings climb while Ralph Lauren sinks,Associated Press
Nov-06-18,3 Stocks Move Tuesday on Financial Results,GuruFocus.com
Nov-06-18,Booking Holdings Shares Boosted By Q4 Guidance: The Sell-Side Reacts,Benzinga
Nov-06-18,Booking Holdings Jumps Midday; Leads TripAdvisor Up,Investing.com
Nov-06-18,Is Booking Holdings Inc. (BKNG) Going to Burn These Hedge Funds?,Insider Monkey
Nov-06-18,Tech Stocks Lead Stock Market Rally As Facebook Suspends More Accounts,Investor's Business Daily
Nov-06-18,Google got more than $1 billion in ad dollars last quarter from travel giant Booking,CNBC
Nov-06-18,"Booking Holdings (BKNG) Q3 Earnings Miss, Revenues Beat",Zacks
Nov-06-18,Booking Holdings Flies Higher,Motley Fool
Nov-06-18,"Stocks making the biggest move premarket: CVS, Eli Lilly, Marriott, Mylan & more",CNBC
Nov-06-18,"[$$] Stocks to Watch: Booking Holdings, Mylan, Marriott, Altice USA, Avis",The Wall Street Journal
Nov-06-18,"Booking.com Research Reveals that Women in Tech Are Committed to Staying in the Industry, and Are Taking the Lead on Achieving Gender Parity",PR Newswire
Nov-07-18,Edited Transcript of BKNG earnings conference call or presentation 5-Nov-18 9:30pm GMT,Thomson Reuters StreetEvents
Nov-08-18,Book Your Next Vacation With These Travel Websites,Zacks
Nov-08-18,TripAdvisor Stock Jumps As Third-Quarter Earnings Crush Estimates,Investor's Business Daily
Nov-08-18,Edited Transcript of BKNG earnings conference call or presentation 5-Nov-18 9:30pm GMT,Thomson Reuters StreetEvents
Nov-08-18,"Ctrip.com International, Ltd. (CTRP) Q3 2018 Earnings Conference Call Transcript",Motley Fool
Nov-09-18,Why Tripadvisor Inc Stock Slipped Today,Motley Fool
Nov-09-18,Edited Transcript of BKNG earnings conference call or presentation 5-Nov-18 9:30pm GMT,Thomson Reuters StreetEvents
Nov-13-18,Priceline Work-Life Balance Report: One in Four Working Americans Have Nine+ Days of Vacation Remaining This Year,Business Wire
Nov-14-18,Booking CEO says travel sites are flying higher,CNBC Videos
Nov-14-18,Booking Holdings Grapples With Funding the Right Type of Growth,Motley Fool
Nov-14-18,"The Zacks Analyst Blog Highlights: Berkshire Hathaway, AbbVie, Booking, HCA and Kimberly-Clark",Zacks
Nov-15-18,"Economic troubles, Brexit and trade wars may affect travel companies, executives warn",CNBC
Nov-19-18,Booking Holdings' Shift To A Merchant Model Leads To Upgrade,Benzinga
Nov-19-18,"Make Your Season Bright: Booking.com Launches the World's Most Sparkly Townhouse, in Collaboration With Christian Cowan",PR Newswire
