date,time,price,change,volume,avg_volume,market_cap,income,sales,p_b,p_e,f_p_e,peg,p_c,p_s,quick_ratio,current_ratio,debt_eq,sma20,sma50,sma200,rsi,roa,roe,roi,gross_margin,oper_margin,profit_margin,shs_outstand,shs_float,short_float,short_ratio,target_price,high_y,low_y,prev_close,eps,sales_q_to_q,eps_q_to_q,insider_own,insider_trans,inst_own,inst_trans,dividend,dividend_percent,employees,recom
2018-10-17,02:22:08 ,22.59,-5.60%,"496,493",163.50K,621.45M,23.50M,1.01B,-,27.68,12.41,1.85,14.83,0.62,0.40,1.10,-,-7.74%,-3.25%,1.05%,40.06,7.40%,-23.20%,61.80%,11.80%,3.40%,2.10%,27.51M,14.74M,5.11%,4.61,24.75,-16.18%,44.25%,23.93,0.82,-5.50%,17.80%,1.80%,-9.69%,99.30%,-0.01%,-,-,2066,2.30
2018-10-17,21:14:07 ,20.88,-7.57%,"174,748",163.50K,574.41M,23.50M,1.01B,-,25.59,11.47,1.71,13.71,0.57,0.40,1.10,-,-14.19%,-10.65%,-6.65%,30.91,7.40%,-23.20%,61.80%,11.80%,3.40%,2.10%,27.51M,14.74M,5.11%,4.61,24.75,-22.52%,33.33%,22.59,0.82,-5.50%,17.80%,1.80%,-9.69%,99.30%,-0.01%,-,-,2066,2.30
2018-10-18,21:52:44 ,20.53,-1.68%,"181,050",164.56K,564.78M,23.50M,1.01B,-,25.16,11.28,1.68,13.48,0.56,0.40,1.10,-,-14.84%,-12.11%,-8.25%,29.13,7.40%,-23.20%,61.80%,11.80%,3.40%,2.10%,27.51M,14.74M,5.11%,4.58,24.75,-23.82%,31.10%,20.88,0.82,-5.50%,17.80%,1.80%,-9.69%,99.30%,-0.01%,-,-,2066,2.30
2018-10-19,22:00:37 ,19.91,-3.02%,"131,882",165.99K,547.72M,23.50M,1.01B,-,24.40,10.94,1.63,13.07,0.54,0.40,1.10,-,-16.54%,-14.69%,-11.05%,27.01,7.40%,-23.20%,61.80%,11.80%,3.40%,2.10%,27.51M,14.74M,5.11%,4.54,24.75,-26.12%,27.14%,20.53,0.82,-5.50%,17.80%,1.80%,-9.69%,99.30%,-0.01%,-,-,2066,2.30
2018-10-22,19:16:17 ,19.63,-1.41%,"400,008",164.95K,548.85M,23.50M,1.01B,-,24.06,10.79,1.60,13.10,0.55,0.40,1.10,-,-16.76%,-15.68%,-12.32%,26.38,7.40%,-23.20%,61.80%,11.80%,3.40%,2.10%,27.96M,14.74M,5.11%,4.57,24.75,-27.16%,25.35%,19.91,0.82,-5.50%,17.80%,1.80%,-67.03%,99.30%,-0.04%,-,-,2066,2.30
2018-10-23,19:17:26 ,19.11,-2.65%,"303,151",169.75K,534.32M,23.50M,1.01B,-,23.42,10.50,1.56,12.75,0.53,0.40,1.10,-,-18.01%,-17.74%,-14.66%,23.92,7.40%,-23.20%,61.80%,11.80%,3.40%,2.10%,27.96M,14.74M,5.11%,4.44,24.75,-29.09%,22.03%,19.63,0.82,-5.50%,17.80%,1.80%,-67.03%,99.30%,-0.04%,-,-,2066,2.30
2018-10-24,19:16:49 ,19.10,-0.05%,"352,509",173.50K,534.04M,23.50M,1.01B,-,23.41,10.49,1.56,12.75,0.53,0.40,1.10,-,-16.99%,-17.59%,-14.71%,23.99,7.40%,-23.20%,61.80%,11.80%,3.40%,2.10%,27.96M,14.74M,5.11%,4.34,24.75,-29.13%,21.97%,19.11,0.82,-5.50%,17.80%,1.80%,-67.03%,99.30%,-0.04%,-,-,2066,2.30
2018-10-25,19:16:51 ,18.77,-1.73%,"200,524",178.02K,524.81M,23.50M,1.01B,-,23.00,10.31,1.53,12.53,0.52,0.40,1.10,-,-17.48%,-18.85%,-16.18%,22.90,7.40%,-23.20%,61.80%,11.80%,3.40%,2.10%,27.96M,14.74M,5.11%,4.23,24.75,-30.35%,19.86%,19.10,0.82,-5.50%,17.80%,1.80%,-67.03%,99.30%,-0.04%,-,-,2066,2.30
2018-10-26,19:15:22 ,18.25,-2.77%,"140,798",179.56K,510.27M,23.50M,1.01B,-,22.37,10.03,1.49,12.18,0.51,0.40,1.10,-,-18.78%,-20.94%,-18.51%,20.80,7.40%,-23.20%,61.80%,11.80%,3.40%,2.10%,27.96M,14.74M,5.11%,4.20,24.75,-32.28%,16.54%,18.77,0.82,-5.50%,17.80%,1.80%,-67.03%,99.30%,-0.04%,-,-,2066,2.30
2018-10-29,19:14:13 ,17.81,-2.41%,"141,412",180.38K,496.54M,23.50M,1.01B,-,21.83,9.79,1.46,11.85,0.49,0.40,1.10,-,-19.62%,-22.61%,-20.46%,19.91,7.40%,-23.20%,61.80%,11.80%,3.40%,2.10%,27.88M,15.74M,5.34%,4.66,24.75,-33.91%,13.73%,18.25,0.82,-5.50%,17.80%,1.90%,-65.88%,99.40%,-0.05%,-,-,2066,2.30
2018-10-30,19:15:08 ,18.34,2.98%,"195,690",181.48K,511.32M,23.50M,1.01B,-,22.48,10.08,1.50,12.20,0.51,0.40,1.10,-,-16.00%,-20.03%,-18.07%,26.44,7.40%,-23.20%,61.80%,11.80%,3.40%,2.10%,27.88M,15.74M,5.34%,4.63,24.75,-31.95%,17.11%,17.81,0.82,-5.50%,17.80%,1.90%,-65.88%,99.40%,-0.05%,-,-,2066,2.30
