date,time,price,change,volume,avg_volume,market_cap,income,sales,p_b,p_e,f_p_e,peg,p_c,p_s,quick_ratio,current_ratio,debt_eq,sma20,sma50,sma200,rsi,roa,roe,roi,gross_margin,oper_margin,profit_margin,shs_outstand,shs_float,short_float,short_ratio,target_price,high_y,low_y,prev_close,eps,sales_q_to_q,eps_q_to_q,insider_own,insider_trans,inst_own,inst_trans,dividend,dividend_percent,employees,recom
2018-10-17,02:22:40 ,28.69,5.91%,"54,342",53.23K,630.03M,-7.70M,11.00M,1.73,-,-,-,2.59,57.28,49.70,49.70,0.00,-1.01%,10.49%,21.12%,55.74,-3.50%,-3.60%,-4.60%,62.50%,-86.60%,-69.90%,21.96M,15.51M,5.45%,15.89,-,-19.16%,74.41%,27.09,-0.50,50.00%,53.70%,0.20%,-,48.10%,0.19%,-,-,86,-
2018-10-17,21:14:40 ,29.60,3.17%,"18,892",53.23K,650.02M,-7.70M,11.00M,1.78,-,-,-,2.67,59.09,49.70,49.70,0.00,2.35%,13.33%,25.06%,60.53,-3.50%,-3.60%,-4.60%,62.50%,-86.60%,-69.90%,21.96M,15.51M,5.45%,15.89,-,-16.60%,79.39%,28.69,-0.50,50.00%,53.70%,0.20%,-,48.10%,0.19%,-,-,86,-
2018-10-18,21:53:17 ,28.88,-2.43%,"10,704",53.07K,634.20M,-7.70M,11.00M,1.74,-,-,-,2.61,57.65,49.70,49.70,0.00,-0.08%,9.86%,22.01%,56.43,-3.50%,-3.60%,-4.60%,62.50%,-86.60%,-69.90%,21.96M,15.51M,5.45%,15.94,-,-18.62%,75.03%,29.60,-0.50,50.00%,53.70%,0.20%,-,48.10%,0.19%,-,-,86,-
2018-10-19,22:01:10 ,28.65,-0.80%,"20,561",51.83K,629.15M,-7.70M,11.00M,1.73,-,-,-,2.58,57.20,49.70,49.70,0.00,-0.59%,8.37%,21.01%,55.08,-3.50%,-3.60%,-4.60%,62.50%,-86.60%,-69.90%,21.96M,15.51M,5.45%,16.32,-,-19.27%,73.64%,28.88,-0.50,50.00%,53.70%,0.20%,-,48.10%,0.19%,-,-,86,-
2018-10-22,19:16:53 ,29.41,2.65%,"11,482",51.32K,654.08M,-7.70M,11.00M,1.77,-,-,-,2.69,59.46,49.70,49.70,0.00,1.98%,10.73%,24.15%,58.04,-3.50%,-3.60%,-4.60%,62.50%,-86.60%,-69.90%,22.24M,15.51M,5.45%,16.49,-,-17.13%,78.24%,28.65,-0.50,50.00%,53.70%,0.20%,-,48.10%,0.20%,-,-,86,-
2018-10-23,19:18:03 ,27.19,-7.55%,"58,532",50.96K,604.71M,-7.70M,11.00M,1.64,-,-,-,2.48,54.97,49.70,49.70,0.00,-5.77%,1.80%,14.66%,46.30,-3.50%,-3.60%,-4.60%,62.50%,-86.60%,-69.90%,22.24M,15.51M,5.45%,16.60,-,-23.39%,64.79%,29.41,-0.50,50.00%,53.70%,0.20%,-,48.10%,0.20%,-,-,86,-
2018-10-24,19:17:25 ,25.67,-5.59%,"35,515",51.53K,570.90M,-7.70M,11.00M,1.55,-,-,-,2.35,51.90,49.70,49.70,0.00,-10.79%,-4.37%,8.17%,40.86,-3.50%,-3.60%,-4.60%,62.50%,-86.60%,-69.90%,22.24M,15.51M,5.45%,16.42,-,-27.67%,52.34%,27.19,-0.50,50.00%,53.70%,0.20%,-,48.10%,0.20%,-,-,86,-
2018-10-25,19:17:27 ,27.10,5.57%,"78,399",51.60K,602.70M,-7.70M,11.00M,1.63,-,-,-,2.48,54.79,49.70,49.70,0.00,-5.17%,0.59%,14.17%,48.10,-3.50%,-3.60%,-4.60%,62.50%,-86.60%,-69.90%,22.24M,15.51M,5.45%,16.40,-,-23.64%,60.45%,25.67,-0.50,50.00%,53.70%,0.20%,-,48.10%,0.20%,-,-,86,-
2018-10-26,19:15:58 ,27.40,1.11%,"34,942",52.21K,609.38M,-7.70M,11.00M,1.65,-,-,-,2.50,55.40,49.70,49.70,0.00,-3.75%,1.16%,15.37%,49.30,-3.50%,-3.60%,-4.60%,62.50%,-86.60%,-69.90%,22.24M,15.51M,5.45%,16.20,-,-22.80%,61.65%,27.10,-0.50,50.00%,53.70%,0.20%,-,48.10%,0.20%,-,-,86,-
2018-10-29,19:14:48 ,27.03,-1.35%,"32,074",52.04K,589.79M,-7.70M,11.00M,1.63,-,-,-,2.42,53.62,49.70,49.70,0.00,-4.63%,-0.74%,13.72%,47.97,-3.50%,-3.60%,-4.60%,62.50%,-86.60%,-69.90%,21.82M,15.51M,5.48%,16.35,-,-23.84%,59.47%,27.40,-0.50,50.00%,53.70%,0.20%,-,48.20%,0.26%,-,-,86,-
2018-10-30,19:15:43 ,27.38,1.29%,"32,538",50.51K,597.43M,-7.70M,11.00M,1.65,-,-,-,2.45,54.31,49.70,49.70,0.00,-3.06%,0.06%,15.11%,48.02,-3.50%,-3.60%,-4.60%,62.50%,-86.60%,-69.90%,21.82M,15.51M,5.48%,16.84,-,-22.85%,61.53%,27.03,-0.50,50.00%,53.70%,0.20%,-,48.20%,0.26%,-,-,86,-
