date,title,source
Oct-17-18,"Boot Barn Holdings, Inc. to Report Second Quarter Fiscal Year 2019 Results on October 25, 2018",Business Wire
Oct-18-18,7 Great Companies You Could Buy If You Win Mega Millions,Kiplinger
Oct-18-18,"Consolidated Research: 2018 Summary Expectations for Barnes & Noble, Boot Barn, Endologix, Pilgrim's Pride, OraSure Technologies, and Genesco  Fundamental Analysis, Key Performance Indications",GlobeNewswire
Oct-19-18,Has Boot Barn Holdings (BOOT) Outpaced Other Retail-Wholesale Stocks This Year?,Zacks
Oct-22-18,7 Great Companies You Could Buy If You Win Mega Millions,Kiplinger
Oct-22-18,Boot Barn (BOOT) to Post Q2 Earnings: Is a Beat in the Cards?,Zacks
Oct-25-18,Boot Barn (BOOT) Tops Q2 Earnings and Revenue Estimates,Zacks
Oct-25-18,Boot Barn: Fiscal 2Q Earnings Snapshot,Associated Press
Oct-25-18,"Boot Barn Earnings Soar 300%, Crushing Views; Deckers Also Beats",Investor's Business Daily
Oct-25-18,"Boot Barn Holdings, Inc. Announces Second Quarter Fiscal Year 2019 Financial Results and Increased Annual Guidance",Business Wire
Oct-26-18,Edited Transcript of BOOT earnings conference call or presentation 25-Oct-18 8:30pm GMT,Thomson Reuters StreetEvents
Oct-26-18,Boot Barn shares down more than 7% and analysts can't explain why,MarketWatch
Oct-26-18,Correction Deepens As Stocks Crumble On Amazon's Revenue Miss,Investor's Business Daily
Oct-29-18,Is Boot Barn Holdings Inc (NYSE:BOOT) A Financially Sound Company?,Simply Wall St.
Oct-29-18,"The Zacks Analyst Blog Highlights: RH, Tilly's, Movado Group, Boot Barn Holdings and Casey's General Stores",Zacks
Oct-29-18,Edited Transcript of BOOT earnings conference call or presentation 25-Oct-18 8:30pm GMT,Thomson Reuters StreetEvents
Nov-02-18,Boot Barn (BOOT) Gains As Market Dips: What You Should Know,Zacks
Nov-02-18,U.S. Online Spending to Rise: 4 Retail Picks,Zacks
Nov-02-18,Boot Barn Supporting Troops with Socks for Soldiers Donation Event,Business Wire
Nov-05-18,Edited Transcript of BOOT earnings conference call or presentation 25-Oct-18 8:30pm GMT,Thomson Reuters StreetEvents
Nov-05-18,Holiday Retail Spending to Rise in 2018: 5 Picks,Zacks
