date,time,price,change,volume,avg_volume,market_cap,income,sales,p_b,p_e,f_p_e,peg,p_c,p_s,quick_ratio,current_ratio,debt_eq,sma20,sma50,sma200,rsi,roa,roe,roi,gross_margin,oper_margin,profit_margin,shs_outstand,shs_float,short_float,short_ratio,target_price,high_y,low_y,prev_close,eps,sales_q_to_q,eps_q_to_q,insider_own,insider_trans,inst_own,inst_trans,dividend,dividend_percent,employees,recom
2018-10-17,00:25:45 ,41.92,3.56%,"421,929",297.73K,2.18B,111.20M,1.17B,2.89,19.78,17.45,1.72,12.03,1.86,1.90,2.50,0.00,-2.12%,2.09%,7.78%,50.67,8.60%,12.30%,15.00%,50.10%,13.00%,7.70%,52.06M,46.62M,1.48%,2.32,44.80,-11.47%,19.77%,40.48,2.12,2.90%,37.90%,1.90%,-18.07%,86.40%,1.34%,0.85,2.03%,6200,2.80
2018-10-17,19:20:17 ,41.75,-0.41%,"701,584",296.29K,2.17B,111.20M,1.17B,2.88,19.70,17.38,1.71,11.98,1.85,1.90,2.50,0.00,-2.24%,1.45%,7.28%,49.66,8.60%,12.30%,15.00%,50.10%,13.00%,7.70%,52.06M,46.62M,1.48%,2.33,44.80,-11.83%,19.29%,41.92,2.12,2.90%,37.90%,1.90%,-18.07%,86.40%,1.34%,0.85,2.04%,6200,2.80
2018-10-18,19:58:31 ,41.60,-0.36%,"225,918",304.04K,2.17B,111.20M,1.17B,2.87,19.63,17.32,1.71,11.94,1.84,1.90,2.50,0.00,-2.32%,0.87%,6.87%,48.26,8.60%,12.30%,15.00%,50.10%,13.00%,7.70%,52.06M,46.62M,1.48%,2.27,44.80,-12.14%,18.86%,41.75,2.12,2.90%,37.90%,1.90%,-18.07%,86.40%,1.34%,0.85,2.04%,6200,2.80
2018-10-19,20:07:08 ,41.02,-1.39%,"163,388",305.33K,2.14B,111.20M,1.17B,2.83,19.36,17.08,1.68,11.77,1.82,1.90,2.50,0.00,-3.31%,-0.72%,5.35%,44.32,8.60%,12.30%,15.00%,50.10%,13.00%,7.70%,52.06M,46.62M,1.48%,2.26,44.80,-13.37%,17.20%,41.60,2.12,2.90%,37.90%,1.90%,-18.07%,86.40%,1.34%,0.85,2.07%,6200,2.80
2018-10-22,17:19:14 ,41.70,1.66%,"139,442",304.77K,2.20B,111.20M,1.17B,2.87,19.68,17.36,1.71,12.12,1.87,1.90,2.50,0.00,-1.34%,0.76%,7.06%,49.57,8.60%,12.30%,15.00%,50.10%,13.00%,7.70%,52.74M,46.62M,1.48%,2.27,44.80,-11.93%,19.14%,41.02,2.12,2.90%,37.90%,1.90%,-17.88%,86.10%,0.99%,0.85,2.04%,6200,2.80
2018-10-23,17:19:54 ,40.79,-2.18%,"498,870",304.85K,2.15B,111.20M,1.17B,2.81,19.25,16.98,1.67,11.86,1.83,1.90,2.50,0.00,-3.22%,-1.65%,4.69%,44.00,8.60%,12.30%,15.00%,50.10%,13.00%,7.70%,52.74M,46.62M,1.48%,2.27,44.80,-13.85%,16.54%,41.70,2.12,2.90%,37.90%,1.90%,-17.88%,86.10%,0.99%,0.85,2.08%,6200,2.80
2018-10-24,17:19:07 ,39.43,-3.33%,"544,329",310.43K,2.08B,111.20M,1.17B,2.72,18.61,16.42,1.62,11.46,1.77,1.90,2.50,0.00,-6.06%,-5.08%,1.17%,38.16,8.60%,12.30%,15.00%,50.10%,13.00%,7.70%,52.74M,46.62M,1.48%,2.23,44.80,-16.73%,12.66%,40.79,2.12,2.90%,37.90%,1.90%,-17.88%,86.10%,0.99%,0.85,2.16%,6200,2.80
2018-10-25,17:19:08 ,39.53,0.25%,"212,763",314.26K,2.08B,111.20M,1.17B,2.72,18.66,16.46,1.62,11.49,1.78,1.90,2.50,0.00,-5.33%,-4.93%,1.41%,39.45,8.60%,12.30%,15.00%,50.10%,13.00%,7.70%,52.74M,46.62M,1.48%,2.20,44.80,-16.52%,12.94%,39.43,2.12,2.90%,37.90%,1.90%,-17.88%,86.10%,0.99%,0.85,2.15%,6200,2.80
2018-10-26,17:18:03 ,39.62,0.23%,"227,599",313.20K,2.09B,111.20M,1.17B,2.73,18.70,16.49,1.63,11.52,1.78,1.90,2.50,0.00,-4.66%,-4.82%,1.62%,40.04,8.60%,12.30%,15.00%,50.10%,13.00%,7.70%,52.74M,46.62M,1.48%,2.21,44.80,-16.33%,13.20%,39.53,2.12,2.90%,37.90%,1.90%,-17.88%,86.10%,0.99%,0.85,2.15%,6200,2.80
2018-10-29,17:18:29 ,39.66,0.10%,"373,965",315.14K,2.06B,111.20M,1.17B,2.73,18.72,16.51,1.63,11.34,1.75,1.90,2.50,0.00,-4.09%,-4.80%,1.72%,40.10,8.60%,12.30%,15.00%,50.10%,13.00%,7.70%,51.89M,46.62M,1.48%,2.19,44.80,-16.24%,13.31%,39.62,2.12,2.90%,37.90%,1.90%,-18.12%,86.00%,0.95%,0.85,2.14%,6200,2.80
