date,time,price,change,volume,avg_volume,market_cap,income,sales,p_b,p_e,f_p_e,peg,p_c,p_s,quick_ratio,current_ratio,debt_eq,sma20,sma50,sma200,rsi,roa,roe,roi,gross_margin,oper_margin,profit_margin,shs_outstand,shs_float,short_float,short_ratio,target_price,high_y,low_y,prev_close,eps,sales_q_to_q,eps_q_to_q,insider_own,insider_trans,inst_own,inst_trans,dividend,dividend_percent,employees,recom
2018-10-17,02:25:40 ,43.11,4.38%,"766,086",1.04M,4.62B,38.70M,382.60M,29.94,125.32,137.73,-,32.60,12.08,3.20,3.20,0.00,-14.16%,-13.95%,12.87%,32.84,22.20%,42.60%,10.10%,94.40%,2.20%,10.10%,107.24M,51.55M,8.17%,4.04,48.00,-24.70%,58.90%,41.30,0.34,44.80%,619.40%,22.20%,-,78.60%,0.28%,-,-,549,2.30
2018-10-17,21:17:47 ,43.48,0.86%,"1,341,260",1.04M,4.66B,38.70M,382.60M,30.19,126.40,138.91,-,32.88,12.19,3.20,3.20,0.00,-12.61%,-13.16%,13.65%,34.28,22.20%,42.60%,10.10%,94.40%,2.20%,10.10%,107.24M,51.55M,8.17%,4.04,48.00,-24.05%,60.27%,43.11,0.34,44.80%,619.40%,22.20%,-,78.60%,0.28%,-,-,549,2.30
2018-10-18,21:56:17 ,41.85,-3.75%,"804,754",1.06M,4.49B,38.70M,382.60M,29.06,121.66,133.71,-,31.65,11.73,3.20,3.20,0.00,-15.19%,-16.35%,9.20%,31.12,22.20%,42.60%,10.10%,94.40%,2.20%,10.10%,107.24M,51.55M,8.17%,3.97,48.00,-26.90%,54.26%,43.48,0.34,44.80%,619.40%,22.20%,-,78.60%,0.28%,-,-,549,2.30
2018-10-19,22:04:09 ,40.92,-2.22%,"613,247",1.06M,4.39B,38.70M,382.60M,28.42,118.95,130.73,-,30.95,11.47,3.20,3.20,0.00,-16.22%,-17.81%,6.60%,29.47,22.20%,42.60%,10.10%,94.40%,2.20%,10.10%,107.24M,51.55M,8.17%,3.97,48.00,-28.52%,50.83%,41.85,0.34,44.80%,619.40%,22.20%,-,78.60%,0.28%,-,-,549,2.30
2018-10-22,19:20:09 ,41.40,1.17%,"557,434",1.07M,4.63B,38.70M,382.60M,28.75,120.35,132.27,-,32.68,12.11,3.20,3.20,0.00,-14.29%,-16.39%,7.70%,31.87,22.20%,42.60%,10.10%,94.40%,2.20%,10.10%,111.95M,51.78M,8.13%,3.95,48.00,-27.69%,48.65%,40.92,0.34,44.80%,619.40%,21.90%,-,78.60%,0.29%,-,-,549,2.30
2018-10-23,19:21:19 ,41.50,0.24%,"556,325",1.07M,4.65B,38.70M,382.60M,28.82,120.64,132.59,-,32.76,12.14,3.20,3.20,0.00,-12.96%,-15.83%,7.80%,32.14,22.20%,42.60%,10.10%,94.40%,2.20%,10.10%,111.95M,51.78M,8.13%,3.94,48.00,-27.51%,48.32%,41.40,0.34,44.80%,619.40%,21.90%,-,78.60%,0.29%,-,-,549,2.30
2018-10-24,19:20:40 ,41.02,-1.16%,"887,635",1.07M,4.59B,38.70M,382.60M,28.49,119.24,131.05,-,32.38,12.00,3.20,3.20,0.00,-12.79%,-16.48%,6.40%,31.27,22.20%,42.60%,10.10%,94.40%,2.20%,10.10%,111.95M,51.78M,8.13%,3.94,48.00,-28.35%,46.60%,41.50,0.34,44.80%,619.40%,21.90%,-,78.60%,0.29%,-,-,549,2.30
2018-10-25,19:20:43 ,42.35,3.24%,"633,862",1.08M,4.74B,38.70M,382.60M,29.41,123.11,135.30,-,33.43,12.39,3.20,3.20,0.00,-8.56%,-13.43%,9.70%,37.74,22.20%,42.60%,10.10%,94.40%,2.20%,10.10%,111.95M,51.78M,8.13%,3.91,48.00,-26.03%,51.36%,41.02,0.34,44.80%,619.40%,21.90%,-,78.60%,0.29%,-,-,549,2.30
2018-10-26,19:19:18 ,41.96,-0.92%,"696,826",1.08M,4.70B,38.70M,382.60M,29.14,121.98,134.06,-,33.13,12.28,3.20,3.20,0.00,-8.06%,-13.95%,8.52%,37.07,22.20%,42.60%,10.10%,94.40%,2.20%,10.10%,111.95M,51.78M,8.13%,3.89,48.00,-26.71%,49.86%,42.35,0.34,44.80%,619.40%,21.90%,-,78.60%,0.29%,-,-,549,2.30
2018-10-29,19:17:46 ,40.89,-2.55%,"557,008",1.08M,4.52B,38.70M,382.60M,28.40,118.87,130.64,-,31.86,11.81,3.20,3.20,0.00,-9.03%,-15.87%,5.60%,34.19,22.20%,42.60%,10.10%,94.40%,2.20%,10.10%,110.48M,51.91M,7.39%,3.56,48.00,-28.58%,46.04%,41.96,0.34,44.80%,619.40%,21.80%,-,78.60%,0.32%,-,-,549,2.30
