date,title,source
Oct-18-18,CarGurus to Report Third Quarter 2018 Financial Results,GlobeNewswire
Nov-05-18,"Cargurus Inc (CARG) CEO, President and Chairman Langley Steinert Sold $7.8 million of Shares",GuruFocus.com
Nov-07-18,CarGurus (CARG) Beats Q3 Earnings and Revenue Estimates,Zacks
Nov-07-18,CarGurus: 3Q Earnings Snapshot,Associated Press
Nov-07-18,CarGurus stock soars on company's Q3 earnings beat,MarketWatch
Nov-07-18,CarGurus Announces Third Quarter 2018 Results,GlobeNewswire
Nov-08-18,Why Shares of CarGurus Jumped Today,Motley Fool
Nov-08-18,CarGurus Helps Dealerships Solve for Attribution with More Insight,PR Newswire
Nov-12-18,"CarGurus to Present at the RBC Capital Markets 2018 Technology, Internet, Media and Telecommunications Conference",GlobeNewswire
Nov-14-18,"Online Auto Sales: BTIG Bullish On TrueCar, CarGurus",Benzinga
Nov-19-18,Jaguar Land Rover North America Names CarGurus A Certified Retail Marketing Vendor,PR Newswire
Nov-26-18,What's in the Cards for Titan Machinery (TITN) in Q3 Earnings?,Zacks
Nov-27-18,CarGurus to Present at Upcoming Investor Conferences,GlobeNewswire
Nov-27-18,"Consolidated Research: 2018 Summary Expectations for CarGurus, ARMOUR Residential REIT, Braskem S.A, HCI Group, Kimball Electronics, and CytomX Therapeutics  Fundamental Analysis, Key Performance Indications",GlobeNewswire
Nov-29-18,What's in the Cards for AutoZone (AZO) in Q1 Earnings?,Zacks
Nov-30-18,CarGurus Consumer Research Shows There's Still Life Left For Sedans,PR Newswire
Dec-03-18,Here are the tech firms hiring the most in the Boston area this year,American City Business Journals
Dec-04-18,CarGurus Sees Hammer Chart Pattern: Time to Buy?,Zacks
Dec-04-18,CarGurus signs agreement for acquisition of motoring website PistonHeads from Haymarket Media Group,PR Newswire
Dec-10-18,Nissan (NSANY) to Issue Recall on Improper Vehicles Scrutiny,Zacks
Dec-10-18,"Thor (THO) Q1 Earnings & Revenues Lag Estimates, Down Y/Y",Zacks
Dec-12-18,"Should You Be Excited About CarGurus, Inc.s (NASDAQ:CARG) 29% Return On Equity?",Simply Wall St.
Dec-14-18,3 Auto Stocks That Survived the Sector Bloodbath in 2018,Zacks
Dec-20-18,3 Auto Stocks That Could Keep Winning Streak Alive in 2019,Zacks
Dec-24-18,Nissan to Slash Mexican Workforce for Challenging Conditions,Zacks
Dec-24-18,Ford (F) Issues Another Recall for Trucks in North America,Zacks
Dec-26-18,4 Reasons to Add America's Car-Mart to Your Portfolio Now,Zacks
Dec-26-18,Reasons to Add AutoZone (AZO) Stock to Your Portfolio Now,Zacks
Dec-27-18,Winnebago's (WGO) Revenues Gain on Chris-Craft Acquisition,Zacks
Dec-27-18,CarGurus Launches New Brand Campaign for 2019,PR Newswire
Dec-27-18,Goodyear Tire Dips to 52-Week Low: What's Behind the Fall?,Zacks
Dec-28-18,SMP vs. CARG: Which Stock Should Value Investors Buy Now?,Zacks
Dec-28-18,4 Reasons to Add Advance Auto Parts to Your Portfolio Now,Zacks
Dec-28-18,"CarMax Forges Ahead With Store Expansion, Expense Woes Stay",Zacks
Dec-31-18,4 Reasons to Add Allison Transmission to Your Portfolio Now,Zacks
Jan-02-19,Magna (MGA) Gains on Innovation Amid Lower Production Outlook,Zacks
Jan-02-19,Copart (CPRT) Gains From Auction Locations Despite High Costs,Zacks
Jan-03-19,General Motors Reaches Federal Tax Credit Phase Out Limit,Zacks
Jan-03-19,AutoNation (AN) Lags on Dip in New-Vehicle Sales & Cost Woes,Zacks
Jan-03-19,"Tesla (TSLA) Announces Q4 Deliveries, Slashes Price in the US",Zacks
Jan-04-19,Auto Sales Surprisingly Up in 2018: ETF & Stocks to Buy,Zacks
Jan-04-19,Westport Fuel (WPRT) Down on Rising Raw Material Prices,Zacks
Jan-07-19,Tesla (TSLA) to Break Ground on Gigafactory Plant in China,Zacks
Jan-07-19,BorgWarner (BWA) to Sell Non-Core Thermostat Unit for EUR24M,Zacks
Jan-08-19,CarGurus Completes Acquisition of Motoring Website PistonHeads,PR Newswire
Jan-08-19,AutoNation (AN) Declares Cost-Saving & Restructuring Plan,Zacks
Jan-15-19,CarGurus exec joins Andy Rubin-backed Owl Labs as CEO,American City Business Journals
Jan-25-19,CarGurus 2018 Buyer Insight Report Dives Into Car Shopping Journey,PR Newswire
