date,title,source
Oct-18-18,Why Is Cracker Barrel (CBRL) Up 9.4% Since Last Earnings Report?,Zacks
Oct-22-18,"Consolidated Research: 2018 Summary Expectations for John Bean Technologies, Liberty Global, Bright Horizons Family Solutions, Cracker Barrel Old Country Store, Osisko Gold Royalties, and GCI Liberty  Fundamental Analysis, Key Performance Indications",GlobeNewswire
Oct-24-18,"CF, Cracker Barrel Old Country, McDonald's, Verizon and United Technologies highlighted as Zacks Bull and Bear of the Day",Zacks
Oct-24-18,Bear of the Day: Cracker Barrel (CBRL),Zacks
Oct-29-18,Cracker Barrel Old Country Store Inc (NASDAQ:CBRL): What Does The Future Look Like?,Simply Wall St.
Nov-08-18,Robert Olstein's Top 5 New Buys,GuruFocus.com
Nov-13-18,Earnings Preview: Cracker Barrel Old Country Store (CBRL) Q1 Earnings Expected to Decline,Zacks
Nov-13-18,Cracker Barrel Fiscal 2019 First Quarter Conference Call On The Internet,PR Newswire
Nov-20-18,Earnings Preview: Cracker Barrel Old Country Store (CBRL) Q1 Earnings Expected to Decline,Zacks
Nov-20-18,Should You Consider Cracker Barrel Old Country Store Inc (NASDAQ:CBRL)?,Simply Wall St.
Nov-27-18,Cracker Barrel Old Country Store (CBRL) Q1 2019 Earnings Conference Call Transcript,Motley Fool
Nov-27-18,Cracker Barrel Stock Breaks Out To Buy Zone On Strong Earnings,Investor's Business Daily
Nov-27-18,Stock News Today: Verizon Leads Dow Jones; Vertex Soars On Drug Data,Investor's Business Daily
Nov-27-18,Cracker Barrel: Fiscal 1Q Earnings Snapshot,Associated Press
Nov-27-18,Cracker Barrel Reports First Quarter Fiscal 2019 Results and Declares Quarterly Dividend,PR Newswire
Nov-28-18,"Cracker Barrel (CBRL) Q1 Earnings, Revenues Beat Estimates",Zacks
Nov-30-18,Cracker Barrel (CBRL) Up 24% in 3 Months: More Room to Run?,Zacks
Nov-30-18,"Market Trends Toward New Normal in Gartner, CONVERGEONE HLD, Syros Pharmaceuticals, Akers Biosciences, Edge Therapeutics, and Cracker Barrel Old Country Store  Emerging Consolidated Expectations, Analyst Ratings",GlobeNewswire
Dec-10-18,Why Cracker Barrel Old Country Store Inc (NASDAQ:CBRL) Should Be In Your Portfolio,Simply Wall St.
Dec-14-18,"Starbucks Outlines Long-Term Growth Plan, China in Focus",Zacks
Dec-19-18,Has Cracker Barrel Old Country Store (CBRL) Outpaced Other Retail-Wholesale Stocks This Year?,Zacks
Dec-24-18,Cracker Barrel (CBRL) Sales Building Efforts to Drive Growth,Zacks
Dec-24-18,Which Restaurant Stock Could be Chipotle (CMG) of 2019?,Zacks
Dec-27-18,BJ's Restaurants Outpaces Peers: Stock Surges 39% in a Year,Zacks
Dec-27-18,Yum China Rides on Unit Expansion Amid Increased Expenses,Zacks
Dec-27-18,Cracker Barrel (CBRL) Down 11.3% Since Last Earnings Report: Can It Rebound?,Zacks
Jan-07-19,"2019 Is Already Bringing Angst, and Opportunity, for the Value Investor",TheStreet.com
Jan-07-19,"Scrap Jack in the Box, Consider These 5 Stocks Instead",Zacks
Jan-10-19,Is Red Robin (RRGB) Fated to Witness a Terrible 2019 Too?,Zacks
Jan-15-19,Soft Traffic to Hurt Restaurant Industry's Near-Term Prospects,Zacks
Jan-15-19,Wingstop Releases Preliminary Q4 &amp; 2018 Top-Line Numbers,Zacks
Jan-17-19,Top Ranked Growth Stocks to Buy for January 17th,Zacks
Jan-18-19,Will YUM! Brands (YUM) Continue its Bull Run in 2019?,Zacks
Jan-18-19,Edited Transcript of CBRL earnings conference call or presentation 27-Nov-18 4:00pm GMT,Thomson Reuters StreetEvents
Jan-18-19,"Report: Developing Opportunities within Macerich, Illinois Tool Works, NeoGenomics, Bunge, Dolby Laboratories, and Cracker Barrel Old Country Store  Future Expectations, Projections Moving into 2019",GlobeNewswire
Jan-25-19,Cracker Barrel Old Country Store Remains an Interesting Takeover Possibility,TheStreet.com
Feb-12-19,Analysts Estimate Cracker Barrel Old Country Store (CBRL) to Report a Decline in Earnings: What to Look Out for,Zacks
Feb-12-19,Cracker Barrel Fiscal 2019 Second Quarter Conference Call On The Internet,PR Newswire
Feb-19-19,Factors Likely to Influence Domino's (DPZ) Earnings in Q4,Zacks
Feb-19-19,Menu Innovation to Aid BJ's Restaurants (BJRI) Q4 Earnings,Zacks
Feb-20-19,What Cracker Barrel Serves Up to Investors,Motley Fool
Feb-20-19,System Optimization Efforts to Aid Wendy's (WEN) Q4 Earnings,Zacks
Feb-26-19,"Cracker Barrel Old Country Store, Inc. (CBRL) Q2 2019 Earnings Conference Call Transcript",Motley Fool
Feb-26-19,How an Activist Shareholder Has Increased Cracker Barrel's Value,Motley Fool
Feb-26-19,Where Are the Red Flags in the Cracker Barrel Investment Thesis?,Motley Fool
Feb-26-19,Why Does Cracker Barrel Return So Much Cash to Shareholders?,Motley Fool
Feb-26-19,"Cracker Barrel's Business Model at 10,000 Feet: What Makes It Unique",Motley Fool
Feb-26-19,Cracker Barrel Earnings Beat on Top and Bottom Lines,TheStreet.com
Feb-26-19,Cracker Barrel shares pare initial gains after earnings beat,MarketWatch
Feb-26-19,"Cracker Barrel Reports Second Quarter Fiscal 2019 Results, Company Reports Positive Comparable Store Restaurant Sales",PR Newswire
Feb-27-19,Edited Transcript of CBRL earnings conference call or presentation 26-Feb-19 4:00pm GMT,Thomson Reuters StreetEvents
Feb-27-19,Cracker Barrel (CBRL) Q2 Earnings &amp; Revenues Beat Estimates,Zacks
Feb-28-19,"How Financially Strong Is Cracker Barrel Old Country Store, Inc. (NASDAQ:CBRL)?",Simply Wall St.
Feb-28-19,Edited Transcript of CBRL earnings conference call or presentation 26-Feb-19 4:00pm GMT,Thomson Reuters StreetEvents
Mar-05-19,"Cracker Barrel Old Country Store, Inc. Declares Quarterly Dividend",PR Newswire
Mar-06-19,"Cracker Barrel Old Country Store, Inc. to Present at the Bank of America Merrill Lynch Consumer & Retail Technology Conference",PR Newswire
Mar-14-19,Cracker Barrel Down 3% in a Year: Can Efforts Aid Revival?,Zacks
Mar-15-19,Try Your Luck Out With These Stocks on St. Patrick's Day,Zacks
Mar-15-19,"What Kind Of Shareholders Own Cracker Barrel Old Country Store, Inc. (NASDAQ:CBRL)?",Simply Wall St.
Mar-18-19,Edited Transcript of CBRL earnings conference call or presentation 26-Feb-19 4:00pm GMT,Thomson Reuters StreetEvents
Mar-20-19,6 High-Yielding Stocks,GuruFocus.com
Mar-26-19,Will Cracker Barrel Cave To Activist Pressure?,Motley Fool
Mar-28-19,Why Is Cracker Barrel (CBRL) Down 0.6% Since Last Earnings Report?,Zacks
Mar-28-19,"Market Trends Toward New Normal in The Hartford Financial Services Group, Armada Hoffler Properties, SkyWest, Cracker Barrel Old Country Store, Vivint Solar, and PJT Partners  Emerging Consolidated Expectations, Analyst Ratings",GlobeNewswire
Apr-01-19,"Does Cracker Barrel Old Country Store, Inc.'s (NASDAQ:CBRL) CEO Pay Compare Well With Peers?",Simply Wall St.
Apr-08-19,The Crowded Restaurant Landscape Has Several Shining Stars,TheStreet.com
Apr-16-19,"What Does Cracker Barrel Old Country Store, Inc.'s (NASDAQ:CBRL) Balance Sheet Tell Us About It?",Simply Wall St.
Apr-17-19,"Cracker Barrel Old Country Store to Serve Donated Meals to 5,000 Military Family Members this Easter",PR Newswire
Apr-26-19,"Heres What Hedge Funds Think About Cracker Barrel Old Country Store, Inc. (CBRL)",Insider Monkey
Apr-29-19,"To Celebrate 50 Years, Cracker Barrel Old Country Store Releases Southern Fried Chicken",PR Newswire
Apr-30-19,"Is Cracker Barrel Old Country Store, Inc. (NASDAQ:CBRL) Worth US$172 Based On Its Intrinsic Value?",Simply Wall St.
May-06-19,Will Cracker Barrel (CBRL) Beat Estimates Again in Its Next Earnings Report?,Zacks
May-14-19,Investors Who Bought Cracker Barrel Old Country Store (NASDAQ:CBRL) Shares Five Years Ago Are Now Up 73%,Simply Wall St.
May-21-19,Cracker Barrel Old Country Store (CBRL) to Report Q3 Results: Wall Street Expects Earnings Growth,Zacks
May-21-19,Cracker Barrel Fiscal 2019 Third Quarter Conference Call On The Internet,PR Newswire
May-22-19,These Food Stocks Are No Great Shakes,TheStreet.com
May-29-19,"Does Cracker Barrel Old Country Store, Inc.'s (NASDAQ:CBRL) -8.6% Earnings Drop Reflect A Longer Term Trend?",Simply Wall St.
May-29-19,Building Cash Flow Nirvana Through Dividend Stocks,Motley Fool
May-31-19,"Earnings Reports for the Week of June 3-7 (CRM, GME, OLLI)",Kiplinger
May-31-19,Factors Setting the Tone for Cracker Barrel (CBRL) Q3 Earnings,Zacks
Jun-03-19,Q3 Earnings Outlook For Cracker Barrel,Benzinga
Jun-03-19,Cracker Barrel Reports Below a Key Moving Average,Investopedia
Jun-04-19,Cracker Barrel Old Country Store Inc (CBRL) Q3 2019 Earnings Call Transcript,Motley Fool
Jun-04-19,Cracker Barrel Earnings: CBRL Stock Cruises Higher on Q3 Topper,InvestorPlace
Jun-04-19,Cracker Barrel (CBRL) Q3 Earnings &amp; Revenues Top Estimates,Zacks
Jun-04-19,Cracker Barrel Climbs Following Third-Quarter Earnings Beat,TheStreet.com
Jun-04-19,Cracker Barrel Old Country Store (CBRL) Tops Q3 Earnings and Revenue Estimates,Zacks
Jun-04-19,Cracker Barrel Posts Better-Than-Expected Q3 Results,Benzinga
Jun-04-19,Cracker Barrel: Fiscal 3Q Earnings Snapshot,Associated Press
Jun-04-19,"Cracker Barrel Reports Third Quarter Fiscal 2019 Results, Increases Quarterly Dividend, Declares Special Dividend, And Authorizes Share Repurchases",PR Newswire
Jun-07-19,Edited Transcript of CBRL earnings conference call or presentation 4-Jun-19 3:00pm GMT,Thomson Reuters StreetEvents
Jun-10-19,"Hedge Funds Have Never Been This Bullish On Cracker Barrel Old Country Store, Inc. (CBRL)",Insider Monkey
Jun-10-19,Lessons Learned at the Ol' Cracker Barrel,TheStreet.com
Jun-11-19,3 Top Restaurant Stocks to Buy in June,Motley Fool
Jun-18-19,"Cracker Barrel Old Country Store, Inc. (NASDAQ:CBRL) Insiders Have Been Selling",Simply Wall St.
