date,time,price,change,volume,avg_volume,market_cap,income,sales,p_b,p_e,f_p_e,peg,p_c,p_s,quick_ratio,current_ratio,debt_eq,sma20,sma50,sma200,rsi,roa,roe,roi,gross_margin,oper_margin,profit_margin,shs_outstand,shs_float,short_float,short_ratio,target_price,high_y,low_y,prev_close,eps,sales_q_to_q,eps_q_to_q,insider_own,insider_trans,inst_own,inst_trans,dividend,dividend_percent,employees,recom
2018-10-17,00:30:08 ,55.05,1.27%,"5,031,329",3.71M,20.52B,1.78B,14.32B,9.61,12.09,9.42,0.68,81.45,1.43,1.10,1.60,4.55,-1.76%,0.68%,1.56%,47.98,6.80%,64.10%,17.70%,37.50%,17.00%,10.20%,372.83M,337.12M,2.47%,2.24,64.62,-10.62%,15.80%,54.36,4.55,6.40%,8.40%,0.40%,-23.28%,84.80%,-0.04%,0.72,1.31%,12700,2.30
2018-10-17,19:24:37 ,55.86,1.47%,"2,653,223",3.75M,20.83B,1.78B,14.32B,9.75,12.27,9.56,0.69,82.64,1.45,1.10,1.60,4.55,-0.26%,2.08%,3.09%,52.18,6.80%,64.10%,17.70%,37.50%,17.00%,10.20%,372.83M,337.12M,2.47%,2.22,64.62,-9.30%,17.50%,55.05,4.55,6.40%,8.40%,0.40%,-23.28%,84.80%,-0.04%,0.72,1.29%,12700,2.30
2018-10-18,20:03:03 ,56.17,0.55%,"2,762,268",3.76M,20.94B,1.78B,14.32B,9.80,12.34,9.61,0.70,83.10,1.46,1.10,1.60,4.55,0.31%,2.55%,3.69%,53.53,6.80%,64.10%,17.70%,37.50%,17.00%,10.20%,372.83M,337.12M,2.47%,2.21,64.62,-8.80%,18.15%,55.86,4.55,6.40%,8.40%,0.40%,-23.28%,84.80%,-0.04%,0.72,1.28%,12700,2.30
2018-10-19,20:11:28 ,57.20,1.83%,"2,486,328",3.77M,21.33B,1.78B,14.32B,9.98,12.57,9.79,0.71,84.63,1.49,1.10,1.60,4.55,2.19%,4.31%,5.62%,58.88,6.80%,64.10%,17.70%,37.50%,17.00%,10.20%,372.83M,337.12M,2.47%,2.21,64.62,-7.13%,20.32%,56.17,4.55,6.40%,8.40%,0.40%,-23.28%,84.80%,-0.04%,0.72,1.26%,12700,2.30
2018-10-23,17:24:24 ,56.26,-0.95%,"1,691,932",3.78M,20.78B,1.78B,14.32B,9.82,12.36,9.66,0.70,82.47,1.45,1.10,1.60,4.55,0.45%,2.30%,3.90%,53.56,6.80%,64.10%,17.70%,37.50%,17.00%,10.20%,369.41M,337.12M,2.47%,2.20,64.63,-8.65%,18.34%,56.80,4.55,6.40%,8.40%,0.40%,-23.44%,84.70%,-0.09%,0.72,1.28%,12700,2.30
2018-10-24,17:23:31 ,53.28,-5.30%,"6,369,782",3.79M,19.68B,1.78B,14.32B,9.30,11.70,9.14,0.66,78.10,1.37,1.10,1.60,4.55,-4.84%,-3.26%,-1.60%,39.78,6.80%,64.10%,17.70%,37.50%,17.00%,10.20%,369.41M,337.12M,2.47%,2.20,64.63,-13.49%,12.07%,56.26,4.55,6.40%,8.40%,0.40%,-23.44%,84.70%,-0.09%,0.72,1.35%,12700,2.30
2018-10-25,17:23:54 ,54.68,2.63%,"3,869,305",3.86M,20.20B,1.78B,14.32B,9.54,12.01,9.38,0.68,80.16,1.41,1.10,1.60,4.55,-2.06%,-0.74%,1.01%,46.88,6.80%,64.10%,17.70%,37.50%,17.00%,10.20%,369.41M,337.12M,2.47%,2.16,64.63,-11.22%,15.02%,53.28,4.55,6.40%,8.40%,0.40%,-23.44%,84.70%,-0.09%,0.72,1.32%,12700,2.30
2018-10-26,17:22:48 ,53.83,-1.55%,"3,033,044",3.88M,19.89B,1.78B,14.32B,9.39,11.83,9.24,0.67,78.91,1.39,1.10,1.60,4.55,-3.42%,-2.35%,-0.54%,43.48,6.80%,64.10%,17.70%,37.50%,17.00%,10.20%,369.41M,337.12M,2.47%,2.15,64.63,-12.60%,13.23%,54.68,4.55,6.40%,8.40%,0.40%,-23.44%,84.70%,-0.09%,0.72,1.34%,12700,2.30
2018-10-29,17:22:54 ,54.13,0.56%,"2,719,199",3.91M,20.69B,1.78B,14.32B,9.45,11.89,9.28,0.67,82.10,1.44,1.10,1.60,4.55,-2.57%,-1.84%,0.05%,45.50,6.80%,64.10%,17.70%,37.50%,17.00%,10.20%,382.19M,337.12M,2.53%,2.19,64.56,-12.11%,13.86%,53.83,4.55,6.40%,8.40%,0.40%,-22.84%,84.70%,-0.07%,0.72,1.33%,12700,2.30
2018-10-30,17:23:07 ,56.24,3.90%,"2,631,862",3.71M,21.49B,1.78B,14.32B,9.82,12.36,9.65,0.70,85.30,1.50,1.10,1.60,4.55,1.38%,1.95%,4.00%,54.44,6.80%,64.10%,17.70%,37.50%,17.00%,10.20%,382.19M,337.12M,2.53%,2.30,64.56,-8.69%,18.30%,54.13,4.55,6.40%,8.40%,0.40%,-22.84%,84.70%,-0.07%,0.72,1.28%,12700,2.30
