date,time,price,change,volume,avg_volume,market_cap,income,sales,p_b,p_e,f_p_e,peg,p_c,p_s,quick_ratio,current_ratio,debt_eq,sma20,sma50,sma200,rsi,roa,roe,roi,gross_margin,oper_margin,profit_margin,shs_outstand,shs_float,short_float,short_ratio,target_price,high_y,low_y,prev_close,eps,sales_q_to_q,eps_q_to_q,insider_own,insider_trans,inst_own,inst_trans,dividend,dividend_percent,employees,recom
2018-10-17,00:30:57 ,38.47,3.80%,"575,999",474.75K,5.22B,-57.90M,753.40M,3.49,-,95.94,-,30.38,6.93,1.00,1.00,0.44,-5.83%,-0.05%,5.82%,47.92,-,-,-3.40%,41.10%,-9.80%,-9.40%,135.67M,67.10M,5.50%,7.77,40.30,-14.47%,34.28%,37.06,-0.42,13.80%,-98.50%,0.60%,-,70.90%,-0.01%,-,-,4212,2.30
2018-10-17,19:25:25 ,37.62,-2.21%,"723,876",481.27K,5.10B,-57.90M,753.40M,3.42,-,93.82,-,29.71,6.77,1.00,1.00,0.44,-7.28%,-2.32%,3.44%,45.06,-,-,-3.40%,41.10%,-9.80%,-9.40%,135.67M,67.10M,5.50%,7.67,40.30,-16.36%,31.31%,38.47,-0.42,13.80%,-98.50%,0.60%,-,70.90%,-0.01%,-,-,4212,2.30
2018-10-18,20:03:51 ,36.26,-3.62%,"610,536",490.23K,4.92B,-57.90M,753.40M,3.29,-,90.42,-,28.63,6.53,1.00,1.00,0.44,-9.99%,-5.87%,-0.33%,40.43,-,-,-3.40%,41.10%,-9.80%,-9.40%,135.67M,67.10M,5.50%,7.53,40.30,-19.39%,26.56%,37.62,-0.42,13.80%,-98.50%,0.60%,-,70.90%,-0.01%,-,-,4212,2.30
2018-10-19,20:12:17 ,36.27,0.03%,"362,079",496.45K,4.92B,-57.90M,753.40M,3.29,-,90.45,-,28.64,6.53,1.00,1.00,0.44,-9.20%,-5.78%,-0.30%,40.25,-,-,-3.40%,41.10%,-9.80%,-9.40%,135.67M,67.10M,5.50%,7.43,40.30,-19.36%,26.60%,36.26,-0.42,13.80%,-98.50%,0.60%,-,70.90%,-0.01%,-,-,4212,2.30
2018-10-22,17:24:33 ,37.19,2.54%,"541,070",500.04K,5.12B,-57.90M,753.40M,3.38,-,92.74,-,29.79,6.79,1.00,1.00,0.44,-6.22%,-3.53%,2.23%,44.22,-,-,-3.40%,41.10%,-9.80%,-9.40%,137.61M,67.10M,5.50%,7.38,40.30,-17.32%,29.81%,36.27,-0.42,13.80%,-98.50%,0.60%,-,70.90%,0.02%,-,-,4212,2.30
2018-10-23,17:25:14 ,36.25,-2.53%,"1,256,117",505.72K,4.99B,-57.90M,753.40M,3.29,-,90.40,-,29.04,6.62,1.00,1.00,0.44,-8.00%,-6.06%,-0.37%,39.93,-,-,-3.40%,41.10%,-9.80%,-9.40%,137.61M,67.10M,5.50%,7.30,40.30,-19.41%,26.53%,37.19,-0.42,13.80%,-98.50%,0.60%,-,70.90%,0.02%,-,-,4212,2.30
2018-10-24,17:24:19 ,35.83,-1.16%,"967,011",523.16K,4.93B,-57.90M,753.40M,3.25,-,89.35,-,28.70,6.54,1.00,1.00,0.44,-8.50%,-7.24%,-1.52%,38.38,-,-,-3.40%,41.10%,-9.80%,-9.40%,137.61M,67.10M,5.50%,7.05,40.30,-20.34%,25.06%,36.25,-0.42,13.80%,-98.50%,0.60%,-,70.90%,0.02%,-,-,4212,2.30
2018-10-25,17:24:43 ,36.78,2.65%,"596,401",533.18K,5.06B,-57.90M,753.40M,3.34,-,91.72,-,29.46,6.72,1.00,1.00,0.44,-5.45%,-4.84%,1.10%,43.27,-,-,-3.40%,41.10%,-9.80%,-9.40%,137.61M,67.10M,5.50%,6.92,40.30,-18.23%,28.38%,35.83,-0.42,13.80%,-98.50%,0.60%,-,70.90%,0.02%,-,-,4212,2.30
2018-10-26,17:23:36 ,36.40,-1.03%,"869,122",540.33K,5.01B,-57.90M,753.40M,3.31,-,90.77,-,29.16,6.65,1.00,1.00,0.44,-5.82%,-5.97%,0.05%,42.35,-,-,-3.40%,41.10%,-9.80%,-9.40%,137.61M,67.10M,5.50%,6.83,40.30,-19.08%,27.05%,36.78,-0.42,13.80%,-98.50%,0.60%,-,70.90%,0.02%,-,-,4212,2.30
2018-10-29,17:23:43 ,35.68,-1.98%,"2,102,556",552.68K,4.96B,-57.90M,753.40M,3.24,-,88.98,-,28.88,6.59,1.00,1.00,0.44,-7.01%,-7.91%,-1.93%,39.90,-,-,-3.40%,41.10%,-9.80%,-9.40%,139.08M,67.10M,7.88%,9.56,40.30,-20.68%,24.54%,36.40,-0.42,13.80%,-98.50%,0.20%,-,70.90%,0.02%,-,-,4212,2.30
2018-10-30,17:23:58 ,36.47,2.21%,"1,341,940",580.32K,5.07B,-57.90M,753.40M,3.31,-,90.95,-,29.52,6.73,1.00,1.00,0.44,-4.03%,-5.95%,0.25%,44.17,-,-,-3.40%,41.10%,-9.80%,-9.40%,139.08M,67.10M,7.88%,9.11,40.30,-18.92%,27.29%,35.68,-0.42,13.80%,-98.50%,0.20%,-,70.90%,0.02%,-,-,4212,2.30
2018-10-31,17:23:59 ,37.97,4.11%,"1,038,791",595.22K,5.28B,-57.90M,753.40M,3.45,-,94.69,-,30.74,7.01,1.00,1.00,0.44,0.78%,-2.20%,4.38%,50.87,-,-,-3.40%,41.10%,-9.80%,-9.40%,139.08M,67.10M,7.88%,8.88,40.30,-15.58%,32.53%,36.47,-0.42,13.80%,-98.50%,0.20%,-,70.90%,0.02%,-,-,4212,2.30
2018-11-01,17:24:07 ,38.73,2.00%,"775,961",608.18K,5.39B,-57.90M,753.40M,3.52,-,96.58,-,31.35,7.15,1.00,1.00,0.44,3.67%,-0.41%,6.43%,54.89,-,-,-3.40%,41.10%,-9.80%,-9.40%,139.08M,67.10M,7.88%,8.69,40.30,-13.90%,35.18%,37.97,-0.42,13.80%,-98.50%,0.20%,-,70.90%,0.02%,-,-,4212,2.30
2018-11-02,22:48:39 ,38.00,-1.88%,"707,793",615.58K,5.29B,-57.90M,753.40M,3.45,-,94.76,-,30.76,7.01,1.00,1.00,0.44,2.17%,-2.46%,4.37%,51.51,-,-,-3.40%,41.10%,-9.80%,-9.40%,139.08M,67.10M,7.88%,8.59,40.30,-15.52%,32.64%,38.73,-0.42,13.80%,-98.50%,0.20%,-,70.90%,0.02%,-,-,4212,2.30
2018-11-05,16:23:56 ,38.03,0.08%,"599,781",623.41K,5.35B,-31.30M,748.50M,3.40,-,87.03,-,28.46,7.15,1.00,1.00,0.44,2.56%,-2.48%,4.42%,51.65,-,-,-3.40%,42.10%,-5.10%,-11.20%,140.71M,67.51M,7.83%,8.48,40.00,-15.45%,32.74%,38.00,-0.28,9.80%,114.80%,0.20%,-,71.20%,0.01%,-,-,4212,2.20
2018-11-06,16:23:24 ,38.00,-0.08%,"891,307",629.59K,5.35B,-31.30M,748.50M,3.40,-,86.96,-,28.44,7.14,1.00,1.00,0.44,2.78%,-2.57%,4.30%,51.79,-,-,-3.40%,42.10%,-5.10%,-11.20%,140.71M,67.51M,7.83%,8.40,40.00,-15.52%,32.64%,38.03,-0.28,9.80%,114.80%,0.20%,-,71.20%,0.01%,-,-,4212,2.20
2018-11-07,16:25:01 ,39.25,3.29%,"1,220,019",639.46K,5.52B,-31.30M,748.50M,3.51,-,89.82,-,29.38,7.38,1.00,1.00,0.44,6.28%,0.66%,7.70%,57.29,-,-,-3.40%,42.10%,-5.10%,-11.20%,140.71M,67.51M,7.83%,8.27,40.00,-12.74%,37.00%,38.00,-0.28,9.80%,114.80%,0.20%,-,71.20%,0.01%,-,-,4212,2.20
2018-11-08,16:23:16 ,39.37,0.31%,"668,719",653.93K,5.54B,-31.30M,748.50M,3.52,-,90.09,-,29.47,7.40,1.00,1.00,0.44,6.09%,0.94%,7.97%,58.53,-,-,-3.40%,42.10%,-5.10%,-11.20%,140.71M,67.51M,7.83%,8.08,40.00,-12.47%,37.42%,39.25,-0.28,9.80%,114.80%,0.20%,-,71.20%,0.01%,-,-,4212,2.20
