date,time,price,change,volume,avg_volume,market_cap,income,sales,p_b,p_e,f_p_e,peg,p_c,p_s,quick_ratio,current_ratio,debt_eq,sma20,sma50,sma200,rsi,roa,roe,roi,gross_margin,oper_margin,profit_margin,shs_outstand,shs_float,short_float,short_ratio,target_price,high_y,low_y,prev_close,eps,sales_q_to_q,eps_q_to_q,insider_own,insider_trans,inst_own,inst_trans,dividend,dividend_percent,employees,recom
2018-10-17,00:30:28 ,6.34,0.00%,"5,696",6.25K,647.25M,3.30M,1.05B,1.42,186.47,-,30.57,1.91,0.62,1.50,1.50,2.11,-5.75%,1.37%,-10.69%,43.70,0.20%,0.80%,5.30%,29.40%,4.20%,0.30%,102.09M,46.96M,0.15%,11.38,34.80,-40.30%,16.76%,6.34,0.03,-3.60%,-181.80%,48.40%,0.00%,-,-,-,-,3358,5.00
2018-10-17,19:24:56 ,6.32,-0.28%,"2,395",6.23K,645.42M,3.30M,1.05B,1.42,185.94,-,30.48,1.91,0.61,1.50,1.50,2.11,-5.80%,0.87%,-10.70%,41.21,0.20%,0.80%,5.30%,29.40%,4.20%,0.30%,102.09M,46.96M,0.15%,11.42,34.80,-40.47%,16.43%,6.34,0.03,-3.60%,-181.80%,48.40%,0.00%,-,-,-,-,3358,5.00
2018-10-18,20:03:23 ,6.20,-1.93%,"3,926",6.23K,632.96M,3.30M,1.05B,1.39,182.35,-,29.89,1.87,0.60,1.50,1.50,2.11,-7.39%,-1.30%,-12.17%,36.41,0.20%,0.80%,5.30%,29.40%,4.20%,0.30%,102.09M,46.96M,0.15%,11.42,34.80,-41.62%,14.18%,6.32,0.03,-3.60%,-181.80%,48.40%,0.00%,-,-,-,-,3358,5.00
2018-10-19,20:11:48 ,6.25,0.81%,"9,900",6.22K,638.06M,3.30M,1.05B,1.40,183.82,-,30.14,1.88,0.61,1.50,1.50,2.11,-6.20%,-0.59%,-11.20%,38.86,0.20%,0.80%,5.30%,29.40%,4.20%,0.30%,102.09M,46.96M,0.15%,11.43,34.80,-41.15%,15.10%,6.20,0.03,-3.60%,-181.80%,48.40%,0.00%,-,-,-,-,3358,5.00
2018-10-22,17:24:03 ,6.15,-1.60%,"1,838",6.23K,627.48M,3.30M,1.04B,1.39,186.36,-,30.55,1.87,0.60,1.50,1.50,2.11,-7.30%,-2.30%,-12.37%,34.62,0.20%,0.80%,5.30%,29.40%,4.20%,0.30%,102.03M,46.96M,0.15%,11.41,34.80,-42.09%,13.26%,6.25,0.03,-3.60%,-181.80%,48.40%,0.00%,-,-,-,-,3358,5.00
2018-10-23,17:24:44 ,6.01,-2.29%,"4,803",6.22K,613.14M,3.30M,1.04B,1.36,182.10,-,29.85,1.83,0.59,1.50,1.50,2.11,-9.01%,-4.66%,-14.11%,30.92,0.20%,0.80%,5.30%,29.40%,4.20%,0.30%,102.03M,46.96M,0.15%,11.43,34.80,-43.41%,10.67%,6.15,0.03,-3.60%,-181.80%,48.40%,0.00%,-,-,-,-,3358,5.00
2018-10-24,17:23:50 ,5.80,-3.48%,"3,370",6.09K,591.77M,3.30M,1.04B,1.31,175.76,-,28.81,1.76,0.57,1.50,1.50,2.11,-11.65%,-8.10%,-16.83%,26.51,0.20%,0.80%,5.30%,29.40%,4.20%,0.30%,102.03M,46.96M,0.15%,11.69,34.80,-45.39%,6.81%,6.01,0.03,-3.60%,-181.80%,48.40%,0.00%,-,-,-,-,3358,5.00
2018-10-25,17:24:14 ,5.70,-1.72%,"2,474",6.03K,581.57M,3.30M,1.04B,1.29,172.73,-,28.32,1.73,0.56,1.50,1.50,2.11,-12.47%,-9.66%,-17.99%,25.04,0.20%,0.80%,5.30%,29.40%,4.20%,0.30%,102.03M,46.96M,0.15%,11.79,34.80,-46.33%,4.97%,5.80,0.03,-3.60%,-181.80%,48.40%,0.00%,-,-,-,-,3358,5.00
2018-10-26,17:23:07 ,5.69,-0.18%,"3,867",5.99K,580.55M,3.30M,1.04B,1.29,172.42,-,28.27,1.73,0.56,1.50,1.50,2.11,-11.83%,-9.81%,-17.85%,25.91,0.20%,0.80%,5.30%,29.40%,4.20%,0.30%,102.03M,46.96M,0.15%,11.88,34.80,-46.42%,4.79%,5.70,0.03,-3.60%,-181.80%,48.40%,0.00%,-,-,-,-,3358,5.00
2018-10-29,17:23:13 ,6.09,7.03%,"7,346",6.01K,622.15M,3.20M,1.03B,1.39,184.55,-,30.25,1.87,0.60,1.50,1.50,2.11,-4.82%,-3.47%,-11.78%,44.48,0.20%,0.80%,5.30%,29.40%,4.20%,0.30%,102.16M,46.96M,0.15%,11.69,34.80,-42.66%,12.15%,5.69,0.03,-3.60%,-181.80%,48.40%,0.00%,-,-,-,-,3358,5.00
