date,time,price,change,volume,avg_volume,market_cap,income,sales,p_b,p_e,f_p_e,peg,p_c,p_s,quick_ratio,current_ratio,debt_eq,sma20,sma50,sma200,rsi,roa,roe,roi,gross_margin,oper_margin,profit_margin,shs_outstand,shs_float,short_float,short_ratio,target_price,high_y,low_y,prev_close,eps,sales_q_to_q,eps_q_to_q,insider_own,insider_trans,inst_own,inst_trans,dividend,dividend_percent,employees,recom
2018-10-17,02:26:48 ,84.28,2.99%,"3,200,517",4.69M,60.35B,4.07B,14.12B,17.59,15.98,7.93,0.81,17.70,4.27,1.40,1.50,6.20,-3.47%,-5.61%,-5.28%,42.05,8.60%,44.10%,20.00%,96.50%,28.20%,19.80%,716.10M,700.67M,1.46%,2.18,111.65,-39.68%,13.69%,81.83,5.28,-38.80%,-42.90%,0.10%,-5.48%,76.50%,0.31%,-,-,7467,2.20
2018-10-17,21:18:59 ,84.28,0.00%,"2,515,422",4.69M,60.35B,4.07B,14.12B,17.59,15.98,7.93,0.81,17.70,4.27,1.40,1.50,6.20,-3.29%,-5.50%,-5.17%,41.88,8.60%,44.10%,20.00%,96.50%,28.20%,19.80%,716.10M,700.67M,1.46%,2.18,111.65,-39.68%,13.69%,84.28,5.28,-38.80%,-42.90%,0.10%,-5.48%,76.50%,0.31%,-,-,7467,2.20
2018-10-18,21:57:27 ,82.95,-1.58%,"3,245,795",4.64M,59.40B,4.07B,14.12B,17.32,15.73,7.80,0.80,17.42,4.21,1.40,1.50,6.20,-4.65%,-6.87%,-6.55%,38.49,8.60%,44.10%,20.00%,96.50%,28.20%,19.80%,716.10M,700.67M,1.46%,2.20,111.65,-40.49%,11.90%,84.28,5.28,-38.80%,-42.90%,0.10%,-5.48%,76.50%,0.31%,-,-,7467,2.20
2018-10-19,22:05:17 ,82.41,-0.65%,"3,867,562",4.62M,59.01B,4.07B,14.12B,17.20,15.62,7.75,0.80,17.31,4.18,1.40,1.50,6.20,-4.97%,-7.30%,-7.02%,37.40,8.60%,44.10%,20.00%,96.50%,28.20%,19.80%,716.10M,700.67M,1.46%,2.21,111.65,-40.04%,11.17%,82.95,5.28,-38.80%,-42.90%,0.10%,-5.48%,76.50%,0.31%,-,-,7467,2.20
2018-10-22,19:21:25 ,80.61,-2.18%,"4,681,418",4.62M,57.07B,4.07B,14.12B,16.83,15.28,7.57,0.78,16.74,4.04,1.40,1.50,6.20,-6.76%,-9.13%,-8.93%,33.72,8.60%,44.10%,20.00%,96.50%,28.20%,19.80%,707.97M,700.67M,1.46%,2.21,111.65,-35.27%,8.74%,82.41,5.28,-38.80%,-42.90%,0.10%,-5.54%,76.30%,0.00%,-,-,7467,2.20
2018-10-24,19:21:55 ,74.71,-6.34%,"8,637,280",4.64M,52.89B,4.07B,14.12B,15.60,14.16,7.01,0.72,15.51,3.75,1.40,1.50,6.20,-12.85%,-15.35%,-15.36%,23.67,8.60%,44.10%,20.00%,96.50%,28.20%,19.80%,707.97M,700.67M,1.46%,2.20,111.65,-39.38%,0.78%,79.77,5.28,-38.80%,-42.90%,0.10%,-5.54%,76.30%,0.00%,-,-,7467,2.20
2018-10-25,19:22:01 ,72.72,-2.66%,"13,703,052",4.66M,51.48B,4.07B,14.12B,15.18,13.79,6.83,0.70,15.10,3.65,1.40,1.50,6.20,-14.49%,-17.27%,-17.47%,21.11,8.60%,44.10%,20.00%,96.50%,28.20%,19.80%,707.97M,700.67M,1.46%,2.19,111.65,-40.20%,-1.90%,74.71,5.28,-38.80%,-42.90%,0.10%,-5.54%,76.30%,0.00%,-,-,7467,2.20
2018-10-26,19:20:33 ,72.45,-0.37%,"7,155,008",4.77M,51.29B,4.07B,14.12B,15.13,13.73,6.80,0.70,15.04,3.63,1.40,1.50,6.20,-13.97%,-17.26%,-17.62%,20.02,8.60%,44.10%,20.00%,96.50%,28.20%,19.80%,707.97M,700.67M,1.46%,2.14,111.65,-34.62%,0.21%,72.72,5.28,-38.80%,-42.90%,0.10%,-5.54%,76.30%,0.00%,-,-,7467,2.20
2018-10-29,19:18:54 ,71.43,-1.41%,"8,945,262",4.76M,50.43B,4.16B,14.73B,10.32,12.83,6.87,0.66,11.52,3.42,2.00,2.10,4.17,-14.31%,-18.10%,-18.63%,18.96,8.70%,56.80%,20.00%,96.40%,31.10%,19.60%,705.98M,700.67M,1.65%,2.43,109.98,-35.54%,0.41%,72.45,5.57,18.40%,24.00%,0.10%,-5.56%,76.20%,-0.05%,-,-,7467,2.20
2018-10-30,19:19:50 ,72.34,1.27%,"7,994,331",4.80M,51.07B,4.16B,14.73B,10.45,12.99,6.95,0.67,11.67,3.47,2.00,2.10,4.17,-12.25%,-16.69%,-17.44%,22.76,8.70%,56.80%,20.00%,96.40%,31.10%,19.60%,705.98M,700.67M,1.65%,2.41,109.98,-34.72%,3.21%,71.43,5.57,18.40%,24.00%,0.10%,-5.56%,76.20%,-0.05%,-,-,7467,2.20
