date,time,price,change,volume,avg_volume,market_cap,income,sales,p_b,p_e,f_p_e,peg,p_c,p_s,quick_ratio,current_ratio,debt_eq,sma20,sma50,sma200,rsi,roa,roe,roi,gross_margin,oper_margin,profit_margin,shs_outstand,shs_float,short_float,short_ratio,target_price,high_y,low_y,prev_close,eps,sales_q_to_q,eps_q_to_q,insider_own,insider_trans,inst_own,inst_trans,dividend,dividend_percent,employees,recom
2018-10-17,00:34:26 ,190.65,2.79%,"119,156",109.58K,85.13B,4.92B,28.99B,1.48,17.30,8.74,0.54,4.16,2.94,2.50,2.60,0.34,0.92%,7.71%,16.58%,57.68,5.30%,8.80%,5.00%,74.20%,28.10%,17.00%,446.51M,158.72M,0.11%,1.63,208.10,-5.79%,50.88%,185.48,11.02,58.10%,429.30%,-,-,1.90%,0.11%,7.24,3.80%,14783,1.30
2018-10-17,19:28:47 ,187.70,-1.55%,"62,337",109.86K,83.81B,4.92B,28.99B,1.46,17.03,8.61,0.54,4.10,2.89,2.50,2.60,0.34,-0.71%,5.67%,14.62%,53.99,5.30%,8.80%,5.00%,74.20%,28.10%,17.00%,446.51M,158.72M,0.11%,1.62,208.10,-7.25%,48.54%,190.65,11.02,58.10%,429.30%,-,-,1.90%,0.11%,7.24,3.86%,14783,1.30
2018-10-18,20:07:15 ,183.01,-2.50%,"115,969",109.97K,81.72B,4.92B,28.99B,1.42,16.60,8.39,0.52,3.99,2.82,2.50,2.60,0.34,-3.10%,2.77%,11.62%,48.77,5.30%,8.80%,5.00%,74.20%,28.10%,17.00%,446.51M,158.72M,0.11%,1.62,208.10,-9.57%,44.83%,187.70,11.02,58.10%,429.30%,-,-,1.90%,0.11%,7.24,3.96%,14783,1.30
2018-10-19,20:15:39 ,180.92,-1.14%,"115,356",109.95K,80.78B,4.92B,28.99B,1.41,16.41,8.30,0.52,3.95,2.79,2.50,2.60,0.34,-4.14%,1.37%,10.24%,46.25,5.30%,8.80%,5.00%,74.20%,28.10%,17.00%,446.51M,158.72M,0.11%,1.62,208.10,-10.60%,43.18%,183.01,11.02,58.10%,429.30%,-,-,1.90%,0.11%,7.24,4.00%,14783,1.30
2018-10-22,17:28:02 ,183.17,1.24%,"70,864",110.10K,84.30B,4.89B,28.79B,1.43,16.73,8.40,0.53,4.15,2.93,2.50,2.60,0.34,-2.91%,2.43%,11.51%,49.40,5.30%,8.80%,5.00%,74.20%,28.10%,17.00%,460.25M,158.72M,0.11%,1.62,208.10,-9.49%,44.96%,180.92,10.95,58.10%,429.30%,-,-,1.90%,-0.43%,7.24,3.95%,14783,1.30
2018-10-23,17:28:41 ,176.92,-3.41%,"128,918",109.24K,81.43B,4.89B,28.79B,1.38,16.16,8.11,0.51,4.01,2.83,2.50,2.60,0.34,-6.10%,-1.30%,7.62%,42.12,5.30%,8.80%,5.00%,74.20%,28.10%,17.00%,460.25M,158.72M,0.11%,1.63,208.10,-12.58%,40.01%,183.17,10.95,58.10%,429.30%,-,-,1.90%,-0.43%,7.24,4.09%,14783,1.30
2018-10-24,17:27:45 ,168.50,-4.76%,"124,140",110.00K,77.55B,4.89B,28.79B,1.32,15.39,7.73,0.48,3.82,2.69,2.50,2.60,0.34,-10.32%,-6.19%,2.42%,35.46,5.30%,8.80%,5.00%,74.20%,28.10%,17.00%,460.25M,158.72M,0.11%,1.62,208.10,-16.74%,32.64%,176.92,10.95,58.10%,429.30%,-,-,1.90%,-0.43%,7.24,4.30%,14783,1.30
2018-10-25,17:28:10 ,169.62,0.66%,"129,541",110.23K,78.07B,4.89B,28.79B,1.33,15.50,7.78,0.49,3.84,2.71,2.50,2.60,0.34,-9.27%,-5.66%,3.06%,37.05,5.30%,8.80%,5.00%,74.20%,28.10%,17.00%,460.25M,158.72M,0.11%,1.62,208.10,-16.19%,33.49%,168.50,10.95,58.10%,429.30%,-,-,1.90%,-0.43%,7.24,4.27%,14783,1.30
2018-10-26,17:27:03 ,172.95,1.96%,"102,766",110.78K,79.60B,4.89B,28.79B,1.35,15.80,7.93,0.50,3.92,2.77,2.50,2.60,0.34,-6.91%,-3.99%,5.04%,40.86,5.30%,8.80%,5.00%,74.20%,28.10%,17.00%,460.25M,158.72M,0.11%,1.61,208.10,-14.54%,34.06%,169.62,10.95,58.10%,429.30%,-,-,1.90%,-0.43%,7.24,4.19%,14783,1.30
2018-10-29,17:27:07 ,167.94,-2.90%,"105,095",110.80K,72.82B,4.88B,28.74B,1.32,15.37,7.75,0.48,3.59,2.53,2.50,2.60,0.34,-9.00%,-6.98%,1.95%,37.43,5.30%,8.80%,5.00%,74.20%,28.10%,17.00%,433.59M,158.72M,0.16%,2.29,207.10,-17.02%,30.16%,172.95,10.93,58.10%,429.30%,-,-,1.90%,0.12%,7.25,4.32%,14783,1.30
