date,time,price,change,volume,avg_volume,market_cap,income,sales,p_b,p_e,f_p_e,peg,p_c,p_s,quick_ratio,current_ratio,debt_eq,sma20,sma50,sma200,rsi,roa,roe,roi,gross_margin,oper_margin,profit_margin,shs_outstand,shs_float,short_float,short_ratio,target_price,high_y,low_y,prev_close,eps,sales_q_to_q,eps_q_to_q,insider_own,insider_trans,inst_own,inst_trans,dividend,dividend_percent,employees,recom
2018-10-17,02:27:59 ,27.36,9.62%,"160,190",131.82K,599.73M,4.70M,80.70M,2.48,134.12,28.12,15.24,4.77,7.43,7.20,7.20,0.00,-0.25%,-4.70%,-20.45%,50.68,1.70%,1.90%,5.70%,90.60%,4.70%,5.90%,21.92M,21.65M,4.19%,6.87,38.29,-47.18%,14.91%,24.96,0.20,-15.00%,-154.50%,1.80%,-1.07%,91.60%,0.28%,-,-,313,2.00
2018-10-17,21:20:29 ,27.01,-1.28%,"84,406",131.82K,592.06M,4.70M,80.70M,2.45,132.40,27.76,15.05,4.71,7.34,7.20,7.20,0.00,-1.34%,-5.57%,-21.25%,49.13,1.70%,1.90%,5.70%,90.60%,4.70%,5.90%,21.92M,21.65M,4.19%,6.87,38.29,-47.86%,13.44%,27.36,0.20,-15.00%,-154.50%,1.80%,-1.07%,91.60%,0.28%,-,-,313,2.00
2018-10-18,21:58:36 ,26.18,-3.07%,"68,930",132.14K,573.87M,4.70M,80.70M,2.37,128.33,26.91,14.58,4.57,7.11,7.20,7.20,0.00,-4.17%,-8.44%,-23.45%,43.26,1.70%,1.90%,5.70%,90.60%,4.70%,5.90%,21.92M,21.65M,4.19%,6.86,38.29,-49.46%,9.95%,27.01,0.20,-15.00%,-154.50%,1.80%,-1.07%,91.60%,0.28%,-,-,313,2.00
2018-10-19,22:06:29 ,25.87,-1.18%,"94,112",132.31K,567.07M,4.70M,80.70M,2.34,126.81,26.59,14.41,4.51,7.03,7.20,7.20,0.00,-4.80%,-9.37%,-24.12%,41.27,1.70%,1.90%,5.70%,90.60%,4.70%,5.90%,21.92M,21.65M,4.19%,6.85,38.29,-50.06%,8.65%,26.18,0.20,-15.00%,-154.50%,1.80%,-1.07%,91.60%,0.28%,-,-,313,2.00
2018-10-22,19:22:41 ,25.67,-0.77%,"129,865",132.25K,572.44M,4.70M,80.70M,2.33,125.83,26.38,14.30,4.55,7.09,7.20,7.20,0.00,-4.98%,-9.83%,-24.47%,40.36,1.70%,1.90%,5.70%,90.60%,4.70%,5.90%,22.30M,21.65M,4.19%,6.85,38.86,-50.44%,7.81%,25.87,0.20,-15.00%,-154.50%,1.80%,-1.05%,91.60%,0.31%,-,-,313,2.00
2018-10-23,19:23:49 ,26.13,1.79%,"177,338",132.67K,582.70M,4.70M,80.70M,2.37,128.09,26.86,14.56,4.64,7.22,7.20,7.20,0.00,-2.68%,-7.96%,-22.86%,43.22,1.70%,1.90%,5.70%,90.60%,4.70%,5.90%,22.30M,21.65M,4.19%,6.83,38.86,-49.56%,9.74%,25.67,0.20,-15.00%,-154.50%,1.80%,-1.05%,91.60%,0.31%,-,-,313,2.00
2018-10-24,19:23:10 ,23.73,-9.18%,"159,575",134.29K,529.18M,4.70M,80.70M,2.15,116.32,24.39,13.22,4.21,6.56,7.20,7.20,0.00,-11.09%,-16.23%,-29.71%,31.83,1.70%,1.90%,5.70%,90.60%,4.70%,5.90%,22.30M,21.65M,4.19%,6.75,38.86,-54.19%,-0.34%,26.13,0.20,-15.00%,-154.50%,1.80%,-1.05%,91.60%,0.31%,-,-,313,2.00
2018-10-25,19:23:18 ,24.09,1.52%,"161,692",135.70K,537.21M,4.70M,80.70M,2.18,118.09,24.76,13.42,4.27,6.66,7.20,7.20,0.00,-8.91%,-14.60%,-28.38%,34.51,1.70%,1.90%,5.70%,90.60%,4.70%,5.90%,22.30M,21.65M,4.19%,6.68,38.86,-53.49%,1.65%,23.73,0.20,-15.00%,-154.50%,1.80%,-1.05%,91.60%,0.31%,-,-,313,2.00
2018-10-26,19:21:48 ,23.64,-1.87%,"143,084",136.83K,527.17M,4.70M,80.70M,2.14,115.88,24.30,13.17,4.19,6.53,7.20,7.20,0.00,-9.85%,-15.94%,-29.48%,32.68,1.70%,1.90%,5.70%,90.60%,4.70%,5.90%,22.30M,21.65M,4.19%,6.62,38.86,-54.36%,-0.25%,24.09,0.20,-15.00%,-154.50%,1.80%,-1.05%,91.60%,0.31%,-,-,313,2.00
2018-10-29,19:20:03 ,23.41,-0.97%,"97,546",135.65K,525.55M,4.70M,80.70M,2.12,114.75,24.06,13.04,4.18,6.51,7.20,7.20,0.00,-9.85%,-16.49%,-29.94%,31.49,1.70%,1.90%,5.70%,90.60%,4.70%,5.90%,22.45M,21.65M,4.11%,6.55,38.86,-54.81%,1.04%,23.64,0.20,-15.00%,-154.50%,1.80%,-1.05%,91.40%,0.14%,-,-,313,2.00
2018-10-30,19:21:02 ,24.05,2.73%,"114,826",135.14K,539.92M,4.70M,80.70M,2.18,117.89,24.72,13.40,4.30,6.69,7.20,7.20,0.00,-6.39%,-13.88%,-27.77%,36.65,1.70%,1.90%,5.70%,90.60%,4.70%,5.90%,22.45M,21.65M,4.11%,6.58,38.86,-53.57%,4.52%,23.41,0.20,-15.00%,-154.50%,1.80%,-1.05%,91.40%,0.14%,-,-,313,2.00
2018-10-31,19:20:44 ,24.64,2.45%,"182,469",135.31K,553.17M,4.70M,80.70M,2.23,120.78,25.32,13.73,4.40,6.85,7.20,7.20,0.00,-3.23%,-11.51%,-25.76%,40.87,1.70%,1.90%,5.70%,90.60%,4.70%,5.90%,22.45M,21.65M,4.11%,6.57,38.86,-52.43%,7.08%,24.05,0.20,-15.00%,-154.50%,1.80%,-1.05%,91.40%,0.14%,-,-,313,2.00
2018-11-01,19:22:28 ,26.00,5.52%,"150,332",135.37K,583.70M,4.70M,80.70M,2.36,127.45,26.72,14.48,4.64,7.23,7.20,7.20,0.00,2.90%,-6.32%,-21.40%,49.64,1.70%,1.90%,5.70%,90.60%,4.70%,5.90%,22.45M,21.65M,4.11%,6.56,38.86,-49.81%,12.99%,24.64,0.20,-15.00%,-154.50%,1.80%,-1.05%,91.40%,0.14%,-,-,313,2.00
2018-11-03,00:47:06 ,26.41,1.58%,"150,065",135.14K,592.90M,4.70M,80.70M,2.39,129.46,27.14,14.71,4.72,7.35,7.20,7.20,0.00,4.83%,-4.59%,-19.90%,52.08,1.70%,1.90%,5.70%,90.60%,4.70%,5.90%,22.45M,21.65M,4.11%,6.58,38.86,-49.02%,14.78%,26.00,0.20,-15.00%,-154.50%,1.80%,-1.05%,91.40%,0.14%,-,-,313,2.00
2018-11-05,18:22:23 ,25.61,-3.03%,"105,437",136.04K,555.48M,4.70M,80.70M,2.32,125.54,26.32,14.27,4.42,6.88,7.20,7.20,0.00,1.57%,-7.29%,-22.06%,47.23,1.70%,1.90%,5.70%,90.60%,4.70%,5.90%,21.69M,21.65M,4.11%,6.53,38.86,-50.56%,11.30%,26.41,0.20,-15.00%,-154.50%,1.80%,-1.08%,92.40%,1.17%,-,-,313,2.00
2018-11-06,18:18:37 ,25.98,1.44%,"115,640",136.73K,563.51M,4.70M,80.70M,2.35,127.35,26.70,14.47,4.48,6.98,7.20,7.20,0.00,2.94%,-5.64%,-20.66%,49.23,1.70%,1.90%,5.70%,90.60%,4.70%,5.90%,21.69M,21.65M,4.11%,6.50,38.86,-49.85%,12.91%,25.61,0.20,-15.00%,-154.50%,1.80%,-1.08%,92.40%,1.17%,-,-,313,2.00
2018-11-07,18:24:34 ,25.48,-1.92%,"155,664",137.39K,552.66M,4.70M,80.70M,2.31,124.90,26.19,14.19,4.40,6.85,7.20,7.20,0.00,0.91%,-7.16%,-21.92%,47.02,1.70%,1.90%,5.70%,90.60%,4.70%,5.90%,21.69M,21.65M,4.11%,6.47,38.86,-50.81%,10.73%,25.98,0.20,-15.00%,-154.50%,1.80%,-1.08%,92.40%,1.17%,-,-,313,2.00
2018-11-08,18:19:06 ,29.35,15.19%,"361,551",125.55K,636.60M,4.70M,80.70M,2.66,143.87,30.16,16.35,5.06,7.89,7.20,7.20,0.00,16.08%,7.31%,-9.80%,64.55,1.70%,1.90%,5.70%,90.60%,4.70%,5.90%,21.69M,21.65M,4.11%,7.08,38.86,-43.34%,27.55%,25.48,0.20,-15.00%,-154.50%,1.80%,-1.08%,92.40%,1.17%,-,-,313,2.00
2018-11-09,19:02:28 ,26.69,-9.06%,"201,911",124.91K,578.91M,4.70M,80.70M,2.42,130.83,27.43,14.87,4.61,7.17,7.20,7.20,0.00,4.59%,-2.34%,-17.81%,52.20,1.70%,1.90%,5.70%,90.60%,4.70%,5.90%,21.69M,21.65M,4.11%,7.11,38.86,-48.47%,15.99%,29.35,0.20,-15.00%,-154.50%,1.80%,-1.08%,92.40%,1.17%,-,-,313,2.00
2018-11-12,21:00:24 ,25.44,-4.68%,"151,342",124.54K,616.41M,4.70M,80.70M,2.29,124.71,29.28,15.21,5.16,7.64,7.10,7.10,0.00,-0.68%,-6.65%,-21.45%,47.63,0.50%,0.60%,5.70%,90.60%,-0.30%,1.80%,24.23M,21.65M,3.92%,6.81,38.86,-50.89%,10.56%,26.69,0.20,-10.80%,-56.00%,1.80%,-0.97%,92.60%,1.24%,-,-,313,2.00
2018-11-13,18:27:47 ,25.64,0.79%,"199,364",125.01K,621.26M,4.70M,80.70M,2.31,125.69,29.51,15.33,5.20,7.70,7.10,7.10,0.00,0.01%,-5.55%,-20.60%,48.68,0.50%,0.60%,5.70%,90.60%,-0.30%,1.80%,24.23M,21.65M,3.92%,6.79,38.86,-50.50%,11.43%,25.44,0.20,-10.80%,-56.00%,1.80%,-0.97%,92.60%,1.24%,-,-,313,2.00
2018-11-14,18:20:16 ,25.78,0.55%,"208,446",126.29K,624.65M,4.70M,80.70M,2.32,126.37,29.67,15.41,5.23,7.74,7.10,7.10,0.00,0.90%,-4.68%,-19.94%,48.91,0.50%,0.60%,5.70%,90.60%,-0.30%,1.80%,24.23M,21.65M,3.92%,6.72,38.86,-50.23%,12.04%,25.64,0.20,-10.80%,-56.00%,1.80%,-0.97%,92.60%,1.24%,-,-,313,2.00
2018-11-15,18:18:54 ,26.77,3.84%,"200,288",127.65K,648.64M,4.70M,80.70M,2.41,131.23,30.81,16.00,5.43,8.04,7.10,7.10,0.00,5.02%,-0.68%,-16.63%,52.95,0.50%,0.60%,5.70%,90.60%,-0.30%,1.80%,24.23M,21.65M,3.92%,6.65,38.86,-48.32%,16.34%,25.78,0.20,-10.80%,-56.00%,1.80%,-0.97%,92.60%,1.24%,-,-,313,2.00
