date,time,price,change,volume,avg_volume,market_cap,income,sales,p_b,p_e,f_p_e,peg,p_c,p_s,quick_ratio,current_ratio,debt_eq,sma20,sma50,sma200,rsi,roa,roe,roi,gross_margin,oper_margin,profit_margin,shs_outstand,shs_float,short_float,short_ratio,target_price,high_y,low_y,prev_close,eps,sales_q_to_q,eps_q_to_q,insider_own,insider_trans,inst_own,inst_trans,dividend,dividend_percent,employees,recom
2018-10-17,00:33:35 ,15.78,2.07%,"23,720",47.06K,561.14M,-1.50M,1.57B,3.42,-,29.77,-,-,0.36,1.30,1.30,4.26,5.35%,2.47%,1.81%,58.35,0.50%,3.40%,4.90%,20.70%,2.10%,0.40%,35.56M,15.08M,0.73%,2.33,19.00,-20.30%,41.52%,15.46,-0.04,8.60%,29.20%,2.60%,-3.27%,90.40%,0.01%,-,-,22900,1.50
2018-10-17,19:27:59 ,15.65,-0.82%,"33,141",46.22K,556.51M,-1.50M,1.57B,3.39,-,29.53,-,-,0.35,1.30,1.30,4.26,3.97%,1.72%,1.01%,55.97,0.50%,3.40%,4.90%,20.70%,2.10%,0.40%,35.56M,15.08M,0.73%,2.38,19.00,-20.96%,40.36%,15.78,-0.04,8.60%,29.20%,2.60%,-3.27%,90.40%,0.01%,-,-,22900,1.50
2018-10-18,20:06:27 ,15.51,-0.89%,"17,609",45.56K,551.54M,-1.50M,1.57B,3.36,-,29.26,-,-,0.35,1.30,1.30,4.26,2.65%,0.91%,0.18%,53.57,0.50%,3.40%,4.90%,20.70%,2.10%,0.40%,35.56M,15.08M,0.73%,2.41,19.00,-21.67%,39.10%,15.65,-0.04,8.60%,29.20%,2.60%,-3.27%,90.40%,0.01%,-,-,22900,1.50
2018-10-19,20:14:50 ,15.32,-1.23%,"19,722",44.95K,544.78M,-1.50M,1.57B,3.32,-,28.91,-,-,0.35,1.30,1.30,4.26,1.07%,-0.20%,-0.97%,50.64,0.50%,3.40%,4.90%,20.70%,2.10%,0.40%,35.56M,15.08M,0.73%,2.44,19.00,-22.63%,37.40%,15.51,-0.04,8.60%,29.20%,2.60%,-3.27%,90.40%,0.01%,-,-,22900,1.50
2018-10-22,17:27:13 ,15.14,-1.17%,"18,644",44.38K,555.34M,-1.50M,1.57B,3.28,-,28.57,-,-,0.35,1.30,1.30,4.26,-0.34%,-1.24%,-2.05%,46.16,0.50%,3.40%,4.90%,20.70%,2.10%,0.40%,36.68M,15.08M,0.73%,2.48,19.00,-23.54%,35.78%,15.32,-0.04,8.60%,29.20%,2.60%,-3.17%,90.40%,0.03%,-,-,22900,1.50
2018-10-23,17:27:52 ,14.94,-1.32%,"20,377",44.19K,548.00M,-1.50M,1.57B,3.23,-,28.19,-,-,0.35,1.30,1.30,4.26,-1.84%,-2.41%,-3.25%,42.09,0.50%,3.40%,4.90%,20.70%,2.10%,0.40%,36.68M,15.08M,0.73%,2.49,19.00,-24.55%,33.99%,15.14,-0.04,8.60%,29.20%,2.60%,-3.17%,90.40%,0.03%,-,-,22900,1.50
2018-10-24,17:26:57 ,14.42,-3.48%,"36,188",43.91K,528.93M,-1.50M,1.57B,3.12,-,27.21,-,-,0.34,1.30,1.30,4.26,-5.40%,-5.62%,-6.53%,35.28,0.50%,3.40%,4.90%,20.70%,2.10%,0.40%,36.68M,15.08M,0.73%,2.50,19.00,-27.17%,29.33%,14.94,-0.04,8.60%,29.20%,2.60%,-3.17%,90.40%,0.03%,-,-,22900,1.50
2018-10-25,17:27:21 ,14.58,1.11%,"22,311",43.83K,534.79M,-1.50M,1.57B,3.16,-,27.51,-,-,0.34,1.30,1.30,4.26,-4.31%,-4.33%,-5.40%,38.55,0.50%,3.40%,4.90%,20.70%,2.10%,0.40%,36.68M,15.08M,0.73%,2.51,19.00,-26.36%,30.76%,14.42,-0.04,8.60%,29.20%,2.60%,-3.17%,90.40%,0.03%,-,-,22900,1.50
2018-10-26,17:26:14 ,14.60,0.14%,"41,053",43.24K,535.53M,-1.50M,1.57B,3.16,-,27.55,-,-,0.34,1.30,1.30,4.26,-4.14%,-4.02%,-5.19%,39.21,0.50%,3.40%,4.90%,20.70%,2.10%,0.40%,36.68M,15.08M,0.73%,2.54,19.00,-26.26%,30.94%,14.58,-0.04,8.60%,29.20%,2.60%,-3.17%,90.40%,0.03%,-,-,22900,1.50
2018-10-29,17:26:18 ,14.56,-0.27%,"22,659",43.10K,526.78M,-1.50M,1.57B,3.15,-,27.47,-,-,0.33,1.30,1.30,4.26,-4.35%,-4.08%,-5.36%,38.58,0.50%,3.40%,4.90%,20.70%,2.10%,0.40%,36.18M,15.08M,0.71%,2.48,19.00,-26.46%,30.58%,14.60,-0.04,8.60%,29.20%,2.60%,-3.22%,90.40%,0.05%,-,-,22900,1.50
2018-10-30,17:26:35 ,14.68,0.82%,"35,675",42.90K,531.12M,-1.50M,1.57B,3.18,-,27.70,-,-,0.34,1.30,1.30,4.26,-3.54%,-3.08%,-4.49%,40.57,0.50%,3.40%,4.90%,20.70%,2.10%,0.40%,36.18M,15.08M,0.71%,2.50,19.00,-25.86%,31.66%,14.56,-0.04,8.60%,29.20%,2.60%,-3.22%,90.40%,0.05%,-,-,22900,1.50
