date,time,price,change,volume,avg_volume,market_cap,income,sales,p_b,p_e,f_p_e,peg,p_c,p_s,quick_ratio,current_ratio,debt_eq,sma20,sma50,sma200,rsi,roa,roe,roi,gross_margin,oper_margin,profit_margin,shs_outstand,shs_float,short_float,short_ratio,target_price,high_y,low_y,prev_close,eps,sales_q_to_q,eps_q_to_q,insider_own,insider_trans,inst_own,inst_trans,dividend,dividend_percent,employees,recom
2018-10-17,02:29:56 ,119.50,3.31%,"122,571",128.93K,3.72B,49.50M,2.59B,39.31,78.72,29.10,3.94,-,1.44,0.40,0.50,10.35,-9.43%,-13.25%,-17.37%,32.01,2.60%,44.80%,11.90%,50.60%,5.40%,1.70%,31.17M,28.97M,7.39%,16.61,143.33,-30.43%,15.90%,115.67,1.52,11.80%,81.70%,0.20%,-14.36%,90.73%,0.03%,-,-,10800,2.70
2018-10-17,21:22:32 ,119.05,-0.38%,"87,661",128.93K,3.71B,49.50M,2.59B,39.16,78.43,28.99,3.92,-,1.43,0.40,0.50,10.35,-8.93%,-13.23%,-17.68%,31.14,2.60%,44.80%,11.90%,50.60%,5.40%,1.70%,31.17M,28.97M,7.39%,16.61,143.33,-30.69%,15.46%,119.50,1.52,11.80%,81.70%,0.20%,-14.36%,90.73%,0.03%,-,-,10800,2.70
2018-10-18,22:00:32 ,116.58,-2.07%,"76,651",129.30K,3.63B,49.50M,2.59B,38.35,76.80,28.39,3.84,-,1.40,0.40,0.50,10.35,-10.01%,-14.72%,-19.39%,28.53,2.60%,44.80%,11.90%,50.60%,5.40%,1.70%,31.17M,28.97M,7.39%,16.57,143.33,-32.13%,13.06%,119.05,1.52,11.80%,81.70%,0.20%,-14.36%,90.73%,0.03%,-,-,10800,2.70
2018-10-19,22:08:24 ,115.79,-0.68%,"104,947",129.23K,3.61B,49.50M,2.59B,38.09,76.28,28.19,3.81,-,1.39,0.40,0.50,10.35,-9.64%,-14.95%,-19.91%,27.33,2.60%,44.80%,11.90%,50.60%,5.40%,1.70%,31.17M,28.97M,7.39%,16.57,143.33,-32.59%,12.30%,116.58,1.52,11.80%,81.70%,0.20%,-14.36%,90.73%,0.03%,-,-,10800,2.70
2018-10-22,19:24:49 ,118.78,2.58%,"151,916",129.92K,3.69B,49.50M,2.59B,39.07,78.25,28.92,3.91,-,1.42,0.40,0.50,10.35,-6.24%,-12.39%,-17.82%,35.17,2.60%,44.80%,11.90%,50.60%,5.40%,1.70%,31.10M,28.97M,7.39%,16.49,143.33,-30.85%,15.20%,115.79,1.52,11.80%,81.70%,0.20%,-14.38%,90.70%,0.04%,-,-,10800,2.70
2018-10-23,19:25:57 ,119.54,0.64%,"178,277",130.76K,3.72B,49.50M,2.59B,39.32,78.75,29.11,3.94,-,1.43,0.40,0.50,10.35,-4.82%,-11.50%,-17.28%,37.06,2.60%,44.80%,11.90%,50.60%,5.40%,1.70%,31.10M,28.97M,7.39%,16.38,143.33,-30.40%,15.93%,118.78,1.52,11.80%,81.70%,0.20%,-14.38%,90.70%,0.04%,-,-,10800,2.70
2018-10-24,19:25:15 ,116.16,-2.83%,"173,904",132.44K,3.61B,49.50M,2.59B,38.21,76.52,28.28,3.83,-,1.39,0.40,0.50,10.35,-6.70%,-13.75%,-19.60%,33.12,2.60%,44.80%,11.90%,50.60%,5.40%,1.70%,31.10M,28.97M,7.39%,16.17,143.33,-32.37%,12.66%,119.54,1.52,11.80%,81.70%,0.20%,-14.38%,90.70%,0.04%,-,-,10800,2.70
2018-10-25,19:25:30 ,119.58,2.94%,"211,152",133.71K,3.72B,49.50M,2.59B,39.34,78.77,29.12,3.94,-,1.43,0.40,0.50,10.35,-2.90%,-10.88%,-17.21%,40.27,2.60%,44.80%,11.90%,50.60%,5.40%,1.70%,31.10M,28.97M,7.39%,16.02,143.33,-30.38%,15.97%,116.16,1.52,11.80%,81.70%,0.20%,-14.38%,90.70%,0.04%,-,-,10800,2.70
2018-10-26,19:23:55 ,119.54,-0.03%,"133,095",134.78K,3.72B,49.50M,2.59B,39.32,78.75,29.11,3.94,-,1.43,0.40,0.50,10.35,-2.17%,-10.62%,-17.24%,40.71,2.60%,44.80%,11.90%,50.60%,5.40%,1.70%,31.10M,28.97M,7.39%,15.89,143.33,-30.40%,14.87%,119.58,1.52,11.80%,81.70%,0.20%,-14.38%,90.70%,0.04%,-,-,10800,2.70
2018-10-29,19:21:58 ,121.25,1.43%,"168,161",135.91K,3.75B,49.50M,2.59B,39.88,79.87,29.52,3.99,-,1.45,0.40,0.50,10.35,-0.07%,-9.09%,-16.05%,44.40,2.60%,44.80%,11.90%,50.60%,5.40%,1.70%,30.90M,28.84M,6.87%,14.57,143.33,-29.41%,16.51%,119.54,1.52,11.80%,81.70%,0.20%,-14.46%,90.70%,0.02%,-,-,10800,2.70
2018-10-30,19:22:57 ,124.46,2.65%,"207,990",136.85K,3.85B,49.50M,2.59B,40.94,81.99,30.30,4.10,-,1.48,0.40,0.50,10.35,3.14%,-6.45%,-13.83%,50.47,2.60%,44.80%,11.90%,50.60%,5.40%,1.70%,30.90M,28.84M,6.87%,14.47,143.33,-27.54%,19.60%,121.25,1.52,11.80%,81.70%,0.20%,-14.46%,90.70%,0.02%,-,-,10800,2.70
2018-10-31,19:22:39 ,124.99,0.43%,"174,703",138.15K,3.86B,49.50M,2.59B,41.12,82.34,30.43,4.12,-,1.49,0.40,0.50,10.35,3.95%,-5.83%,-13.46%,50.67,2.60%,44.80%,11.90%,50.60%,5.40%,1.70%,30.90M,28.84M,6.87%,14.33,143.33,-27.23%,20.11%,124.46,1.52,11.80%,81.70%,0.20%,-14.46%,90.70%,0.02%,-,-,10800,2.70
2018-11-01,19:24:30 ,111.51,-10.78%,"450,661",138.82K,3.45B,49.50M,2.59B,36.68,73.46,27.15,3.67,-,1.33,0.40,0.50,10.35,-6.96%,-15.79%,-22.79%,33.58,2.60%,44.80%,11.90%,50.60%,5.40%,1.70%,30.90M,28.84M,6.87%,14.27,143.33,-35.08%,7.15%,124.99,1.52,11.80%,81.70%,0.20%,-14.46%,90.70%,0.02%,-,-,10800,2.70
2018-11-03,00:49:12 ,112.86,1.21%,"271,825",141.98K,3.49B,49.50M,2.59B,37.13,74.35,27.48,3.72,-,1.35,0.40,0.50,10.35,-5.14%,-14.38%,-21.81%,36.18,2.60%,44.80%,11.90%,50.60%,5.40%,1.70%,30.90M,28.84M,6.87%,13.95,143.33,-34.29%,2.94%,111.51,1.52,11.80%,81.70%,0.20%,-14.46%,90.70%,0.02%,-,-,10800,2.70
2018-11-05,18:24:21 ,111.52,-1.19%,"185,806",141.96K,3.40B,11.50M,2.62B,41.92,347.41,28.07,17.37,70.76,1.30,0.40,0.60,12.28,-5.76%,-15.03%,-22.68%,34.45,0.30%,5.90%,11.90%,50.40%,3.40%,0.20%,30.52M,28.86M,6.86%,13.95,137.00,-35.07%,1.38%,112.86,0.32,4.60%,-165.60%,0.20%,-24.68%,90.90%,0.21%,-,-,10800,2.70
2018-11-06,18:20:33 ,115.33,3.42%,"224,264",142.69K,3.52B,11.50M,2.62B,43.36,359.28,29.03,17.96,73.18,1.34,0.40,0.60,12.28,-2.02%,-11.74%,-19.97%,40.72,0.30%,5.90%,11.90%,50.40%,3.40%,0.20%,30.52M,28.86M,6.86%,13.88,137.00,-32.85%,5.81%,111.52,0.32,4.60%,-165.60%,0.20%,-24.68%,90.90%,0.21%,-,-,10800,2.70
2018-11-07,18:26:31 ,117.93,2.25%,"114,572",144.28K,3.60B,11.50M,2.62B,44.33,367.38,29.68,18.37,74.83,1.37,0.40,0.60,12.28,0.44%,-9.41%,-18.10%,45.43,0.30%,5.90%,11.90%,50.40%,3.40%,0.20%,30.52M,28.86M,6.86%,13.73,137.00,-31.34%,8.19%,115.33,0.32,4.60%,-165.60%,0.20%,-24.68%,90.90%,0.21%,-,-,10800,2.70
2018-11-08,18:21:02 ,117.24,-0.59%,"120,759",144.64K,3.58B,11.50M,2.62B,44.08,365.23,29.51,18.26,74.39,1.37,0.40,0.60,12.28,-0.20%,-9.61%,-18.54%,44.39,0.30%,5.90%,11.90%,50.40%,3.40%,0.20%,30.52M,28.86M,6.86%,13.69,137.00,-31.74%,7.56%,117.93,0.32,4.60%,-165.60%,0.20%,-24.68%,90.90%,0.21%,-,-,10800,2.70
2018-11-09,19:04:18 ,117.58,0.29%,"187,260",145.19K,3.59B,11.50M,2.62B,44.20,366.29,29.59,18.31,74.61,1.37,0.40,0.60,12.28,0.00%,-9.03%,-18.26%,44.27,0.30%,5.90%,11.90%,50.40%,3.40%,0.20%,30.52M,28.86M,6.86%,13.64,137.00,-31.54%,7.87%,117.24,0.32,4.60%,-165.60%,0.20%,-14.92%,90.90%,0.21%,-,-,10800,2.70
2018-11-12,21:02:21 ,116.26,-1.12%,"142,549",146.60K,3.58B,11.50M,2.62B,43.71,362.18,30.30,18.11,74.49,1.37,0.40,0.60,12.28,-1.26%,-9.75%,-19.14%,42.34,0.30%,5.90%,11.90%,50.40%,3.40%,0.20%,30.82M,28.86M,6.32%,12.45,127.00,-32.31%,6.66%,117.58,0.32,4.60%,-165.60%,0.20%,-14.79%,90.50%,-0.11%,-,-,10800,2.70
2018-11-13,18:29:45 ,112.78,-2.99%,"216,242",147.76K,3.48B,11.50M,2.62B,42.40,351.34,29.39,17.57,72.26,1.33,0.40,0.60,12.28,-4.24%,-12.13%,-21.52%,38.03,0.30%,5.90%,11.90%,50.40%,3.40%,0.20%,30.82M,28.86M,6.32%,12.35,127.00,-34.34%,3.47%,116.26,0.32,4.60%,-165.60%,0.20%,-14.79%,90.50%,-0.11%,-,-,10800,2.70
