date,time,price,change,volume,avg_volume,market_cap,income,sales,p_b,p_e,f_p_e,peg,p_c,p_s,quick_ratio,current_ratio,debt_eq,sma20,sma50,sma200,rsi,roa,roe,roi,gross_margin,oper_margin,profit_margin,shs_outstand,shs_float,short_float,short_ratio,target_price,high_y,low_y,prev_close,eps,sales_q_to_q,eps_q_to_q,insider_own,insider_trans,inst_own,inst_trans,dividend,dividend_percent,employees,recom
2018-10-17,02:27:43 ,6.87,3.93%,"191,101",106.09K,208.09M,-1.30M,160.60M,1.14,-,13.55,-,3.83,1.30,1.70,1.70,0.31,-4.13%,-8.91%,-16.42%,43.99,1.30%,2.10%,2.20%,47.70%,6.60%,2.20%,30.29M,26.81M,0.98%,2.48,12.00,-30.25%,7.18%,6.61,-0.03,6.20%,-85.30%,0.30%,-69.22%,80.80%,0.92%,-,-,1554,1.80
2018-10-17,21:20:07 ,6.79,-1.16%,"79,756",106.09K,205.67M,-1.30M,160.60M,1.13,-,13.39,-,3.78,1.28,1.70,1.70,0.31,-4.84%,-9.69%,-17.28%,42.40,1.30%,2.10%,2.20%,47.70%,6.60%,2.20%,30.29M,26.81M,0.98%,2.48,12.00,-31.07%,5.93%,6.87,-0.03,6.20%,-85.30%,0.30%,-69.22%,80.80%,0.92%,-,-,1554,1.80
2018-10-18,21:58:21 ,6.60,-2.80%,"106,986",106.50K,199.91M,-1.30M,160.60M,1.10,-,13.02,-,3.67,1.24,1.70,1.70,0.31,-7.04%,-11.96%,-19.49%,37.89,1.30%,2.10%,2.20%,47.70%,6.60%,2.20%,30.29M,26.81M,0.98%,2.47,12.00,-32.99%,2.96%,6.79,-0.03,6.20%,-85.30%,0.30%,-69.22%,80.80%,0.92%,-,-,1554,1.80
2018-10-19,22:06:12 ,6.51,-1.36%,"122,297",107.80K,197.19M,-1.30M,160.60M,1.08,-,12.84,-,3.62,1.23,1.70,1.70,0.31,-7.66%,-12.92%,-20.45%,36.14,1.30%,2.10%,2.20%,47.70%,6.60%,2.20%,30.29M,26.81M,0.98%,2.44,12.00,-33.91%,1.56%,6.60,-0.03,6.20%,-85.30%,0.30%,-69.22%,80.80%,0.92%,-,-,1554,1.80
2018-10-22,19:22:24 ,6.50,-0.15%,"107,217",108.55K,193.70M,-1.30M,160.60M,1.08,-,13.89,-,3.56,1.21,1.70,1.70,0.31,-7.11%,-12.71%,-20.45%,35.13,1.30%,2.10%,2.20%,47.70%,6.60%,2.20%,29.80M,26.81M,0.98%,2.43,11.75,-34.01%,1.40%,6.51,-0.03,6.20%,-85.30%,0.30%,-69.57%,81.30%,1.49%,-,-,1554,1.80
2018-10-23,19:23:32 ,6.28,-3.38%,"95,974",109.37K,187.14M,-1.30M,160.60M,1.04,-,13.42,-,3.44,1.17,1.70,1.70,0.31,-9.61%,-15.29%,-23.02%,30.73,1.30%,2.10%,2.20%,47.70%,6.60%,2.20%,29.80M,26.81M,0.98%,2.41,11.75,-36.24%,-2.03%,6.50,-0.03,6.20%,-85.30%,0.30%,-69.57%,81.30%,1.49%,-,-,1554,1.80
2018-10-24,19:22:53 ,6.03,-3.98%,"123,718",110.05K,179.69M,-1.30M,160.60M,1.00,-,12.88,-,3.30,1.12,1.70,1.70,0.31,-12.44%,-18.39%,-25.95%,26.53,1.30%,2.10%,2.20%,47.70%,6.60%,2.20%,29.80M,26.81M,0.98%,2.39,11.75,-38.78%,-3.52%,6.28,-0.03,6.20%,-85.30%,0.30%,-69.57%,81.30%,1.49%,-,-,1554,1.80
2018-10-25,19:23:01 ,6.25,3.65%,"642,576",110.78K,186.25M,-1.30M,160.60M,1.04,-,13.35,-,3.42,1.16,1.70,1.70,0.31,-8.32%,-15.06%,-23.10%,33.98,1.30%,2.10%,2.20%,47.70%,6.60%,2.20%,29.80M,26.81M,0.98%,2.38,11.75,-36.55%,4.17%,6.03,-0.03,6.20%,-85.30%,0.30%,-69.57%,81.30%,1.49%,-,-,1554,1.80
2018-10-26,19:21:31 ,6.19,-0.96%,"127,573",119.26K,184.46M,-1.30M,160.60M,1.03,-,13.23,-,3.39,1.15,1.70,1.70,0.31,-8.43%,-15.59%,-23.69%,32.94,1.30%,2.10%,2.20%,47.70%,6.60%,2.20%,29.80M,26.81M,0.98%,2.21,11.75,-37.16%,3.35%,6.25,-0.03,6.20%,-85.30%,0.30%,-69.57%,81.30%,1.49%,-,-,1554,1.80
2018-10-29,19:19:48 ,6.15,-0.65%,"114,766",120.28K,182.53M,-1.30M,160.60M,1.02,-,13.14,-,3.36,1.14,1.70,1.70,0.31,-8.15%,-15.82%,-24.02%,32.43,1.30%,2.10%,2.20%,47.70%,6.60%,2.20%,29.68M,26.81M,1.09%,2.43,11.75,-37.56%,2.68%,6.19,-0.03,6.20%,-85.30%,0.30%,-69.66%,81.40%,1.70%,-,-,1554,1.80
2018-10-30,19:20:45 ,6.00,-2.44%,"97,976",119.69K,178.08M,-1.30M,160.60M,1.00,-,12.82,-,3.27,1.11,1.70,1.70,0.31,-9.48%,-17.56%,-25.72%,30.12,1.30%,2.10%,2.20%,47.70%,6.60%,2.20%,29.68M,26.81M,1.09%,2.44,11.75,-39.09%,0.17%,6.15,-0.03,6.20%,-85.30%,0.30%,-69.66%,81.40%,1.70%,-,-,1554,1.80
2018-10-31,19:20:29 ,6.24,4.00%,"82,338",120.60K,185.20M,-1.30M,160.60M,1.04,-,13.33,-,3.40,1.15,1.70,1.70,0.31,-4.75%,-13.90%,-22.58%,38.57,1.30%,2.10%,2.20%,47.70%,6.60%,2.20%,29.68M,26.81M,1.09%,2.43,11.75,-36.65%,4.70%,6.00,-0.03,6.20%,-85.30%,0.30%,-69.66%,81.40%,1.70%,-,-,1554,1.80
2018-11-01,19:22:12 ,6.32,1.28%,"63,485",120.90K,187.58M,-1.30M,160.60M,1.05,-,13.50,-,3.45,1.17,1.70,1.70,0.31,-2.66%,-12.44%,-21.42%,40.78,1.30%,2.10%,2.20%,47.70%,6.60%,2.20%,29.68M,26.81M,1.09%,2.42,11.75,-35.84%,6.04%,6.24,-0.03,6.20%,-85.30%,0.30%,-69.66%,81.40%,1.70%,-,-,1554,1.80
2018-11-03,00:46:49 ,6.45,2.06%,"69,132",120.20K,191.44M,-1.30M,160.60M,1.07,-,13.78,-,3.52,1.19,1.70,1.70,0.31,0.00%,-10.27%,-19.65%,45.06,1.30%,2.10%,2.20%,47.70%,6.60%,2.20%,29.68M,26.81M,1.09%,2.43,11.75,-34.52%,11.79%,6.32,-0.03,6.20%,-85.30%,0.30%,-69.66%,81.40%,1.70%,-,-,1554,1.80
2018-11-05,18:22:06 ,6.30,-2.33%,"86,226",119.87K,181.50M,-1.30M,160.60M,1.05,-,13.46,-,3.34,1.13,1.70,1.70,0.31,-2.30%,-11.98%,-21.36%,41.24,1.30%,2.10%,2.20%,47.70%,6.60%,2.20%,28.81M,26.81M,1.09%,2.44,11.75,-36.04%,9.19%,6.45,-0.03,6.20%,-85.30%,0.30%,-70.28%,80.90%,0.84%,-,-,1554,1.80
