date,time,price,change,volume,avg_volume,market_cap,income,sales,p_b,p_e,f_p_e,peg,p_c,p_s,quick_ratio,current_ratio,debt_eq,sma20,sma50,sma200,rsi,roa,roe,roi,gross_margin,oper_margin,profit_margin,shs_outstand,shs_float,short_float,short_ratio,target_price,high_y,low_y,prev_close,eps,sales_q_to_q,eps_q_to_q,insider_own,insider_trans,inst_own,inst_trans,dividend,dividend_percent,employees,recom
2018-10-17,02:24:59 ,2.81,0.72%,"243,788",403.36K,395.42M,14.30M,257.90M,0.39,24.65,9.27,0.64,12.17,1.53,0.40,0.50,0.52,0.09%,-2.98%,-9.84%,46.39,1.00%,1.60%,4.70%,89.20%,20.00%,5.60%,140.72M,119.65M,0.55%,1.64,4.11,-21.94%,4.46%,2.79,0.11,5.50%,-82.80%,35.60%,0.00%,18.50%,-,0.32,11.39%,-,1.90
2018-10-17,21:17:03 ,2.81,0.00%,"416,120",403.36K,395.42M,14.30M,257.90M,0.39,24.65,9.27,0.64,12.17,1.53,0.40,0.50,0.52,0.09%,-2.81%,-9.76%,46.09,1.00%,1.60%,4.70%,89.20%,20.00%,5.60%,140.72M,119.65M,0.55%,1.64,4.11,-21.94%,4.46%,2.81,0.11,5.50%,-82.80%,35.60%,0.00%,18.50%,-,0.32,11.39%,-,1.90
2018-10-18,21:55:35 ,2.76,-1.78%,"268,655",404.22K,388.39M,14.30M,257.90M,0.38,24.21,9.11,0.63,11.95,1.51,0.40,0.50,0.52,-1.67%,-4.38%,-11.28%,39.96,1.00%,1.60%,4.70%,89.20%,20.00%,5.60%,140.72M,119.65M,0.55%,1.63,4.11,-23.33%,2.60%,2.81,0.11,5.50%,-82.80%,35.60%,0.00%,18.50%,-,0.32,11.59%,-,1.90
2018-10-19,22:03:28 ,2.77,0.36%,"360,603",405.24K,389.79M,14.30M,257.90M,0.38,24.30,9.14,0.63,11.99,1.51,0.40,0.50,0.52,-1.25%,-3.84%,-10.85%,40.48,1.00%,1.60%,4.70%,89.20%,20.00%,5.60%,140.72M,119.65M,0.55%,1.63,4.11,-23.06%,2.97%,2.76,0.11,5.50%,-82.80%,35.60%,0.00%,18.50%,-,0.32,11.55%,-,1.90
2018-10-22,19:19:23 ,2.79,0.72%,"251,090",403.11K,389.79M,14.30M,257.90M,0.39,24.47,9.21,0.64,11.99,1.51,0.40,0.50,0.52,-0.53%,-2.97%,-10.10%,43.83,1.00%,1.60%,4.70%,89.20%,20.00%,5.60%,139.71M,119.65M,0.55%,1.64,4.11,-22.50%,3.72%,2.77,0.11,5.50%,-82.80%,35.60%,0.00%,18.40%,-0.06%,0.32,11.47%,-,1.90
2018-10-23,19:20:33 ,2.76,-1.08%,"515,111",403.15K,385.60M,14.30M,257.90M,0.38,24.21,9.11,0.63,11.86,1.50,0.40,0.50,0.52,-1.69%,-3.84%,-10.96%,40.24,1.00%,1.60%,4.70%,89.20%,20.00%,5.60%,139.71M,119.65M,0.55%,1.64,4.11,-23.33%,2.60%,2.79,0.11,5.50%,-82.80%,35.60%,0.00%,18.40%,-0.06%,0.32,11.59%,-,1.90
2018-10-24,19:19:55 ,2.67,-3.26%,"630,594",406.13K,373.03M,14.30M,257.90M,0.37,23.42,8.81,0.61,11.48,1.45,0.40,0.50,0.52,-4.95%,-6.81%,-13.76%,31.85,1.00%,1.60%,4.70%,89.20%,20.00%,5.60%,139.71M,119.65M,0.55%,1.63,4.11,-25.83%,-0.74%,2.76,0.11,5.50%,-82.80%,35.60%,0.00%,18.40%,-0.06%,0.32,11.99%,-,1.90
2018-10-25,19:19:57 ,2.71,1.50%,"764,797",412.73K,378.61M,14.30M,257.90M,0.37,23.77,8.94,0.62,11.65,1.47,0.40,0.50,0.52,-3.40%,-5.16%,-12.35%,37.88,1.00%,1.60%,4.70%,89.20%,20.00%,5.60%,139.71M,119.65M,0.55%,1.60,4.11,-24.72%,1.88%,2.67,0.11,5.50%,-82.80%,35.60%,0.00%,18.40%,-0.06%,0.32,11.81%,-,1.90
2018-10-26,19:18:30 ,2.68,-1.11%,"345,078",421.13K,374.42M,14.30M,257.90M,0.37,23.51,8.84,0.61,11.52,1.45,0.40,0.50,0.52,-4.35%,-6.01%,-13.21%,35.36,1.00%,1.60%,4.70%,89.20%,20.00%,5.60%,139.71M,119.65M,0.55%,1.57,4.11,-25.56%,1.32%,2.71,0.11,5.50%,-82.80%,35.60%,0.00%,18.40%,-0.06%,0.32,11.94%,-,1.90
2018-10-29,19:17:05 ,2.65,-1.12%,"555,829",422.28K,375.74M,14.30M,257.90M,0.37,23.25,8.60,0.60,11.56,1.46,0.40,0.50,0.52,-5.26%,-6.85%,-14.07%,32.95,1.00%,1.60%,4.70%,89.20%,20.00%,5.60%,141.79M,119.65M,0.35%,1.00,4.11,-26.39%,0.38%,2.68,0.11,5.50%,-82.80%,35.60%,0.00%,18.40%,-0.16%,0.32,12.08%,-,1.90
