date,title,source
Oct-17-18,Cooper Standard Named 2019 Automotive News PACE Award Finalist for Artificial Intelligence Material Development Software,PR Newswire
Oct-22-18,"Report: Developing Opportunities within YY, Ingredion, Standex International, Graham, Cooper-Standard, and Titan Machinery  Future Expectations, Projections Moving into 2018",GlobeNewswire
Oct-22-18,Cooper-Standard Holdings (CPS): Moving Average Crossover Alert,Zacks
Oct-29-18,How Much is Cooper-Standard Holdings Incs (NYSE:CPS) CEO Getting Paid?,Simply Wall St.
Nov-01-18,Cooper-Standard: 3Q Earnings Snapshot,Associated Press
Nov-01-18,Cooper Standard Reports Third Quarter Results and Announces Significant Progress on Several Strategic Initiatives,PR Newswire
Nov-02-18,Edited Transcript of CPS earnings conference call or presentation 2-Nov-18 1:00pm GMT,Thomson Reuters StreetEvents
Nov-02-18,Cooper-Standard Holdings Inc (CPS) Q3 2018 Earnings Conference Call Transcript,Motley Fool
Nov-02-18,What does Cooper-Standard Holdings Incs (NYSE:CPS) Balance Sheet Tell Us About Its Future?,Simply Wall St.
Nov-02-18,Cooper Standard to Divest Anti-Vibration Systems Business,PR Newswire
Nov-05-18,"Cooper-Standard (CPS) Q3 Earnings Miss Estimates, Down Y/Y",Zacks
Nov-05-18,New Strong Sell Stocks for November 5th,Zacks
Nov-07-18,Cooper Standard (CPS) to Divest AVS Business to Continental,Zacks
Nov-08-18,"Cooper-standard Holdings Inc (CPS) Chairman and CEO Jeffrey S Edwards Bought $978,384 of Shares",GuruFocus.com
Nov-08-18,"Auto Stock Roundup: Toyota's Operating Income Rises Y/Y, OSK Beats, CPS Misses",Zacks
Dec-11-18,Cooper Standard Licenses Fortrex Material Science Platform to Global Material Formulator,PR Newswire
