date,time,price,change,volume,avg_volume,market_cap,income,sales,p_b,p_e,f_p_e,peg,p_c,p_s,quick_ratio,current_ratio,debt_eq,sma20,sma50,sma200,rsi,roa,roe,roi,gross_margin,oper_margin,profit_margin,shs_outstand,shs_float,short_float,short_ratio,target_price,high_y,low_y,prev_close,eps,sales_q_to_q,eps_q_to_q,insider_own,insider_trans,inst_own,inst_trans,dividend,dividend_percent,employees,recom
2018-10-17,02:35:09 ,13.09,2.67%,"55,560",114.28K,640.76M,-193.70M,1.07B,1.14,-,-,-,0.34,0.60,1.70,1.80,10.49,-4.72%,-7.63%,-26.62%,44.89,1.80%,28.30%,12.40%,37.20%,76.90%,13.80%,48.95M,34.06M,1.30%,3.88,22.50,-44.75%,9.17%,12.75,-3.90,26.80%,-174.50%,38.20%,0.00%,27.00%,-0.51%,0.45,3.44%,2435,1.00
2018-10-17,21:27:52 ,12.80,-2.22%,"17,350",114.28K,626.56M,-193.70M,1.07B,1.11,-,-,-,0.33,0.59,1.70,1.80,10.49,-6.58%,-9.20%,-28.07%,41.58,1.80%,28.30%,12.40%,37.20%,76.90%,13.80%,48.95M,34.06M,1.30%,3.88,22.50,-45.97%,6.76%,13.09,-3.90,26.80%,-174.50%,38.20%,0.00%,27.00%,-0.51%,0.45,3.52%,2435,1.00
2018-10-18,22:05:44 ,12.48,-2.50%,"35,617",112.63K,610.90M,-193.70M,1.07B,1.08,-,-,-,0.33,0.57,1.70,1.80,10.49,-8.53%,-11.04%,-29.68%,38.89,1.80%,28.30%,12.40%,37.20%,76.90%,13.80%,48.95M,34.06M,1.30%,3.94,22.50,-47.32%,4.09%,12.80,-3.90,26.80%,-174.50%,38.20%,0.00%,27.00%,-0.51%,0.45,3.61%,2435,1.00
2018-10-19,22:13:34 ,12.38,-0.80%,"49,891",108.56K,606.00M,-193.70M,1.07B,1.07,-,-,-,0.32,0.57,1.70,1.80,10.49,-8.43%,-11.30%,-30.05%,38.16,1.80%,28.30%,12.40%,37.20%,76.90%,13.80%,48.95M,34.06M,1.30%,4.08,22.50,-47.74%,3.25%,12.48,-3.90,26.80%,-174.50%,38.20%,0.00%,27.00%,-0.51%,0.45,3.63%,2435,1.00
2018-10-22,19:30:31 ,12.09,-2.34%,"46,765",107.70K,630.01M,-193.10M,1.06B,1.05,-,-,-,0.34,0.59,1.70,1.80,10.49,-9.63%,-12.98%,-31.49%,35.80,1.80%,28.30%,12.40%,37.20%,76.90%,13.80%,52.11M,34.06M,1.30%,4.12,22.50,-48.97%,0.83%,12.38,-3.89,26.80%,-174.50%,38.20%,0.00%,27.00%,-0.47%,0.45,3.72%,2435,1.00
2018-10-23,19:31:41 ,11.79,-2.48%,"106,564",106.09K,614.38M,-193.10M,1.06B,1.03,-,-,-,0.33,0.58,1.70,1.80,10.49,-11.01%,-14.76%,-32.99%,33.53,1.80%,28.30%,12.40%,37.20%,76.90%,13.80%,52.11M,34.06M,1.30%,4.18,22.50,-50.23%,-1.67%,12.09,-3.89,26.80%,-174.50%,38.20%,0.00%,27.00%,-0.47%,0.45,3.82%,2435,1.00
2018-10-24,19:30:54 ,11.09,-5.94%,"406,053",105.72K,577.90M,-193.10M,1.06B,0.97,-,-,-,0.31,0.54,1.70,1.80,10.49,-15.40%,-19.50%,-36.78%,27.99,1.80%,28.30%,12.40%,37.20%,76.90%,13.80%,52.11M,34.06M,1.30%,4.19,22.50,-53.19%,-3.57%,11.79,-3.89,26.80%,-174.50%,38.20%,0.00%,27.00%,-0.47%,0.45,4.06%,2435,1.00
2018-10-25,19:31:10 ,11.46,3.34%,"166,795",110.94K,597.18M,-193.10M,1.06B,1.00,-,-,-,0.32,0.56,1.70,1.80,10.49,-11.22%,-16.40%,-34.46%,33.90,1.80%,28.30%,12.40%,37.20%,76.90%,13.80%,52.11M,34.06M,1.30%,4.00,22.50,-51.63%,6.70%,11.09,-3.89,26.80%,-174.50%,38.20%,0.00%,27.00%,-0.47%,0.45,3.93%,2435,1.00
2018-10-26,19:29:41 ,11.18,-2.44%,"79,640",112.35K,582.59M,-193.10M,1.06B,0.97,-,-,-,0.31,0.55,1.70,1.80,10.49,-12.26%,-18.08%,-35.87%,32.61,1.80%,28.30%,12.40%,37.20%,76.90%,13.80%,52.11M,34.06M,1.30%,3.95,22.50,-52.81%,4.10%,11.46,-3.89,26.80%,-174.50%,38.20%,0.00%,27.00%,-0.47%,0.45,4.03%,2435,1.00
2018-10-29,19:27:07 ,11.18,0.00%,"119,335",111.91K,577.56M,-192.90M,1.06B,0.97,-,-,-,0.31,0.54,1.70,1.80,10.49,-11.22%,-17.67%,-35.68%,33.73,1.80%,28.30%,12.40%,37.20%,76.90%,13.80%,51.66M,34.06M,1.62%,4.93,22.50,-52.81%,4.10%,11.18,-3.89,26.80%,-174.50%,38.20%,0.00%,27.00%,-0.47%,0.45,4.03%,2435,1.00
2018-10-30,19:28:04 ,11.24,0.54%,"92,161",112.73K,580.66M,-192.90M,1.06B,0.98,-,-,-,0.31,0.55,1.70,1.80,10.49,-9.75%,-16.85%,-35.15%,31.74,1.80%,28.30%,12.40%,37.20%,76.90%,13.80%,51.66M,34.06M,1.62%,4.90,22.50,-52.56%,4.66%,11.18,-3.89,26.80%,-174.50%,38.20%,0.00%,27.00%,-0.47%,0.45,4.00%,2435,1.00
