date,title,source
Oct-17-18,Radisson Hotel Group partners with Ctrip to drive growth in China and abroad,GlobeNewswire
Oct-19-18,Stocks That Fell to 3-Year Lows the Week of Oct. 19,GuruFocus.com
Oct-19-18,"Ctrip.com International, Ltd. to Report Third Quarter 2018 Financial Results on November 7, 2018 U.S. Time",PR Newswire
Oct-24-18,5 E-commerce Stocks Likely to Beat Estimates in Q3 Earnings,Zacks
Oct-26-18,"Report: Developing Opportunities within Assured Guaranty, Potbelly, Enanta Pharmaceuticals, Seagate Technology, Ctrip.com International, and CyberArk Software  Future Expectations, Projections Moving into 2018",GlobeNewswire
Oct-26-18,"Ctrip Attends Global Tourism Economy Forum, World Travel & Tourism Council in Macau",GlobeNewswire
Oct-29-18,Will Ctrip.Com (CTRP) Beat Estimates Again in Its Next Earnings Report?,Zacks
Nov-07-18,Ctrip.Com: 3Q Earnings Snapshot,Associated Press
Nov-07-18,Ctrip Reports Unaudited Third Quarter of 2018 Financial Results,PR Newswire
Nov-08-18,"Why Wynn Resorts, Ctrip.com International, and Talend Slumped Today",Motley Fool
Nov-08-18,Why Ctrip.com International Stock Tumbled Today,Motley Fool
Nov-08-18,"Ctrip.com International, Ltd. (CTRP) Q3 2018 Earnings Conference Call Transcript",Motley Fool
Nov-09-18,How Much Money Does Ctripcom International Ltd (NASDAQ:CTRP) Make?,Simply Wall St.
Nov-09-18,Ctrip's Expenses Cancel Its Top-Line Growth,Motley Fool
Nov-09-18,[$$] Chinese Travel Giant Trips Up Investors,The Wall Street Journal
Nov-12-18,"In the China-U.S. Trade War, CTRP Stock Is Collateral Damage",InvestorPlace
Nov-13-18,Tencent-backed Chinese travel firm slashes HK IPO size amid weak markets,Reuters
Nov-13-18,Tencent-backed Chinese travel firm slashes HK IPO size amid weak markets,Reuters
Nov-14-18,Stocks Not in a Bouncy Mood Yet,Zacks
Nov-19-18,Edited Transcript of CTRP earnings conference call or presentation 8-Nov-18 12:00am GMT,Thomson Reuters StreetEvents
Nov-20-18,Edited Transcript of CTRP earnings conference call or presentation 8-Nov-18 12:00am GMT,Thomson Reuters StreetEvents
Nov-20-18,Ctrip and Yokohama Reach Strategic Cooperation Agreement,GlobeNewswire
Nov-21-18,Chinas Travel Website Raises $180M in Hong Kong IPO,Investing.com
Nov-26-18,"Slicing Ctrip's Fair Value, Shares Still Attractive",Morningstar
Nov-27-18,8 China Stocks With Long-Term Upside,InvestorPlace
Nov-29-18,[$$] China's Ctrip to Use Discounts to Lure Travelers as Economy Slows,The Wall Street Journal
Nov-29-18,"CNBC Interview with Jane Sun, CEO, CTrip",CNBC
Dec-03-18,Trip.com adds services in six new languages,GlobeNewswire
Dec-06-18,"Ctrip to Hold 2018 Annual General Meeting on December 20, 2018",PR Newswire
Dec-07-18,"Ctrip.com International, Ltd. (CTRP): Are Hedge Funds Right About This Stock?",Insider Monkey
Dec-10-18,"Trade Tensions Will Have Temporary Impact on China Tourism, Ctrip's Liang Says",Bloomberg
Dec-10-18,Ctrip Group Celebrates 15th Anniversary NASDAQ Listing,GlobeNewswire
Dec-10-18,"Opening Bell, December 10, 2018",CNBC Videos
Dec-10-18,10 Stocks Hedge Funds Ditched in Q3 Just Before the Market Crushed Them,Insider Monkey
Dec-11-18,Why Ctrip Stock Lost 13% in November,Motley Fool
Dec-11-18,Ctrip hosts inaugural Ctrip Day travel industry conference,GlobeNewswire
Dec-12-18,Stocks Take Another Bumpy Ride,Zacks
Dec-14-18,Ctrip Groups Oasis Lab and Plug and Play Forge Strategic Partnership,GlobeNewswire
Dec-17-18,"Chinas Largest Online Travel Agency Ctrip Lays Solid Foundation for Global Expansion, Through Partnership with Workday Human Capital Management",GlobeNewswire
Dec-19-18,7 Trade War Losers Set to Become Big 2019 Winners,InvestorPlace
Dec-28-18,"[$$] After a Comeback and a Name Change, Priceline Bets Big on China",The Wall Street Journal
Dec-28-18,"[$$] Remember Priceline? After a Comeback and a Name Change, It's Betting Big on China",The Wall Street Journal
Jan-23-19,6 Stocks Immune From Global Market Risk,Investopedia
Jan-23-19,"Trade war is a lose-lose situation, Ctrip CEO says",CNBC Videos
Jan-24-19,6 Stocks Immune From Global Market Risk,Investopedia
Jan-24-19,Ctrip CEO Jane Sun Discuses Globalization 4.0 At Davos,GlobeNewswire
Jan-25-19,Today's Research Reports on Trending Tickers: Ctrip.com International and Mattel,ACCESSWIRE
Jan-25-19,"What Should Investors Know About Ctrip.com International, Ltd.s (NASDAQ:CTRP) Future?",Simply Wall St.
Jan-30-19,Dow Pushes Forward Under Apple's Shadow,Zacks
Feb-05-19,IQ Stock Is Back in Bullish Mode with at Least a 20% Upside,InvestorPlace
Feb-07-19,Why Ctrip.com International Stock Soared 23% in January,Motley Fool
Feb-11-19,Will Ctrip.Com (CTRP) Beat Estimates Again in Its Next Earnings Report?,Zacks
Feb-12-19,The 3 Best Chinese Stocks to Buy for a Long-Term Portfolio,InvestorPlace
Feb-13-19,Good Feelings for Good Dealings,Zacks
Feb-21-19,What iQiyi Stock Shareholders Need to Know Before Earnings,InvestorPlace
Feb-22-19,3 Chinese Stocks to Stop Worrying About and Buy,InvestorPlace
Feb-27-19,"Analysis: Positioning to Benefit within Vonage, Ctrip.com International, CNH Industrial N.V, Sina, Washington Prime Group, and Team  Research Highlights Growth, Revenue, and Consolidated Results",GlobeNewswire
Feb-28-19,Ctrip CEO Visits Middle East Refugee Centers to Seek Further Commitments,GlobeNewswire
Mar-04-19,Ctrip Reports Unaudited Fourth Quarter and Full Year of 2018 Financial Results,PR Newswire
Mar-05-19,"Why Aurora Cannabis, Ctrip.com International, and Carvana Jumped Today",Motley Fool
Mar-05-19,Ctrip.com's Price Target Is Hiked After Fourth-Quarter Revenue Jumps 22%,TheStreet.com
Mar-05-19,Why Ctrip.com Stock Surged Today,Motley Fool
Mar-05-19,Ctrip.Com International Ltd (CTRP) Q4 2018 Earnings Conference Call Transcript,Motley Fool
Mar-05-19,How TUI and Rezdy Fit Into Ctrips Growth Strategy Outside China,Skift
Mar-05-19,Stocks - Wall Street Slips as China Growth Forecast Disappoints,Investing.com
Mar-05-19,Stocks - U.S. Futures Rise Slightly as China Lowers Growth Forecasts,Investing.com
Mar-05-19,Edited Transcript of CTRP earnings conference call or presentation 5-Mar-19 12:00am GMT,Thomson Reuters StreetEvents
Mar-06-19,Ctrip Group participates in ITB Berlin 2019,GlobeNewswire
Mar-06-19,Edited Transcript of CTRP earnings conference call or presentation 5-Mar-19 12:00am GMT,Thomson Reuters StreetEvents
Mar-06-19,"Company News For Mar 6, 2019",Zacks
Mar-07-19,CTRP Stock Will Be a Great Buy Once It Cools off a Little Bit,InvestorPlace
Mar-08-19,Edited Transcript of CTRP earnings conference call or presentation 5-Mar-19 12:00am GMT,Thomson Reuters StreetEvents
Mar-08-19,Can Ctrip.Com (CTRP) Run Higher on Rising Earnings Estimates?,Zacks
Mar-08-19,Ctrip CEO Jane Sun Says Tax Exemption Would Encourage Enterprises to Benefit Women,GlobeNewswire
Mar-11-19,Potential impact of China's expanding travel industry on its GDP,Fox Business Videos
Mar-13-19,Edited Transcript of CTRP earnings conference call or presentation 5-Mar-19 12:00am GMT,Thomson Reuters StreetEvents
Mar-14-19,Alibaba Gains E-commerce Edge in Kenya With Safaricom Deal,Zacks
Mar-15-19,Is Ctrip.com (CTRP) a Great Growth Stock?,Zacks
Mar-18-19,Ctrip Filed 2018 Annual Report on Form 20-F,PR Newswire
Mar-19-19,David Herro Focuses on Asian Stocks in 4th Quarter,GuruFocus.com
Mar-19-19,"Ctrip.com International, Ltd. (CTRP) Shares March Higher, Can It Continue?",Zacks
Mar-19-19,Amadeus and Ctrip make it easier for international travelers to book Spanish rail tickets,GlobeNewswire
Mar-22-19,Ctrip and Italian Tourism Board Sign Strategic Cooperation Agreement to Boost Sino-Italian Construction,GlobeNewswire
Mar-26-19,Earnings Estimates Moving Higher for Ctrip (CTRP): Time to Buy?,Zacks
Mar-27-19,"StanChart JV, two others win Hong Kong online banking licence",Reuters
Mar-28-19,"UPDATE 4-HK heralds online banking era with StanChart JV, two others as new entrants",Reuters
Apr-01-19,"Did Hedge Funds Drop The Ball On Ctrip.com International, Ltd.  (CTRP) ?",Insider Monkey
Apr-01-19,Amazon (AMZN) to Open Infrastructure Location in Colombia,Zacks
Apr-01-19,Top Ranked Momentum Stocks to Buy for April 1st,Zacks
Apr-02-19,Moving Average Crossover Alert: Ctrip.com International,Zacks
Apr-02-19,"Amazon Expands Tech Hub in Austin, 800 New Jobs in Focus",Zacks
Apr-02-19,"Alibaba Acquires Teambition, Expands in Enterprise Space",Zacks
Apr-03-19,Fortive Completes Buyout of Johnson &amp; Johnson's ASP Unit,Zacks
Apr-04-19,"Garmin Completes Buyout of Tacx, Expands Fitness Portfolio",Zacks
