date,time,price,change,volume,avg_volume,market_cap,income,sales,p_b,p_e,f_p_e,peg,p_c,p_s,quick_ratio,current_ratio,debt_eq,sma20,sma50,sma200,rsi,roa,roe,roi,gross_margin,oper_margin,profit_margin,shs_outstand,shs_float,short_float,short_ratio,target_price,high_y,low_y,prev_close,eps,sales_q_to_q,eps_q_to_q,insider_own,insider_trans,inst_own,inst_trans,dividend,dividend_percent,employees,recom
2018-10-17,02:36:22 ,3.62,5.32%,"130,155",45.93K,173.54M,-20.10M,31.90M,4.89,-,-,-,10.45,5.44,1.30,1.30,0.00,13.45%,20.06%,34.05%,84.83,-34.60%,-51.80%,-29.10%,59.60%,-56.10%,-63.10%,47.94M,20.95M,0.48%,2.18,4.00,4.93%,122.77%,3.44,-0.42,17.90%,-19.30%,5.30%,0.00%,73.60%,-,-,-,239,2.00
2018-10-17,21:29:08 ,3.70,2.21%,"81,480",45.93K,177.38M,-20.10M,31.90M,5.00,-,-,-,10.69,5.56,1.30,1.30,0.00,14.93%,22.24%,36.72%,87.05,-34.60%,-51.80%,-29.10%,59.60%,-56.10%,-63.10%,47.94M,20.95M,0.48%,2.18,4.00,-2.25%,127.69%,3.62,-0.42,17.90%,-19.30%,5.30%,0.00%,73.60%,-,-,-,239,2.00
2018-10-18,22:06:57 ,3.52,-4.86%,"58,467",46.74K,168.75M,-20.10M,31.90M,4.76,-,-,-,10.17,5.29,1.30,1.30,0.00,8.25%,15.72%,29.78%,67.84,-34.60%,-51.80%,-29.10%,59.60%,-56.10%,-63.10%,47.94M,20.95M,0.48%,2.14,4.00,-7.00%,116.62%,3.70,-0.42,17.90%,-19.30%,5.30%,0.00%,73.60%,-,-,-,239,2.00
2018-10-19,22:14:46 ,3.52,0.00%,"49,873",45.98K,168.75M,-20.10M,31.90M,4.76,-,-,-,10.17,5.29,1.30,1.30,0.00,7.47%,15.33%,29.54%,68.29,-34.60%,-51.80%,-29.10%,59.60%,-56.10%,-63.10%,47.94M,20.95M,0.48%,2.17,4.00,-7.00%,116.62%,3.52,-0.42,17.90%,-19.30%,5.30%,0.00%,73.60%,-,-,-,239,2.00
2018-10-22,19:31:51 ,3.24,-7.95%,"46,879",45.94K,161.45M,-20.10M,31.90M,4.38,-,-,-,9.73,5.06,1.30,1.30,0.00,-1.71%,5.83%,19.00%,48.76,-34.60%,-51.80%,-29.10%,59.60%,-56.10%,-63.10%,49.83M,20.95M,0.48%,2.18,4.00,-14.40%,99.38%,3.52,-0.42,17.90%,-19.30%,5.30%,0.00%,73.40%,-0.27%,-,-,239,2.00
2018-10-23,19:33:01 ,3.24,0.00%,"43,419",46.15K,161.45M,-20.10M,31.90M,4.38,-,-,-,9.73,5.06,1.30,1.30,0.00,-1.92%,5.69%,18.84%,48.56,-34.60%,-51.80%,-29.10%,59.60%,-56.10%,-63.10%,49.83M,20.95M,0.48%,2.17,4.00,-14.40%,99.38%,3.24,-0.42,17.90%,-19.30%,5.30%,0.00%,73.40%,-0.27%,-,-,239,2.00
2018-10-24,19:32:13 ,3.10,-4.32%,"54,392",46.70K,154.47M,-20.10M,31.90M,4.19,-,-,-,9.31,4.84,1.30,1.30,0.00,-6.35%,0.94%,13.53%,41.50,-34.60%,-51.80%,-29.10%,59.60%,-56.10%,-63.10%,49.83M,20.95M,0.48%,2.14,4.00,-18.10%,90.77%,3.24,-0.42,17.90%,-19.30%,5.30%,0.00%,73.40%,-0.27%,-,-,239,2.00
2018-10-25,19:32:30 ,3.31,6.77%,"41,569",47.50K,164.94M,-20.10M,31.90M,4.47,-,-,-,9.94,5.17,1.30,1.30,0.00,-0.01%,7.70%,21.07%,52.56,-34.60%,-51.80%,-29.10%,59.60%,-56.10%,-63.10%,49.83M,20.95M,0.48%,2.10,4.00,-12.55%,103.69%,3.10,-0.42,17.90%,-19.30%,5.30%,0.00%,73.40%,-0.27%,-,-,239,2.00
2018-10-26,19:31:02 ,3.22,-2.72%,"41,565",47.95K,160.45M,-20.10M,31.90M,4.35,-,-,-,9.67,5.03,1.30,1.30,0.00,-2.89%,4.50%,17.58%,48.50,-34.60%,-51.80%,-29.10%,59.60%,-56.10%,-63.10%,49.83M,20.95M,0.48%,2.08,4.00,-14.93%,98.15%,3.31,-0.42,17.90%,-19.30%,5.30%,0.00%,73.40%,-0.27%,-,-,239,2.00
2018-10-29,19:28:24 ,3.31,2.80%,"31,767",47.98K,169.60M,-20.10M,31.90M,4.47,-,-,-,10.22,5.32,1.30,1.30,0.00,-0.28%,7.16%,20.70%,52.85,-34.60%,-51.80%,-29.10%,59.60%,-56.10%,-63.10%,51.24M,20.95M,0.69%,3.02,4.00,-12.55%,103.69%,3.22,-0.42,17.90%,-19.30%,5.30%,0.00%,73.40%,-0.27%,-,-,239,2.00
2018-10-30,19:29:16 ,3.34,0.91%,"13,013",48.33K,171.14M,-20.10M,31.90M,4.51,-,-,-,10.31,5.36,1.30,1.30,0.00,0.44%,7.81%,21.58%,53.63,-34.60%,-51.80%,-29.10%,59.60%,-56.10%,-63.10%,51.24M,20.95M,0.69%,3.00,4.00,-11.76%,105.54%,3.31,-0.42,17.90%,-19.30%,5.30%,0.00%,73.40%,-0.27%,-,-,239,2.00
2018-10-31,19:28:59 ,3.35,0.30%,"89,468",48.29K,171.65M,-20.10M,31.90M,4.53,-,-,-,10.34,5.38,1.30,1.30,0.00,0.51%,7.76%,21.73%,54.84,-34.60%,-51.80%,-29.10%,59.60%,-56.10%,-63.10%,51.24M,20.95M,0.69%,3.00,4.00,-11.49%,103.03%,3.34,-0.42,17.90%,-19.30%,5.30%,0.00%,73.40%,-0.27%,-,-,239,2.00
2018-11-01,19:31:08 ,3.25,-2.99%,"28,616",49.54K,166.53M,-20.10M,31.90M,4.39,-,-,-,10.03,5.22,1.30,1.30,0.00,-2.70%,4.24%,17.89%,49.73,-34.60%,-51.80%,-29.10%,59.60%,-56.10%,-63.10%,51.24M,20.95M,0.69%,2.93,4.00,-14.13%,96.97%,3.35,-0.42,17.90%,-19.30%,5.30%,0.00%,73.40%,-0.27%,-,-,239,2.00
2018-11-03,00:56:13 ,3.17,-2.46%,"3,563",49.30K,162.43M,-20.10M,31.90M,4.28,-,-,-,9.78,5.09,1.30,1.30,0.00,-5.17%,1.41%,14.80%,46.11,-34.60%,-51.80%,-29.10%,59.60%,-56.10%,-63.10%,51.24M,20.95M,0.69%,2.94,4.00,-16.25%,92.12%,3.25,-0.42,17.90%,-19.30%,5.30%,0.00%,73.40%,-0.27%,-,-,239,2.00
2018-11-05,18:31:02 ,3.17,0.00%,"5,417",48.76K,161.99M,-20.10M,31.90M,4.28,-,-,-,9.76,5.08,1.30,1.30,0.00,-5.03%,1.24%,14.63%,46.25,-34.60%,-51.80%,-29.10%,59.60%,-56.10%,-63.10%,51.10M,20.95M,0.69%,2.97,4.00,-16.25%,92.12%,3.17,-0.42,17.90%,-19.30%,5.30%,0.00%,73.40%,-0.27%,-,-,239,2.00
2018-11-06,18:27:04 ,3.12,-1.58%,"24,233",48.73K,159.43M,-20.10M,31.90M,4.22,-,-,-,9.60,5.00,1.30,1.30,0.00,-6.41%,-0.51%,12.65%,44.08,-34.60%,-51.80%,-29.10%,59.60%,-56.10%,-63.10%,51.10M,20.95M,0.69%,2.98,4.00,-17.57%,89.09%,3.17,-0.42,17.90%,-19.30%,5.30%,0.00%,73.40%,-0.27%,-,-,239,2.00
2018-11-07,18:32:59 ,3.21,2.88%,"25,740",48.91K,164.03M,-20.10M,31.90M,4.34,-,-,-,9.88,5.14,1.30,1.30,0.00,-3.54%,2.24%,15.72%,49.41,-34.60%,-51.80%,-29.10%,59.60%,-56.10%,-63.10%,51.10M,20.95M,0.69%,2.96,4.00,-15.19%,60.50%,3.12,-0.42,17.90%,-19.30%,5.30%,0.00%,73.40%,-0.27%,-,-,239,2.00
2018-11-08,18:27:33 ,3.20,-0.31%,"2,707",49.07K,163.52M,-20.10M,31.90M,4.32,-,-,-,9.85,5.13,1.30,1.30,0.00,-3.76%,1.72%,15.17%,48.92,-34.60%,-51.80%,-29.10%,59.60%,-56.10%,-63.10%,51.10M,20.95M,0.69%,2.95,4.00,-15.46%,60.00%,3.21,-0.42,17.90%,-19.30%,5.30%,0.00%,73.40%,-0.27%,-,-,239,2.00
2018-11-09,19:10:21 ,3.11,-2.81%,"7,008",49.01K,158.92M,-20.10M,31.90M,4.20,-,-,-,9.57,4.98,1.30,1.30,0.00,-6.36%,-1.32%,11.75%,44.57,-34.60%,-51.80%,-29.10%,59.60%,-56.10%,-63.10%,51.10M,20.95M,0.69%,2.96,4.00,-17.83%,55.50%,3.20,-0.42,17.90%,-19.30%,5.30%,0.00%,73.40%,-0.27%,-,-,239,2.00
2018-11-12,21:08:56 ,3.00,-3.54%,"45,748",49.01K,153.87M,-20.10M,31.90M,4.05,-,-,-,9.27,4.82,1.30,1.30,0.00,-9.28%,-4.97%,7.65%,40.49,-34.60%,-51.80%,-29.10%,59.60%,-56.10%,-63.10%,51.29M,20.95M,0.57%,2.44,4.00,-20.74%,50.00%,3.11,-0.42,17.90%,-19.30%,5.30%,0.00%,73.40%,-0.26%,-,-,239,2.00
