date,time,price,change,volume,avg_volume,market_cap,income,sales,p_b,p_e,f_p_e,peg,p_c,p_s,quick_ratio,current_ratio,debt_eq,sma20,sma50,sma200,rsi,roa,roe,roi,gross_margin,oper_margin,profit_margin,shs_outstand,shs_float,short_float,short_ratio,target_price,high_y,low_y,prev_close,eps,sales_q_to_q,eps_q_to_q,insider_own,insider_trans,inst_own,inst_trans,dividend,dividend_percent,employees,recom
2018-10-17,00:39:51 ,19.99,2.67%,"1,734,131",868.57K,3.29B,143.70M,3.61B,1.45,23.38,20.29,7.79,31.62,0.91,1.10,1.90,0.75,5.03%,2.74%,6.96%,60.40,3.60%,8.00%,4.30%,21.90%,2.30%,5.00%,164.65M,162.42M,2.60%,4.87,23.00,-4.63%,26.52%,19.47,0.86,-5.40%,-436.90%,0.20%,0.00%,-,0.15%,-,-,9800,2.00
2018-10-17,19:33:56 ,19.86,-0.65%,"1,270,248",884.54K,3.27B,143.70M,3.61B,1.44,23.23,20.16,7.74,31.41,0.91,1.10,1.90,0.75,3.93%,2.13%,6.21%,58.07,3.60%,8.00%,4.30%,21.90%,2.30%,5.00%,164.65M,162.42M,2.60%,4.78,23.00,-5.25%,25.70%,19.99,0.86,-5.40%,-436.90%,0.20%,0.00%,-,0.15%,-,-,9800,2.00
2018-10-18,20:12:25 ,19.68,-0.91%,"1,027,998",897.91K,3.24B,143.70M,3.61B,1.43,23.02,19.98,7.67,31.13,0.90,1.10,1.90,0.75,2.68%,1.29%,5.20%,54.72,3.60%,8.00%,4.30%,21.90%,2.30%,5.00%,164.65M,162.42M,2.60%,4.71,23.00,-6.11%,24.56%,19.86,0.86,-5.40%,-436.90%,0.20%,0.00%,-,0.15%,-,-,9800,2.00
2018-10-19,20:20:47 ,19.88,1.02%,"1,197,335",903.76K,3.27B,143.70M,3.61B,1.45,23.25,20.18,7.75,31.44,0.91,1.10,1.90,0.75,3.50%,2.41%,6.23%,56.87,3.60%,8.00%,4.30%,21.90%,2.30%,5.00%,164.65M,162.42M,2.60%,4.68,23.00,-5.15%,25.82%,19.68,0.86,-5.40%,-436.90%,0.20%,0.00%,-,0.15%,-,-,9800,2.00
2018-10-22,17:33:18 ,19.68,-1.01%,"1,404,653",913.74K,3.21B,143.70M,3.61B,1.43,23.02,20.08,7.67,30.81,0.89,1.10,1.90,0.75,2.23%,1.37%,5.12%,53.53,3.60%,8.00%,4.30%,21.90%,2.30%,5.00%,163.00M,162.42M,2.60%,4.63,23.29,-6.11%,24.56%,19.88,0.86,-5.40%,-436.90%,0.20%,0.00%,-,0.14%,-,-,9800,2.00
2018-10-23,17:33:56 ,19.77,0.46%,"1,323,239",926.15K,3.22B,143.70M,3.61B,1.44,23.12,20.17,7.71,30.96,0.89,1.10,1.90,0.75,2.45%,1.87%,5.56%,54.41,3.60%,8.00%,4.30%,21.90%,2.30%,5.00%,163.00M,162.42M,2.60%,4.57,23.29,-5.68%,25.13%,19.68,0.86,-5.40%,-436.90%,0.20%,0.00%,-,0.14%,-,-,9800,2.00
2018-10-24,17:33:01 ,19.08,-3.49%,"1,380,532",936.47K,3.11B,143.70M,3.61B,1.39,22.32,19.47,7.44,29.88,0.86,1.10,1.90,0.75,-1.30%,-1.71%,1.84%,44.52,3.60%,8.00%,4.30%,21.90%,2.30%,5.00%,163.00M,162.42M,2.60%,4.52,23.29,-8.97%,20.76%,19.77,0.86,-5.40%,-436.90%,0.20%,0.00%,-,0.14%,-,-,9800,2.00
2018-10-25,17:33:23 ,19.48,2.10%,"1,280,430",939.91K,3.18B,143.70M,3.61B,1.42,22.78,19.88,7.59,30.50,0.88,1.10,1.90,0.75,0.72%,0.41%,3.95%,50.15,3.60%,8.00%,4.30%,21.90%,2.30%,5.00%,163.00M,162.42M,2.60%,4.50,23.29,-7.06%,23.29%,19.08,0.86,-5.40%,-436.90%,0.20%,0.00%,-,0.14%,-,-,9800,2.00
2018-10-26,17:32:17 ,19.24,-1.23%,"1,041,518",951.08K,3.14B,143.70M,3.61B,1.40,22.50,19.63,7.50,30.13,0.87,1.10,1.90,0.75,-0.65%,-0.84%,2.64%,47.15,3.60%,8.00%,4.30%,21.90%,2.30%,5.00%,163.00M,162.42M,2.60%,4.45,23.29,-8.21%,21.77%,19.48,0.86,-5.40%,-436.90%,0.20%,0.00%,-,0.14%,-,-,9800,2.00
2018-10-29,17:32:21 ,19.85,3.17%,"1,819,608",957.76K,3.31B,143.70M,3.61B,1.44,23.22,20.26,7.74,31.79,0.92,1.10,1.90,0.75,2.52%,2.34%,5.88%,54.69,3.60%,8.00%,4.30%,21.90%,2.30%,5.00%,166.71M,162.42M,2.46%,4.16,23.29,-5.30%,25.63%,19.24,0.86,-5.40%,-436.90%,0.20%,0.00%,-,0.30%,-,-,9800,2.00
