date,action,name,rate,target
Nov-07-18,Reiterated,Maxim Group,Hold,$107 to $127
Nov-07-18,Reiterated,BofA/Merrill,Buy,$130 to $140
Nov-26-18,Upgrade,First Analysis Sec,Neutral to Outperform,$105 to $123
Feb-06-19,Reiterated,BofA/Merrill,Buy,$145 to $152
Feb-06-19,Reiterated,BMO Capital Markets,Market Perform,$125 to $145
Apr-23-19,Reiterated,BMO Capital Markets,Market Perform,$145 to $140
May-03-19,Reiterated,Needham,Buy,$156
May-03-19,Reiterated,BofA/Merrill,Buy,$152 to $160
Jun-07-19,Initiated,Goldman,Buy,$146
Jun-21-19,Downgrade,Wedbush ,Outperform to Neutral,
