date,time,price,change,volume,avg_volume,market_cap,income,sales,p_b,p_e,f_p_e,peg,p_c,p_s,quick_ratio,current_ratio,debt_eq,sma20,sma50,sma200,rsi,roa,roe,roi,gross_margin,oper_margin,profit_margin,shs_outstand,shs_float,short_float,short_ratio,target_price,high_y,low_y,prev_close,eps,sales_q_to_q,eps_q_to_q,insider_own,insider_trans,inst_own,inst_trans,dividend,dividend_percent,employees,recom
2018-10-17,00:07:40 ,17.88,4.07%,"1,353,443",2.77M,2.00B,-77.60M,672.60M,3.39,-,59.60,-,16.77,2.98,1.40,2.00,0.01,-2.24%,-4.78%,30.85%,47.76,-8.80%,-12.70%,-9.90%,45.80%,-9.40%,-11.50%,111.92M,109.82M,23.77%,9.41,13.86,-17.91%,125.76%,17.18,-0.69,10.70%,-4.80%,2.20%,-0.33%,72.90%,-0.87%,-,-,2666,3.40
2018-10-17,18:40:55 ,18.16,1.57%,"1,488,499",2.78M,2.03B,-77.60M,672.60M,3.45,-,60.53,-,17.04,3.02,1.40,2.00,0.01,-0.38%,-3.75%,32.45%,48.67,-8.80%,-12.70%,-9.90%,45.80%,-9.40%,-11.50%,111.92M,109.82M,23.77%,9.39,13.86,-16.62%,129.29%,17.88,-0.69,10.70%,-4.80%,2.20%,-0.33%,72.90%,-0.87%,-,-,2666,3.40
2018-10-18,19:40:17 ,17.18,-5.40%,"1,471,593",2.78M,1.92B,-77.60M,672.60M,3.26,-,57.27,-,16.12,2.86,1.40,2.00,0.01,-5.51%,-9.38%,24.89%,39.40,-8.80%,-12.70%,-9.90%,45.80%,-9.40%,-11.50%,111.92M,109.82M,23.77%,9.38,13.86,-21.12%,116.92%,18.16,-0.69,10.70%,-4.80%,2.20%,-0.33%,72.90%,-0.87%,-,-,2666,3.40
2018-10-19,19:49:23 ,16.61,-3.32%,"1,336,018",2.78M,1.86B,-77.60M,672.60M,3.15,-,55.37,-,15.58,2.76,1.40,2.00,0.01,-8.10%,-12.32%,20.40%,36.14,-8.80%,-12.70%,-9.90%,45.80%,-9.40%,-11.50%,111.92M,109.82M,23.77%,9.38,13.86,-23.74%,109.72%,17.18,-0.69,10.70%,-4.80%,2.20%,-0.33%,72.90%,-0.87%,-,-,2666,3.40
2018-10-23,17:00:52 ,16.69,-1.82%,"1,544,624",2.78M,1.97B,-77.60M,672.60M,3.17,-,53.67,-,16.50,2.93,1.40,2.00,0.01,-6.51%,-11.48%,20.33%,37.83,-8.80%,-12.70%,-9.90%,45.80%,-9.40%,-11.50%,117.94M,109.82M,23.77%,9.40,13.33,-23.37%,110.73%,17.00,-0.69,10.70%,-4.80%,2.20%,-0.32%,72.80%,-1.04%,-,-,2666,3.50
2018-10-24,17:00:56 ,17.44,4.49%,"3,815,764",2.78M,2.06B,-77.60M,672.60M,3.31,-,56.08,-,17.24,3.06,1.40,2.00,0.01,-1.50%,-7.38%,25.40%,45.01,-8.80%,-12.70%,-9.90%,45.80%,-9.40%,-11.50%,117.94M,109.82M,23.77%,9.39,13.33,-19.93%,120.20%,16.69,-0.69,10.70%,-4.80%,2.20%,-0.48%,72.80%,-1.04%,-,-,2666,3.50
2018-10-25,17:01:00 ,17.14,-1.72%,"2,123,150",2.77M,2.02B,-77.60M,672.60M,3.25,-,55.11,-,16.94,3.01,1.40,2.00,0.01,-2.75%,-8.82%,22.89%,42.43,-8.80%,-12.70%,-9.90%,45.80%,-9.40%,-11.50%,117.94M,109.82M,23.77%,9.42,13.33,-21.30%,116.41%,17.44,-0.69,10.70%,-4.80%,2.20%,-0.48%,72.80%,-1.04%,-,-,2666,3.50
2018-10-26,17:00:03 ,16.46,-3.97%,"1,847,940",2.77M,1.94B,-77.60M,672.60M,3.12,-,52.93,-,16.27,2.89,1.40,2.00,0.01,-6.04%,-12.28%,17.70%,37.78,-8.80%,-12.70%,-9.90%,45.80%,-9.40%,-11.50%,117.94M,109.82M,23.77%,9.43,13.33,-24.43%,107.83%,17.14,-0.69,10.70%,-4.80%,2.20%,-0.48%,72.80%,-1.04%,-,-,2666,3.50
2018-10-29,17:00:24 ,15.63,-5.04%,"1,868,175",2.74M,1.86B,-77.60M,672.60M,2.97,-,50.26,-,15.56,2.76,1.40,2.00,0.01,-10.15%,-16.46%,11.52%,33.28,-8.80%,-12.70%,-9.90%,45.80%,-9.40%,-11.50%,118.74M,109.82M,22.78%,9.12,13.83,-28.24%,97.35%,16.46,-0.69,10.70%,-4.80%,2.20%,-0.47%,72.60%,-1.34%,-,-,2666,3.40
2018-10-30,17:00:29 ,16.96,8.51%,"3,367,961",2.71M,2.01B,-77.60M,672.60M,3.22,-,54.53,-,16.88,2.99,1.40,2.00,0.01,-1.83%,-9.02%,20.82%,45.21,-8.80%,-12.70%,-9.90%,45.80%,-9.40%,-11.50%,118.74M,109.82M,22.78%,9.22,13.83,-22.13%,114.14%,15.63,-0.69,10.70%,-4.80%,2.20%,-0.47%,72.60%,-1.34%,-,-,2666,3.40
