date,title,source
Oct-30-18,How Should You Analyze REIT Stock Easterly Government Properties Inc (NYSE:DEA)?,Simply Wall St.
Oct-30-18,Easterly Government Properties Announces Quarterly Dividend,Business Wire
Nov-05-18,"Easterly Government Properties, Inc. (DEA) Q3 Earnings Conference Call Transcript",Motley Fool
Nov-05-18,Easterly Government Properties (DEA) Matches Q3 FFO Estimates,Zacks
Nov-05-18,Easterly Government Properties: 3Q Earnings Snapshot,Associated Press
Nov-05-18,Easterly Government Properties Reports Third Quarter 2018 Results,Business Wire
Nov-05-18,"Easterly Government Properties Announces Agreement to Acquire 50,978 SF Drug Enforcement Administration Laboratory in Upper Marlboro, Maryland",Business Wire
Nov-07-18,Easterly Government Properties To Participate in Nareits 2018 Annual REITWorld Convention,Business Wire
Nov-09-18,"Investor Expectations to Drive Momentum within Matson, Craft Brew Alliance, Easterly Government Properties, Novanta, Ascena Retail Group, and Puma Biotechnology  Discovering Underlying Factors of Influence",GlobeNewswire
Nov-19-18,Edited Transcript of DEA earnings conference call or presentation 5-Nov-18 3:00pm GMT,Thomson Reuters StreetEvents
Nov-19-18,"Easterly Government Properties Completes Acquisition of 50,978 SF Drug Enforcement Administration Laboratory in Upper Marlboro, Maryland",Business Wire
Nov-20-18,Edited Transcript of DEA earnings conference call or presentation 5-Nov-18 3:00pm GMT,Thomson Reuters StreetEvents
Dec-10-18,"Easterly Government Properties Acquires 83,676 SF U.S. Department of the Treasury Facility in Birmingham, Alabama",Business Wire
Dec-18-18,"Is Easterly Government Properties, Inc.s (NYSE:DEA) ROE Of 0.7% Concerning?",Simply Wall St.
Jan-03-19,Easterly Government Properties Announces Modified Closing Schedule and Reaffirms 2018 and 2019 Guidance,Business Wire
