date,title,source
Oct-25-18,Deluxe: 3Q Earnings Snapshot,Associated Press
Oct-25-18,Deluxe Reports Third Quarter 2018 Financial Results,Business Wire
Oct-26-18,Can Deluxe Corporation (NYSE:DLX) Maintain Its Strong Returns?,Simply Wall St.
Oct-26-18,Deluxe Corp (DLX) Q3 2018 Earnings Conference Call Transcript,Motley Fool
Oct-29-18,Edited Transcript of DLX earnings conference call or presentation 25-Oct-18 3:00pm GMT,Thomson Reuters StreetEvents
Oct-30-18,Edited Transcript of DLX earnings conference call or presentation 25-Oct-18 3:00pm GMT,Thomson Reuters StreetEvents
Oct-31-18,Edited Transcript of DLX earnings conference call or presentation 25-Oct-18 3:00pm GMT,Thomson Reuters StreetEvents
Nov-01-18,"Factors of Influence in 2018, Key Indicators and Opportunity within The Blackstone Group, Silicon Laboratories, Vista Gold, Tower Semiconductor, Deluxe, and Select Income REIT  New Research Emphasizes Economic Growth",GlobeNewswire
Nov-06-18,Deluxe names exec from payments giant First Data as next CEO,American City Business Journals
Nov-06-18,"Deluxe Corporation Appoints Barry McCarthy President, Chief Executive Officer and Member of the Board of Directors",Business Wire
Nov-07-18,Former P&G manager hired as CEO of fintech firm,American City Business Journals
Nov-13-18,Want To Invest In Deluxe Corporation (NYSE:DLX)? Heres How It Performed Lately,Simply Wall St.
Nov-27-18,Company Profile for Deluxe Corporation,Business Wire
Dec-06-18,Why Deluxe Corporation (NYSE:DLX) Is An Attractive Investment To Consider,Simply Wall St.
Dec-24-18,Does Deluxe Corporation (NYSE:DLX) Have A Particularly Volatile Share Price?,Simply Wall St.
Jan-10-19,Deluxe Announces Q4 2018 Earnings Release Information,Business Wire
Jan-11-19,Should You Buy Deluxe Corporation (NYSE:DLX) For Its Dividend?,Simply Wall St.
Jan-15-19,"Detailed Research: Economic Perspectives on Deluxe, Norwegian Cruise Line, Synchronoss Technologies, Columbia Property Trust, Cerner, and Caesars Entertainment  What Drives Growth in Today's Competitive Landscape",GlobeNewswire
Jan-24-19,Deluxe Corp (DLX) Q4 2018 Earnings Conference Call Transcript,Motley Fool
Jan-24-19,Deluxe: 4Q Earnings Snapshot,Associated Press
Jan-24-19,Deluxe Reports Fourth Quarter 2018 Financial Results,Business Wire
Feb-04-19,What does Deluxe Corporations (NYSE:DLX) Balance Sheet Tell Us About Its Future?,Simply Wall St.
Feb-04-19,Deluxe Corporation Announces New Relationship with Transactis,Business Wire
Feb-12-19,"Deluxe Corporation Names Finalist Towns for $500,000 Makeover in Season 4 of ""Small Business Revolution  Main Street""",Business Wire
Feb-12-19,Is Deluxe (DLX) Stock Undervalued Right Now?,Zacks
Feb-14-19,Top Ranked Value Stocks to Buy for February 14th,Zacks
Feb-28-19,Is It Time To Consider Buying Deluxe Corporation (NYSE:DLX)?,Simply Wall St.
Mar-01-19,Minnesota's M&A scene went cold in 2018,American City Business Journals
Mar-06-19,New Strong Buy Stocks for March 6th,Zacks
Mar-15-19,Is Deluxe (DLX) a Great Value Stock Right Now?,Zacks
Apr-01-19,Is Deluxe (DLX) a Great Value Stock Right Now?,Zacks
Apr-08-19,5 Top Business Services Stocks to Buy as Job Gains Rebound,Zacks
Apr-09-19,Deluxe Corporation (NYSE:DLX) Earns Among The Best Returns In Its Industry,Simply Wall St.
Apr-10-19,Deluxe Announces Q1 2019 Earnings Release Information,Business Wire
Apr-25-19,Deluxe: 1Q Earnings Snapshot,Associated Press
Apr-25-19,Deluxe Reports First Quarter 2019 Financial Results,Business Wire
Apr-26-19,Deluxe Corp (DLX) Q1 2019 Earnings Call Transcript,Motley Fool
May-01-19,How Much Are Deluxe Corporation (NYSE:DLX) Insiders Spending On Buying Shares?,Simply Wall St.
May-01-19,Is Deluxe Corporation (DLX) A Good Stock To Buy?,Insider Monkey
May-01-19,Deluxe Corporation Declares Dividend,Business Wire
May-03-19,Should Value Investors Buy Deluxe (DLX) Stock?,Zacks
May-06-19,Deluxe Corporation Announces New Deluxe eChecks Relationship with The Hanover Insurance Group,Business Wire
May-06-19,Unemployment Hits 50-Year Low: 6 Business Services Picks,Zacks
