date,time,price,change,volume,avg_volume,market_cap,income,sales,p_b,p_e,f_p_e,peg,p_c,p_s,quick_ratio,current_ratio,debt_eq,sma20,sma50,sma200,rsi,roa,roe,roi,gross_margin,oper_margin,profit_margin,shs_outstand,shs_float,short_float,short_ratio,target_price,high_y,low_y,prev_close,eps,sales_q_to_q,eps_q_to_q,insider_own,insider_trans,inst_own,inst_trans,dividend,dividend_percent,employees,recom
2018-10-17,02:03:16 ,22.79,1.29%,"50,201",58.41K,-,-,-,-,-,-,-,-,-,-,-,-,0.82%,1.47%,-4.46%,52.55,-,-,-,-,-,-,-,-,-,0.11,-,-14.32%,7.45%,22.50,-,-,-,-,-,11.90%,-,2.28,10.00%,-,-
2018-10-17,20:55:34 ,22.56,-1.01%,"30,498",58.41K,-,-,-,-,-,-,-,-,-,-,-,-,-0.26%,0.34%,-5.39%,49.24,-,-,-,-,-,-,-,-,-,0.11,-,-15.19%,6.36%,22.79,-,-,-,-,-,11.90%,-,2.28,10.11%,-,-
2018-10-18,21:34:17 ,22.04,-2.30%,"31,501",58.29K,-,-,-,-,-,-,-,-,-,-,-,-,-2.56%,-2.05%,-7.53%,42.86,-,-,-,-,-,-,-,-,-,0.11,-,-17.14%,3.91%,22.56,-,-,-,-,-,11.90%,-,2.28,10.34%,-,-
2018-10-19,21:42:14 ,22.06,0.09%,"20,186",58.09K,-,-,-,-,-,-,-,-,-,-,-,-,-2.36%,-1.99%,-7.39%,43.21,-,-,-,-,-,-,-,-,-,0.11,-,-17.07%,4.01%,22.04,-,-,-,-,-,11.90%,-,2.28,10.34%,-,-
2018-10-22,18:56:10 ,22.08,0.09%,"23,487",58.06K,-,-,-,-,-,-,-,-,-,-,-,-,-2.15%,-1.91%,-7.25%,44.08,-,-,-,-,-,-,-,-,-,0.11,-,-16.99%,4.10%,22.06,-,-,-,-,-,11.90%,-,2.28,10.33%,-,-
2018-10-23,18:57:10 ,22.50,1.90%,"32,109",57.86K,-,-,-,-,-,-,-,-,-,-,-,-,-0.18%,-0.04%,-5.43%,51.34,-,-,-,-,-,-,-,-,-,0.11,-,-15.41%,6.08%,22.08,-,-,-,-,-,11.90%,-,2.28,10.13%,-,-
2018-10-24,18:56:52 ,22.40,-0.44%,"22,916",57.61K,-,-,-,-,-,-,-,-,-,-,-,-,-0.61%,-0.51%,-5.79%,50.44,-,-,-,-,-,-,-,-,-,0.11,-,-15.79%,5.61%,22.50,-,-,-,-,-,11.90%,-,2.28,10.18%,-,-
2018-10-25,18:56:55 ,22.00,-1.79%,"46,512",56.64K,-,-,-,-,-,-,-,-,-,-,-,-,-2.29%,-2.29%,-7.42%,44.35,-,-,-,-,-,-,-,-,-,0.12,-,-17.29%,3.72%,22.40,-,-,-,-,-,11.90%,-,2.28,10.36%,-,-
2018-10-26,18:55:12 ,21.87,-0.59%,"38,007",56.02K,-,-,-,-,-,-,-,-,-,-,-,-,-2.66%,-2.81%,-7.91%,42.25,-,-,-,-,-,-,-,-,-,0.12,-,-17.78%,3.11%,22.00,-,-,-,-,-,11.90%,-,2.28,10.43%,-,-
2018-10-29,18:55:17 ,21.99,0.55%,"38,023",55.28K,-,-,-,-,-,-,-,-,-,-,-,-,-1.87%,-2.20%,-7.34%,44.26,-,-,-,-,-,-,-,-,-,0.04,-,-17.33%,3.68%,21.87,-,-,-,-,-,11.90%,-,2.28,10.37%,-,-
2018-10-30,18:56:14 ,21.80,-0.86%,"23,938",55.04K,-,-,-,-,-,-,-,-,-,-,-,-,-2.50%,-2.94%,-8.06%,41.59,-,-,-,-,-,-,-,-,-,0.04,-,-18.05%,2.78%,21.99,-,-,-,-,-,11.90%,-,2.28,10.46%,-,-
2018-10-31,18:56:12 ,22.07,1.24%,"36,127",54.73K,-,-,-,-,-,-,-,-,-,-,-,-,-1.02%,-1.64%,-6.84%,47.01,-,-,-,-,-,-,-,-,-,0.04,-,-17.03%,4.05%,21.80,-,-,-,-,-,11.90%,-,2.28,10.33%,-,-
2018-11-01,18:57:23 ,22.29,1.00%,"46,495",54.80K,-,-,-,-,-,-,-,-,-,-,-,-,0.20%,-0.61%,-5.84%,50.41,-,-,-,-,-,-,-,-,-,0.04,-,-16.20%,5.09%,22.07,-,-,-,-,-,11.90%,-,2.28,10.23%,-,-
2018-11-03,00:20:52 ,22.21,-0.36%,"28,167",54.15K,-,-,-,-,-,-,-,-,-,-,-,-,0.00%,-0.94%,-6.12%,49.32,-,-,-,-,-,-,-,-,-,0.04,-,-16.50%,4.71%,22.29,-,-,-,-,-,11.90%,-,2.28,10.27%,-,-
