date,time,price,change,volume,avg_volume,market_cap,income,sales,p_b,p_e,f_p_e,peg,p_c,p_s,quick_ratio,current_ratio,debt_eq,sma20,sma50,sma200,rsi,roa,roe,roi,gross_margin,oper_margin,profit_margin,shs_outstand,shs_float,short_float,short_ratio,target_price,high_y,low_y,prev_close,eps,sales_q_to_q,eps_q_to_q,insider_own,insider_trans,inst_own,inst_trans,dividend,dividend_percent,employees,recom
2018-10-17,00:42:01 ,259.63,-4.88%,"2,388,879",568.29K,10.92B,315.90M,3.10B,-,36.55,27.19,1.59,69.18,3.52,1.70,1.80,-,-8.36%,-9.54%,2.61%,32.46,37.10%,-11.30%,95.40%,34.60%,17.80%,10.20%,42.04M,41.64M,3.10%,2.27,297.47,-14.97%,55.71%,272.94,7.10,24.00%,34.50%,0.20%,-59.77%,96.30%,0.06%,2.20,0.85%,14100,2.00
2018-10-17,19:35:59 ,267.69,3.10%,"961,242",599.63K,11.25B,315.90M,3.10B,-,37.68,28.04,1.64,71.32,3.63,1.70,1.80,-,-5.15%,-6.60%,5.65%,40.58,37.10%,-11.30%,95.40%,34.60%,17.80%,10.20%,42.04M,41.64M,3.10%,2.15,297.47,-12.33%,60.54%,259.63,7.10,24.00%,34.50%,0.20%,-59.77%,96.30%,0.06%,2.20,0.82%,14100,2.00
2018-10-18,20:14:27 ,266.38,-0.49%,"823,397",601.45K,11.20B,315.90M,3.10B,-,37.50,27.90,1.63,70.97,3.61,1.70,1.80,-,-5.41%,-7.00%,4.96%,39.55,37.10%,-11.30%,95.40%,34.60%,17.80%,10.20%,42.04M,41.64M,3.10%,2.14,297.47,-12.76%,59.76%,267.69,7.10,24.00%,34.50%,0.20%,-59.77%,96.30%,0.06%,2.20,0.83%,14100,2.00
2018-10-19,20:22:50 ,267.75,0.51%,"795,876",597.51K,11.26B,315.90M,3.10B,-,37.69,28.05,1.64,71.34,3.63,1.70,1.80,-,-4.65%,-6.38%,5.35%,40.41,37.10%,-11.30%,95.40%,34.60%,17.80%,10.20%,42.04M,41.64M,3.10%,2.16,297.47,-12.31%,60.58%,266.38,7.10,24.00%,34.50%,0.20%,-59.77%,96.30%,0.06%,2.20,0.82%,14100,2.00
2018-10-23,17:36:00 ,265.82,-0.72%,"592,829",584.96K,11.07B,343.70M,3.24B,-,33.75,27.88,1.63,130.90,3.42,1.50,1.60,-,-4.66%,-6.75%,4.30%,37.92,39.30%,-12.00%,95.40%,36.10%,17.50%,10.60%,41.66M,41.64M,3.10%,2.21,294.84,-12.94%,59.42%,267.75,7.88,22.10%,65.30%,0.20%,-59.99%,96.10%,-0.78%,2.20,0.83%,14100,2.00
2018-10-24,17:35:08 ,255.49,-3.89%,"552,435",583.46K,10.64B,343.70M,3.24B,-,32.44,26.79,1.56,125.81,3.28,1.50,1.60,-,-7.96%,-10.23%,0.13%,31.42,39.30%,-12.00%,95.40%,36.10%,17.50%,10.60%,41.66M,41.64M,3.10%,2.21,294.84,-16.33%,53.23%,265.82,7.88,22.10%,65.30%,0.20%,-59.99%,96.10%,-0.78%,2.20,0.86%,14100,2.00
2018-10-25,17:35:27 ,261.77,2.46%,"532,515",577.91K,10.91B,343.70M,3.24B,-,33.24,27.45,1.60,128.90,3.36,1.50,1.60,-,-5.12%,-7.82%,2.49%,37.96,39.30%,-12.00%,95.40%,36.10%,17.50%,10.60%,41.66M,41.64M,3.10%,2.23,294.84,-14.27%,56.99%,255.49,7.88,22.10%,65.30%,0.20%,-59.99%,96.10%,-0.78%,2.20,0.84%,14100,2.00
2018-10-26,17:34:21 ,261.24,-0.20%,"550,058",576.42K,10.88B,343.70M,3.24B,-,33.17,27.40,1.60,128.64,3.36,1.50,1.60,-,-4.76%,-7.86%,2.16%,37.39,39.30%,-12.00%,95.40%,36.10%,17.50%,10.60%,41.66M,41.64M,3.10%,2.24,294.84,-14.44%,56.68%,261.77,7.88,22.10%,65.30%,0.20%,-59.99%,96.10%,-0.78%,2.20,0.84%,14100,2.00
2018-10-29,17:34:27 ,256.49,-1.82%,"570,511",577.12K,10.69B,343.70M,3.24B,-,32.57,26.89,1.57,126.37,3.30,1.50,1.60,-,-5.92%,-9.36%,0.20%,34.35,39.30%,-12.00%,95.40%,36.10%,17.50%,10.60%,41.68M,41.37M,2.74%,1.96,294.10,-16.00%,53.83%,261.24,7.88,22.10%,65.30%,0.20%,-59.97%,96.50%,-0.44%,2.20,0.86%,14100,2.00
2018-10-30,17:34:46 ,266.23,3.80%,"770,689",575.18K,11.10B,343.70M,3.24B,-,33.81,27.91,1.63,131.16,3.42,1.50,1.60,-,-1.82%,-5.73%,3.92%,44.19,39.30%,-12.00%,95.40%,36.10%,17.50%,10.60%,41.68M,41.37M,2.74%,1.97,294.10,-12.81%,59.67%,256.49,7.88,22.10%,65.30%,0.20%,-59.97%,96.50%,-0.44%,2.20,0.83%,14100,2.00
