date,time,price,change,volume,avg_volume,market_cap,income,sales,p_b,p_e,f_p_e,peg,p_c,p_s,quick_ratio,current_ratio,debt_eq,sma20,sma50,sma200,rsi,roa,roe,roi,gross_margin,oper_margin,profit_margin,shs_outstand,shs_float,short_float,short_ratio,target_price,high_y,low_y,prev_close,eps,sales_q_to_q,eps_q_to_q,insider_own,insider_trans,inst_own,inst_trans,dividend,dividend_percent,employees,recom
2018-10-17,00:58:12 ,17.98,6.52%,"1,113,166",1.49M,5.43B,565.50M,1.24B,-,9.61,5.19,-,32.72,4.39,1.60,2.60,-,-3.28%,-3.56%,-2.99%,49.13,35.60%,-,14.50%,54.50%,44.60%,38.50%,302.23M,302.22M,3.77%,7.63,-,-26.20%,28.43%,16.88,1.87,292.30%,-,-,-,-,-10.85%,0.34,1.89%,718,-
2018-10-17,19:51:26 ,17.53,-2.50%,"763,464",1.50M,5.30B,565.50M,1.24B,-,9.37,5.06,-,31.90,4.28,1.60,2.60,-,-5.57%,-5.57%,-5.40%,45.59,35.60%,-,14.50%,54.50%,44.60%,38.50%,302.23M,302.22M,3.77%,7.57,-,-28.05%,25.21%,17.98,1.87,292.30%,-,-,-,-,-10.85%,0.34,1.94%,718,-
2018-10-18,20:29:56 ,17.46,-0.40%,"482,313",1.51M,5.28B,565.50M,1.24B,-,9.33,5.04,-,31.77,4.26,1.60,2.60,-,-5.56%,-5.54%,-5.73%,45.00,35.60%,-,14.50%,54.50%,44.60%,38.50%,302.23M,302.22M,3.77%,7.55,-,-28.34%,24.71%,17.53,1.87,292.30%,-,-,-,-,-10.85%,0.34,1.95%,718,-
2018-10-19,20:38:15 ,17.15,-1.78%,"740,844",1.50M,5.18B,565.50M,1.24B,-,9.17,4.95,-,31.21,4.19,1.60,2.60,-,-6.55%,-6.83%,-7.36%,42.34,35.60%,-,14.50%,54.50%,44.60%,38.50%,302.23M,302.22M,3.77%,7.60,-,-29.61%,22.50%,17.46,1.87,292.30%,-,-,-,-,-10.85%,0.34,1.98%,718,-
2018-10-22,17:51:07 ,16.96,-1.11%,"558,759",1.50M,5.22B,565.50M,1.24B,-,9.06,4.90,-,31.42,4.22,1.60,2.60,-,-6.87%,-7.62%,-8.34%,41.02,35.60%,-,14.50%,54.50%,44.60%,38.50%,307.69M,302.22M,3.77%,7.59,-,-30.39%,21.14%,17.15,1.87,292.30%,-,-,-,-,-10.53%,0.34,2.00%,718,-
2018-10-23,17:51:47 ,16.61,-2.06%,"971,574",1.50M,5.11B,565.50M,1.24B,-,8.88,4.80,-,30.77,4.13,1.60,2.60,-,-8.23%,-9.28%,-10.17%,38.16,35.60%,-,14.50%,54.50%,44.60%,38.50%,307.69M,302.22M,3.77%,7.58,-,-31.83%,18.64%,16.96,1.87,292.30%,-,-,-,-,-10.53%,0.34,2.05%,718,-
2018-10-24,17:51:12 ,14.80,-10.90%,"2,242,414",1.51M,4.55B,565.50M,1.24B,-,7.91,4.27,-,27.42,3.68,1.60,2.60,-,-17.70%,-18.91%,-19.90%,28.02,35.60%,-,14.50%,54.50%,44.60%,38.50%,307.69M,302.22M,3.77%,7.54,-,-39.25%,5.71%,16.61,1.87,292.30%,-,-,-,-,-10.53%,0.34,2.30%,718,-
2018-10-25,17:51:16 ,15.70,6.08%,"1,448,375",1.54M,4.83B,565.50M,1.24B,-,8.39,4.53,-,29.08,3.90,1.60,2.60,-,-11.72%,-13.53%,-14.90%,36.85,35.60%,-,14.50%,54.50%,44.60%,38.50%,307.69M,302.22M,3.77%,7.41,-,-35.56%,12.14%,14.80,1.87,292.30%,-,-,-,-,-10.53%,0.34,2.17%,718,-
2018-10-26,17:50:03 ,15.47,-1.46%,"1,314,789",1.55M,4.76B,565.50M,1.24B,-,8.27,4.47,-,28.66,3.85,1.60,2.60,-,-12.13%,-14.58%,-16.05%,35.84,35.60%,-,14.50%,54.50%,44.60%,38.50%,307.69M,302.22M,3.77%,7.35,-,-36.50%,10.50%,15.70,1.87,292.30%,-,-,-,-,-10.53%,0.34,2.20%,718,-
2018-10-29,17:50:13 ,15.42,-0.32%,"1,031,070",1.56M,4.73B,565.50M,1.24B,-,8.24,4.45,-,28.47,3.82,1.60,2.60,-,-11.40%,-14.62%,-16.22%,35.98,35.60%,-,14.50%,54.50%,44.60%,38.50%,306.72M,302.22M,3.85%,7.44,-,-36.71%,10.14%,15.47,1.87,292.30%,-,-,-,-,-10.43%,0.34,2.20%,718,-
