date,time,price,change,volume,avg_volume,market_cap,income,sales,p_b,p_e,f_p_e,peg,p_c,p_s,quick_ratio,current_ratio,debt_eq,sma20,sma50,sma200,rsi,roa,roe,roi,gross_margin,oper_margin,profit_margin,shs_outstand,shs_float,short_float,short_ratio,target_price,high_y,low_y,prev_close,eps,sales_q_to_q,eps_q_to_q,insider_own,insider_trans,inst_own,inst_trans,dividend,dividend_percent,employees,recom
2018-10-17,01:47:12 ,12.29,1.65%,"96,272",105.76K,-,-,-,-,-,-,-,-,-,-,-,-,-4.07%,-7.54%,-15.65%,35.95,-,-,-,-,-,-,-,-,-,4.41,-,-27.66%,3.63%,12.09,-,-,-,0.52%,-,16.70%,-,-,-,-,-
2018-10-17,20:39:39 ,12.22,-0.61%,"51,189",105.76K,-,-,-,-,-,-,-,-,-,-,-,-,-4.54%,-7.84%,-16.06%,34.55,-,-,-,-,-,-,-,-,-,4.41,-,-28.10%,2.99%,12.29,-,-,-,0.52%,-,16.70%,-,-,-,-,-
2018-10-18,21:18:30 ,12.30,0.70%,"90,503",105.10K,-,-,-,-,-,-,-,-,-,-,-,-,-3.66%,-6.91%,-15.36%,37.37,-,-,-,-,-,-,-,-,-,4.44,-,-27.60%,3.71%,12.22,-,-,-,0.52%,-,16.70%,-,-,-,-,-
2018-10-19,21:26:26 ,12.45,1.22%,"64,367",105.10K,-,-,-,-,-,-,-,-,-,-,-,-,-2.16%,-5.49%,-14.21%,41.95,-,-,-,-,-,-,-,-,-,4.44,-,-26.72%,4.97%,12.30,-,-,-,0.52%,-,16.70%,-,-,-,-,-
2018-10-22,18:40:06 ,12.37,-0.64%,"93,844",104.89K,-,-,-,-,-,-,-,-,-,-,-,-,-2.51%,-5.84%,-14.64%,40.41,-,-,-,-,-,-,-,-,-,4.45,-,-27.19%,4.30%,12.45,-,-,-,0.52%,-,16.70%,-,-,-,-,-
2018-10-23,18:40:51 ,12.31,-0.49%,"99,547",105.04K,-,-,-,-,-,-,-,-,-,-,-,-,-2.73%,-6.06%,-14.94%,38.69,-,-,-,-,-,-,-,-,-,4.44,-,-27.55%,3.79%,12.37,-,-,-,0.52%,-,16.70%,-,-,-,-,-
2018-10-24,18:40:51 ,12.22,-0.73%,"106,895",105.54K,-,-,-,-,-,-,-,-,-,-,-,-,-3.12%,-6.59%,-15.44%,36.61,-,-,-,-,-,-,-,-,-,4.42,-,-28.08%,3.04%,12.31,-,-,-,0.52%,-,16.70%,-,-,-,-,-
2018-10-25,18:40:42 ,12.32,0.82%,"143,465",106.21K,-,-,-,-,-,-,-,-,-,-,-,-,-2.02%,-5.62%,-14.63%,39.92,-,-,-,-,-,-,-,-,-,4.39,-,-27.49%,3.88%,12.22,-,-,-,0.52%,-,16.70%,-,-,-,-,-
2018-10-26,18:39:06 ,12.21,-0.89%,"119,096",106.58K,-,-,-,-,-,-,-,-,-,-,-,-,-2.65%,-6.29%,-15.28%,37.45,-,-,-,-,-,-,-,-,-,4.38,-,-28.13%,2.95%,12.32,-,-,-,0.52%,-,16.70%,-,-,-,-,-
2018-10-29,18:39:11 ,12.19,-0.16%,"67,885",107.28K,-,-,-,-,-,-,-,-,-,-,-,-,-2.49%,-6.24%,-15.30%,37.26,-,-,-,-,-,-,-,-,-,4.78,-,-28.25%,2.78%,12.21,-,-,-,0.52%,-,16.70%,-,-,-,-,-
