date,time,price,change,volume,avg_volume,market_cap,income,sales,p_b,p_e,f_p_e,peg,p_c,p_s,quick_ratio,current_ratio,debt_eq,sma20,sma50,sma200,rsi,roa,roe,roi,gross_margin,oper_margin,profit_margin,shs_outstand,shs_float,short_float,short_ratio,target_price,high_y,low_y,prev_close,eps,sales_q_to_q,eps_q_to_q,insider_own,insider_trans,inst_own,inst_trans,dividend,dividend_percent,employees,recom
2018-10-17,02:43:45 ,115.37,2.75%,"431,393",492.73K,5.76B,189.10M,2.42B,5.53,33.35,17.37,2.22,4.95,2.39,-,1.20,0.94,6.17%,13.54%,29.45%,65.93,4.60%,12.80%,12.50%,40.10%,12.20%,6.10%,49.95M,48.83M,7.03%,6.97,133.11,-3.95%,63.25%,112.28,3.46,16.00%,-12.10%,3.60%,-18.77%,-,0.12%,-,-,6600,1.70
2018-10-17,21:36:43 ,115.60,0.20%,"480,724",492.73K,5.77B,189.10M,2.42B,5.54,33.42,17.40,2.23,4.96,2.39,-,1.20,0.94,5.78%,13.29%,29.48%,66.18,4.60%,12.80%,12.50%,40.10%,12.20%,6.10%,49.95M,48.83M,7.03%,6.97,133.11,-3.76%,63.58%,115.37,3.46,16.00%,-12.10%,3.60%,-18.77%,-,0.12%,-,-,6600,1.70
2018-10-18,22:14:15 ,112.69,-2.52%,"900,034",494.34K,5.63B,189.10M,2.42B,5.40,32.58,16.97,2.17,4.84,2.33,-,1.20,0.94,2.48%,9.97%,26.01%,58.23,4.60%,12.80%,12.50%,40.10%,12.20%,6.10%,49.95M,48.83M,7.03%,6.94,133.11,-6.19%,59.46%,115.60,3.46,16.00%,-12.10%,3.60%,-18.77%,-,0.12%,-,-,6600,1.70
2018-10-19,22:22:03 ,115.89,2.84%,"1,373,669",500.04K,5.79B,189.10M,2.42B,5.55,33.50,17.45,2.23,4.98,2.40,-,1.20,0.94,4.94%,12.66%,29.44%,63.33,4.60%,12.80%,12.50%,40.10%,12.20%,6.10%,49.95M,48.83M,7.03%,6.86,133.11,-3.52%,63.99%,112.69,3.46,16.00%,-12.10%,3.60%,-18.77%,-,0.12%,-,-,6600,1.70
2018-10-22,19:39:50 ,113.34,-2.20%,"787,420",518.14K,5.62B,189.10M,2.42B,5.43,32.77,16.69,2.18,4.83,2.33,-,1.20,0.94,1.99%,9.72%,26.42%,57.38,4.80%,13.50%,12.50%,40.10%,11.20%,6.40%,49.61M,48.83M,7.03%,6.63,136.89,-5.64%,60.38%,115.89,3.46,16.00%,-12.10%,3.60%,-18.88%,-,0.14%,-,-,6600,1.70
2018-10-23,19:41:16 ,113.00,-0.30%,"475,921",527.72K,5.61B,189.10M,2.42B,5.41,32.67,16.64,2.18,4.82,2.32,-,1.20,0.94,1.14%,8.99%,25.92%,56.54,4.80%,13.50%,12.50%,40.10%,11.20%,6.40%,49.61M,48.83M,7.03%,6.50,136.89,-5.93%,59.90%,113.34,3.46,16.00%,-12.10%,3.60%,-18.88%,-,0.14%,-,-,6600,1.70
2018-10-24,19:40:08 ,110.49,-2.22%,"427,149",529.84K,5.48B,189.10M,2.42B,5.29,31.94,16.27,2.13,4.71,2.27,-,1.20,0.94,-1.64%,6.18%,23.00%,51.21,4.80%,13.50%,12.50%,40.10%,11.20%,6.40%,49.61M,48.83M,7.03%,6.48,136.89,-8.02%,56.35%,113.00,3.46,16.00%,-12.10%,3.60%,-18.88%,-,0.14%,-,-,6600,1.70
2018-10-25,19:40:30 ,111.19,0.63%,"347,079",528.15K,5.52B,189.10M,2.42B,5.33,32.15,16.38,2.14,4.74,2.28,-,1.20,0.94,-1.44%,6.53%,23.67%,52.71,4.80%,13.50%,12.50%,40.10%,11.20%,6.40%,49.61M,48.83M,7.03%,6.50,136.89,-7.43%,57.34%,110.49,3.46,16.00%,-12.10%,3.60%,-20.68%,-,0.14%,-,-,6600,1.70
2018-10-26,19:39:04 ,111.29,0.09%,"625,000",503.75K,5.52B,189.10M,2.42B,5.33,32.17,16.39,2.14,4.75,2.29,-,1.20,0.94,-1.83%,6.27%,23.66%,52.99,4.80%,13.50%,12.50%,40.10%,11.20%,6.40%,49.61M,48.83M,7.03%,6.81,136.89,-7.35%,57.48%,111.19,3.46,16.00%,-12.10%,3.60%,-20.68%,-,0.14%,-,-,6600,1.70
2018-10-29,19:35:45 ,107.29,-3.59%,"688,484",496.65K,5.47B,192.50M,2.49B,5.14,30.04,15.64,2.00,4.70,2.19,-,1.20,0.94,-5.82%,2.13%,19.11%,44.68,4.80%,13.50%,12.50%,41.00%,10.80%,6.20%,50.98M,48.83M,5.64%,5.54,138.11,-10.68%,51.82%,111.29,3.57,16.00%,-12.10%,3.60%,-20.23%,-,0.16%,-,-,6600,1.70
2018-10-30,19:36:31 ,108.14,0.79%,"392,295",497.49K,5.51B,192.50M,2.49B,5.18,30.27,15.76,2.02,4.74,2.21,-,1.20,0.94,-4.75%,2.70%,19.97%,46.48,4.80%,13.50%,12.50%,41.00%,10.80%,6.20%,50.98M,48.83M,5.64%,5.53,138.11,-9.97%,53.02%,107.29,3.57,16.00%,-12.10%,3.60%,-20.23%,-,0.16%,-,-,6600,1.70
2018-10-31,19:36:14 ,111.18,2.81%,"600,141",495.76K,5.67B,192.50M,2.49B,5.32,31.13,16.21,2.08,4.87,2.27,-,1.20,0.94,-1.76%,5.33%,23.26%,52.86,4.80%,13.50%,12.50%,41.00%,10.80%,6.20%,50.98M,48.83M,5.64%,5.55,138.11,-7.44%,57.32%,108.14,3.57,16.00%,-12.10%,3.60%,-20.70%,-,0.16%,-,-,6600,1.70
2018-11-01,19:38:44 ,111.50,0.29%,"460,170",497.63K,5.68B,192.50M,2.49B,5.34,31.22,16.25,2.08,4.89,2.28,-,1.20,0.94,-1.13%,5.33%,23.50%,53.52,4.80%,13.50%,12.50%,41.00%,10.80%,6.20%,50.98M,48.83M,5.64%,5.53,138.11,-7.18%,57.78%,111.18,3.57,16.00%,-12.10%,3.60%,-20.70%,-,0.16%,-,-,6600,1.70
2018-11-03,01:04:19 ,111.20,-0.27%,"367,802",498.06K,5.67B,192.50M,2.49B,5.33,31.13,16.21,2.08,4.87,2.27,-,1.20,0.94,-1.12%,4.76%,23.05%,52.89,4.80%,13.50%,12.50%,41.00%,10.80%,6.20%,50.98M,48.83M,5.64%,5.53,138.11,-7.43%,57.35%,111.50,3.57,16.00%,-12.10%,3.60%,-21.54%,-,0.16%,-,-,6600,1.70
2018-11-05,18:38:32 ,110.29,-0.82%,"371,604",497.95K,5.64B,192.50M,2.49B,5.28,30.88,16.08,2.06,4.85,2.26,-,1.20,0.94,-1.69%,3.61%,21.94%,50.65,4.80%,13.50%,12.50%,41.00%,10.80%,6.20%,51.16M,48.83M,5.64%,5.53,138.11,-8.18%,56.06%,111.20,3.57,16.00%,-12.10%,3.60%,-21.48%,-,0.36%,-,-,6600,1.70
2018-11-06,18:34:29 ,110.70,0.37%,"294,022",499.97K,5.66B,192.50M,2.49B,5.30,30.99,16.14,2.07,4.87,2.27,-,1.20,0.94,-1.15%,3.74%,22.29%,51.21,4.80%,13.50%,12.50%,41.00%,10.80%,6.20%,51.16M,48.83M,5.64%,5.51,138.11,-7.84%,56.64%,110.29,3.57,16.00%,-12.10%,3.60%,-21.48%,-,0.36%,-,-,6600,1.70
2018-11-07,18:40:27 ,112.13,1.29%,"639,756",501.26K,5.74B,192.50M,2.49B,5.37,31.39,16.35,2.09,4.93,2.30,-,1.20,0.94,0.31%,4.80%,23.77%,54.48,4.80%,13.50%,12.50%,41.00%,10.80%,6.20%,51.16M,48.83M,5.64%,5.49,138.11,-6.65%,58.67%,110.70,3.57,16.00%,-12.10%,3.60%,-21.48%,-,0.36%,-,-,6600,1.70
2018-11-08,18:34:57 ,110.78,-1.20%,"549,705",508.79K,5.67B,192.50M,2.49B,5.31,31.01,16.15,2.07,4.87,2.27,-,1.20,0.94,-0.95%,3.24%,22.16%,50.82,4.80%,13.50%,12.50%,41.00%,10.80%,6.20%,51.16M,48.83M,5.64%,5.41,138.11,-7.78%,56.76%,112.13,3.57,16.00%,-12.10%,3.60%,-22.31%,-,0.36%,-,-,6600,1.70
2018-11-09,19:17:19 ,110.85,0.06%,"406,689",514.06K,5.67B,192.50M,2.49B,5.31,31.03,16.16,2.07,4.87,2.28,-,1.20,0.94,-0.90%,3.03%,22.14%,51.25,4.80%,13.50%,12.50%,41.00%,10.80%,6.20%,51.16M,48.83M,5.64%,5.36,138.11,-7.72%,56.86%,110.78,3.57,16.00%,-12.10%,3.60%,-22.31%,-,0.36%,-,-,6600,1.70
2018-11-12,21:16:22 ,108.77,-1.88%,"378,202",518.00K,5.60B,191.50M,2.49B,4.72,30.60,15.86,2.04,4.96,2.25,-,1.50,0.75,-2.68%,0.84%,19.75%,46.23,4.60%,13.10%,12.50%,41.00%,13.20%,6.00%,51.53M,49.37M,5.54%,5.28,138.11,-9.45%,53.91%,110.85,3.55,12.00%,5.30%,3.60%,-22.19%,-,0.58%,-,-,6600,1.70
2018-11-13,18:43:45 ,108.71,-0.06%,"329,765",518.82K,5.60B,191.50M,2.49B,4.72,30.59,15.85,2.04,4.96,2.25,-,1.50,0.75,-2.58%,0.58%,19.59%,46.61,4.60%,13.10%,12.50%,41.00%,13.20%,6.00%,51.53M,49.37M,5.54%,5.27,138.11,-9.50%,53.83%,108.77,3.55,12.00%,5.30%,3.60%,-22.19%,-,0.58%,-,-,6600,1.70
2018-11-14,18:36:10 ,109.02,0.29%,"307,503",520.46K,5.62B,191.50M,2.49B,4.73,30.68,15.89,2.05,4.97,2.25,-,1.50,0.75,-2.01%,0.66%,19.84%,47.60,4.60%,13.10%,12.50%,41.00%,13.20%,6.00%,51.53M,49.37M,5.54%,5.26,138.11,-9.24%,54.27%,108.71,3.55,12.00%,5.30%,3.60%,-22.19%,-,0.58%,-,-,6600,1.70
