date,time,price,change,volume,avg_volume,market_cap,income,sales,p_b,p_e,f_p_e,peg,p_c,p_s,quick_ratio,current_ratio,debt_eq,sma20,sma50,sma200,rsi,roa,roe,roi,gross_margin,oper_margin,profit_margin,shs_outstand,shs_float,short_float,short_ratio,target_price,high_y,low_y,prev_close,eps,sales_q_to_q,eps_q_to_q,insider_own,insider_trans,inst_own,inst_trans,dividend,dividend_percent,employees,recom
2018-10-17,01:58:07 ,2.50,2.46%,"198,189",594.51K,144.28M,65.40M,87.40M,7.35,2.25,-,1.12,3.56,1.65,1.00,1.00,0.00,-1.48%,2.52%,40.37%,50.46,14.10%,87.00%,321.40%,47.80%,28.60%,14.10%,57.71M,55.73M,1.04%,0.97,2.00,-26.04%,267.59%,2.44,1.11,19.60%,-64.50%,1.80%,0.00%,42.30%,0.41%,-,-,102,3.00
2018-10-17,20:50:28 ,2.39,-4.40%,"290,983",594.51K,137.93M,65.40M,87.40M,7.03,2.15,-,1.07,3.41,1.58,1.00,1.00,0.00,-6.24%,-1.55%,33.52%,45.89,14.10%,87.00%,321.40%,47.80%,28.60%,14.10%,57.71M,55.73M,1.04%,0.97,2.00,-29.29%,251.42%,2.50,1.11,19.60%,-64.50%,1.80%,0.00%,42.30%,0.41%,-,-,102,3.00
2018-10-18,21:29:12 ,2.41,0.84%,"240,868",582.71K,139.08M,65.40M,87.40M,7.09,2.17,-,1.08,3.43,1.59,1.00,1.00,0.00,-5.56%,-0.84%,34.01%,47.02,14.10%,87.00%,321.40%,47.80%,28.60%,14.10%,57.71M,55.73M,1.04%,0.99,2.00,-28.70%,254.36%,2.39,1.11,19.60%,-64.50%,1.80%,0.00%,42.30%,0.41%,-,-,102,3.00
2018-10-19,21:37:10 ,2.40,-0.41%,"113,224",576.39K,138.50M,65.40M,87.40M,7.06,2.16,-,1.08,3.42,1.58,1.00,1.00,0.00,-6.08%,-1.28%,32.85%,46.23,14.10%,87.00%,321.40%,47.80%,28.60%,14.10%,57.71M,55.73M,1.04%,1.01,2.00,-28.99%,252.89%,2.41,1.11,19.60%,-64.50%,1.80%,0.00%,42.30%,0.41%,-,-,102,3.00
2018-10-22,18:51:01 ,2.41,0.42%,"208,861",569.36K,143.90M,65.40M,87.40M,7.09,2.17,-,1.08,3.55,1.65,1.00,1.00,0.00,-5.75%,-0.54%,32.81%,47.27,14.10%,87.00%,321.40%,47.80%,28.60%,14.10%,59.71M,55.73M,1.04%,1.02,2.00,-28.70%,254.36%,2.40,1.11,19.60%,-64.50%,1.80%,0.00%,42.30%,0.52%,-,-,102,3.00
2018-10-23,18:51:57 ,2.13,-11.62%,"838,472",566.02K,127.18M,65.40M,87.40M,6.26,1.92,-,0.96,3.14,1.46,1.00,1.00,0.00,-16.62%,-11.93%,16.84%,34.05,14.10%,87.00%,321.40%,47.80%,28.60%,14.10%,59.71M,55.73M,1.04%,1.02,2.00,-36.98%,213.19%,2.41,1.11,19.60%,-64.50%,1.80%,0.00%,42.30%,0.52%,-,-,102,3.00
2018-10-24,18:51:44 ,2.12,-0.47%,"173,532",567.65K,126.59M,65.40M,87.40M,6.24,1.91,-,0.95,3.13,1.45,1.00,1.00,0.00,-16.26%,-12.04%,15.86%,33.48,14.10%,87.00%,321.40%,47.80%,28.60%,14.10%,59.71M,55.73M,1.04%,1.02,2.00,-37.28%,211.72%,2.13,1.11,19.60%,-64.50%,1.80%,0.00%,42.30%,0.52%,-,-,102,3.00
2018-10-25,18:51:44 ,2.13,0.47%,"196,804",560.34K,127.18M,65.40M,87.40M,6.26,1.92,-,0.96,3.14,1.46,1.00,1.00,0.00,-14.89%,-11.52%,15.98%,34.11,14.10%,87.00%,321.40%,47.80%,28.60%,14.10%,59.71M,55.73M,1.04%,1.03,2.00,-36.98%,213.19%,2.12,1.11,19.60%,-64.50%,1.80%,0.00%,42.30%,0.52%,-,-,102,3.00
2018-10-26,18:50:03 ,2.05,-3.76%,"518,303",551.49K,122.41M,65.40M,87.40M,6.03,1.84,-,0.92,3.02,1.40,1.00,1.00,0.00,-17.02%,-14.75%,11.21%,30.83,14.10%,87.00%,321.40%,47.80%,28.60%,14.10%,59.71M,55.73M,1.04%,1.05,2.00,-39.35%,201.43%,2.13,1.11,19.60%,-64.50%,1.80%,0.00%,42.30%,0.52%,-,-,102,3.00
2018-10-29,18:50:06 ,1.97,-3.90%,"249,940",550.66K,121.67M,65.40M,87.40M,5.79,1.77,-,0.89,3.00,1.39,1.00,1.00,0.00,-19.15%,-17.94%,6.51%,28.66,14.10%,87.00%,321.40%,47.80%,28.60%,14.10%,61.76M,55.73M,0.83%,0.84,2.00,-41.72%,189.66%,2.05,1.11,19.60%,-64.50%,1.80%,0.00%,42.30%,0.47%,-,-,102,3.00
2018-10-30,18:51:02 ,1.83,-7.11%,"941,870",546.16K,113.02M,65.40M,87.40M,5.38,1.65,-,0.82,2.79,1.29,1.00,1.00,0.00,-23.62%,-23.49%,-1.37%,24.53,14.10%,87.00%,321.40%,47.80%,28.60%,14.10%,61.76M,55.73M,0.83%,0.85,2.00,-45.86%,169.08%,1.97,1.11,19.60%,-64.50%,1.80%,0.00%,42.30%,0.47%,-,-,102,3.00
