date,time,price,change,volume,avg_volume,market_cap,income,sales,p_b,p_e,f_p_e,peg,p_c,p_s,quick_ratio,current_ratio,debt_eq,sma20,sma50,sma200,rsi,roa,roe,roi,gross_margin,oper_margin,profit_margin,shs_outstand,shs_float,short_float,short_ratio,target_price,high_y,low_y,prev_close,eps,sales_q_to_q,eps_q_to_q,insider_own,insider_trans,inst_own,inst_trans,dividend,dividend_percent,employees,recom
2018-10-17,02:41:13 ,10.87,7.09%,"54,411",77.05K,148.27M,-38.80M,-,2.66,-,-,-,2.02,-,8.50,8.50,0.41,-5.57%,-6.06%,-1.89%,43.68,-83.60%,-156.70%,-,-,-,-,13.64M,13.64M,0.97%,1.72,30.14,-39.61%,45.71%,10.15,-3.87,-,38.20%,2.09%,0.00%,75.50%,-0.09%,-,-,16,1.30
2018-10-17,21:34:08 ,11.67,7.36%,"316,332",77.05K,159.18M,-38.80M,-,2.85,-,-,-,2.17,-,8.50,8.50,0.41,1.74%,0.69%,5.48%,53.43,-83.60%,-156.70%,-,-,-,-,13.64M,13.64M,0.97%,1.72,30.14,-35.17%,56.43%,10.87,-3.87,-,38.20%,2.09%,0.00%,75.50%,-0.09%,-,-,16,1.30
2018-10-18,22:11:46 ,12.02,3.00%,"502,356",79.47K,163.95M,-38.80M,-,2.94,-,-,-,2.23,-,8.50,8.50,0.41,4.95%,3.39%,8.76%,57.40,-83.60%,-156.70%,-,-,-,-,13.64M,13.64M,0.97%,1.67,30.14,-33.22%,61.13%,11.67,-3.87,-,38.20%,2.09%,0.00%,75.50%,-0.09%,-,-,16,1.30
2018-10-19,22:19:34 ,11.89,-1.08%,"117,299",85.77K,162.18M,-38.80M,-,2.91,-,-,-,2.21,-,8.50,8.50,0.41,3.73%,1.90%,7.69%,55.40,-83.60%,-156.70%,-,-,-,-,13.64M,13.64M,0.97%,1.55,30.14,-33.94%,59.38%,12.02,-3.87,-,38.20%,2.09%,0.00%,75.50%,-0.09%,-,-,16,1.30
2018-10-22,19:37:07 ,10.70,-10.01%,"63,112",86.01K,154.08M,-38.80M,-,2.62,-,-,-,2.10,-,8.50,8.50,0.41,-6.77%,-8.62%,-2.97%,43.49,-83.60%,-156.70%,-,-,-,-,14.40M,13.95M,0.95%,1.54,31.57,-40.56%,43.43%,11.89,-3.87,-,38.20%,2.09%,-44.07%,75.80%,0.39%,-,-,16,1.30
2018-10-23,19:38:27 ,11.20,4.67%,"876,723",85.60K,161.28M,-38.80M,-,2.74,-,-,-,2.19,-,8.50,8.50,0.41,-1.92%,-4.53%,1.70%,47.38,-83.60%,-156.70%,-,-,-,-,14.40M,13.95M,0.95%,1.55,31.57,-37.78%,50.13%,10.70,-3.87,-,38.20%,2.09%,-44.07%,75.80%,0.39%,-,-,16,1.30
2018-10-24,19:37:26 ,10.25,-8.48%,"310,806",97.71K,147.60M,-38.80M,-,2.51,-,-,-,2.01,-,8.50,8.50,0.41,-9.92%,-12.87%,-6.84%,39.53,-83.60%,-156.70%,-,-,-,-,14.40M,13.95M,0.95%,1.36,31.57,-43.06%,37.40%,11.20,-3.87,-,38.20%,2.09%,-44.07%,75.80%,0.39%,-,-,16,1.30
2018-10-25,19:37:46 ,10.94,6.73%,"118,685",101.81K,157.54M,-38.80M,-,2.67,-,-,-,2.14,-,8.50,8.50,0.41,-3.09%,-7.03%,-0.38%,46.00,-83.60%,-156.70%,-,-,-,-,14.40M,13.95M,0.95%,1.30,31.57,-39.22%,46.65%,10.25,-3.87,-,38.20%,2.09%,-44.07%,75.80%,0.39%,-,-,16,1.30
2018-10-26,19:36:20 ,11.46,4.75%,"303,700",103.26K,165.02M,-38.80M,-,2.80,-,-,-,2.25,-,8.50,8.50,0.41,1.97%,-2.72%,4.53%,50.36,-83.60%,-156.70%,-,-,-,-,14.40M,13.95M,0.95%,1.28,31.57,-36.33%,53.62%,10.94,-3.87,-,38.20%,2.09%,-44.07%,75.80%,0.39%,-,-,16,1.30
2018-10-29,19:33:15 ,11.55,0.79%,"101,556",107.40K,203.40M,-38.80M,-,2.82,-,-,-,2.77,-,8.50,8.50,0.41,3.02%,-1.90%,5.54%,51.21,-83.60%,-156.70%,-,-,-,-,17.61M,17.61M,0.72%,1.19,31.86,-35.83%,54.83%,11.46,-3.87,-,38.20%,7.40%,-15.40%,57.80%,-0.91%,-,-,16,1.30
2018-10-30,19:34:03 ,11.96,3.55%,"102,922",107.44K,210.62M,-38.80M,-,2.92,-,-,-,2.87,-,8.50,8.50,0.41,6.94%,1.63%,9.51%,54.27,-83.60%,-156.70%,-,-,-,-,17.61M,17.61M,0.72%,1.19,31.86,-33.56%,60.32%,11.55,-3.87,-,38.20%,7.40%,-15.40%,57.80%,-0.91%,-,-,16,1.30
