date,title,source
Oct-22-18,How Financially Strong Is The Ensign Group Inc (NASDAQ:ENSG)?,Simply Wall St.
Oct-26-18,"The Ensign Group Schedules Third Quarter 2018 Earnings Call for Thursday, November 1, 2018",GlobeNewswire
Oct-29-18,"Dow Jones Up, Nasdaq Lags; Most Growth Stocks Face This Key Technical Test",Investor's Business Daily
Oct-31-18,Ensign Group (ENSG) Beats Q3 Earnings and Revenue Estimates,Zacks
Oct-31-18,Ensign Group: 3Q Earnings Snapshot,Associated Press
Oct-31-18,The Ensign Group Reports Third Quarter 2018 Results,GlobeNewswire
Nov-01-18,Nasdaq Up Again; This Sector Is Still Producing New Breakouts,Investor's Business Daily
Nov-01-18,The Ensign Group Acquires Texas Senior Housing Communities,GlobeNewswire
Nov-01-18,The Ensign Group Acquires Kansas Post-Acute Care Campus,GlobeNewswire
Nov-01-18,The Ensign Group Acquires Idaho Skilled Nursing Facilities,GlobeNewswire
Nov-05-18,"The Ensign Group to Present at the 2018 Stephens Fall Investment Conference on Tuesday, November 6, 2018",GlobeNewswire
