date,time,price,change,volume,avg_volume,market_cap,income,sales,p_b,p_e,f_p_e,peg,p_c,p_s,quick_ratio,current_ratio,debt_eq,sma20,sma50,sma200,rsi,roa,roe,roi,gross_margin,oper_margin,profit_margin,shs_outstand,shs_float,short_float,short_ratio,target_price,high_y,low_y,prev_close,eps,sales_q_to_q,eps_q_to_q,insider_own,insider_trans,inst_own,inst_trans,dividend,dividend_percent,employees,recom
2018-10-17,02:42:44 ,27.70,5.24%,"1,141,553",1.07M,3.93B,193.30M,1.45B,3.73,20.50,12.53,1.08,15.27,2.71,2.50,3.80,0.62,-2.41%,-11.42%,-18.33%,42.90,6.40%,12.20%,12.50%,46.80%,19.70%,8.60%,141.70M,140.64M,2.05%,2.69,42.88,-29.96%,7.66%,26.32,1.35,16.40%,37.80%,0.50%,-7.17%,94.70%,-0.01%,0.28,1.01%,3900,1.80
2018-10-17,21:35:42 ,27.98,1.01%,"1,726,422",1.07M,3.96B,193.30M,1.45B,3.77,20.71,12.65,1.09,15.42,2.74,2.50,3.80,0.62,-1.11%,-10.02%,-17.47%,45.19,6.40%,12.20%,12.50%,46.80%,19.70%,8.60%,141.70M,140.64M,2.05%,2.69,42.88,-29.25%,8.74%,27.70,1.35,16.40%,37.80%,0.50%,-7.17%,94.70%,-0.01%,0.28,1.00%,3900,1.80
2018-10-18,22:13:16 ,27.12,-3.07%,"1,783,600",1.08M,3.84B,193.30M,1.45B,3.65,20.07,12.27,1.06,14.95,2.66,2.50,3.80,0.62,-3.94%,-12.32%,-19.97%,39.58,6.40%,12.20%,12.50%,46.80%,19.70%,8.60%,141.70M,140.64M,2.05%,2.66,42.88,-31.43%,5.40%,27.98,1.35,16.40%,37.80%,0.50%,-7.17%,94.70%,-0.01%,0.28,1.03%,3900,1.80
2018-10-19,22:21:04 ,26.67,-1.66%,"836,845",1.09M,3.78B,193.30M,1.45B,3.59,19.74,12.06,1.04,14.70,2.61,2.50,3.80,0.62,-5.11%,-13.25%,-21.24%,36.74,6.40%,12.20%,12.50%,46.80%,19.70%,8.60%,141.70M,140.64M,2.05%,2.65,42.88,-32.57%,3.65%,27.12,1.35,16.40%,37.80%,0.50%,-7.17%,94.70%,-0.01%,0.28,1.05%,3900,1.80
2018-10-22,19:38:45 ,26.77,0.37%,"863,957",1.08M,3.86B,193.30M,1.45B,3.60,19.81,12.12,1.04,15.00,2.67,2.50,3.80,0.62,-4.20%,-12.38%,-20.88%,37.49,6.40%,12.20%,12.50%,46.80%,19.70%,8.60%,144.02M,140.64M,2.05%,2.66,42.00,-32.31%,4.04%,26.67,1.35,16.40%,37.80%,0.50%,-7.06%,94.70%,0.01%,0.28,1.05%,3900,1.80
2018-10-23,19:40:09 ,26.82,0.19%,"1,463,948",1.08M,3.86B,193.30M,1.45B,3.61,19.85,12.14,1.05,15.02,2.67,2.50,3.80,0.62,-3.43%,-11.76%,-20.66%,37.50,6.40%,12.20%,12.50%,46.80%,19.70%,8.60%,144.02M,140.64M,2.05%,2.67,42.00,-32.19%,4.24%,26.77,1.35,16.40%,37.80%,0.50%,-7.06%,94.70%,0.01%,0.28,1.04%,3900,1.80
2018-10-24,19:39:03 ,24.75,-7.72%,"1,485,315",1.09M,3.56B,193.30M,1.45B,3.33,18.32,11.20,0.96,13.86,2.46,2.50,3.80,0.62,-10.46%,-18.13%,-26.71%,27.46,6.40%,12.20%,12.50%,46.80%,19.70%,8.60%,144.02M,140.64M,2.05%,2.65,42.00,-37.42%,-2.94%,26.82,1.35,16.40%,37.80%,0.50%,-7.06%,94.70%,0.01%,0.28,1.13%,3900,1.80
2018-10-25,19:39:25 ,25.37,2.51%,"1,980,978",1.10M,3.65B,193.30M,1.45B,3.41,18.78,11.48,0.99,14.21,2.53,2.50,3.80,0.62,-7.51%,-15.50%,-24.79%,32.78,6.40%,12.20%,12.50%,46.80%,19.70%,8.60%,144.02M,140.64M,2.05%,2.64,42.00,-35.85%,2.67%,24.75,1.35,16.40%,37.80%,0.50%,-7.06%,94.70%,0.01%,0.28,1.10%,3900,1.80
2018-10-26,19:37:59 ,24.84,-2.09%,"1,802,886",1.11M,3.58B,193.30M,1.45B,3.34,18.39,11.24,0.97,13.91,2.47,2.50,3.80,0.62,-8.89%,-16.80%,-26.29%,30.64,6.40%,12.20%,12.50%,46.80%,19.70%,8.60%,144.02M,140.64M,2.05%,2.61,42.00,-37.19%,6.20%,25.37,1.35,16.40%,37.80%,0.50%,-7.06%,94.70%,0.01%,0.28,1.13%,3900,1.80
2018-10-29,19:34:46 ,25.52,2.74%,"2,315,197",1.10M,3.69B,193.30M,1.45B,3.43,18.89,12.16,1.01,14.36,2.55,2.50,3.80,0.62,-5.68%,-14.03%,-24.18%,36.28,5.70%,10.80%,12.50%,46.80%,18.60%,7.60%,144.65M,140.64M,1.88%,2.40,39.00,-35.47%,9.11%,24.84,1.35,16.40%,37.80%,0.50%,-7.03%,94.70%,0.05%,0.28,1.10%,3900,1.80
