date,time,price,change,volume,avg_volume,market_cap,income,sales,p_b,p_e,f_p_e,peg,p_c,p_s,quick_ratio,current_ratio,debt_eq,sma20,sma50,sma200,rsi,roa,roe,roi,gross_margin,oper_margin,profit_margin,shs_outstand,shs_float,short_float,short_ratio,target_price,high_y,low_y,prev_close,eps,sales_q_to_q,eps_q_to_q,insider_own,insider_trans,inst_own,inst_trans,dividend,dividend_percent,employees,recom
2018-10-17,02:42:55 ,9.38,1.41%,"977,215",527.71K,723.39M,-137.00M,12.00M,3.17,-,-,-,3.36,60.28,8.10,8.10,0.00,-4.47%,-8.77%,-34.45%,42.73,-49.40%,-58.30%,-58.00%,-,-,-,77.12M,57.71M,9.56%,10.46,22.11,-56.17%,8.91%,9.25,-2.06,20.00%,12.70%,5.47%,10.96%,87.70%,-0.01%,-,-,131,1.80
2018-10-17,21:35:54 ,8.83,-5.86%,"1,256,934",527.71K,680.97M,-137.00M,12.00M,2.98,-,-,-,3.16,56.75,8.10,8.10,0.00,-9.83%,-14.10%,-38.22%,35.29,-49.40%,-58.30%,-58.00%,-,-,-,77.12M,57.71M,9.56%,10.46,22.11,-58.74%,2.53%,9.38,-2.06,20.00%,12.70%,5.47%,10.96%,87.70%,-0.01%,-,-,131,1.80
2018-10-18,22:13:27 ,8.80,-0.34%,"714,668",544.11K,678.66M,-137.00M,12.00M,2.97,-,-,-,3.15,56.55,8.10,8.10,0.00,-9.44%,-14.25%,-38.35%,33.67,-49.40%,-58.30%,-58.00%,-,-,-,77.12M,57.71M,9.56%,10.14,22.11,-58.88%,2.18%,8.83,-2.06,20.00%,12.70%,5.47%,10.96%,87.70%,-0.01%,-,-,131,1.80
2018-10-19,22:21:15 ,8.76,-0.45%,"427,893",552.43K,675.57M,-137.00M,12.00M,2.96,-,-,-,3.13,56.30,8.10,8.10,0.00,-9.08%,-14.45%,-38.54%,33.00,-49.40%,-58.30%,-58.00%,-,-,-,77.12M,57.71M,9.56%,9.99,22.11,-59.07%,2.83%,8.80,-2.06,20.00%,12.70%,5.47%,10.96%,87.70%,-0.01%,-,-,131,1.80
2018-10-22,19:38:57 ,8.28,-5.48%,"698,479",555.86K,647.74M,-137.00M,12.00M,2.80,-,-,-,3.00,53.98,8.10,8.10,0.00,-13.39%,-18.93%,-41.82%,27.39,-49.40%,-58.30%,-58.00%,-,-,-,78.23M,57.71M,9.56%,9.93,22.11,-61.31%,-2.81%,8.76,-2.06,20.00%,12.70%,5.47%,10.79%,87.70%,-0.02%,-,-,131,1.80
2018-10-23,19:40:22 ,8.42,1.69%,"594,987",564.14K,658.70M,-137.00M,12.00M,2.84,-,-,-,3.06,54.89,8.10,8.10,0.00,-11.01%,-17.28%,-40.70%,29.99,-49.40%,-58.30%,-58.00%,-,-,-,78.23M,57.71M,9.56%,9.78,22.11,-60.65%,5.78%,8.28,-2.06,20.00%,12.70%,5.47%,10.79%,87.70%,-0.02%,-,-,131,1.80
2018-10-24,19:39:15 ,7.76,-7.84%,"563,321",571.45K,607.06M,-137.00M,12.00M,2.62,-,-,-,2.82,50.59,8.10,8.10,0.00,-17.12%,-23.52%,-45.26%,23.55,-49.40%,-58.30%,-58.00%,-,-,-,78.23M,57.71M,9.56%,9.65,22.11,-63.74%,-2.02%,8.42,-2.06,20.00%,12.70%,5.47%,10.79%,87.70%,-0.02%,-,-,131,1.80
2018-10-25,19:39:37 ,8.43,8.63%,"672,423",567.42K,659.48M,-137.00M,12.00M,2.85,-,-,-,3.06,54.96,8.10,8.10,0.00,-8.80%,-16.52%,-40.44%,36.55,-49.40%,-58.30%,-58.00%,-,-,-,78.23M,57.71M,9.56%,9.72,22.11,-60.61%,8.91%,7.76,-2.06,20.00%,12.70%,5.47%,10.79%,87.70%,-0.02%,-,-,131,1.80
2018-10-26,19:38:11 ,8.93,5.93%,"631,681",569.79K,698.59M,-137.00M,12.00M,3.02,-,-,-,3.24,58.22,8.10,8.10,0.00,-2.45%,-11.16%,-36.76%,44.16,-49.40%,-58.30%,-58.00%,-,-,-,78.23M,57.71M,9.56%,9.68,22.11,-58.27%,15.37%,8.43,-2.06,20.00%,12.70%,5.47%,10.79%,87.70%,-0.02%,-,-,131,1.80
2018-10-29,19:34:57 ,8.44,-5.49%,"490,384",569.18K,620.51M,-137.00M,12.00M,2.85,-,-,-,2.88,51.71,8.10,8.10,0.00,-6.96%,-15.73%,-40.09%,39.16,-49.40%,-58.30%,-58.00%,-,-,-,73.52M,57.71M,9.56%,9.70,21.22,-60.56%,9.04%,8.93,-2.06,20.00%,12.70%,5.47%,11.56%,87.10%,-0.71%,-,-,131,1.80
2018-10-30,19:35:43 ,8.37,-0.83%,"380,731",570.07K,615.36M,-137.00M,12.00M,2.83,-,-,-,2.85,51.28,8.10,8.10,0.00,-6.70%,-16.07%,-40.45%,38.27,-49.40%,-58.30%,-58.00%,-,-,-,73.52M,57.71M,9.56%,9.68,21.22,-60.89%,8.14%,8.44,-2.06,20.00%,12.70%,5.47%,11.56%,87.10%,-0.71%,-,-,131,1.80
2018-10-31,19:35:26 ,8.05,-3.82%,"639,461",570.67K,591.84M,-137.00M,12.00M,2.72,-,-,-,2.75,49.32,8.10,8.10,0.00,-9.59%,-18.91%,-42.61%,36.07,-49.40%,-58.30%,-58.00%,-,-,-,73.52M,57.71M,9.56%,9.67,21.22,-62.38%,4.01%,8.37,-2.06,20.00%,12.70%,5.47%,11.56%,87.10%,-0.71%,-,-,131,1.80
2018-11-01,19:37:54 ,8.42,4.60%,"564,560",574.13K,619.04M,-137.00M,12.00M,2.84,-,-,-,2.87,51.59,8.10,8.10,0.00,-4.72%,-14.66%,-39.83%,42.28,-49.40%,-58.30%,-58.00%,-,-,-,73.52M,57.71M,9.56%,9.61,21.22,-60.65%,8.79%,8.05,-2.06,20.00%,12.70%,5.47%,11.56%,87.10%,-0.71%,-,-,131,1.80
2018-11-03,01:03:25 ,7.89,-6.29%,"666,713",576.01K,580.07M,-137.00M,12.00M,2.67,-,-,-,2.69,48.34,8.10,8.10,0.00,-10.31%,-19.58%,-43.49%,38.03,-49.40%,-58.30%,-58.00%,-,-,-,73.52M,57.71M,9.56%,9.58,21.22,-63.13%,1.94%,8.42,-2.06,20.00%,12.70%,5.47%,11.56%,87.10%,-0.71%,-,-,131,1.80
2018-11-05,18:37:43 ,7.78,-1.39%,"682,763",542.75K,646.60M,-137.00M,12.00M,2.63,-,-,-,3.00,53.88,8.10,8.10,0.00,-10.99%,-20.14%,-44.13%,36.82,-49.00%,-57.80%,-58.00%,-,-,-,83.11M,57.71M,9.56%,10.17,21.22,-63.64%,2.23%,7.89,-2.06,20.00%,12.70%,5.47%,10.09%,87.10%,-0.60%,-,-,131,1.80
2018-11-06,18:33:41 ,7.62,-2.06%,"586,585",539.24K,633.30M,-137.00M,12.00M,2.57,-,-,-,2.94,52.77,8.10,8.10,0.00,-12.09%,-21.17%,-45.11%,36.00,-49.00%,-57.80%,-58.00%,-,-,-,83.11M,57.71M,9.56%,10.23,21.22,-64.39%,2.83%,7.78,-2.06,20.00%,12.70%,5.47%,10.09%,87.10%,-0.60%,-,-,131,1.80
2018-11-07,18:39:38 ,7.92,3.94%,"487,588",540.46K,658.23M,-137.00M,12.00M,2.68,-,-,-,3.05,54.85,8.10,8.10,0.00,-7.64%,-17.33%,-42.76%,41.00,-49.00%,-57.80%,-58.00%,-,-,-,83.11M,57.71M,9.56%,10.21,21.22,-62.99%,6.88%,7.62,-2.06,20.00%,12.70%,5.47%,10.09%,87.10%,-0.60%,-,-,131,1.80
2018-11-08,18:34:07 ,7.79,-1.64%,"494,856",543.79K,647.43M,-137.00M,12.00M,2.63,-,-,-,3.00,53.95,8.10,8.10,0.00,-8.31%,-18.02%,-43.51%,39.59,-49.00%,-57.80%,-58.00%,-,-,-,83.11M,57.71M,9.56%,10.15,21.22,-63.60%,5.13%,7.92,-2.06,20.00%,12.70%,5.47%,10.09%,87.10%,-0.60%,-,-,131,1.80
