date,time,price,change,volume,avg_volume,market_cap,income,sales,p_b,p_e,f_p_e,peg,p_c,p_s,quick_ratio,current_ratio,debt_eq,sma20,sma50,sma200,rsi,roa,roe,roi,gross_margin,oper_margin,profit_margin,shs_outstand,shs_float,short_float,short_ratio,target_price,high_y,low_y,prev_close,eps,sales_q_to_q,eps_q_to_q,insider_own,insider_trans,inst_own,inst_trans,dividend,dividend_percent,employees,recom
2018-10-17,03:11:27 ,31.87,2.38%,"114,232",83.51K,-,-,-,-,-,-,-,-,-,-,-,-,-2.17%,-3.54%,-11.10%,45.49,-,-,-,-,-,-,-,-,-,0.34,-,-21.92%,5.04%,31.13,-,-,-,-,-,-,-,0.65,2.04%,-,-
2018-10-17,22:05:18 ,31.54,-1.04%,"73,527",83.51K,-,-,-,-,-,-,-,-,-,-,-,-,-3.04%,-4.41%,-11.96%,42.57,-,-,-,-,-,-,-,-,-,0.34,-,-22.72%,3.96%,31.87,-,-,-,-,-,-,-,0.65,2.06%,-,-
2018-10-18,22:42:03 ,30.76,-2.47%,"107,639",83.56K,-,-,-,-,-,-,-,-,-,-,-,-,-5.21%,-6.61%,-14.06%,36.22,-,-,-,-,-,-,-,-,-,0.34,-,-24.64%,1.38%,31.54,-,-,-,-,-,-,-,0.65,2.11%,-,-
2018-10-19,22:49:16 ,31.09,1.07%,"66,951",78.19K,-,-,-,-,-,-,-,-,-,-,-,-,-3.80%,-5.40%,-13.05%,39.54,-,-,-,-,-,-,-,-,-,0.36,-,-23.83%,2.47%,30.76,-,-,-,-,-,-,-,0.65,2.09%,-,-
2018-10-22,20:09:32 ,31.33,0.77%,"67,372",78.54K,-,-,-,-,-,-,-,-,-,-,-,-,-2.69%,-4.47%,-12.29%,42.54,-,-,-,-,-,-,-,-,-,0.36,-,-23.24%,3.26%,31.09,-,-,-,-,-,-,-,0.65,2.07%,-,-
2018-10-23,20:11:19 ,31.04,-0.93%,"58,865",77.98K,-,-,-,-,-,-,-,-,-,-,-,-,-3.30%,-5.22%,-13.02%,39.60,-,-,-,-,-,-,-,-,-,0.36,-,-23.95%,2.31%,31.33,-,-,-,-,-,-,-,0.65,2.09%,-,-
2018-10-24,20:09:28 ,30.11,-3.00%,"111,516",78.30K,-,-,-,-,-,-,-,-,-,-,-,-,-5.86%,-7.93%,-15.54%,32.72,-,-,-,-,-,-,-,-,-,0.36,-,-26.23%,-0.76%,31.04,-,-,-,-,-,-,-,0.65,2.16%,-,-
2018-10-25,20:10:26 ,30.59,1.59%,"96,520",79.20K,-,-,-,-,-,-,-,-,-,-,-,-,-3.85%,-6.26%,-14.09%,38.08,-,-,-,-,-,-,-,-,-,0.36,-,-25.05%,1.59%,30.11,-,-,-,-,-,-,-,0.65,2.12%,-,-
2018-10-26,20:09:06 ,30.33,-0.85%,"72,001",79.52K,-,-,-,-,-,-,-,-,-,-,-,-,-4.20%,-6.95%,-14.73%,36.10,-,-,-,-,-,-,-,-,-,0.36,-,-25.69%,0.73%,30.59,-,-,-,-,-,-,-,0.65,2.14%,-,-
2018-10-29,20:03:24 ,29.80,-1.75%,"83,891",79.42K,-,-,-,-,-,-,-,-,-,-,-,-,-5.42%,-8.43%,-16.13%,33.54,-,-,-,-,-,-,-,-,-,0.25,-,-26.99%,-0.66%,30.33,-,-,-,-,-,-,-,0.63,2.11%,-,-
2018-10-30,20:04:22 ,30.35,1.85%,"75,551",79.95K,-,-,-,-,-,-,-,-,-,-,-,-,-3.11%,-6.56%,-14.48%,39.41,-,-,-,-,-,-,-,-,-,0.25,-,-25.64%,2.92%,29.80,-,-,-,-,-,-,-,0.63,2.08%,-,-
2018-10-31,20:03:21 ,30.72,1.22%,"66,587",80.73K,-,-,-,-,-,-,-,-,-,-,-,-,-1.50%,-5.25%,-13.33%,43.85,-,-,-,-,-,-,-,-,-,0.24,-,-24.73%,4.17%,30.35,-,-,-,-,-,-,-,0.63,2.05%,-,-
2018-11-01,20:06:15 ,31.70,3.19%,"42,193",77.68K,-,-,-,-,-,-,-,-,-,-,-,-,2.00%,-2.06%,-10.46%,52.81,-,-,-,-,-,-,-,-,-,0.25,-,-22.33%,7.49%,30.72,-,-,-,-,-,-,-,0.63,1.99%,-,-
2018-11-03,01:33:57 ,31.98,0.88%,"164,740",77.49K,-,-,-,-,-,-,-,-,-,-,-,-,2.98%,-1.07%,-9.57%,55.03,-,-,-,-,-,-,-,-,-,0.25,-,-21.65%,8.44%,31.70,-,-,-,-,-,-,-,0.63,1.97%,-,-
2018-11-05,19:06:32 ,32.17,0.59%,"54,184",78.21K,-,-,-,-,-,-,-,-,-,-,-,-,3.58%,-0.39%,-8.94%,56.69,-,-,-,-,-,-,-,-,-,0.25,-,-21.18%,9.09%,31.98,-,-,-,-,-,-,-,0.67,2.08%,-,-
2018-11-06,19:02:50 ,31.97,-0.62%,"143,060",78.40K,-,-,-,-,-,-,-,-,-,-,-,-,2.90%,-0.91%,-9.41%,55.12,-,-,-,-,-,-,-,-,-,0.25,-,-21.67%,8.41%,32.17,-,-,-,-,-,-,-,0.67,2.10%,-,-
